"gene","padj","logpadj","lfc","sextissue","direction"
"OVALY",0.0741107566182299,1.13011875287215,3.77124763069668,"male_pituitary","m.inc.d17"
"IFIT5",1.15516463795081e-05,4.93735611424976,3.06145499558951,"male_pituitary","m.inc.d17"
"OASL",4.7068532091489e-06,5.32726934565998,3.06092917572078,"male_pituitary","m.inc.d17"
"MX1",1.73230526154807e-05,4.76137557552633,2.60688758053133,"male_pituitary","m.inc.d17"
"LOC422513",5.04110469136729e-07,6.29747428323811,2.33078759663872,"male_pituitary","m.inc.d17"
"ZNF609",0.0910189468568598,1.04086819384501,2.31846721403693,"male_pituitary","m.inc.d17"
"RSAD2",0.00397981383715289,2.40013724234544,2.11805379909471,"male_pituitary","m.inc.d17"
"ABCA4",0.00173957706766337,2.75955632614633,2.0385765423412,"male_pituitary","m.inc.d17"
"SERPINB5",0.0108719521269335,1.9636924686242,1.9689508778135,"male_pituitary","m.inc.d17"
"PDE6H",0.00883449596813409,2.05381822312409,1.94946066588563,"male_pituitary","m.inc.d17"
"MYBPC3",0.00548244775019899,2.26102549862142,1.92220891027447,"male_pituitary","m.inc.d17"
"LOC420160",0.00250850897711311,2.60058434043902,1.92100264744884,"male_pituitary","m.inc.d17"
"TULP1",0.00397981383715289,2.40013724234544,1.8449010699547,"male_pituitary","m.inc.d17"
"NETO2",0.000159719104007139,3.79664313477777,1.83125305938953,"male_pituitary","m.inc.d17"
"EPSTI1",0.00498077921916392,2.30270270862375,1.80872216974739,"male_pituitary","m.inc.d17"
"LOC422926",0.016192681232228,1.79068123352273,1.75358116098841,"male_pituitary","m.inc.d17"
"DDX60",0.0152760197236164,1.81598978955951,1.72199546557328,"male_pituitary","m.inc.d17"
"CAPN13",0.00152691533637648,2.81618504281514,1.66759549624586,"male_pituitary","m.inc.d17"
"CMPK2",2.76122088594699e-05,4.55889885025649,1.66613315162693,"male_pituitary","m.inc.d17"
"USP18",0.000244011166140021,3.61259029955456,1.5998067485094,"male_pituitary","m.inc.d17"
"RNF213",1.58313512829484e-06,5.80048201440601,1.4861916840219,"male_pituitary","m.inc.d17"
"BHMG1",0.0625606684950413,1.20369861924878,1.45814323504979,"male_pituitary","m.inc.d17"
"LOC107051128",0.0464211917708461,1.33328371409858,1.42065055366122,"male_pituitary","m.inc.d17"
"TMEM114",0.0792260715186749,1.1011318783415,1.40417112992341,"male_pituitary","m.inc.d17"
"TARP",0.031739770872509,1.49839621271552,1.3610703850698,"male_pituitary","m.inc.d17"
"ZNFX1",8.85719635668011e-06,5.05270372726785,1.36064663688995,"male_pituitary","m.inc.d17"
"C21H1orf233",0.0022410552061735,2.64954744491911,1.2980567971074,"male_pituitary","m.inc.d17"
"LOC427799",0.00514043266923671,2.28900032498259,1.28666605249855,"male_pituitary","m.inc.d17"
"SIDT1",0.0635060150765761,1.1971851378443,1.2482381299482,"male_pituitary","m.inc.d17"
"T",0.0813558932661737,1.08961098212137,1.2168502925857,"male_pituitary","m.inc.d17"
"CA3",0.0686196544131077,1.16355147349725,1.18848121870233,"male_pituitary","m.inc.d17"
"LOC101750583",0.0693961012108171,1.15866492825107,1.16352817841449,"male_pituitary","m.inc.d17"
"LOC107050675",0.00435143767509275,2.36136723242366,1.15165456259948,"male_pituitary","m.inc.d17"
"LOC101751319",0.00356501938599793,2.44793810418265,1.10621554048308,"male_pituitary","m.inc.d17"
"GHRH-LR",0.0366656195172808,1.43574097258945,1.0955662146736,"male_pituitary","m.inc.d17"
"ANGPTL5",0.0992351700890495,1.00333438158967,1.0764301559719,"male_pituitary","m.inc.d17"
"C1ORF95",0.0380592949090297,1.41953926176508,1.07096260315821,"male_pituitary","m.inc.d17"
"GALNT15",0.0132604616248395,1.87744135695456,1.06724200624933,"male_pituitary","m.inc.d17"
"IGSF9B",0.00819427159557105,2.08648964564245,1.05944400546712,"male_pituitary","m.inc.d17"
"STAT1",0.000932679203059526,3.03026770705529,1.03668157403065,"male_pituitary","m.inc.d17"
"LOC772096",0.00892986410870653,2.04915514999028,1.02270614071912,"male_pituitary","m.inc.d17"
"THAP7",0.0020321192686539,2.69205080613311,0.998948552901469,"male_pituitary","m.inc.d17"
"UGT2A1",0.0307271362022294,1.51247791450853,0.993542127735655,"male_pituitary","m.inc.d17"
"LOC107050679",0.0490671887897841,1.30920882337343,0.986687307864339,"male_pituitary","m.inc.d17"
"LOC101748192",0.0440597252320378,1.3559582155507,0.982243102399079,"male_pituitary","m.inc.d17"
"LOC100857714",0.0834330076201698,1.07866210054539,0.980590800134159,"male_pituitary","m.inc.d17"
"LOC107051352",0.046974805604898,1.32813500845777,0.961605124960759,"male_pituitary","m.inc.d17"
"CCNRC01",0.0708661984787784,1.14956086375282,0.953463892918253,"male_pituitary","m.inc.d17"
"RTN3",0.0098440364101136,2.00682678864232,0.942964824449543,"male_pituitary","m.inc.d17"
"GNG13",0.0270083142544408,1.56850252180446,0.940416867143701,"male_pituitary","m.inc.d17"
"PTHLH",0.0659588987163502,1.18072660417071,0.936752410938124,"male_pituitary","m.inc.d17"
"SMARCA4",0.0179817642599845,1.74516770021197,0.930507952021286,"male_pituitary","m.inc.d17"
"DHX58",0.00807191483207238,2.09302342905015,0.925542571019357,"male_pituitary","m.inc.d17"
"SLC38A8",0.0829294384838594,1.08129127522044,0.920292624456712,"male_pituitary","m.inc.d17"
"DRCC1",0.0691065807308145,1.16048059460845,0.917804108129637,"male_pituitary","m.inc.d17"
"LOC427547",0.0790409838971211,1.1021476623168,0.90778217149732,"male_pituitary","m.inc.d17"
"FAM222A",0.0181223492754856,1.74178550361033,0.906243527890488,"male_pituitary","m.inc.d17"
"AQP11",0.043585421987252,1.36065874488658,0.899056660122368,"male_pituitary","m.inc.d17"
"MUC2",0.0332729545763805,1.47790863287792,0.890411454317649,"male_pituitary","m.inc.d17"
"NXPH4",0.0753826968096767,1.12272832975971,0.877922930492704,"male_pituitary","m.inc.d17"
"DHX32",0.0438759581284587,1.35777338664329,0.872733844663269,"male_pituitary","m.inc.d17"
"C1S",0.0085935489431531,2.06582744523444,0.862763379962116,"male_pituitary","m.inc.d17"
"LOC107057085",0.00374599401003208,2.42643292141142,0.860357925121087,"male_pituitary","m.inc.d17"
"MAP3K15",0.0483373908130768,1.31571679592393,0.860248386801653,"male_pituitary","m.inc.d17"
"DZANK1",0.000619982898452859,3.2076202898727,0.840359937074507,"male_pituitary","m.inc.d17"
"DRD1",0.0166130723907193,1.77955004250679,0.839826138249426,"male_pituitary","m.inc.d17"
"TNR",0.0541070472246663,1.26674616610483,0.829844742022603,"male_pituitary","m.inc.d17"
"NWD2",0.0450839348232716,1.34597818673732,0.829752159555938,"male_pituitary","m.inc.d17"
"CDKN1A",0.07645179118381,1.11661233507662,0.827596404445553,"male_pituitary","m.inc.d17"
"C10ORF10",4.52917357493396e-07,6.34398103520321,0.820111669311494,"male_pituitary","m.inc.d17"
"CNTNAP4",0.0645300242897966,1.19023817141972,0.810252669809472,"male_pituitary","m.inc.d17"
"ZBTB16",0.0147095008134905,1.8324020653843,0.808154227539708,"male_pituitary","m.inc.d17"
"SYNDIG1L",0.0539724604844597,1.26782778296376,0.800061419421674,"male_pituitary","m.inc.d17"
"EFHB",0.073527586898453,1.13354968690305,0.799286014759796,"male_pituitary","m.inc.d17"
"LOC107050884",0.0549245247797182,1.26023369201217,0.794116703281941,"male_pituitary","m.inc.d17"
"LOC107054321",0.0907560852153003,1.04212424577587,0.768079862874796,"male_pituitary","m.inc.d17"
"EPHA10",0.0723327842777752,1.1406648174523,0.765653781011483,"male_pituitary","m.inc.d17"
"RPS6KA1",0.0378360436135645,1.42209428259343,0.759777060137702,"male_pituitary","m.inc.d17"
"TRIM25",0.000321812060414457,3.49239768406141,0.756842582668544,"male_pituitary","m.inc.d17"
"KLHL32",0.0257404758140067,1.58938342940181,0.756115557781811,"male_pituitary","m.inc.d17"
"PLXNA4B",0.00511197403734207,2.29141136053583,0.754059080320385,"male_pituitary","m.inc.d17"
"NPDC1",0.0378994782074229,1.42136676927195,0.752409186914253,"male_pituitary","m.inc.d17"
"UBE2L6",0.0837958406003892,1.07677753804193,0.751241881591086,"male_pituitary","m.inc.d17"
"SCRT2",0.0702567486265167,1.15331195255475,0.743952929662607,"male_pituitary","m.inc.d17"
"LOC107051165",0.034487654027704,1.46233634687571,0.741411520788171,"male_pituitary","m.inc.d17"
"EIF2AK2",0.00175556183898456,2.75558386807459,0.741151638442454,"male_pituitary","m.inc.d17"
"PHLDA2",0.0493949048493126,1.30631784682434,0.737340575239746,"male_pituitary","m.inc.d17"
"ZNF750",0.0691065807308145,1.16048059460845,0.730258572364748,"male_pituitary","m.inc.d17"
"ERICH5",0.0111550021092597,1.95253034326094,0.729884808783214,"male_pituitary","m.inc.d17"
"SRRM4",0.000951393511635436,3.02163981473085,0.729821064798113,"male_pituitary","m.inc.d17"
"SLC24A2",0.048899498068987,1.310695598688,0.724780792884485,"male_pituitary","m.inc.d17"
"CHRDL1",0.0726929062798219,1.13850796759822,0.724034682909705,"male_pituitary","m.inc.d17"
