"gene","padj","logpadj","lfc","sextissue","direction"
"FOXM1",1.11344490124067e-05,4.95333126913663,5.12016247882729,"male_pituitary","m.n2"
"ABCB5",0.0152163712438859,1.81768890450733,4.93160504873723,"male_pituitary","m.n2"
"CDC6",0.000247592711653463,3.60626214372006,4.48882690971721,"male_pituitary","m.n2"
"NPY",0.0827869019310536,1.08203836936292,4.19637150121715,"male_pituitary","m.n2"
"LOC101749531",0.00111599960293602,2.95233595991701,3.87387751299123,"male_pituitary","m.n2"
"KPNA2",3.43212397367677e-08,7.46443703314522,3.48798113611186,"male_pituitary","m.n2"
"ESCO2",4.35184423159399e-05,4.36132665801803,3.47481722265808,"male_pituitary","m.n2"
"ANKLE1",0.0505147705835285,1.29658161504997,3.33058205682048,"male_pituitary","m.n2"
"CKAP2",6.00689016143969e-07,6.22135030924072,3.24631353770942,"male_pituitary","m.n2"
"RRM2",7.87037591984097e-06,5.10400452354773,3.24205263769631,"male_pituitary","m.n2"
"SHCBP1",0.000205171983532446,3.68788194291675,3.23740485564426,"male_pituitary","m.n2"
"CDCA3",0.0149820048633816,1.82443006628654,2.89453391635011,"male_pituitary","m.n2"
"NUF2",0.000180469627477766,3.74359587812795,2.80836700899873,"male_pituitary","m.n2"
"CCNB3",5.10367458222888e-05,4.29211702465677,2.79263007560128,"male_pituitary","m.n2"
"LOC423793",7.87037591984097e-06,5.10400452354773,2.66658307235604,"male_pituitary","m.n2"
"BUB1",8.97358559903614e-07,6.04703399009684,2.6435898735188,"male_pituitary","m.n2"
"CENPA",0.0136510997372863,1.86483236030116,2.63633613253777,"male_pituitary","m.n2"
"RACGAP1",7.87037591984097e-06,5.10400452354773,2.62840045566446,"male_pituitary","m.n2"
"CDK1",9.49452386049224e-06,5.02252680975221,2.61415761417878,"male_pituitary","m.n2"
"ABCA4",9.08332092855965e-05,4.04175534120738,2.5985681427727,"male_pituitary","m.n2"
"CLUL1",0.00089300321571637,3.04914697720847,2.58592845188781,"male_pituitary","m.n2"
"LOC107054855",0.0375446252371677,1.42545222635387,2.47786749833198,"male_pituitary","m.n2"
"PBK",0.000505489477357298,3.29628788057392,2.46870929819715,"male_pituitary","m.n2"
"PRL",3.37130901656036e-14,13.4722014379162,2.43621786270994,"male_pituitary","m.n2"
"SERPINB5",0.00173667846847367,2.76028058010982,2.37556600554671,"male_pituitary","m.n2"
"CENPI",0.000908539596427257,3.04165614030408,2.34650708346714,"male_pituitary","m.n2"
"GAS2L3",0.012038040393193,1.91944420374994,2.28175172748103,"male_pituitary","m.n2"
"HSP25",0.0380536064855855,1.41960417719655,2.27884315367779,"male_pituitary","m.n2"
"ANLN",0.0134701065650841,1.87062896846076,2.27558889845386,"male_pituitary","m.n2"
"UBE2C",9.64258235156741e-05,4.01580664339492,2.09954051174546,"male_pituitary","m.n2"
"LAMB4",0.0286765410740055,1.54247323386426,2.09780065282265,"male_pituitary","m.n2"
"GRIN1",0.0628366603071952,1.20178690524727,2.04596352398545,"male_pituitary","m.n2"
"SGOL1",0.00206369081181678,2.68535536943841,2.03812264818727,"male_pituitary","m.n2"
"CDC45",0.00471827321291475,2.32621691478026,2.02131418882519,"male_pituitary","m.n2"
"MKI67",0.00496335538769482,2.30422462720263,1.96433904036824,"male_pituitary","m.n2"
"KNSTRN",0.000436451105343388,3.3600644022882,1.83302628388143,"male_pituitary","m.n2"
"SLITRK6",0.00185885564225252,2.73075433599866,1.74337161878603,"male_pituitary","m.n2"
"DEPDC1",0.0999441447022769,1.00024264424701,1.72120469332848,"male_pituitary","m.n2"
"MCM10",0.00753409304955226,2.12296902036084,1.7202994374575,"male_pituitary","m.n2"
"KNTC1",1.78626540668657e-05,4.74805401235907,1.71934837213688,"male_pituitary","m.n2"
"CDC20",0.00305096925399212,2.515562168919,1.69096327467792,"male_pituitary","m.n2"
"CENPK",0.0731138910725715,1.13600010261758,1.68026950704045,"male_pituitary","m.n2"
"TBCE",1.3986343078809e-15,14.8542958229136,1.6247299575713,"male_pituitary","m.n2"
"DEPDC1B",0.0375380357487543,1.42552845642953,1.61726761428848,"male_pituitary","m.n2"
"MAD2L1",0.00114171896778877,2.94244078379475,1.60070036287709,"male_pituitary","m.n2"
"SKA1",0.0111173907218763,1.95399713074517,1.5954399733481,"male_pituitary","m.n2"
