"gene","padj","logpadj","lfc","sextissue","direction"
"CDC6",0.000112418843712431,3.94916088596972,4.47887187167492,"male_pituitary","prolong"
"FOXM1",3.33157678128984e-06,5.47735017329897,4.45369137681139,"male_pituitary","prolong"
"KPNA2",9.90138629029481e-14,13.0043039956978,4.39253576618774,"male_pituitary","prolong"
"ABCB5",0.0271345998067431,1.56647657920722,4.16818453328652,"male_pituitary","prolong"
"MOV10L1",0.0190371247191456,1.7203986448646,4.13583118146136,"male_pituitary","prolong"
"FGF6",3.9636939871036e-08,7.40189988214901,4.1039909172571,"male_pituitary","prolong"
"SHCBP1",1.25937325399148e-07,6.89984553428889,4.03239532320164,"male_pituitary","prolong"
"BUB1",8.39005278979408e-15,14.0762353066035,3.91652052063076,"male_pituitary","prolong"
"RRM2",1.63593295079701e-08,7.78623449998963,3.74269831046183,"male_pituitary","prolong"
"PRC1",0.00536846453409276,2.27014991164227,3.73347914662659,"male_pituitary","prolong"
"NUF2",3.74256694713882e-08,7.42683042224398,3.68295567095842,"male_pituitary","prolong"
"PBK",7.14014189889445e-09,8.1462931572302,3.64630078226077,"male_pituitary","prolong"
"CENPK",3.9636939871036e-08,7.40189988214901,3.55535624368055,"male_pituitary","prolong"
"CENPA",0.000144817439534073,3.8391791353947,3.54441142813236,"male_pituitary","prolong"
"IL19",0.0908995961077184,1.04143804646537,3.52567021616828,"male_pituitary","prolong"
"CDK1",8.74571069659064e-11,10.0582048929816,3.47178843730171,"male_pituitary","prolong"
"CCNB3",2.63884874378569e-08,7.57858550239906,3.4426549876299,"male_pituitary","prolong"
"SGOL1",2.24602841982919e-09,8.64858475275092,3.35807024827622,"male_pituitary","prolong"
"TRPV6",0.067108933784859,1.17321966112456,3.34730107837236,"male_pituitary","prolong"
"DEPDC1",7.16270060135643e-06,5.14492320183542,3.34136529202291,"male_pituitary","prolong"
"CENPI",4.75193402582593e-08,7.32312959757624,3.31223749679753,"male_pituitary","prolong"
"ESCO2",1.65218490623408e-05,4.78194134971339,3.22680504583145,"male_pituitary","prolong"
"CDCA3",0.00109256635564271,2.96155217722771,3.1977674201125,"male_pituitary","prolong"
"RACGAP1",3.78271620119487e-09,8.4221962404885,3.16169583501698,"male_pituitary","prolong"
"MKI67",4.72388841297342e-08,7.32570036978043,3.08146973504448,"male_pituitary","prolong"
"LOC101749531",0.00213121811647278,2.67137210076302,3.02591531055201,"male_pituitary","prolong"
"CDC45",3.99555238265617e-07,6.39842317125464,2.96140031254711,"male_pituitary","prolong"
"SMYD1",0.0171672316784421,1.76529973184596,2.95319703678944,"male_pituitary","prolong"
"CKAP2",3.33157678128984e-06,5.47735017329897,2.8922748864068,"male_pituitary","prolong"
"LOC423793",1.39224500819898e-07,6.85628433056912,2.88231445525245,"male_pituitary","prolong"
"UBE2C",1.55864178575037e-08,7.8072536849058,2.75122841224855,"male_pituitary","prolong"
"ADIPOQ",0.0791112357628045,1.10176183150542,2.65138443076765,"male_pituitary","prolong"
"PRL",8.41370831888498e-16,15.0750125479043,2.57391907376024,"male_pituitary","prolong"
"FBXO5",2.03338085742084e-05,4.69178126927885,2.57193935918499,"male_pituitary","prolong"
"UMOD",7.11270927609534e-06,5.14796494223254,2.52148285754986,"male_pituitary","prolong"
"IRX4",0.0601323190764714,1.22089204673336,2.34984156198962,"male_pituitary","prolong"
"MCM10",9.76992255774248e-06,5.01010887874575,2.33596822753156,"male_pituitary","prolong"
"A2ML4",0.00126844635908541,2.8967278937917,2.33128817083108,"male_pituitary","prolong"
"SKA1",5.61078685113556e-06,5.25097622944909,2.28057426149169,"male_pituitary","prolong"
"MXD3",0.0030170144096171,2.52042261557833,2.2510168633692,"male_pituitary","prolong"
"ANLN",0.00532044887734461,2.27405172546247,2.22173105468427,"male_pituitary","prolong"
"LOC101748559",0.00296220387157818,2.52838505477683,2.19561726632013,"male_pituitary","prolong"
"DLGAP5",4.50652492797552e-06,5.34615822227813,2.1316118873158,"male_pituitary","prolong"
"CDC20",1.07166498526535e-05,4.96994095885029,2.11849660353501,"male_pituitary","prolong"
"MAD2L1",8.31521527385928e-07,6.08012650278373,2.06832206661643,"male_pituitary","prolong"
"NEK2",0.0119971126346787,1.92092326376165,2.01216238982993,"male_pituitary","prolong"
"KIF4A",2.42233063989631e-05,4.6157665774267,1.9991119564301,"male_pituitary","prolong"
"TECRL",0.0347847547101426,1.45861105478749,1.99408941058302,"male_pituitary","prolong"
"TK1",2.98005058669943e-06,5.52577636366269,1.96037376737819,"male_pituitary","prolong"
"KNSTRN",3.58493066192469e-05,4.4455192398385,1.9592972208009,"male_pituitary","prolong"
"PROCR",0.0100341811068407,1.9985180646605,1.94771311337977,"male_pituitary","prolong"
"LOC416696",0.0688770663147187,1.16192535909306,1.93062604685114,"male_pituitary","prolong"
"LOC107051182",5.03065922544564e-06,5.2983751005874,1.88435605333039,"male_pituitary","prolong"
"DEPDC1B",0.00381967751919245,2.41797330136763,1.81089806523626,"male_pituitary","prolong"
"CASC5",1.31446667808008e-06,5.88125041884585,1.79765789346143,"male_pituitary","prolong"
"KNTC1",1.67927515532547e-06,5.77487813730516,1.78482153499877,"male_pituitary","prolong"
"MSTN",2.01812650124989e-06,5.69505161457438,1.77664354934322,"male_pituitary","prolong"
"SUSD2",0.0916105743360357,1.03805439411886,1.76009263168686,"male_pituitary","prolong"
"PAX7",0.00945437554980767,2.02436715050256,1.7459049038781,"male_pituitary","prolong"
"CEP55",0.0360068433788909,1.44361495036487,1.71794259138962,"male_pituitary","prolong"
"HMMR",4.84824827226586e-07,6.31441514863668,1.69570232620629,"male_pituitary","prolong"
"DIAPH3",0.00011216874275487,3.95012814789542,1.68615854770745,"male_pituitary","prolong"
"STC1",0.000201884349288262,3.69489734762992,1.67220688293321,"male_pituitary","prolong"
"NDC80",4.50652492797552e-06,5.34615822227813,1.64296692781234,"male_pituitary","prolong"
"GRXCR1",0.0130615311500459,1.88400590950516,1.61896427129612,"male_pituitary","prolong"
"SLBP",3.44907434682067e-05,4.46229744405941,1.59417004955267,"male_pituitary","prolong"
