"gene","padj","logpadj","lfc","direction"
"C20H20ORF195",2.01063360299011e-114,113.696667063514,12.5866663535664,"gonad"
"LOC107056226",4.20987273914298e-159,158.375731032317,12.4576785516676,"gonad"
"LOC422928",3.35006846701415e-123,122.47494631698,11.8352644754961,"gonad"
"ODF1",2.11808312377237e-181,180.674057000089,11.6808538037146,"gonad"
"CAPZA3",3.94115104436637e-175,174.404376920507,11.627328412903,"gonad"
"LOC101747255",0,Inf,11.4432150498647,"gonad"
"FAM229A",1.75934442694858e-154,153.754649130366,11.4166208011773,"gonad"
"LOC101748683",2.08438339301463e-275,274.681022395662,11.3981322291029,"gonad"
"C8ORF88",0,Inf,11.3232333860542,"gonad"
"LOC101750451",4.49526349609687e-147,146.347244846412,11.2582981839857,"gonad"
"PLCZ1",0,Inf,11.2500717704832,"gonad"
"TSSK3",1.28407915399057e-238,237.891408204397,11.1739194038885,"gonad"
"STK31",0,Inf,11.1594188427679,"gonad"
"LOC100858845",7.45389311903646e-197,196.127616838862,11.1556693673521,"gonad"
"ZNRF4",2.88984764357878e-261,260.539125053194,11.1454682329422,"gonad"
"LOC428451",0,Inf,11.1341484610446,"gonad"
"ZPBP2",0,Inf,11.0673405467467,"gonad"
"C7ORF72",2.32096393298061e-284,283.634331608286,11.0588561622977,"gonad"
"LOC100859381",7.09113305943053e-275,274.149284365361,10.9466094167703,"gonad"
"SOX30",7.41985633958158e-290,289.129604503283,10.9412321563164,"gonad"
"GCM2",0,Inf,10.7679398923193,"gonad"
"ASZ1",0,Inf,10.7518709099865,"gonad"
"FBXW10",7.50457500713857e-265,264.124673897329,10.7154640856558,"gonad"
"LOC421502",5.7452943960419e-305,304.240687712615,10.691527594354,"gonad"
"LOC101748426",0,Inf,10.6071405430881,"gonad"
"GATA4",0,Inf,10.5660892305505,"gonad"
"STMND1",0,Inf,10.5562507776349,"gonad"
"TRIM42",1.27060681300085e-279,278.895988820305,10.503313819983,"gonad"
"ZP3L2",1.31603753293591e-160,159.880731724617,10.4972178182657,"gonad"
"FAM71BL",5.463914735974e-300,299.26249608641,10.4477804921699,"gonad"
"C5H14ORF166B",8.56309412595345e-165,164.067369282166,10.4306293330498,"gonad"
"DMRT1",1.49803948568083e-232,231.824476739248,10.3955224421568,"gonad"
"HSD3B2",0,Inf,10.3924866574638,"gonad"
"C10ORF122",0,Inf,10.3816718645478,"gonad"
"FP325317.1",0,Inf,10.3517095662379,"gonad"
"TDRD9",0,Inf,10.2657364241361,"gonad"
"LOC419741",0,Inf,10.264309113598,"gonad"
"LOC101747522",0,Inf,10.208680716945,"gonad"
"DNAJB8",5.24586112939619e-229,228.280183210417,10.1807512903803,"gonad"
"FBXO43",0,Inf,10.1805748908456,"gonad"
"SPATA16",0,Inf,10.1758016968489,"gonad"
"ZP2",0,Inf,10.1729798277704,"gonad"
"LOC101747625",3.27219109713554e-141,140.485161341306,10.1553379714728,"gonad"
"C17ORF64",2.81905432696667e-236,235.549896554609,10.1304587981936,"gonad"
"C8H1ORF111",4.02411130419636e-94,93.3953300154944,10.1290195234775,"gonad"
"LOC421081",1.26856613740417e-208,207.896686885667,10.1155431679658,"gonad"
"OPNVA",1.1857322616933e-291,290.926013363582,10.0383184470812,"gonad"
"ADAM15",1.99118078931668e-292,291.700889306402,10.0337099595678,"gonad"
"HK3",0,Inf,10.0324654730143,"gonad"
"SYPL1",1.94801841051396e-266,265.710406942967,10.0311898400825,"gonad"
"ZPBP",0,Inf,10.0037038896003,"gonad"
"PCSK4",3.12042375103939e-223,222.505786425135,9.99607600023236,"gonad"
"OVALY",1.75063286922855e-102,101.756804921641,9.98138225354031,"gonad"
"DMRTB1",1.44009528544935e-266,265.841608771394,9.96551903364735,"gonad"
"C1ORF158",1.02390777777166e-235,234.989739158017,9.95495628771994,"gonad"
"MYO5B",0,Inf,9.92814448424235,"gonad"
"NME8",3.79489904615592e-251,250.420799772939,9.91862646214989,"gonad"
"PABPN1",0,Inf,9.91658713095583,"gonad"
"LOC100859850",5.48948222325108e-140,139.260468616969,9.86630642279365,"gonad"
"ZP4",5.56016869608067e-277,276.25491203168,9.8637141260483,"gonad"
"LRRC18",0,Inf,9.8178319931689,"gonad"
"LOC107049338",0,Inf,9.78893795466592,"gonad"
"LOC107055038",0,Inf,9.76560362436295,"gonad"
"RNF212",0,Inf,9.75817029291908,"gonad"
"RAD21L1",4.66843291755712e-68,67.3308288773507,9.74555418359601,"gonad"
"PLIN3",1.21293488058586e-257,256.916162514683,9.73340216654509,"gonad"
"C2H7ORF31",1.44282694729839e-198,197.840785755074,9.68827090357363,"gonad"
"CCDC63",4.34577323565894e-148,147.3619329391,9.6677370576226,"gonad"
"CCDC67",0,Inf,9.6606788468433,"gonad"
"C1ORF100",3.9931615802065e-259,258.398683116059,9.65755519259347,"gonad"
"LOC768589",0,Inf,9.64514952751461,"gonad"
"LARP6L",0,Inf,9.62500217541763,"gonad"
"LOC101751993",4.78741967514407e-156,155.319898499694,9.6099460681917,"gonad"
"LOC101751348",0,Inf,9.59875326955436,"gonad"
"TEX33",0,Inf,9.58713441053037,"gonad"
"VMO1",2.24349959527789e-242,241.649074004477,9.55835130043876,"gonad"
"VRTN",0,Inf,9.52440679799209,"gonad"
