"gene","padj","logpadj","lfc","direction"
"LOC107056226",2.1319876814499e-161,160.671215308977,12.6159906220075,"gonad"
"C20H20ORF195",3.3538354594994e-95,94.4744582478672,11.5185607596012,"gonad"
"C19ORF71",5.84115811356696e-196,195.233501037739,10.9825017009621,"gonad"
"C8H1ORF111",3.14081751350646e-106,105.502957296069,10.9078912224244,"gonad"
"ODF1",8.84653897743403e-163,162.053226604669,10.8898298204199,"gonad"
"FAM229A",6.10497604918638e-139,138.214316035524,10.8773760400958,"gonad"
"LOC101750451",2.24216677882121e-134,133.649332086465,10.8118946060905,"gonad"
"LOC101748683",2.39505109471168e-251,250.620685217149,10.7008028629508,"gonad"
"ZPBP2",1.44016317284854e-297,296.84158829884,10.6394932039833,"gonad"
"CAPZA3",1.25839672702141e-147,146.900182419945,10.6236264327566,"gonad"
"PIGR",6.17419247133174e-206,205.209419836154,10.5912235947249,"gonad"
"ZNRF4",1.22076191017966e-240,239.913369029894,10.5431457430829,"gonad"
"TSSK3",7.51121040774744e-219,218.124290072177,10.487489208908,"gonad"
"DNAJB8",2.35156630788671e-240,239.628642770801,10.482400714913,"gonad"
"GATA4",0,Inf,10.3496387807309,"gonad"
"C5H14ORF166B",1.28624152907217e-160,159.890677472396,10.3241755479367,"gonad"
"LOC101748426",0,Inf,10.3213936725546,"gonad"
"PCSK4",1.54977517937415e-230,229.809731298887,10.26828008259,"gonad"
"SOX30",2.47217134939547e-269,268.606921431027,10.265931443606,"gonad"
"GCM2",0,Inf,10.2601522967951,"gonad"
"LOC101747625",3.17662857682435e-142,141.498033561523,10.2564745603829,"gonad"
"SLC28A3",0,Inf,10.2497184774766,"gonad"
"RAD21L1",2.41412989221999e-73,72.6172393664024,10.2045954301254,"gonad"
"TRIM42",7.89919126125212e-274,273.102417370577,10.2045692826061,"gonad"
"ZP3L2",4.51486774660783e-151,150.345354966892,10.2027834387796,"gonad"
"CCDC63",4.69863699047893e-160,159.32802810661,10.1924547922751,"gonad"
"LOC421081",1.31793599542787e-208,207.880105680415,10.185374370733,"gonad"
"ZP4",6.15937005467216e-288,287.210463702733,10.1644181778923,"gonad"
"C2H7ORF31",4.72315372693449e-209,208.325767918985,10.0925436343198,"gonad"
"STMND1",0,Inf,10.0656684776098,"gonad"
"DMRT1",9.45254391593501e-221,220.024451296255,10.0627680894382,"gonad"
"LOC100859850",3.7740172953973e-143,142.423196113901,10.0373984135318,"gonad"
"LARP6L",0,Inf,10.0248207514343,"gonad"
"LOC100859381",3.92374301774254e-241,240.406299444113,9.97082465888282,"gonad"
"FP325317.1",0,Inf,9.95419789589372,"gonad"
"C10ORF122",0,Inf,9.94917940057887,"gonad"
"FBXO43",0,Inf,9.83325036628868,"gonad"
"OVALY",2.2531332300021e-97,96.6472131272535,9.76652138158558,"gonad"
"C14ORF39",0,Inf,9.75843603232242,"gonad"
"PLCZ1",5.55297154988171e-283,282.255474551588,9.75412387673288,"gonad"
"SPINK7",6.14155882997906e-125,124.21172138369,9.72301978336241,"gonad"
"TEKT5",0,Inf,9.69902921922364,"gonad"
"LOC768589",0,Inf,9.68885523489657,"gonad"
"FAM71BL",1.93952349860924e-269,268.712304954267,9.64882610416809,"gonad"
"C8H1ORF177",6.8428766489377e-177,176.164761288612,9.53513301165631,"gonad"
"LOC101747522",3.51195881398428e-295,294.454450585865,9.52787980755993,"gonad"
"TPPP2",0,Inf,9.51775250630919,"gonad"
"LOC421502",1.82246821427179e-265,264.739340037488,9.49431139983396,"gonad"
"TEX33",0,Inf,9.49267454087725,"gonad"
"LOC428451",0,Inf,9.46984321415575,"gonad"
"ADAM15",1.00772560666305e-273,272.996657705722,9.45523348765052,"gonad"
"LOC419741",0,Inf,9.45127247552028,"gonad"
"TSPAN1",5.41169855466522e-305,304.266666402705,9.44196710586093,"gonad"
"LOC107049338",0,Inf,9.42657742162337,"gonad"
