"gene","padj","logpadj","lfc","sextissue","direction"
"CDK3",3.15008265863238e-22,21.5016780501098,19.8618358764537,"female_gonad","m.inc.d17"
"LOC107049005",0.0938077506151819,1.02776127771533,4.36311316605685,"female_gonad","m.inc.d17"
"ZNF804B",0.000649301021508746,3.18755391387565,3.06545044919407,"female_gonad","m.inc.d17"
"OMD",0.00456662855677143,2.34040431186682,2.85582678938301,"female_gonad","m.inc.d17"
"OCSTAMP",0.0284660073651897,1.54567344261295,2.60467720700031,"female_gonad","m.inc.d17"
"PDCD1LG2",0.0116512416183487,1.93362779143925,2.45301748403299,"female_gonad","m.inc.d17"
"AP3B2",0.0619566216605805,1.20791227125771,2.38799793463986,"female_gonad","m.inc.d17"
"HSD17B1",0.00560360430221998,2.25153253995118,2.22038446980067,"female_gonad","m.inc.d17"
"OTOP1",0.013111395649682,1.88235107713563,2.14761069161002,"female_gonad","m.inc.d17"
"IL1R2",0.0666468721967191,1.17622022763917,2.12817459710472,"female_gonad","m.inc.d17"
"CYP19A1",0.000524294939106318,3.28042433440683,2.08910366719491,"female_gonad","m.inc.d17"
"CCKAR",0.0474290333341543,1.32395572674852,2.05138350752911,"female_gonad","m.inc.d17"
"OASL",0.0040519280541216,2.39233827455938,2.02843201185274,"female_gonad","m.inc.d17"
"ITGBL1",0.00636606644059836,2.19612883309883,2.01000363511197,"female_gonad","m.inc.d17"
"ANKRD33B",0.0254758433738791,1.59387142983148,1.99939390895288,"female_gonad","m.inc.d17"
"IL12RB2",0.00910415639228799,2.04076029052234,1.99182097312656,"female_gonad","m.inc.d17"
"PTGES3",0.051541088026272,1.2878464177832,1.86598891472991,"female_gonad","m.inc.d17"
"RSAD2",0.0155054302481131,1.80951617835997,1.80256251507838,"female_gonad","m.inc.d17"
"SLC32A1",0.0774574071247001,1.11093704505046,1.79553976316117,"female_gonad","m.inc.d17"
"NUSAP1",0.00131961747884657,2.87955194068933,1.79109464024863,"female_gonad","m.inc.d17"
"MX1",0.0145550787301383,1.83698544106872,1.73630737437971,"female_gonad","m.inc.d17"
"LOC101747522",0.037228054767464,1.42912965585325,1.72976785364916,"female_gonad","m.inc.d17"
"NMUR2",0.00617218686684548,2.20956093387083,1.70455284529507,"female_gonad","m.inc.d17"
"LOC101748113",0.0174320163775613,1.75865237473741,1.70039637625993,"female_gonad","m.inc.d17"
"GPNMB",0.00776224767571155,2.11001250402338,1.69542063632237,"female_gonad","m.inc.d17"
"SNTG1",0.00277159732708948,2.55726986616921,1.67072599912763,"female_gonad","m.inc.d17"
"MMEL1",0.0066136139941441,2.17956115642947,1.66366633552125,"female_gonad","m.inc.d17"
"SH3GL2",0.0038277533222679,2.41705605789357,1.65845576521008,"female_gonad","m.inc.d17"
"RBP3",0.0801982380787821,1.09583517287628,1.59984805598862,"female_gonad","m.inc.d17"
"GATM",0.0208690990898696,1.68049629883792,1.5786940440076,"female_gonad","m.inc.d17"
"LOC422513",0.000727463490436324,3.13818879794332,1.54690528346336,"female_gonad","m.inc.d17"
"COCH",0.0420033720730289,1.37671584260394,1.54079630903996,"female_gonad","m.inc.d17"
"IFIT5",0.0417344856845848,1.37950493416281,1.48897525191893,"female_gonad","m.inc.d17"
"C7",0.00252404262138119,2.59790331580097,1.47369086071268,"female_gonad","m.inc.d17"
"FBN3",0.0413260395544363,1.38377621296337,1.44470490873895,"female_gonad","m.inc.d17"
