"gene","padj","logpadj","lfc","sextissue","direction"
"IQCG",3.09742664819079e-07,6.50899896958892,16.6876212702072,"female_gonad","extend"
"LOC107049904",4.9673979057836e-08,7.30387105011859,9.15999188261507,"female_gonad","extend"
"LOC101749216",5.70253218836953e-08,7.2439322546367,7.20055309721522,"female_gonad","extend"
"CLDN34",1.05825275825961e-05,4.97541059089518,6.29050621462911,"female_gonad","extend"
"LOC418356",0.00027953718893415,3.55356040647344,5.64668466690263,"female_gonad","extend"
"COL10A1",9.2071923903406e-06,5.03587278188486,5.20653181291768,"female_gonad","extend"
"MSX2",1.24639266465696e-10,9.90434511559929,5.13362390765726,"female_gonad","extend"
"SPTSSB",7.08932260604632e-10,9.14939526023453,4.97599817041045,"female_gonad","extend"
"DLX5",9.04110951644981e-09,8.0437782700441,4.95048393795285,"female_gonad","extend"
"TFF2",0.00443066265118097,2.35353131571156,4.79123957369809,"female_gonad","extend"
"MUC13",1.07088102085705e-10,9.97025877833305,4.78947561603068,"female_gonad","extend"
"IL20RB",6.06959596389357e-05,4.21684021773721,4.61569235733141,"female_gonad","extend"
"OCX36",0.000976433026882935,3.01035753942442,4.60552582373982,"female_gonad","extend"
"LOC101747844",0.000202603776834292,3.6933524630083,4.20589317548794,"female_gonad","extend"
"NOXO1",2.98109477842331e-07,6.52562421615391,4.14629782184409,"female_gonad","extend"
"LOC416696",1.08092524817501e-10,9.9662043388197,4.121611385957,"female_gonad","extend"
"SPINK5",0.000142798257945291,3.84527709066462,4.11102747151437,"female_gonad","extend"
"SLC9A2",3.79654731909299e-05,4.42061118282863,4.09608150920514,"female_gonad","extend"
"CDC20B",1.13992411005671e-07,6.94312406066412,4.05676416662202,"female_gonad","extend"
"LOC428593",0.00383047972883382,2.41674683163495,4.0016630234806,"female_gonad","extend"
"KRT20",0.000849679416344076,3.07074490249127,3.87438385218952,"female_gonad","extend"
"WFDC2",0.000996374682777715,3.00157731613114,3.84343247679096,"female_gonad","extend"
"ERMN",0.0125611680106746,1.90096997548688,3.73911193351062,"female_gonad","extend"
"LOC107049720",0.00168070986310332,2.7745072513009,3.71336255075145,"female_gonad","extend"
"DLX6",1.80629371202665e-07,6.74321162991335,3.66095025554342,"female_gonad","extend"
"GCM1",0.00257608535482566,2.58903975136049,3.62545620814061,"female_gonad","extend"
"GREM1",4.70912294793782e-10,9.3270599706501,3.62015484970149,"female_gonad","extend"
"GAL3ST2",3.45622964372869e-05,4.46139740922243,3.61603017171669,"female_gonad","extend"
"LOC107055918",0.0325526196137382,1.48741405661919,3.39554709006015,"female_gonad","extend"
"LOC107056420",1.8182676342956e-07,6.7403421917724,3.32318974158757,"female_gonad","extend"
"CA4",5.52746279134325e-05,4.25747417223522,3.22903522008589,"female_gonad","extend"
"TMEM45B",8.66695790066282e-06,5.06213331299588,3.18207784694965,"female_gonad","extend"
"HEPACAM2",0.000516030395889757,3.2873247162441,3.16864748136623,"female_gonad","extend"
"SLC14A2",0.000462770496200295,3.33463433715731,3.14706544434218,"female_gonad","extend"
"HOXD11",0.0055050809094629,2.25923629371765,3.1084126184831,"female_gonad","extend"
"LOC107051435",0.000150000084209755,3.82390849713217,3.03310824771631,"female_gonad","extend"
"SLC9A4",0.0329960355359103,1.48153823734355,2.97806958218707,"female_gonad","extend"
"GAS2L2",0.000245283549388078,3.61033157796384,2.95396554494546,"female_gonad","extend"
"TSPAN8",6.69525347154363e-05,4.17423297664914,2.92987172805091,"female_gonad","extend"
"HKDC1",5.32086598593919e-06,5.27401767930118,2.85132676469864,"female_gonad","extend"
"RSPH14",0.00842978470870977,2.07418351683591,2.84810936694914,"female_gonad","extend"
"CAPN8",2.76532686152548e-05,4.55825352773467,2.84676115280455,"female_gonad","extend"
"CCDC67",0.000913774860959977,3.03916079407692,2.8334601966004,"female_gonad","extend"
