"gene","padj","logpadj","lfc","sextissue","direction"
"IQCG",1.20664495715765e-06,5.91842049778162,15.4697424554814,"female_gonad","m.inc.d17"
"LOC101749216",6.82628736589656e-06,5.16581543319828,5.89247778419591,"female_gonad","m.inc.d17"
"LOC107049904",0.000523884965067628,3.28076406515553,5.86118795497721,"female_gonad","m.inc.d17"
"WFDC2",9.49387134599245e-08,7.02255665781927,5.81407025441842,"female_gonad","m.inc.d17"
"COL10A1",6.311995155695e-07,6.19983334310911,5.61623379761384,"female_gonad","m.inc.d17"
"LOC101747844",4.30870387647188e-06,5.36565335256594,4.96396462498899,"female_gonad","m.inc.d17"
"MSX2",3.7834858556963e-10,9.42210788527366,4.85588142552575,"female_gonad","m.inc.d17"
"DLX5",3.46444909925185e-08,7.46036581507135,4.63827284826607,"female_gonad","m.inc.d17"
"LOC418356",0.0149313642110539,1.82590051094434,3.80823667134111,"female_gonad","m.inc.d17"
"LOC416696",1.44637200422024e-08,7.83971999293227,3.53551602440859,"female_gonad","m.inc.d17"
"SLC26A3",0.000177132466881062,3.75170182901327,3.51964579325256,"female_gonad","m.inc.d17"
"IL20RB",0.0030749281139512,2.51216503275986,3.39644240367543,"female_gonad","m.inc.d17"
"CCR6",0.00161003244743598,2.79316537142132,3.28300534787086,"female_gonad","m.inc.d17"
"RP11-166N6.1",0.00193695022449821,2.71288153958214,3.23917790344326,"female_gonad","m.inc.d17"
"ERMN",0.0296069561983788,1.52860623881794,3.22150220082541,"female_gonad","m.inc.d17"
"DLX6",5.12389493877898e-06,5.29039978368464,3.14440795903746,"female_gonad","m.inc.d17"
"SEMA3G",1.81667330756127e-11,10.7407231648658,3.09182838879918,"female_gonad","m.inc.d17"
"LOC107056149",0.00617888789149852,2.20908968446583,2.96986081304712,"female_gonad","m.inc.d17"
"LOC107051435",0.000154072386482678,3.81227519043667,2.93394092926157,"female_gonad","m.inc.d17"
"HMGCS2",0.014009698014882,1.85357122601928,2.89306840381251,"female_gonad","m.inc.d17"
"PANX3",6.92641507086316e-05,4.1594914865688,2.85655866716335,"female_gonad","m.inc.d17"
"SLC9A2",0.00439035153830009,2.35750070412428,2.82351300831208,"female_gonad","m.inc.d17"
"GCM1",0.0202204950266479,1.6942082164646,2.7678654620229,"female_gonad","m.inc.d17"
"OASL",3.22018927384814e-06,5.49211860092156,2.65903574956389,"female_gonad","m.inc.d17"
"OPRM1",0.000443745749001496,3.35286579437411,2.64428897837179,"female_gonad","m.inc.d17"
"PLIN1",0.0817926921507887,1.08728549706663,2.63419626201962,"female_gonad","m.inc.d17"
"LOC107055116",3.13118086466593e-06,5.50429184574694,2.62826672007437,"female_gonad","m.inc.d17"
"SPINK5",0.0182990636428105,1.73757113240971,2.56762583262575,"female_gonad","m.inc.d17"
"LOC107051429",0.000145311103381967,3.83770119951284,2.53133527024138,"female_gonad","m.inc.d17"
"CYP17A1",1.33818118325233e-06,5.87348508121726,2.51207456028645,"female_gonad","m.inc.d17"
"FGFBP3",0.000112497096962809,3.94885868456862,2.50175802277745,"female_gonad","m.inc.d17"
"LOC107050880",3.02554994687049e-05,4.51919567318232,2.47013164256433,"female_gonad","m.inc.d17"
"SYT2",8.23754177105375e-06,5.0842023701652,2.4655420350116,"female_gonad","m.inc.d17"
"PI15",0.00775899485547133,2.1101945360867,2.45930086651859,"female_gonad","m.inc.d17"
"MX1",2.05294297730332e-05,4.68762311345768,2.44883898145853,"female_gonad","m.inc.d17"
"ECM1",8.7437983918569e-10,9.05829986458917,2.41122104981126,"female_gonad","m.inc.d17"
"ADCY8",0.00121799949907731,2.91435289031399,2.36572484122766,"female_gonad","m.inc.d17"
"TUBB4B",0.00704764126292407,2.15195621037036,2.35423262468439,"female_gonad","m.inc.d17"
"COL1A1",2.89613868860124e-07,6.53818064473593,2.33830903814683,"female_gonad","m.inc.d17"
"OVCH2",0.00400936667977578,2.39692422319049,2.32875668042642,"female_gonad","m.inc.d17"
"LOC107050672",3.36676424310019e-15,14.4727872939194,2.27149543269904,"female_gonad","m.inc.d17"
"LOC101749727",5.72855880992638e-05,4.2419546240399,2.26408394025111,"female_gonad","m.inc.d17"
"PSD2",3.69135028366998e-07,6.43281474129936,2.2422998439315,"female_gonad","m.inc.d17"
"MIP",1.87644492718408e-05,4.72666417741186,2.22993842580238,"female_gonad","m.inc.d17"
"LOC428250",0.026910881202151,1.57007208094432,2.21952737450061,"female_gonad","m.inc.d17"
"LOC107050804",1.03171175677185e-15,14.9864416204692,2.20367538012023,"female_gonad","m.inc.d17"
"DCDC2",0.000365882111372608,3.43665882342424,2.16870925224168,"female_gonad","m.inc.d17"
"BAAT",0.00926350706539692,2.03322456290785,2.16860176071163,"female_gonad","m.inc.d17"
"ADO",2.5467449524857e-13,12.5940145459175,2.16796353400289,"female_gonad","m.inc.d17"
"SOX17",0.000719800077701898,3.14278811080133,2.16087132801733,"female_gonad","m.inc.d17"
"LOC107049099",0.00247630930634551,2.6061951101974,2.15475005068537,"female_gonad","m.inc.d17"
"LOC101750437",1.98759264122176e-05,4.7016726198369,2.14914320955364,"female_gonad","m.inc.d17"
"TUT1",1.36707586468065e-09,8.86420738397061,2.14305059942081,"female_gonad","m.inc.d17"
"REG4",0.0389946730456602,1.40899471668853,2.12944106433968,"female_gonad","m.inc.d17"
"XKR5",0.00128801821834161,2.89007799406528,2.10506210414961,"female_gonad","m.inc.d17"
"NFIX",1.58842864892817e-16,15.7990322885943,2.09916093232543,"female_gonad","m.inc.d17"
"LOC107057085",4.06640118724788e-07,6.39078977650643,2.0985094789741,"female_gonad","m.inc.d17"
"LOC100858014",7.71827478573607e-10,9.11247976375315,2.08263022945078,"female_gonad","m.inc.d17"
"C6ORF137",1.83279134069012e-07,6.73688697570614,2.06548594327172,"female_gonad","m.inc.d17"
