"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101749216",1.52235688163976e-07,6.81748352525382,7.05082589800975,"female_gonad","n5"
"WFDC2",3.90393286681645e-06,5.40849765919742,5.290191261815,"female_gonad","n5"
"DLX5",2.02098996142382e-08,7.69443584368859,4.89638268322156,"female_gonad","n5"
"MSX2",2.81353207203953e-09,8.5507481298683,4.80344123818414,"female_gonad","n5"
"LOC107053414",0.0426179620210505,1.37040732196517,4.70734897500049,"female_gonad","n5"
"TFF2",0.00766319095603852,2.11559035229526,4.59580672591821,"female_gonad","n5"
"ERMN",0.0021842824362925,2.66069120635524,4.56083741940646,"female_gonad","n5"
"LOC101747844",7.87574785092476e-05,4.10370819663562,4.49812944209504,"female_gonad","n5"
"IL20RB",0.00014622989934932,3.83496381893213,4.44550490233542,"female_gonad","n5"
"LOC416696",2.79781743736413e-09,8.5531806274182,3.84426416245352,"female_gonad","n5"
"LOC107049720",0.0016695013125939,2.77741323515884,3.75777186875016,"female_gonad","n5"
"DLX6",1.70537494846327e-06,5.76818012098452,3.42802347393634,"female_gonad","n5"
"ATP2B4",2.09492502202119e-08,7.67883151594597,3.36844160553589,"female_gonad","n5"
"LOC107050880",7.55630454558835e-08,7.1216905468059,3.23732756233547,"female_gonad","n5"
"CLDN34",0.0582969165723933,1.23435441524113,3.00418979452525,"female_gonad","n5"
"CA4",0.000232039755272925,3.63443760124475,3.00358499843411,"female_gonad","n5"
"HOXD11",0.00942196373975624,2.02585857146842,2.99636176196155,"female_gonad","n5"
"OVCH2",0.000321598028661068,3.49268662206365,2.9880931402815,"female_gonad","n5"
"SIX6",0.0927275840313365,1.03279105538502,2.97104272199266,"female_gonad","n5"
"PRSS56",0.000353132509696401,3.45206229905587,2.96216057755064,"female_gonad","n5"
"SEMA3G",9.69007019850577e-10,9.0136730767456,2.94086431108453,"female_gonad","n5"
"SLC26A3",0.00367356069590445,2.43491278018911,2.92145667074235,"female_gonad","n5"
"SPINK5",0.0113638705439028,1.94447372236101,2.88295430337574,"female_gonad","n5"
"LOC428250",0.00529993256524667,2.27572965619687,2.87824883725081,"female_gonad","n5"
"LOC107055658",4.25360605167841e-06,5.37124273481522,2.87790279756501,"female_gonad","n5"
"LOC107056149",0.0134724276869056,1.87055413879612,2.86056372594286,"female_gonad","n5"
"PANX3",0.000321566897609582,3.49272866429367,2.78128570154303,"female_gonad","n5"
"LGR6",7.61282692745823e-06,5.11845404348979,2.77082720438542,"female_gonad","n5"
