"gene","padj","logpadj","lfc","sextissue","direction"
"LOC107053414",0.0319364585879709,1.49571324414538,7.88456707584993,"female_gonad","m.inc.d3"
"PI15",0.0129123890646087,1.88899339665027,3.99364291774579,"female_gonad","m.inc.d3"
"LOC101747521",0.0359079981592092,1.4448088057523,3.03582939985969,"female_gonad","m.inc.d3"
"TBX19",0.0665481150262563,1.17686424139576,2.41119358315248,"female_gonad","m.inc.d3"
"ALB",0.000230213020379248,3.63787011720081,1.89751646670471,"female_gonad","m.inc.d3"
"RASGRF2",0.0694806731644767,1.15813598253638,1.76790927588182,"female_gonad","m.inc.d3"
"CHL1",0.0832688389600083,1.07951749078516,1.52428675527632,"female_gonad","m.inc.d3"
"MYO10L",0.0585234713722563,1.23266992121552,1.4592776395014,"female_gonad","m.inc.d3"
"KCNG1",0.0546354969156121,1.26252510261518,1.43748152387272,"female_gonad","m.inc.d3"
"RCAN2",0.0442316444393689,1.35426691417623,1.40124879219555,"female_gonad","m.inc.d3"
"MYO7A",0.099008774381718,1.00432631553677,1.39527513023257,"female_gonad","m.inc.d3"
"ZBTB7C",0.0319364585879709,1.49571324414538,1.31855285362773,"female_gonad","m.inc.d3"
"FAM161A",0.0560308313433045,1.25157293374997,1.25817540017711,"female_gonad","m.inc.d3"
"HS6ST3",0.0776334448854485,1.10995114214333,1.25228460024764,"female_gonad","m.inc.d3"
"LHX6",0.0319364585879709,1.49571324414538,1.22604259299474,"female_gonad","m.inc.d3"
"NRG2",0.0694806731644767,1.15813598253638,1.19931891450498,"female_gonad","m.inc.d3"
"VIPR1",0.0997343526782351,1.00115522675447,1.18911590855291,"female_gonad","m.inc.d3"
"IKZF4",0.0880194243922574,1.05542147585582,1.1510210128704,"female_gonad","m.inc.d3"
"FGFR3",0.0930092233195934,1.03147398221825,1.10317369117602,"female_gonad","m.inc.d3"
"C2CD4C",0.0982781931036756,1.00754283685126,1.09005048626246,"female_gonad","m.inc.d3"
"MAVS",0.0359079981592092,1.4448088057523,1.07198866470743,"female_gonad","m.inc.d3"
"PASD1",0.0645515750830406,1.19009315631735,1.03388909524208,"female_gonad","m.inc.d3"
"SLC7A1",0.0319364585879709,1.49571324414538,1.00614293434717,"female_gonad","m.inc.d3"
