"gene","padj","logpadj","lfc","sextissue","direction"
"LOC107053414",0.0343668051985065,1.46386083880106,7.12920022507268,"female_gonad","inc.d17"
"CLDN34",0.0348932007945436,1.45725919037852,4.73459870977746,"female_gonad","inc.d17"
"SFTPC",0.0343668051985065,1.46386083880106,4.60693010605345,"female_gonad","inc.d17"
"SULT1C3",0.0343668051985065,1.46386083880106,4.2717794566605,"female_gonad","inc.d17"
"LOC418356",0.0917199112146113,1.03753637434139,4.15674621072916,"female_gonad","inc.d17"
"LOC107057165",0.0737762282488204,1.13208355150276,3.56344297551317,"female_gonad","inc.d17"
"NR1H4",0.0875113535545897,1.0579355987921,3.30183859556456,"female_gonad","inc.d17"
"LOC107050953",0.0343668051985065,1.46386083880106,2.62956325580386,"female_gonad","inc.d17"
"CYP2W1",0.0370710112581508,1.4309655667127,2.52322992433045,"female_gonad","inc.d17"
"GAL3ST2",0.0730188467958547,1.13656503024895,2.38116166721781,"female_gonad","inc.d17"
"DRD5",0.0343668051985065,1.46386083880106,2.29411105795551,"female_gonad","inc.d17"
"ANXA13",0.0821514885836024,1.08538456274886,2.03429084778827,"female_gonad","inc.d17"
"LOC100857343",0.0626943951523454,1.20277128314394,1.83641911289072,"female_gonad","inc.d17"
"OTX2",0.0793727854424375,1.10032837865803,1.8339188586852,"female_gonad","inc.d17"
"POPDC3",0.0403706483227499,1.39393427608555,1.81762697825943,"female_gonad","inc.d17"
"FOXG1",0.0810714634005513,1.09113198757174,1.71455973272055,"female_gonad","inc.d17"
"MEP1A",0.0423612595598908,1.37303113516093,1.5290812672792,"female_gonad","inc.d17"
"LOC101751171",0.0361986409201899,1.4413077347691,1.50913485885752,"female_gonad","inc.d17"
"NTS",0.0343668051985065,1.46386083880106,1.491812133457,"female_gonad","inc.d17"
"DCT",0.0810714634005513,1.09113198757174,1.40649968196217,"female_gonad","inc.d17"
"APOLD1",0.0796019241038153,1.09907643455416,1.27301976165365,"female_gonad","inc.d17"
"PITX2",0.0403706483227499,1.39393427608555,1.25482097748151,"female_gonad","inc.d17"
"UNC45B",0.0730188467958547,1.13656503024895,1.24481988678748,"female_gonad","inc.d17"
"CACNA2D4",0.0875113535545897,1.0579355987921,1.14606340494715,"female_gonad","inc.d17"
"RASD2",0.0946953979022679,1.02367112674346,1.11925615344631,"female_gonad","inc.d17"
"LOC101751621",0.0730188467958547,1.13656503024895,1.10109191444283,"female_gonad","inc.d17"
"BRINP1",0.0928477827474226,1.0322284629749,1.02225638041056,"female_gonad","inc.d17"
"FAM19A5",0.0343668051985065,1.46386083880106,0.856647718083183,"female_gonad","inc.d17"
"SUSD3",0.0623666938749149,1.20504727775323,0.771572898679065,"female_gonad","inc.d17"
"SYTL2",0.0946953979022679,1.02367112674346,0.746488218094558,"female_gonad","inc.d17"
"LOC107057175",0.0730188467958547,1.13656503024895,0.687979639273631,"female_gonad","inc.d17"
"GNE",0.0631986203992987,1.19929240208963,0.681050165108463,"female_gonad","inc.d17"
"NSDHL",0.0940925604148741,1.02644471343242,0.61264691601722,"female_gonad","inc.d17"
