"gene","padj","logpadj","lfc","sextissue","direction"
"CRISP2",0.00166413358777111,2.77881181380061,6.77299910305928,"female_gonad","extend"
"LOC107049904",0.0043178753672763,2.36472989745462,5.87362621005415,"female_gonad","extend"
"CLDN34",0.00233133382780449,2.63239553463345,5.20924731729609,"female_gonad","extend"
"KRT20",0.000492688442124194,3.30742762562962,5.00864501749794,"female_gonad","extend"
"MUC13",4.22415540593268e-07,6.37426011256291,4.27817690703816,"female_gonad","extend"
"SPINK7",0.06110399712185,1.21393037942711,4.02804071411244,"female_gonad","extend"
"LOC418356",0.06110399712185,1.21393037942711,3.96235425606436,"female_gonad","extend"
"SPTSSB",7.64029010354279e-05,4.11689015085156,3.78263642853216,"female_gonad","extend"
"GSTA3",0.00528375359285024,2.27705744385098,3.62736945658731,"female_gonad","extend"
"COL10A1",0.0356847136357358,1.44751778403859,3.40518843122315,"female_gonad","extend"
"C11ORF34",0.000104272282015112,3.98183112175279,3.39340791795248,"female_gonad","extend"
"LOC101749151",1.18103480029114e-05,4.92773730530626,3.3041749691177,"female_gonad","extend"
"LOC107056420",1.19588330951495e-05,4.92231119535276,3.26386121643199,"female_gonad","extend"
"NOXO1",0.00193281609305413,2.71380946701203,3.05890019624894,"female_gonad","extend"
"GAL3ST2",0.00551937511380022,2.25811008893574,3.00951938748597,"female_gonad","extend"
"VIL1",0.00330155351890052,2.48128165832591,2.92422572341063,"female_gonad","extend"
"OLFM4",0.0137572803019873,1.86146741396267,2.79591788716275,"female_gonad","extend"
"GSTT1L",0.000577602920664249,3.23837061941148,2.60709974039057,"female_gonad","extend"
"IAPP",0.0534489474332634,1.27206084290472,2.41531401081977,"female_gonad","extend"
"PLLP",0.00244322190830088,2.61203708596401,2.40821327122136,"female_gonad","extend"
"CA4",0.0419322012618113,1.37745233838907,2.27332367561933,"female_gonad","extend"
"CAPN8",0.0101985290658627,1.99146246202684,2.23700589508113,"female_gonad","extend"
"CYP2W1",0.0517831657328374,1.28581140275638,2.20154492980251,"female_gonad","extend"
"CALML4",0.022496002998754,1.6478946387681,2.18610770132312,"female_gonad","extend"
"FER1L6",0.00782863767650363,2.10631380640347,2.09320639406227,"female_gonad","extend"
"HES6",0.0547366792134094,1.26172155407677,2.07957431224699,"female_gonad","extend"
"LOC101751171",0.000162250028275711,3.78981521884202,2.0753524838815,"female_gonad","extend"
"CYP3A7",0.00321064290046664,2.49340799557991,2.05994794584114,"female_gonad","extend"
"ANXA13",0.0193222296522952,1.71394276043516,2.02012448829209,"female_gonad","extend"
"ATP12A",0.0330980031111863,1.48019820755218,1.97401071230174,"female_gonad","extend"
"SLC13A2",0.0428043013155249,1.36851258744158,1.78573763584235,"female_gonad","extend"
"NOX1",0.0294938790328477,1.53026810531277,1.7365527256298,"female_gonad","extend"
"LOC428867",0.0169780315732621,1.77011266311594,1.55760461281214,"female_gonad","extend"
"TMPRSS2",0.00411379795992121,2.38575704152948,1.55464938469132,"female_gonad","extend"
"LOC107053447",0.00217540478665468,2.66245992020182,1.5441167482289,"female_gonad","extend"
