"gene","padj","logpadj","lfc","sextissue","direction"
"CDK3",1.09829552081714e-10,9.95928078758006,14.9183881883764,"female_gonads","lay"
"LOC107053414",0.00119223297832212,2.92363886933322,9.72185584480848,"female_gonads","lay"
"MUC",0.00540826321744068,2.26694217965884,5.82675415679975,"female_gonads","lay"
"OVSTL",8.77547101148521e-11,10.0567295640702,5.44960378226787,"female_gonads","lay"
"COL10A1",0.00235362266299503,2.62826316278178,5.03514736591847,"female_gonads","lay"
"AOC1",0.0038779798997622,2.41139444627459,4.41211358869973,"female_gonads","lay"
"ETNPPL",3.79760803717025e-06,5.42048986215788,4.24098612343672,"female_gonads","lay"
"GKN2",0.0183271465238711,1.73690514798953,3.99640296962595,"female_gonads","lay"
"CA4",0.00270215896714606,2.56828910515724,3.47438147394405,"female_gonads","lay"
"GAL3ST2",0.00989284922078521,2.00467861005531,3.38382121464105,"female_gonads","lay"
"NEU4",0.0271652632921263,1.56598608132551,3.12413848626349,"female_gonads","lay"
"SLC5A8",0.0021075646525943,2.67621909388743,2.92538890458612,"female_gonads","lay"
"SERPINB2",0.00365421240970394,2.43720621186,2.58107638257181,"female_gonads","lay"
"NTNG2",1.27281202568039e-05,4.89523573007583,2.43310451057745,"female_gonads","lay"
"VNN1",0.00201347627567273,2.69605348321827,2.16709845873017,"female_gonads","lay"
"CALB1",0.07884769676027,1.10321098843419,2.1353758096536,"female_gonads","lay"
"LOC107052588",0.0484046694343849,1.31511274141817,2.12453017105218,"female_gonads","lay"
"LOC423629",0.0883610966429243,1.05373890277101,2.01451904269738,"female_gonads","lay"
"PTPRQ",0.0184726733200626,1.73347024997728,1.93847354700092,"female_gonads","lay"
"SOX2",0.07884769676027,1.10321098843419,1.92712070089594,"female_gonads","lay"
"LOXL2",0.000524804127410193,3.28000275803708,1.71717668797996,"female_gonads","lay"
"FAM83C",0.00814058848226523,2.08934419887462,1.69615286653744,"female_gonads","lay"
"ATF3",0.000503259675651917,3.29820786662939,1.6688358087534,"female_gonads","lay"
"IL1RL1",0.0339855909255751,1.46870517436654,1.63423438085227,"female_gonads","lay"
"LOC427656",0.0883610966429243,1.05373890277101,1.60398273205626,"female_gonads","lay"
