"gene","padj","logpadj","lfc","sextissue","direction"
"CDK3",2.1497010470166e-11,10.6676219320185,16.2822170123234,"female_gonads","m.inc.d9"
"ITGBL1",0.063730364307638,1.19565359891626,2.3455038240059,"female_gonads","m.inc.d9"
"NMUR2",0.0759214892085397,1.11963528176216,1.95909812848166,"female_gonads","m.inc.d9"
"HSP25",0.0428290168387132,1.36826189493386,1.81385799140984,"female_gonads","m.inc.d9"
"SPON2",0.0545367897010679,1.26331043031345,1.03031228288003,"female_gonads","m.inc.d9"
"PLK2",0.0857131686348872,1.06695244965071,0.806173095875318,"female_gonads","m.inc.d9"
"SLC31A1",0.0545367897010679,1.26331043031345,-0.647295017710717,"female_gonads","bldg"
"SLC6A8",0.063730364307638,1.19565359891626,-0.782548878962114,"female_gonads","bldg"
"ZNF341",0.0725538552769198,1.1393395056107,-0.848400798922254,"female_gonads","bldg"
"SLC44A5",0.0935734199457777,1.02884749752504,-0.864121749148442,"female_gonads","bldg"
"TP53INP1",0.0759214892085397,1.11963528176216,-0.895226535239319,"female_gonads","bldg"
"COX3",0.0477981766053846,1.32058867044487,-0.999809403724888,"female_gonads","bldg"
"PLK1S1",0.0649553689674846,1.18738494595225,-1.07662816326726,"female_gonads","bldg"
"TCP11L2",0.0280362097811788,1.55228069906417,-1.09570478043342,"female_gonads","bldg"
"SCG3",0.0359223964532287,1.44463469840516,-1.12590196838202,"female_gonads","bldg"
"SLC25A29",0.0509050723774138,1.2932389407327,-1.12933717743838,"female_gonads","bldg"
"EPHX2",0.0654828805252986,1.18387222466745,-1.13372508549459,"female_gonads","bldg"
"PLA2R1",0.063730364307638,1.19565359891626,-1.13630613856297,"female_gonads","bldg"
"ESR1",0.0649553689674846,1.18738494595225,-1.18517482519074,"female_gonads","bldg"
"XDH",0.0759214892085397,1.11963528176216,-1.2139573180841,"female_gonads","bldg"
"UNC79",0.0419379889924766,1.37739239863009,-1.24262216294681,"female_gonads","bldg"
"SOUL",0.0545367897010679,1.26331043031345,-1.29719719572823,"female_gonads","bldg"
"SMIM14",0.0403242030726377,1.39443420681751,-1.35279236359694,"female_gonads","bldg"
"KLHDC8A",0.0509050723774138,1.2932389407327,-1.36401450860063,"female_gonads","bldg"
"PLCXD1",0.0592455093200143,1.2273445626419,-1.51209919874888,"female_gonads","bldg"
"SNTB1",0.0123299842211361,1.90903747917701,-1.51720767491189,"female_gonads","bldg"
"SEZ6L",0.0892777686699214,1.04925667264541,-1.60330926362935,"female_gonads","bldg"
"SLC2A12",0.0797840270952603,1.09808404647805,-1.61019557130892,"female_gonads","bldg"
"NDRG4",0.0216318909233373,1.66490551561975,-1.61256220051837,"female_gonads","bldg"
"SLCO2B1",0.0180069454005036,1.74455995226751,-1.6451538916449,"female_gonads","bldg"
"FZD9",0.0701468658862219,1.15399172818125,-1.65291935294299,"female_gonads","bldg"
"TMEM56",0.0545367897010679,1.26331043031345,-1.66004390367822,"female_gonads","bldg"
"SERPINB6",0.0436026141988108,1.36048747178456,-1.66118571845772,"female_gonads","bldg"
"HCK",0.0886120464293692,1.05250723361891,-1.69357454688369,"female_gonads","bldg"
"KIAA1324L",0.0794228119220666,1.10005474103669,-1.70221385879806,"female_gonads","bldg"
"GPR146",0.0403242030726377,1.39443420681751,-1.71695543446748,"female_gonads","bldg"
"ESM1",0.0962488597056818,1.01660440702947,-1.78957294331024,"female_gonads","bldg"
