"gene","padj","logpadj","lfc","sextissue","direction"
"CDK3",1.12269569437463e-10,9.94973794290415,15.0819163569864,"female_gonads","m.n2"
"MMP13",0.0316696254493889,1.4993570729156,3.0069166625814,"female_gonads","m.n2"
"OCSTAMP",0.0996858646581954,1.00136641978433,2.71940881268949,"female_gonads","m.n2"
"TMEM196",0.0567774762417996,1.24582391576612,2.6091982934156,"female_gonads","m.n2"
"NMUR2",0.0033091023705563,2.48028979727653,2.20660912940776,"female_gonads","m.n2"
"ITGBL1",0.0256969652512838,1.59011816275599,2.13257181131544,"female_gonads","m.n2"
"GPNMB",0.0065848554739507,2.18145375260114,2.12577813415527,"female_gonads","m.n2"
"HSD17B1",0.0751729954678559,1.12393814379087,1.99898369139506,"female_gonads","m.n2"
"MMP10",0.0296163599539616,1.52846832019202,1.98083782298038,"female_gonads","m.n2"
"IL12RB2",0.0754469873398113,1.12235809727763,1.90063059155959,"female_gonads","m.n2"
"GREM1",0.0589423476573088,1.22957257031321,1.86742277847481,"female_gonads","m.n2"
"SH3GL2",0.0148878940078471,1.82716673176142,1.79079500453076,"female_gonads","m.n2"
"DNMT3B",0.00222594714431537,2.6524851523125,1.76722904824003,"female_gonads","m.n2"
"SNX22",0.0336440637679807,1.47309155254658,1.71300752145938,"female_gonads","m.n2"
"CYP19A1",0.0408531621156964,1.38877432257712,1.69366121826716,"female_gonads","m.n2"
"IL1RL1",0.0104771845767719,1.97975540504716,1.69199279227383,"female_gonads","m.n2"
"SNTG1",0.0320455480504101,1.49423229661124,1.60992791635543,"female_gonads","m.n2"
"MMP9",0.0987649845845477,1.00539699971484,1.47535824948687,"female_gonads","m.n2"
"CD38",0.078048569049894,1.10763505492612,1.45267237295942,"female_gonads","m.n2"
"CEMIP",0.0994464967580546,1.00241051133737,1.42587280172291,"female_gonads","m.n2"
"COL9A1",0.0531073846691924,1.27484508535746,1.36421632141037,"female_gonads","m.n2"
"C7",0.0459194399638804,1.33800341725816,1.35587642850503,"female_gonads","m.n2"
"MCM6",1.65877596154368e-06,5.78021226692062,1.35076954895056,"female_gonads","m.n2"
"MCM10",0.00314988061886011,2.50170590575097,1.32609171343482,"female_gonads","m.n2"
"RRM2",0.000250684533850538,3.60087245930291,1.29606345092661,"female_gonads","m.n2"
"PPARG",0.0602470271914074,1.22006437790198,1.26401247337719,"female_gonads","m.n2"
"PPAT",0.00609773255306508,2.21483162773633,1.25654025772905,"female_gonads","m.n2"
"KNTC1",0.00179907530723265,2.74495065720416,1.24414084893685,"female_gonads","m.n2"
"NPM3",0.031090098113231,1.5073779074207,1.24006824321649,"female_gonads","m.n2"
"AK4",0.0224174244367326,1.64941428545952,1.22496274506618,"female_gonads","m.n2"
"TYMS",0.0118250824566028,1.92719582223305,1.2201973154478,"female_gonads","m.n2"
"CDH12",0.040768381809652,1.38967652634735,1.21542499269047,"female_gonads","m.n2"
