"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"female_gonads","A2ML1",1.37530854597649e-14,"control",4.98264091723965e-18,"control",-5.59847676192568,13.8615998583554
"female_gonads","A2ML3",0.137110931383988,"NS",0.0323738038795525,"control",-0.794605960846213,0.862927919021634
"female_gonads","A4GNT",0.0269075590593132,"control",0.0035844030872652,"control",-1.33205540408915,1.57012569781978
"female_gonads","AACS",0.0958156312164939,"control",0.0197379783746462,"control",-0.63207858611635,1.01856363499973
"female_gonads","AASDHPPT",0.0453043891297953,"control",0.00713318659319602,"control",-0.567988962877993,1.34385972111053
"female_gonads","AATK",7.91232346364702e-05,"inc.d9",1.66834731390572e-06,"inc.d9",1.44525169455846,4.10169596665791
"female_gonads","ABCA13",0.0489572054399917,"control",0.00795319575367447,"control",-1.33913058328475,1.31018338041783
"female_gonads","ABCB1LA",0.074314972250706,"control",0.0138179148269457,"control",-1.84654126495525,1.1289236800375
"female_gonads","ABCB8",0.00715490533298981,"inc.d9",0.000604128041004559,"inc.d9",0.90992094231357,2.14539610804426
"female_gonads","ABCC2",0.148059439422514,"NS",0.0361110117452491,"control",-2.78190252045798,0.829563899261324
"female_gonads","ABCC3",0.0907992333696046,"control",0.0182835352173126,"control",-0.600851783380705,1.04191781827138
"female_gonads","ABCC5",0.0415243474592491,"control",0.00634253492095479,"control",-0.601580349305084,1.38169718361044
"female_gonads","ABCF2",0.03470767561095,"control",0.00498446584022194,"control",-0.553886598965155,1.45957447025656
"female_gonads","ABCG1",0.00642029437012397,"inc.d9",0.00052056440838843,"inc.d9",0.745680459848575,2.19244505909787
"female_gonads","ABHD10",0.0910641760144115,"control",0.018396270033199,"control",-0.38309156036633,1.04065243772616
"female_gonads","ABHD12",0.000962986270164997,"control",4.38196781148916e-05,"control",-0.672271661347912,3.01637990481117
"female_gonads","ABHD16A",0.00193383148298951,"inc.d9",0.000111537559630436,"inc.d9",0.824223613731568,2.71358137368448
"female_gonads","ABHD6",0.000261643375621402,"control",7.86178054137577e-06,"control",-0.934931799425983,3.58229025640488
"female_gonads","ABI1",7.42804000815284e-07,"control",5.11313528566423e-09,"control",-0.734522300943267,6.12912576577323
"female_gonads","ABL2",0.105953798194411,"NS",0.0226402254094136,"inc.d9",0.35681328161458,0.974883470238628
"female_gonads","ABLIM1",0.0350166357506421,"control",0.00504370958933869,"control",-0.657699091179166,1.4557255814141
"female_gonads","ABLIM3",0.0118092476441274,"control",0.00116651254721046,"control",-0.921608500309375,1.92777776999122
"female_gonads","ABTB2",0.0670614769650583,"control",0.011977866873333,"control",-0.845413046394955,1.17352688588019
"female_gonads","AC005943.2",0.165251623051568,"NS",0.042040319435842,"control",-0.548000524607238,0.781854266312045
"female_gonads","AC025048.1",0.149151237706973,"NS",0.0364745617898004,"control",-0.327552759944118,0.826373138365758
"female_gonads","AC025263.3",5.22627333862941e-11,"control",5.68032027240353e-14,"control",-1.55963983473797,10.2818078800365
"female_gonads","AC104534.3",0.0307152253519593,"inc.d9",0.00426934286419952,"inc.d9",0.876578817126918,1.51264629399399
"female_gonads","ACBD6",1.78510296788025e-06,"control",1.44867424391412e-08,"control",-0.967087354178989,5.74833672795937
"female_gonads","ACCN2",0.00031242008096883,"control",1.00602350218929e-05,"control",-1.24716618352999,3.50526105938605
"female_gonads","ACE",0.134960730654835,"NS",0.0316398075112067,"control",-0.8104447368563,0.86979257921484
"female_gonads","ACKR4",0.151545718971004,"NS",0.037268760972943,"control",-0.667121304434603,0.819456327547962
"female_gonads","ACMSD",2.99745637752326e-05,"control",4.77820739841401e-07,"control",-2.01684354633964,4.5232471285423
"female_gonads","ACO2",0.160305068926583,"NS",0.0403998600066664,"control",-0.337321325614458,0.795052744819661
"female_gonads","ACOT13",0.000177970418216386,"control",4.74553393983263e-06,"control",-0.658286064373989,3.74965217900034
"female_gonads","ACOT9",0.00247775536715345,"control",0.000154040584379223,"control",-0.533789311210902,2.60594157444903
"female_gonads","ACP2",0.0793749235896707,"inc.d9",0.0151319052216813,"inc.d9",0.57025654590139,1.10031667977367
"female_gonads","ACP5",0.000177970418216386,"inc.d9",4.73680696882281e-06,"inc.d9",2.05480936087987,3.74965217900034
"female_gonads","ACSBG1",0.0110644970580174,"inc.d9",0.00107866543450373,"inc.d9",0.992655949925679,1.95606832235055
"female_gonads","ACSBG2",0.01081210300655,"control",0.00104744451269889,"control",-0.813675308246784,1.96608982544435
"female_gonads","ACSF3",0.134458401761855,"NS",0.0314785230122855,"control",-0.565493801210849,0.871412055286654
"female_gonads","ACSL3",0.0287954149981028,"control",0.00392882881250834,"control",-1.41216401586626,1.54067665805829
"female_gonads","ACSM4",6.18605290247289e-09,"control",1.61363600093489e-11,"control",-2.72576768784193,8.20858637027629
"female_gonads","ACSM5",0.00234327057587704,"control",0.00014398184539843,"control",-1.21852463897465,2.63017756081589
"female_gonads","ACSS1",0.0845042590599824,"control",0.0165383670546346,"control",-0.464227536290366,1.07312140182386
"female_gonads","ACTN1",0.0306041417101443,"control",0.00424878889331473,"control",-0.835346308594411,1.51421979573594
"female_gonads","ACVR1",0.00371560101566043,"inc.d9",0.000255765594150961,"inc.d9",0.544974805709366,2.42997092707883
"female_gonads","ACYP2",0.00256645629039296,"control",0.000161414684447583,"control",-1.04787988454858,2.59066612785862
"female_gonads","ADA",0.00612162691228081,"control",0.000489251103850861,"control",-0.708385803479991,2.21313314237592
"female_gonads","ADAM5",0.00919615664014738,"inc.d9",0.000844252623945129,"inc.d9",1.70578053278187,2.03639363990686
"female_gonads","ADAM9",0.0481157359743777,"inc.d9",0.00776768783065818,"inc.d9",0.509585216378216,1.31771286688604
"female_gonads","ADAP2",0.0118092476441274,"control",0.00116714830712193,"control",-1.02227620170739,1.92777776999122
"female_gonads","ADAR",0.00516831481923918,"inc.d9",0.000393241434203791,"inc.d9",0.58379823991064,2.2866510398864
"female_gonads","ADCY7",0.0347795445418944,"control",0.00499982728578498,"control",-0.764400042516174,1.45867610963167
