"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"female_gonads","A2ML1",2.68203456029753e-08,"control",6.41309618794425e-11,"control",-4.55257198639436,7.57153563019441
"female_gonads","AAR2",0.17874525922742,"NS",0.0408753016536294,"n5",0.400193466461513,0.747765467953033
"female_gonads","AASDHPPT",0.0978810318154158,"control",0.0168797084066872,"control",-0.546709798302166,1.00930146116966
"female_gonads","AATK",0.00501108273306805,"n5",0.000287208640088169,"n5",1.19038009872737,2.30006842698845
"female_gonads","ABCA13",0.0301886004224435,"control",0.00334675448491693,"control",-1.56469444372285,1.52015702089209
"female_gonads","ABCA4",0.141003140213015,"NS",0.0286889948350225,"control",-1.15863697895522,0.850771215273711
"female_gonads","ABCB1LA",0.13715107482973,"NS",0.0276269826843454,"control",-1.65822709507737,0.862800784553861
"female_gonads","ABCB8",0.048107367234547,"n5",0.00630927720415405,"n5",0.795049963898784,1.31778841002313
"female_gonads","ABCC3",0.00158797039441257,"control",6.29640101362341e-05,"control",-0.983374296954695,2.7991575986741
"female_gonads","ABCC5",0.0795448237556402,"control",0.0122961388336292,"control",-0.593720514822427,1.09938807607401
"female_gonads","ABHD12",0.0141477767757381,"control",0.00119017236697572,"control",-0.591980442318614,1.84931180112121
"female_gonads","ABHD16A",0.100991542619737,"NS",0.0177380986385221,"n5",0.589020214151561,0.995714994013097
"female_gonads","ABHD3",0.120949648413758,"NS",0.0231014617215176,"control",-0.50390800271832,0.917395389742671
"female_gonads","ABHD6",0.00026921292568628,"control",6.21349189324919e-06,"control",-1.00109633645726,3.56990409222123
"female_gonads","ABI1",0.000227432476057892,"control",5.07566137423598e-06,"control",-0.636448243450788,3.64314752045
"female_gonads","ABI2",0.0198646099105735,"n5",0.00191290968561352,"n5",0.374953724618364,1.70191995894231
"female_gonads","ABL2",0.00051865005791031,"n5",1.43557946613824e-05,"n5",0.58329833939255,3.28512556927691
"female_gonads","ABLIM1",0.149110064684594,"NS",0.0313432575646698,"control",-0.564957213335211,0.826493041393021
"female_gonads","ABRACL",0.00359927456320195,"control",0.000184645054035721,"control",-0.752461055525249,2.44378502282878
"female_gonads","ABTB2",0.0231959382181009,"control",0.00235459919961718,"control",-1.05696316611832,1.6345880566566
"female_gonads","AC005943.2",0.0187199580754394,"control",0.00174962376273765,"control",-0.815410584471315,1.72769512822749
"female_gonads","AC025048.1",0.000722352847760855,"control",2.18783776801708e-05,"control",-0.551176561638592,3.14125061073665
"female_gonads","AC025263.3",4.83403125654594e-08,"control",1.33101360588904e-10,"control",-1.4403760697959,7.31569054579814
"female_gonads","ACBD6",0.00192444188228166,"control",8.2270901423533e-05,"control",-0.747880861301143,2.71569519996845
