"gene","padj","logpadj","lfc","sextissue","direction"
"IQCG",7.54658396364002e-13,12.1222495916113,22.3378731114578,"female_gonads","n9"
"LOC107049904",2.32644801499367e-10,9.63330664743058,10.4682418686517,"female_gonads","n9"
"LOC101749216",2.96217652206195e-13,12.5283890645612,9.40988117153218,"female_gonads","n9"
"COL10A1",8.79073400798745e-17,16.0559748607272,9.32018226210913,"female_gonads","n9"
"WFDC2",1.16593684002847e-13,12.9333249751088,8.08102309224253,"female_gonads","n9"
"LOC418356",1.02054131965348e-06,5.99116940688694,7.41652214388931,"female_gonads","n9"
"OCX36",4.47380872787123e-06,5.34932258756299,6.25723166715578,"female_gonads","n9"
"DLX5",3.73497288933956e-13,12.4277125462055,6.14561444483899,"female_gonads","n9"
"MSX2",7.21984347760679e-15,14.1414722176033,6.11827025921521,"female_gonads","n9"
"IL20RB",2.22159118413453e-07,6.65333585665054,5.88035341328531,"female_gonads","n9"
"SPINK5",5.75145173062626e-08,7.24022252069757,5.72158385615576,"female_gonads","n9"
"SLC9A2",1.80359411714517e-08,7.74386118991878,5.48983346508245,"female_gonads","n9"
"LOC101747844",6.45773679113307e-06,5.1899196602306,5.06921509872083,"female_gonads","n9"
"GCM1",1.86715274339194e-05,4.72882015291386,5.02432487096381,"female_gonads","n9"
"DLX6",1.1111183971008e-11,10.9542396616101,4.72110412011915,"female_gonads","n9"
"LOC107053409",0.00440669925988187,2.35588658739126,4.56884780017155,"female_gonads","n9"
"SLC14A2",3.81633508977018e-07,6.41835349946873,4.47308689148541,"female_gonads","n9"
"MUC6",0.00340143074964835,2.46833836649431,4.45758585184605,"female_gonads","n9"
"TMEM45B",7.10418929213941e-10,9.14848547523672,4.34249898334076,"female_gonads","n9"
"ERMN",0.00423168245157551,2.37348692951322,4.29947957364216,"female_gonads","n9"
"CA8",5.29194610472929e-10,9.27638458748867,4.15268465697759,"female_gonads","n9"
"TFF2",0.0179294693286155,1.74643256437338,4.13901405989243,"female_gonads","n9"
"ATP2B4",7.72832724226858e-12,11.111914496776,4.06065155632441,"female_gonads","n9"
"PNOC",0.00011392283199674,3.94338922748821,3.98818903531179,"female_gonads","n9"
"TUSC5",0.00893175052390176,2.04906341587444,3.89410025869631,"female_gonads","n9"
"SIX6",0.0231491095568908,1.63546570969857,3.88981436965832,"female_gonads","n9"
"CDC20B",6.39732447298462e-07,6.19400162126102,3.88822140743553,"female_gonads","n9"
"LOC107051435",1.32322017206379e-06,5.87836788706207,3.85641011344584,"female_gonads","n9"
"SEMA3G",4.38591162662444e-16,15.3579401233325,3.85559051517109,"female_gonads","n9"
"LOC428250",9.97078965968404e-05,4.00127044537311,3.85452904991027,"female_gonads","n9"
"TEKT5",5.00870256416417e-07,6.30027475760527,3.84812165406332,"female_gonads","n9"
"LOC107053416",3.14792379486674e-05,4.50197578961331,3.78528389355296,"female_gonads","n9"
"ADCY8",5.46634218374178e-07,6.26230318569505,3.71193831738756,"female_gonads","n9"
"LOC416696",1.41727055210491e-08,7.84854723650596,3.70598183132991,"female_gonads","n9"
"SLC26A3",0.000186973599930089,3.72821971011636,3.68384353951404,"female_gonads","n9"
"RSPH14",0.000674759084183276,3.17085125988873,3.66146209141266,"female_gonads","n9"
"PPIL6",1.30380995205093e-05,4.88478570829023,3.64381340494185,"female_gonads","n9"
"C19ORF71",0.00376190576261694,2.42459208791591,3.61735343041152,"female_gonads","n9"
"OPRM1",3.56008888677599e-06,5.44853915861296,3.58742061860744,"female_gonads","n9"
"LOC107055658",1.75101281332401e-08,7.75671067588369,3.50546273995214,"female_gonads","n9"
"LOC100859272",4.52575810023339e-08,7.34430866260872,3.42843040482384,"female_gonads","n9"
"GAS2L2",3.7686569059057e-05,4.42381339840985,3.36135982066894,"female_gonads","n9"
"SOX17",2.9395424355756e-07,6.53172026590412,3.34657486241563,"female_gonads","n9"
"VMO1",0.000345104369037115,3.46204954248568,3.34175459395964,"female_gonads","n9"
"C20ORF27",2.86032394199064e-05,4.54358477867093,3.3262617259595,"female_gonads","n9"
"REG4",0.00157810776485787,2.80186334327799,3.31325866216409,"female_gonads","n9"
"OVCH2",7.59527207745607e-05,4.11945666424736,3.2886723042225,"female_gonads","n9"
"TSPAN8",1.16965200680542e-05,4.93194332971036,3.26706520768442,"female_gonads","n9"
"LOC100859524",6.28790858417905e-05,4.20149378084829,3.26193922513086,"female_gonads","n9"
"SPTSSB",0.000149554631283404,3.8252001335542,3.24905912522857,"female_gonads","n9"
"RP11-514P8.6",0.00021617262719593,3.66519929932988,3.21825548526945,"female_gonads","n9"
"LOC107049720",0.00973002346273032,2.01188611248375,3.19853646270844,"female_gonads","n9"
"CCDC67",0.000234467138244334,3.62991801725265,3.18259794693534,"female_gonads","n9"
"CKMT1A",3.29621454599734e-06,5.48198452843416,3.13878427836531,"female_gonads","n9"
"RP11-166N6.1",0.00537464760568632,2.26965000544454,3.13239909833096,"female_gonads","n9"
"LOC107055647",5.75145173062626e-08,7.24022252069757,3.11964878034623,"female_gonads","n9"
"CALML4",2.91230320401788e-05,4.53576341199055,3.08548956910364,"female_gonads","n9"
"CDHR3",0.00013142161508719,3.88133319991263,3.08114996713737,"female_gonads","n9"
"TMPRSS4",1.02357140542781e-05,4.98988185510057,3.06820864422627,"female_gonads","n9"
"DNAI2",0.000187765051304239,3.72638523974921,3.0657507947016,"female_gonads","n9"
"CDHR4",0.000799709141522792,3.09706793950829,3.05412297277611,"female_gonads","n9"
"LOC107055116",3.37950714676469e-07,6.47114663080144,3.04895673278816,"female_gonads","n9"
"AGBL2",5.38475393013329e-05,4.26883413809061,3.04480550557365,"female_gonads","n9"
"DCDC2",1.51834679758236e-06,5.81862902219892,3.02552261233367,"female_gonads","n9"
"LOC101749727",2.65986186115423e-07,6.57514091769084,3.01337498895055,"female_gonads","n9"
"LRRC71",0.00584736500681534,2.23303979559353,3.00935393824476,"female_gonads","n9"
"ECM1",2.70638635010238e-13,12.567610205617,2.99041609235066,"female_gonads","n9"
"GHRH-LR",5.770376476534e-06,5.23879585125545,2.97964997025279,"female_gonads","n9"
"ANKEF1",3.46941084922999e-05,4.45974426776007,2.97646025077538,"female_gonads","n9"
"LOC107050309",0.0011514544465608,2.93875323876671,2.9329660848287,"female_gonads","n9"
"LOC107050880",3.16303892615111e-06,5.49989546337716,2.91869171461911,"female_gonads","n9"
"DSG4",0.000933261966440422,3.02999643276975,2.9128952606761,"female_gonads","n9"
"IQCA1",1.29885959384191e-05,4.88643779343459,2.90773888961107,"female_gonads","n9"
"LOC107056149",0.0134441481901248,1.8714667091006,2.90187401379549,"female_gonads","n9"
"CCDC17",0.000490682829769819,3.30919913881282,2.89963081423198,"female_gonads","n9"
"CCDC37",0.00104448230158553,2.98109891460073,2.88246777878907,"female_gonads","n9"
"PACRG",9.0430493628689e-05,4.04368509848944,2.87800999046899,"female_gonads","n9"
"C7H21ORF58",0.000937696620526224,3.02793764919349,2.87103623985213,"female_gonads","n9"
"PI15",0.00365191438949184,2.43747941202686,2.83349937802234,"female_gonads","n9"
"LOC101750367",0.000580603690730591,3.23612020781052,2.82128603109033,"female_gonads","n9"
"C17H9ORF9",6.71591852917903e-05,4.17289458092925,2.81021935726652,"female_gonads","n9"
"LOC101750448",0.00124867882571268,2.90354925270483,2.80927765586485,"female_gonads","n9"
