"gene","padj","logpadj","lfc","sextissue","direction"
"IQCG",5.81411787481046e-15,14.235516167636,25.0330176971246,"female_gonads","prolong"
"NKX1-2",6.69641857877544e-07,6.17415740734891,6.53892719975599,"female_gonads","prolong"
"WFDC2",1.79100182918545e-07,6.74690397059723,6.10845947638655,"female_gonads","prolong"
"CCDC122",2.06135436900172e-07,6.68584734190702,6.10238752729954,"female_gonads","prolong"
"CDK3",0.00681359876664894,2.16662344437555,5.82672113447867,"female_gonads","prolong"
"LOC101749216",4.70189623460888e-05,4.32772695948033,5.76283317971951,"female_gonads","prolong"
"SPAG8",6.7357651807092e-08,7.17161306142821,5.42232643495907,"female_gonads","prolong"
"LOC101747844",5.58522946786848e-06,5.2529589792929,5.29303742836029,"female_gonads","prolong"
"TEKT5",8.45115890312463e-11,10.073083732385,4.99067477293976,"female_gonads","prolong"
"LOC428593",0.000456134480887047,3.34090709659713,4.98436634662907,"female_gonads","prolong"
"LOC107053414",0.0442252225375108,1.35432997308031,4.98135354951831,"female_gonads","prolong"
"LOC107054772",0.0151798485326903,1.81873256188882,4.92342529297722,"female_gonads","prolong"
"DDX25",9.95915348420958e-05,4.00177757450407,4.91035371930968,"female_gonads","prolong"
"CCDC178",6.92545654822669e-05,4.1595515912397,4.86551442770715,"female_gonads","prolong"
"RSPH14",8.91851866874207e-06,5.04970727425794,4.80733899211906,"female_gonads","prolong"
"CRYBA1",4.15149866650776e-05,4.38179509723932,4.75143793491364,"female_gonads","prolong"
"WDR27",1.93562425588683e-11,10.7131789442552,4.71512707565233,"female_gonads","prolong"
"LOC101752046",7.52252221725529e-06,5.12363652092691,4.66699977390546,"female_gonads","prolong"
"DLX5",3.74148310067209e-07,6.42695621203427,4.62575708851621,"female_gonads","prolong"
"MSX2",4.10269386061356e-08,7.38693088849411,4.6215730857993,"female_gonads","prolong"
"LRRC18",2.44501468064315e-11,10.6117185288908,4.59567919217145,"female_gonads","prolong"
"LOC107051069",9.85306813420807e-06,5.00642851404288,4.53486086818783,"female_gonads","prolong"
"MOGAT2",0.000273348830107474,3.56328278048454,4.52957110641084,"female_gonads","prolong"
"LOC107056149",8.34320136194287e-05,4.07866727465598,4.46898987362262,"female_gonads","prolong"
"ANKRD31",0.0172470926977547,1.76328410243043,4.46751354620607,"female_gonads","prolong"
"TEKT2",2.74892443276454e-10,9.5608371986376,4.41201592040511,"female_gonads","prolong"
"ANKEF1",9.40492525033929e-10,9.02664465184079,4.35826237857184,"female_gonads","prolong"
"ZIC4",1.11295880328121e-10,9.95352091099213,4.28735192396475,"female_gonads","prolong"
"LRRC46",7.15089911791054e-11,10.1456393487727,4.24134594295159,"female_gonads","prolong"
"XRRA1",3.28306565695262e-15,14.483720431871,4.20623812505215,"female_gonads","prolong"
"ERMN",0.00849921709554488,2.07062107743209,4.19778234627469,"female_gonads","prolong"
"TTLL3",4.20257568742585e-07,6.37648445627388,4.17289622529169,"female_gonads","prolong"
"CCDC67",1.97719198859889e-06,5.70395115792922,4.15204201989686,"female_gonads","prolong"
"CZH9ORF84",8.55399262308261e-05,4.06783112861228,4.08427977323596,"female_gonads","prolong"
"NPR1",0.00327385764089413,2.48494020919968,4.05817045372435,"female_gonads","prolong"
"LOC416696",2.85497068662711e-09,8.54439834650796,3.98812175377546,"female_gonads","prolong"
"NKX3-1",2.75095151382042e-10,9.56051706408716,3.92413876499394,"female_gonads","prolong"
"IL20RB",0.00178851026385231,2.74750856319092,3.9166901710884,"female_gonads","prolong"
"SLC14A2",3.81491853585127e-05,4.41851473157752,3.85228856957918,"female_gonads","prolong"
"C1H12ORF40",0.00170971580670017,2.76707607313956,3.85128990543779,"female_gonads","prolong"
