"gene","padj","logpadj","lfc","sextissue","direction"
"LRRC71",0.0301234464003419,1.52109534233102,4.37749527813237,"female_gonads","early"
"MORN5",0.0322980257255899,1.49082402388212,4.07805663144813,"female_gonads","early"
"LOC107051435",0.0301234464003419,1.52109534233102,3.13899094801718,"female_gonads","early"
"DPF1",0.0428728155533832,1.36781799446591,2.34650857540715,"female_gonads","early"
"DMB2",0.0501517460361872,1.2997139423907,2.0333456838721,"female_gonads","early"
"LOC107051288",0.0543307919319413,1.26495396459327,1.92614826726669,"female_gonads","early"
"SCO2",0.036659937116195,1.43580828433051,1.7800456304207,"female_gonads","early"
"CIB2",0.0203309074105418,1.69184323746641,1.61760871543999,"female_gonads","early"
"LOC395991",0.036659937116195,1.43580828433051,1.53991557772278,"female_gonads","early"
"LOC101751319",0.0515840555959888,1.28748451613918,1.52117951441826,"female_gonads","early"
"INSM1",0.0377184398440492,1.42344627937939,1.47612289220996,"female_gonads","early"
"LOC107050672",0.036659937116195,1.43580828433051,1.18347571565523,"female_gonads","early"
"LOC107051070",0.0261046829344498,1.58328157732992,1.10509157995919,"female_gonads","early"
"STAT2",0.0900266533748285,1.0456288938948,1.02476242189623,"female_gonads","early"
"LOC101747712",0.0921179830824243,1.03565557945469,0.994678832993977,"female_gonads","early"
"LOC107049466",0.0668122486518608,1.1751439112629,0.994669040567361,"female_gonads","early"
"LOC107051473",0.0934091354490316,1.029610647527,0.922359244372906,"female_gonads","early"
"RBMS2",0.0900266533748285,1.0456288938948,0.835522497614789,"female_gonads","early"
"GON4L",0.0261046829344498,1.58328157732992,0.693348083287284,"female_gonads","early"
"DCAF10",0.0322980257255899,1.49082402388212,0.660195917835286,"female_gonads","early"
"ASH1L",0.036659937116195,1.43580828433051,0.606116445453105,"female_gonads","early"
"ADGRV1",0.036659937116195,1.43580828433051,-2.08548383056244,"female_gonads","inc.d17"
"GSTT1L",0.0575652077130879,1.23983992393016,-2.34556716325718,"female_gonads","inc.d17"
"OVSTL",0.0934091354490316,1.029610647527,-2.60919929659046,"female_gonads","inc.d17"
"LOC107050953",0.036659937116195,1.43580828433051,-2.88760149716637,"female_gonads","inc.d17"
"GAL3ST2",0.036659937116195,1.43580828433051,-3.29417790004391,"female_gonads","inc.d17"
"RHCG",0.0501517460361872,1.2997139423907,-4.52405434874071,"female_gonads","inc.d17"
"SFTPC",0.0203309074105418,1.69184323746641,-5.55580143711854,"female_gonads","inc.d17"
"LOC107053414",0.0515840555959888,1.28748451613918,-7.85512881011275,"female_gonads","inc.d17"
"OVALX",0.0279336517120624,1.55387228611311,-8.97285700116194,"female_gonads","inc.d17"
