"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"female_gonads","A2ML1",9.07300346966484e-09,"lay",2.01175243229819e-12,"lay",-5.14203052657167,8.04224892304138
"female_gonads","A2ML3",0.0437066527386516,"lay",0.000684834470110432,"lay",-1.31445177190113,1.35945245255398
"female_gonads","AAK1",0.0882027913089889,"lay",0.00232560428059748,"lay",-0.786755892834461,1.05451767075356
"female_gonads","ABCA2",0.306014425655046,"NS",0.0275488572234068,"lay",-0.505660209459202,0.514258100202357
"female_gonads","ABCA3",0.0884884252117283,"lay",0.0023835605011341,"lay",-0.773626581525077,1.05311353377034
"female_gonads","ABCA4",0.178401774273963,"NS",0.00916402314267583,"lay",-1.39413591036567,0.748600830713485
"female_gonads","ABCB1LB",0.366043210695409,"NS",0.0397426072809724,"inc.d3",0.605272036335547,0.43646764395292
"female_gonads","ABCB9",0.361934352619884,"NS",0.0389090608269513,"lay",-0.679748317017481,0.441370194329727
"female_gonads","ABCC4",0.158188161598294,"NS",0.00713798332434862,"lay",-0.632259231659127,0.800826021122247
"female_gonads","ABI3BP",0.00928667661456274,"lay",4.39281081546205e-05,"lay",-1.72744672897853,2.03213967741484
"female_gonads","ACKR4",0.308246598648455,"NS",0.0279312882441246,"inc.d3",0.77287576074494,0.511101706934524
"female_gonads","ACPP",0.374625445189,"NS",0.0418096394852469,"lay",-1.13908840938976,0.426402727948838
"female_gonads","ACSL3",0.184687175830259,"NS",0.00978867309783393,"lay",-1.4573253236007,0.733563259727671
"female_gonads","ACSS3",0.0709502078610157,"inc.d3",0.00154362112426321,"inc.d3",0.683253217388443,1.14904632786317
"female_gonads","ADAM15",0.273140141769091,"NS",0.0211097456247688,"inc.d3",2.06903460755908,0.563614469513471
"female_gonads","ADAM22",0.211898818231213,"NS",0.0127205095211634,"lay",-0.748777531774425,0.673871465361383
"female_gonads","ADAMTS18",0.407006230976594,"NS",0.0491235162738195,"lay",-0.913502159431872,0.390398941983533
"female_gonads","ADAMTS8",0.223829849048366,"NS",0.0139653856901684,"lay",-0.903371042536406,0.650081998180359
"female_gonads","ADAMTSL1",0.179271963543255,"NS",0.00927497224540121,"lay",-0.993770624623113,0.74648762471846
"female_gonads","ADAMTSL2L",0.358826241201727,"NS",0.037898203893368,"lay",-0.509568937597488,0.44511580422219
"female_gonads","ADD2",0.0849990078776171,"inc.d3",0.00214100151659443,"inc.d3",1.16935799902119,1.07058614341266
"female_gonads","ADK",0.293900326416828,"NS",0.0243339473442424,"inc.d3",0.462284158895406,0.531799931583228
"female_gonads","ADM",0.293754834396798,"NS",0.0242733115192624,"inc.d3",0.692764680036075,0.532014977368459
"female_gonads","ADORA2A",0.100460977120667,"NS",0.0029625964428046,"lay",-1.76263535080351,0.998002602046964
"female_gonads","ADPRHL1",0.379409803308271,"NS",0.0427361818360536,"inc.d3",1.7837807221421,0.420891451866749
"female_gonads","AFF1",0.158188161598294,"NS",0.007138658911647,"lay",-0.665570942917743,0.800826021122247
"female_gonads","AFF3",0.112349193757529,"NS",0.00372006199581471,"lay",-1.62737868961279,0.949430039826183
"female_gonads","AGA",0.31934356092159,"NS",0.029503285377087,"lay",-0.453224625416802,0.495741836307045
"female_gonads","AGL",0.343725962335485,"NS",0.0348298813275647,"lay",-0.504172260571103,0.463787663460085
"female_gonads","AGO1",0.311478559778766,"NS",0.0284957986391599,"lay",-0.392089945277698,0.506571842071371
"female_gonads","AGRN",0.0255003552037094,"lay",0.000249865005615056,"lay",-1.12240743440969,1.59345377007834
"female_gonads","AGRP",0.0322785042086892,"lay",0.000395383946948314,"lay",-4.24779846886904,1.49108659876297
"female_gonads","AHCYL1",0.15990381187351,"NS",0.00743266569289188,"lay",-0.481563399647761,0.796141183183729
