"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"female_gonads","A2ML4",1,"NS",0.0313372692381544,"early",1.59194859756243,0
"female_gonads","ACP5",0.945190270389207,"NS",0.00294494468710499,"early",1.39359631728525,0.0244807575623376
"female_gonads","ACPP",1,"NS",0.0459153583714251,"n5",-1.11825409547066,0
"female_gonads","ADTRP",1,"NS",0.0371991875873085,"early",2.55730031190058,0
"female_gonads","AGBL2",1,"NS",0.0335810113438038,"early",1.56966818060313,0
"female_gonads","AGRP",1,"NS",0.0469954978780491,"n5",-2.46540456337991,0
"female_gonads","AGT",1,"NS",0.0178005475655271,"early",1.39678948736292,0
"female_gonads","AKD1",1,"NS",0.0054377409549784,"early",1.552309537277,0
"female_gonads","ALPL",1,"NS",0.034986841658123,"early",1.05019451027392,0
"female_gonads","AMPH",1,"NS",0.0455885386653534,"early",0.857463012907774,0
"female_gonads","ANXA5",1,"NS",0.00788129530227154,"n5",-1.37794738240935,0
"female_gonads","AP3B2",0.292183078303899,"NS",0.000254053832305397,"early",3.58234306285018,0.534344939709199
"female_gonads","APBB1",1,"NS",0.0124568402734422,"early",0.789052242159871,0
"female_gonads","APOA1",1,"NS",0.0187813638919129,"early",1.04718609501059,0
"female_gonads","ARPC1B",1,"NS",0.0444598785015133,"early",0.62751753878534,0
"female_gonads","ARRDC2",1,"NS",0.005877247085338,"early",0.879394724054286,0
"female_gonads","ASIC4",1,"NS",0.0392440148902392,"n5",-1.0576004772566,0
"female_gonads","ATG7",1,"NS",0.0397356562652756,"n5",-0.36551353060136,0
"female_gonads","ATP2A1",1,"NS",0.0371812254771594,"early",0.909136775869168,0
"female_gonads","ATP2B4",1,"NS",0.0216146838370076,"n5",-1.42350705510717,0
"female_gonads","ATP5SL",1,"NS",0.0244417990924773,"early",0.8051953789082,0
"female_gonads","ATRAID",1,"NS",0.0189750817630936,"early",0.98866221828462,0
"female_gonads","ATRN",1,"NS",0.00937763327257173,"early",1.03781635565243,0
"female_gonads","AVD",1,"NS",0.0142583001410397,"early",1.79016201016156,0
"female_gonads","AVDL",1,"NS",0.0442959645835033,"early",1.82796855813789,0
"female_gonads","BPIFB2",1,"NS",0.0205735915695265,"n5",-3.91565557858475,0
"female_gonads","BRS3",1,"NS",0.0395467923466749,"n5",-3.06745863793432,0
"female_gonads","BTK",1,"NS",0.0246932262178098,"early",0.89504765510956,0
"female_gonads","C11ORF88",1,"NS",0.0287216820581495,"early",1.93026372817364,0
"female_gonads","C17H9ORF91",1,"NS",0.0380418811075307,"early",1.16456273860103,0
"female_gonads","C17ORF89",0.989205332936259,"NS",0.00414143448848872,"early",1.84418085227222,0.00471355096566721
"female_gonads","C1ORF35",1,"NS",0.048361444119773,"early",0.527558154774785,0
"female_gonads","C3",1,"NS",0.0172652111755217,"early",1.30289622231922,0
"female_gonads","C3H2orf71",1,"NS",0.0130723967104878,"early",1.53355037667341,0
"female_gonads","C5H11ORF96",0.292183078303899,"NS",0.000189109772186134,"early",1.41174014837418,0.534344939709199
"female_gonads","CA4",0.486172841564761,"NS",0.000986366173741998,"n5",-2.55074404310956,0.313209305237629
"female_gonads","CADM1",1,"NS",0.0397308439375509,"early",0.705847422489055,0
"female_gonads","CALCR",1,"NS",0.010280840489948,"early",1.92263909029473,0
"female_gonads","CAPN8",1,"NS",0.0159253965982762,"n5",-1.65076925005918,0
"female_gonads","CATH2",1,"NS",0.0267396484920455,"early",1.83109258475088,0
"female_gonads","CCDC103",1,"NS",0.0092622183791811,"early",1.83665176160922,0
"female_gonads","CCDC17",1,"NS",0.00737091897859693,"early",2.09747822042924,0
"female_gonads","CCDC33",1,"NS",0.0354346103306356,"early",1.65304028675324,0
"female_gonads","CCDC56",1,"NS",0.0383438401879001,"early",0.949538259545828,0
"female_gonads","CCDC78",1,"NS",0.0104104179410524,"early",1.49772662588131,0
"female_gonads","CCDC84",1,"NS",0.0247287094101585,"early",0.597008108445291,0
"female_gonads","CCNL1",1,"NS",0.00935260688481808,"early",0.625938819779421,0
"female_gonads","CD28",1,"NS",0.0347170221926595,"early",1.13119116016976,0
"female_gonads","CD40LG",1,"NS",0.0490559900166961,"early",1.00090444018888,0
"female_gonads","CD6",1,"NS",0.0289920123645629,"early",1.24508309969199,0
"female_gonads","CDC20B",0.00213640697264806,"n5",3.09601764024066e-07,"n5",-3.81136326959886,2.67031601328218
"female_gonads","CDC26",1,"NS",0.00655253398466964,"early",1.05594491594983,0
"female_gonads","CDCA7L",1,"NS",0.00950249814514943,"n5",-0.68055882848777,0
"female_gonads","CDK2AP2",1,"NS",0.0264066905295526,"early",0.741768241840639,0
"female_gonads","CDK5",1,"NS",0.0090880323533871,"early",0.601391218227872,0
"female_gonads","CEBPD",0.989205332936259,"NS",0.0040657282075132,"early",0.830611604199278,0.00471355096566721
"female_gonads","CELF3",0.989205332936259,"NS",0.0038128161301389,"early",1.15172462564712,0.00471355096566721
"female_gonads","CEMIP",1,"NS",0.0329803009885595,"early",1.09304344350505,0
"female_gonads","CENPF",0.796646491404441,"NS",0.00196261000708289,"n5",-0.723535208548301,0.0987343522434972
"female_gonads","CEP131",1,"NS",0.0112540377271416,"early",0.539228389811471,0
"female_gonads","CERKL",1,"NS",0.042036980847135,"early",0.758267170845609,0
"female_gonads","CFAP126",1,"NS",0.0270590237741829,"early",1.28707617917864,0
"female_gonads","CFAP43",1,"NS",0.0339656619228476,"early",1.03775319905556,0
"female_gonads","CFAP45",1,"NS",0.0100731149450625,"early",1.33632926952095,0
"female_gonads","CHCHD10",1,"NS",0.00673721114449362,"early",0.782299484603664,0
"female_gonads","CHGB",1,"NS",0.0184761772290059,"n5",-1.13372512162711,0
"female_gonads","CHMP4C",1,"NS",0.0376404964825874,"n5",-0.599580190457688,0
"female_gonads","CHRNA3",0.18119485469975,"NS",9.19037738495944e-05,"n5",-3.25320888200149,0.741854138928703
"female_gonads","CILD27",1,"NS",0.0192429048034886,"early",1.12990524722178,0
"female_gonads","CMPK2",0.403701676774081,"NS",0.000585032500216044,"early",1.4475474159866,0.393939446744705
"female_gonads","COX3",1,"NS",0.0185971150793317,"n5",-0.637903755412452,0
"female_gonads","CPA2",0.486172841564761,"NS",0.000892854022206618,"early",1.35192862594956,0.313209305237629
"female_gonads","DACH2",1,"NS",0.0235420978137707,"n5",-0.659061435072452,0
"female_gonads","DBH",1,"NS",0.0341527715790387,"n5",-1.84977262361573,0
"female_gonads","DBNDD1",1,"NS",0.0119848043983513,"early",0.964746019106204,0
"female_gonads","DDIT3",1,"NS",0.0416628937989904,"early",0.904494774842051,0
"female_gonads","DDX60",1,"NS",0.0139786757391836,"early",1.86253602971889,0
"female_gonads","DHODH",0.380563817143103,"NS",0.000358476170050021,"early",1.77342355722723,0.419572505492211
"female_gonads","DHX58",1,"NS",0.00712114879073228,"early",1.00877229707883,0
"female_gonads","DMA",0.806616705247194,"NS",0.00210406502346924,"early",1.48428493329332,0.0933327878806589
