"gene","padj","logpadj","lfc","sextissue","direction"
"C1ORF146",0.0984321971133384,1.00686282086249,3.18557557685471,"female_hypothalamus","extend"
"LOC107055930",0.0439526235106142,1.35701519699117,2.32167283674866,"female_hypothalamus","extend"
"LOC107051069",0.0119332728901648,1.9232404278133,2.25774996239061,"female_hypothalamus","extend"
"TGM4",0.0579470404902963,1.23696873970996,2.14388099812038,"female_hypothalamus","extend"
"PNO1",0.000545931241587516,3.26286205194641,2.10256719840501,"female_hypothalamus","extend"
"LOC769052",0.000825275640330679,3.08340097377603,2.08572906109385,"female_hypothalamus","extend"
"LAMB4",0.0309787019432312,1.5089367838235,2.06600425763552,"female_hypothalamus","extend"
"SLC6A14",0.0441216641691238,1.35534811531985,1.98208774397591,"female_hypothalamus","extend"
"TMED11",0.01817037962467,1.74063599909939,1.92755198606804,"female_hypothalamus","extend"
"PPP2R5C",0.00685889267449388,2.16374599277349,1.84277401893257,"female_hypothalamus","extend"
"LOC423629",0.0692419839758865,1.15963049687065,1.8372609666425,"female_hypothalamus","extend"
"LOC428867",0.0167766695621997,1.7752942493664,1.8292034408397,"female_hypothalamus","extend"
"LOC100857497",0.00997264825619688,2.00118949862608,1.7953279260932,"female_hypothalamus","extend"
"SLCO4C1",0.00166088085456528,2.77966152110716,1.79214185619066,"female_hypothalamus","extend"
"CCDC60",1.0321234743482e-05,4.98626834435572,1.78259241570126,"female_hypothalamus","extend"
"SATB2",0.00498540686554562,2.30229939256781,1.77661121974871,"female_hypothalamus","extend"
"UNKL",0.00217138826927774,2.66326251273718,1.75735522557948,"female_hypothalamus","extend"
"C6",0.0927204106250428,1.03282465370758,1.75732426002216,"female_hypothalamus","extend"
"LOC107056159",0.0688120418297318,1.1623355553315,1.75124719883516,"female_hypothalamus","extend"
"ABCG8",0.0474584793662319,1.32368618127743,1.73966550369836,"female_hypothalamus","extend"
"SCML4",0.0229947278081668,1.6383717268645,1.71761927184028,"female_hypothalamus","extend"
"MYH13",0.00439263491415631,2.35727489082895,1.68250323190337,"female_hypothalamus","extend"
"LOC769174",0.00880825185251599,2.05511027616684,1.68236613373098,"female_hypothalamus","extend"
"UTS2",0.00565624548462069,2.24747175014776,1.6750565040461,"female_hypothalamus","extend"
"WWP1",0.00603527228586861,2.21930313160099,1.6444799541562,"female_hypothalamus","extend"
"ATP8B3",0.0161672121510909,1.79136486270221,1.61429135105503,"female_hypothalamus","extend"
"UHRF1",0.0725801947150644,1.1391818710271,1.58223011881801,"female_hypothalamus","extend"
"MID1",0.0744143977084449,1.12834302896501,1.54743289096236,"female_hypothalamus","extend"
"LOC107055658",0.0631426471258106,1.19967721515786,1.51902398281613,"female_hypothalamus","extend"
"C8ORF88",0.0177496867041273,1.750809308179,1.51446129717461,"female_hypothalamus","extend"
"WNT10A",0.0948890879177309,1.02278372782136,1.49876104776813,"female_hypothalamus","extend"
"SPAM1",0.00258009630961343,2.58836408242708,1.49511519718928,"female_hypothalamus","extend"
"GPR82",0.0793566420470206,1.10041671750841,1.49440447803151,"female_hypothalamus","extend"
"LOC101748402",0.00679307681858995,2.16793347422113,1.49001807142707,"female_hypothalamus","extend"
"ROCK2",0.0371968978450475,1.42949327799325,1.48919419851294,"female_hypothalamus","extend"
"IL1RL1",0.00188490056409139,2.72471155559371,1.4512600746962,"female_hypothalamus","extend"
"LOC101748689",0.0319712414747507,1.49524049931901,1.44011157826303,"female_hypothalamus","extend"
"TG",0.00727131124157898,2.13838726539501,1.41831903713768,"female_hypothalamus","extend"
"CREBBP",0.0267359444785052,1.57290446933219,1.41584508636128,"female_hypothalamus","extend"
"NSD1",0.00625305256281983,2.20390792064819,1.4119567266068,"female_hypothalamus","extend"
"LOC424167",0.00519697840018537,2.28424908819923,1.38208166824158,"female_hypothalamus","extend"
"LOC107051599",0.0683373282390294,1.16534200466703,1.37400140985179,"female_hypothalamus","extend"
"PI15",0.0103840749152072,1.98363218734419,1.36150271048846,"female_hypothalamus","extend"
"SPATA16",0.0111140234653255,1.95412869061249,1.35543165973382,"female_hypothalamus","extend"
"TMPRSS12",0.0790951706197054,1.10185003277593,1.34586007665461,"female_hypothalamus","extend"
"LOC107056348",0.000499090521463637,3.30182067801031,1.33305534109757,"female_hypothalamus","extend"
"CPEB2",0.00238999388754022,2.62160320976774,1.32735627568053,"female_hypothalamus","extend"
"DGKH",0.000578163426408932,3.23794938449373,1.32720558243019,"female_hypothalamus","extend"
"LOC107055647",0.0133297813445662,1.87517697448916,1.32142096052648,"female_hypothalamus","extend"
"COL19A1",0.00220136822216402,2.65730730707019,1.31847108469332,"female_hypothalamus","extend"
"LOC107053497",0.000327619621290498,3.48463009603552,1.30007508481827,"female_hypothalamus","extend"
"CLASP2",0.00379914808402438,2.42031377809012,1.28560713160128,"female_hypothalamus","extend"
"FBXO39",0.0246007191000615,1.6090521979119,1.28059304721387,"female_hypothalamus","extend"
"VPS13C",0.0906422250740956,1.04266944200674,1.2715156194091,"female_hypothalamus","extend"
"ABCG5",0.071763872295617,1.14409413530334,1.26638697522228,"female_hypothalamus","extend"
"SNTG2",0.00744879875709613,2.12791375882596,1.25812275177184,"female_hypothalamus","extend"
"PERP1",0.0949146183548716,1.02266689419091,1.20852912520628,"female_hypothalamus","extend"
"ARHGEF38",0.0949146183548716,1.02266689419091,1.20117670811676,"female_hypothalamus","extend"
"GUCY1A2",0.00439263491415631,2.35727489082895,1.19624510354221,"female_hypothalamus","extend"
"FAM135B",0.00302117207759959,2.51982453781058,1.19163704904426,"female_hypothalamus","extend"
"PDE1B",0.0756571611042481,1.12114995883882,1.18528548208231,"female_hypothalamus","extend"
"HTR1D",0.0275778932586803,1.55943891368869,1.17940893101278,"female_hypothalamus","extend"
"KCTD18",0.0662425577553796,1.17886290693571,1.17885307690946,"female_hypothalamus","extend"
"SYNE2",0.00827349067378567,2.08231121831757,1.1755299607856,"female_hypothalamus","extend"
"IAPP",0.0580870365176309,1.23592077977907,1.16910987803787,"female_hypothalamus","extend"
"MANSC4",0.0470927194053214,1.3270462301641,1.16798144214356,"female_hypothalamus","extend"
"LOC427010",0.0288713983884788,1.53953218052205,1.16513320081445,"female_hypothalamus","extend"
"NLGN1",0.0187076628356762,1.72798046589229,1.16116884482196,"female_hypothalamus","extend"
"RTN4RL2",0.00173522437321546,2.76064436078718,1.16104296562455,"female_hypothalamus","extend"
"GPNMB",0.0058234072267251,2.23482283892585,1.1540510798426,"female_hypothalamus","extend"
"PXDNL",0.0216146732139838,1.66525132605383,1.13742048207453,"female_hypothalamus","extend"
"IL13RA2",0.0119516900705896,1.92257067744115,1.13720612587165,"female_hypothalamus","extend"
"TNRC6B",0.0668578639836896,1.17484750263001,1.12642544028379,"female_hypothalamus","extend"
"PUM1",0.0425610345256726,1.37098782424377,1.11874273507947,"female_hypothalamus","extend"
"ADCY1",0.00314658811749623,2.50216010170244,1.1142789484187,"female_hypothalamus","extend"
"FAM83B",0.0243500224342214,1.61350063432392,1.11107062412417,"female_hypothalamus","extend"
"ADAM23",0.00296483927074471,2.52799884554448,1.10989938888489,"female_hypothalamus","extend"
"AFF3",0.00132493854190513,2.87780426627849,1.1082837559595,"female_hypothalamus","extend"
"HRH4",0.0351338552723489,1.45427419203429,1.10817515528154,"female_hypothalamus","extend"
"PDE1A",0.00190113876504933,2.72098618261074,1.10297447878486,"female_hypothalamus","extend"
"LOC107055650",0.00596926281564722,2.22407929950125,1.10290029779846,"female_hypothalamus","extend"
"GALNT6",0.000353592113526645,3.45149742999962,1.09992789691503,"female_hypothalamus","extend"
"NAV3",0.00102330017791365,2.98999695036536,1.09146547630614,"female_hypothalamus","extend"
"LOC100859636",0.00406854550278034,2.39056082247385,1.09107083075409,"female_hypothalamus","extend"
"FILIP1",0.00226108088478599,2.64568390152553,1.09043244311259,"female_hypothalamus","extend"
"CPA6",0.0196377602367778,1.70690804670575,1.06959024965891,"female_hypothalamus","extend"
"PAPOLG",0.000913273870320768,3.03939896777401,1.06789271642819,"female_hypothalamus","extend"
"CYP2J2L6",0.0628778937460843,1.20150201451594,1.05244951439197,"female_hypothalamus","extend"
"EPHA1",0.00454950887646128,2.34203548328903,1.0516363715461,"female_hypothalamus","extend"
"WFS1",0.00662687196896329,2.17869141988874,1.05034497249843,"female_hypothalamus","extend"
"AvBD12",0.0456659932317649,1.34040709204249,1.04780511980725,"female_hypothalamus","extend"
"BCL11B",0.00499760079093387,2.30123843832941,1.03937219261024,"female_hypothalamus","extend"
"LOC101748867",0.0146803689720881,1.83326302885264,1.03514198387307,"female_hypothalamus","extend"
"SPARCL1",0.0243500224342214,1.61350063432392,1.01785930445434,"female_hypothalamus","extend"
"CNTNAP4",0.0497852626950241,1.30289919694792,1.01475044364452,"female_hypothalamus","extend"
"LOC771085",0.000224014444475068,3.64972397740885,1.00891381490635,"female_hypothalamus","extend"
"LOC101749307",0.0872502348008365,1.05923339562872,1.00040129742742,"female_hypothalamus","extend"
"CARHSP1",0.00558797360825232,2.25274565370629,0.992999322297286,"female_hypothalamus","extend"
"ANKRD28",0.0313267139468644,1.50408515856837,0.992028881660532,"female_hypothalamus","extend"
"IL7",0.0728940856423787,1.13730770730724,0.991291112205539,"female_hypothalamus","extend"
"XKR4",0.00221819657496005,2.65399996962169,0.984109939344062,"female_hypothalamus","extend"
"TBX4",0.0759326365717935,1.11957152006543,0.982352026707316,"female_hypothalamus","extend"
"TENM2",0.00278365426670361,2.55538470562285,0.972808073959292,"female_hypothalamus","extend"
"UNC5D",0.00210761005016884,2.67620973915483,0.972750385837562,"female_hypothalamus","extend"
"AKAP5",0.0102886114116439,1.98764323524283,0.967003501634839,"female_hypothalamus","extend"
"LOC416755",0.0554221958623086,1.25631627119198,0.966383215949009,"female_hypothalamus","extend"
"SEC14L1",0.0197369764086607,1.70471937798913,0.964778176787944,"female_hypothalamus","extend"
"HTR5A",0.0645562256490069,1.19006186905003,0.964272006747872,"female_hypothalamus","extend"
"SH3RF2",0.0325131126339421,1.48794145145016,0.960555643299622,"female_hypothalamus","extend"
"CLCN1",0.0279036247659338,1.55433937688443,0.959413145323736,"female_hypothalamus","extend"
