"gene","padj","logpadj","lfc","sextissue","direction"
"LAMB4",0.0141094973230056,1.85048845851593,2.62367703668847,"female_hypothalamus","m.inc.d3"
"LOC107051069",0.0104988309250971,1.97885905817258,2.59342912027018,"female_hypothalamus","m.inc.d3"
"LOC772158",0.000155780314142519,3.80748742470869,2.41082664640466,"female_hypothalamus","m.inc.d3"
"LOC107055658",0.010617085168201,1.97399469880262,2.28158584802771,"female_hypothalamus","m.inc.d3"
"TMED11",0.0207166277733912,1.68368093708315,2.20472883826845,"female_hypothalamus","m.inc.d3"
"CREBBP",0.0025092965927417,2.60044800310214,2.11440321337122,"female_hypothalamus","m.inc.d3"
"SATB2",0.00203403213791871,2.69164218946121,2.09768650795207,"female_hypothalamus","m.inc.d3"
"LOC769052",0.00364269816944061,2.43857681250142,1.97094590846204,"female_hypothalamus","m.inc.d3"
"IAPP",0.00628022768838082,2.20202461071904,1.84048001940935,"female_hypothalamus","m.inc.d3"
"PNO1",0.010617085168201,1.97399469880262,1.76229465042032,"female_hypothalamus","m.inc.d3"
"LOC101748402",0.00513923344152599,2.28910165472892,1.74034335734818,"female_hypothalamus","m.inc.d3"
"PPP1R1B",0.010161820403464,1.99302848492994,1.70753315781257,"female_hypothalamus","m.inc.d3"
"LOC101748456",0.000117891397251779,3.92851788500155,1.66682417319001,"female_hypothalamus","m.inc.d3"
"RTN4RL2",4.87287501181316e-05,4.31221472803508,1.60915637916935,"female_hypothalamus","m.inc.d3"
"PPP2R5C",0.087470595858489,1.0581379150069,1.59079479087887,"female_hypothalamus","m.inc.d3"
"SLCO4C1",0.0244737039295733,1.61130029814131,1.55530487976256,"female_hypothalamus","m.inc.d3"
"LOC107053497",0.000117891397251779,3.92851788500155,1.53150449933474,"female_hypothalamus","m.inc.d3"
"ANXA5",0.0560128116762842,1.25171262649486,1.52771693858201,"female_hypothalamus","m.inc.d3"
"DGKH",0.000202133307273217,3.69436211808725,1.52179215997914,"female_hypothalamus","m.inc.d3"
"ATP2B4",0.0575732560921694,1.23977920804924,1.51489886528713,"female_hypothalamus","m.inc.d3"
"TMEM61",0.00777064167509206,2.10954311704912,1.49767615435637,"female_hypothalamus","m.inc.d3"
"SH3RF2",0.00279585956253234,2.55348464721428,1.49751548881618,"female_hypothalamus","m.inc.d3"
"LOC420300",0.0289794923420014,1.53790922669778,1.49022920183538,"female_hypothalamus","m.inc.d3"
"HSP25",0.00489723625996539,2.31004894357742,1.48768075629275,"female_hypothalamus","m.inc.d3"
"LOC107049603",0.00154088229895518,2.81223053381015,1.48031859569999,"female_hypothalamus","m.inc.d3"
"PARP12",0.0928917554087804,1.03202283002535,1.47297411706924,"female_hypothalamus","m.inc.d3"
"PDE1A",0.000228868765264678,3.64041347337524,1.41029800499223,"female_hypothalamus","m.inc.d3"
"WWP1",0.0798950255755714,1.09748025988917,1.40989373709037,"female_hypothalamus","m.inc.d3"
"PDYN",0.0111827418174464,1.95145170179853,1.40631168936449,"female_hypothalamus","m.inc.d3"
"SNTG2",0.0124007687875035,1.90655138985221,1.39511242070698,"female_hypothalamus","m.inc.d3"
"GUCY1A2",0.00316225926694682,2.50000252605834,1.3943921879926,"female_hypothalamus","m.inc.d3"
"NSD1",0.0326299628814257,1.48638342024832,1.36957659905266,"female_hypothalamus","m.inc.d3"
"LOC107050337",0.0944312924455878,1.02488406624791,1.36866951402009,"female_hypothalamus","m.inc.d3"
"DRD1",0.00029464593456901,3.53069954678477,1.36617354914627,"female_hypothalamus","m.inc.d3"
"EGR3",0.0011684836836507,2.93237734758493,1.36473146829259,"female_hypothalamus","m.inc.d3"
"BRS3",0.0118948720524714,1.9246402251025,1.35691352982711,"female_hypothalamus","m.inc.d3"
"SCGN",0.00526011366009263,2.27900487154631,1.34430284186448,"female_hypothalamus","m.inc.d3"
"COL19A1",0.00696567702296273,2.15703666631145,1.33699157520713,"female_hypothalamus","m.inc.d3"
"AFF3",0.000393625695959345,3.40491655848995,1.33631418533293,"female_hypothalamus","m.inc.d3"
"CCDC60",0.00408262776667618,2.38906021504343,1.33360649229712,"female_hypothalamus","m.inc.d3"
"HTR5A",0.0363858834329829,1.43906707613866,1.3274038332544,"female_hypothalamus","m.inc.d3"
"TFAP2C",0.0621542925976748,1.20652887205684,1.32142765731013,"female_hypothalamus","m.inc.d3"
"BCL11B",0.00155109171401005,2.80936252216648,1.31530012075173,"female_hypothalamus","m.inc.d3"
"WFS1",0.00286323780332304,2.54314258059101,1.30082109274451,"female_hypothalamus","m.inc.d3"
"NLGN1",0.032214541355876,1.49194804740098,1.29628372623981,"female_hypothalamus","m.inc.d3"
"PI15",0.0611425546366353,1.2136564196921,1.295483786931,"female_hypothalamus","m.inc.d3"
"CPA6",0.0199899567999076,1.69918814443026,1.27774715920692,"female_hypothalamus","m.inc.d3"
"LOC107055647",0.063458588512246,1.19750959199231,1.27289771955938,"female_hypothalamus","m.inc.d3"
"CHRM4",0.00170371301991445,2.76860355767019,1.2624368987899,"female_hypothalamus","m.inc.d3"
"RASD2",0.000679472888273085,3.16782786742052,1.21907177660211,"female_hypothalamus","m.inc.d3"
"LOC101749220",0.0829650828783139,1.08110464863466,1.21867782274974,"female_hypothalamus","m.inc.d3"
"CARHSP1",0.00286323780332304,2.54314258059101,1.21784804234621,"female_hypothalamus","m.inc.d3"
"SERPINA4",0.0111827418174464,1.95145170179853,1.21323931252687,"female_hypothalamus","m.inc.d3"
"AKAP5",0.00601915675303608,2.22046434647549,1.2021999691883,"female_hypothalamus","m.inc.d3"
"IL13RA2",0.0408879361570699,1.38840481016508,1.20134611259296,"female_hypothalamus","m.inc.d3"
"TBR1",0.0260851865310435,1.58360605335935,1.20104170727898,"female_hypothalamus","m.inc.d3"
"ENTPD3",0.0159948801528899,1.79601900966763,1.18787376571652,"female_hypothalamus","m.inc.d3"
"ARSI",0.0601611089216044,1.22068416719542,1.187848361592,"female_hypothalamus","m.inc.d3"
"FST",0.0288649064295277,1.53962984600203,1.18532033293291,"female_hypothalamus","m.inc.d3"
"LOC107050850",0.00351750477113767,2.4537653048165,1.17894035160853,"female_hypothalamus","m.inc.d3"
"GDA",0.000424567298500978,3.37205345959891,1.17627868663351,"female_hypothalamus","m.inc.d3"
"GRP",0.00399654800579009,2.39831496599836,1.16272090548739,"female_hypothalamus","m.inc.d3"
"FOXG1",0.0104474502938939,1.98098968643358,1.14716507876973,"female_hypothalamus","m.inc.d3"
"POSTN",0.0267515826927747,1.57265051889863,1.14558401468507,"female_hypothalamus","m.inc.d3"
"FAM135B",0.0186313264227714,1.72975622521196,1.13928596557527,"female_hypothalamus","m.inc.d3"
"EGR1",0.00194715701080617,2.71059902733081,1.1378542510172,"female_hypothalamus","m.inc.d3"
"GRIN2B",5.59236633807161e-05,4.252404387085,1.12342777110747,"female_hypothalamus","m.inc.d3"
"DLGAP2",0.00014389023531889,3.84196867716147,1.11870348164707,"female_hypothalamus","m.inc.d3"
"LOC770617",0.00373973206832077,2.42715951154766,1.11842691422783,"female_hypothalamus","m.inc.d3"
"MEI4",0.0105832953776903,1.97537908263081,1.11686617468997,"female_hypothalamus","m.inc.d3"
"CDHR1",0.0271448347632407,1.56631279764916,1.11565487584166,"female_hypothalamus","m.inc.d3"
"ANKRD28",0.0665662904827119,1.17674564415658,1.11528003784869,"female_hypothalamus","m.inc.d3"
"SYNE2",0.0567628243636481,1.24593600336554,1.10338088662149,"female_hypothalamus","m.inc.d3"
"HSPA8",0.056157949583298,1.25058875737604,1.10098825412909,"female_hypothalamus","m.inc.d3"
"GPR88",0.0174259274617,1.75880409812066,1.10025671674705,"female_hypothalamus","m.inc.d3"
"RASGRP1",0.0201695330297129,1.69530415656991,1.09484846506808,"female_hypothalamus","m.inc.d3"
"ADCY1",0.0167050559203298,1.77715206621861,1.09343595199652,"female_hypothalamus","m.inc.d3"
"EOMES",0.0418049428850714,1.37877236557428,1.09166412738782,"female_hypothalamus","m.inc.d3"
"FBLN2",0.00624956565054115,2.20415016539644,1.08088886426699,"female_hypothalamus","m.inc.d3"
"LOC107056348",0.0218839263008324,1.65987475647891,1.06668884087032,"female_hypothalamus","m.inc.d3"
"SYT14",5.59236633807161e-05,4.252404387085,1.06156699742644,"female_hypothalamus","m.inc.d3"
"GABRA4",0.00261798636782077,2.58203261920453,1.05735607665126,"female_hypothalamus","m.inc.d3"
"HTR6",0.0575579787481174,1.23989446549902,1.05079177409914,"female_hypothalamus","m.inc.d3"
"CACNG3",0.000384395400015888,3.415221818089,1.05063609170706,"female_hypothalamus","m.inc.d3"
"CLMN",3.54493969647372e-05,4.45039114826976,1.04602410964198,"female_hypothalamus","m.inc.d3"
"NGEF",0.000380064172314239,3.4201430683069,1.04355330452987,"female_hypothalamus","m.inc.d3"
"NTNG2",0.0133761343019167,1.87366937938708,1.03894724613031,"female_hypothalamus","m.inc.d3"
"LOC100859636",0.0360554369205866,1.44302923728098,1.03405388413636,"female_hypothalamus","m.inc.d3"
"DSEL",5.91447564033889e-05,4.22808375257482,1.03095314993549,"female_hypothalamus","m.inc.d3"
"MMP16",0.0130926700263006,1.88297177747959,1.03060578995421,"female_hypothalamus","m.inc.d3"
"SS2",0.0749609364337686,1.12516499675371,1.02893424149116,"female_hypothalamus","m.inc.d3"
"BCL11A",0.0019146672340429,2.71790669479026,1.02592795454545,"female_hypothalamus","m.inc.d3"
"LOC769512",0.0288388172360919,1.54002255526925,1.02448780837673,"female_hypothalamus","m.inc.d3"
"NR4A3",0.0110186501940958,1.95787160413764,1.01751939952676,"female_hypothalamus","m.inc.d3"
"FLRT2",0.000384395400015888,3.415221818089,1.01275337932195,"female_hypothalamus","m.inc.d3"
"LMO7",0.00441195972548157,2.35536846066543,1.01131413348441,"female_hypothalamus","m.inc.d3"
"RASSF5",0.000384395400015888,3.415221818089,1.00837192679305,"female_hypothalamus","m.inc.d3"
"BAIAP2",0.00226772165821054,2.64441025212549,1.0005631321379,"female_hypothalamus","m.inc.d3"
"NAV3",0.0156577331301624,1.80527111330768,0.990332145577567,"female_hypothalamus","m.inc.d3"
"RGS12",0.0188901493988978,1.72376460730525,0.989872595343288,"female_hypothalamus","m.inc.d3"
"PAK6",5.59236633807161e-05,4.252404387085,0.988854517912691,"female_hypothalamus","m.inc.d3"
"PLCD4",0.00166597969719018,2.77833029551747,0.982037522183908,"female_hypothalamus","m.inc.d3"
"DGKG",0.00135913403310266,2.8667377125342,0.977373787248299,"female_hypothalamus","m.inc.d3"
"XKR4",0.0136485622034171,1.86491309660936,0.97453195799519,"female_hypothalamus","m.inc.d3"
"GPRIN1",0.00380161636445968,2.42003171156437,0.973464852502762,"female_hypothalamus","m.inc.d3"
"DUSP5",0.00393750319956505,2.40477908030002,0.973139869304994,"female_hypothalamus","m.inc.d3"
"LOC100857380",0.0809669312954269,1.09169232048321,0.971443391817953,"female_hypothalamus","m.inc.d3"
"EPB41L4B",0.00599832976847661,2.22196966183544,0.968375303658327,"female_hypothalamus","m.inc.d3"
"GALNT6",0.0122417966037627,1.91215484053666,0.961790916949803,"female_hypothalamus","m.inc.d3"
"KCNA1",0.00601915675303608,2.22046434647549,0.961545040999173,"female_hypothalamus","m.inc.d3"
