"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"female_hypothalamus","AAED1",0.4323870288679,"NS",0.0426088331789276,"n5",0.429920969935184,0.364127342876892
"female_hypothalamus","AAMP",0.15674076650379,"NS",0.00524118955445468,"hatch",-0.437213937192466,0.80481803374806
"female_hypothalamus","AARS",0.0589544635443742,"hatch",0.000556256342601383,"hatch",-0.455304133398556,1.22948330813791
"female_hypothalamus","ABCA13",0.427362489937628,"NS",0.0416809096675165,"n5",0.747979217171765,0.369203598989911
"female_hypothalamus","ABCB11",0.177400799956538,"NS",0.00708331576069798,"n5",0.773747370101553,0.751044426128155
"female_hypothalamus","ABCB5",0.00108993181926865,"hatch",3.39621973753571e-07,"hatch",-6.00507672205614,2.96260066851949
"female_hypothalamus","ABCB8",0.252391068987798,"NS",0.0145296408804224,"hatch",-0.508542483396427,0.597926016931633
"female_hypothalamus","ABCC8",0.389030113262206,"NS",0.0343056857687012,"n5",0.521569480572859,0.41001678037754
"female_hypothalamus","ABCF2",0.255402022185558,"NS",0.0150067171133855,"hatch",-0.316808906007676,0.592775668464332
"female_hypothalamus","ABCF3",0.254791493261528,"NS",0.0149313718798108,"hatch",-0.368647073223367,0.593815075909881
"female_hypothalamus","ABCG1",0.23365980662623,"NS",0.0124684090939447,"n5",0.43336397394937,0.631415987058744
"female_hypothalamus","ABHD16A",0.124429631531582,"NS",0.00282072295949644,"hatch",-0.470988632532982,0.905076184932558
"female_hypothalamus","ABI1",0.203855551034996,"NS",0.00946466529694304,"n5",0.429888542920789,0.69067745810908
"female_hypothalamus","ABTB1",0.199054848841909,"NS",0.00904000003231492,"hatch",-0.342833332338777,0.701027238830266
"female_hypothalamus","AC005943.2",0.367738575086372,"NS",0.0305661026421406,"hatch",-0.50804222277324,0.434460811065478
"female_hypothalamus","AC104534.3",0.252594621532065,"NS",0.0145807131382145,"hatch",-0.600192504393421,0.597575901064194
"female_hypothalamus","ACAN",0.173797546349758,"NS",0.00662105490110943,"n5",0.808658259640701,0.7599563591548
"female_hypothalamus","ACBD4",0.175721274400635,"NS",0.00691045040070719,"hatch",-0.590066584469831,0.755175655718824
"female_hypothalamus","ACOT7",0.272270999067153,"NS",0.0166709515670937,"hatch",-0.421036988391199,0.564998615053192
"female_hypothalamus","ACP5",0.155810551967723,"NS",0.00492787131719994,"hatch",-1.26337342197612,0.807403133915213
"female_hypothalamus","ACSBG2",0.38042098784669,"NS",0.0326871036531042,"hatch",-0.446187961204703,0.41973553102336
"female_hypothalamus","ACSM3",0.348523343634619,"NS",0.0275373759536537,"hatch",-0.955924342736846,0.457768128119259
"female_hypothalamus","ACSM4",0.197249399486352,"NS",0.00888307143633456,"n5",0.933400821181441,0.70498431029933
"female_hypothalamus","ACTN1",0.147808600179389,"NS",0.00446753422681336,"n5",0.907571010526041,0.830300295969677
"female_hypothalamus","ACY1",0.129586598617267,"NS",0.00314956911806397,"hatch",-0.491579047125742,0.887439909325841
