"gene","padj","logpadj","lfc","sextissue","direction"
"IGLL1",0.0622175236691836,1.20608727831589,3.48937966574333,"female_hypothalamus","m.inc.d17"
"IGJ",0.0205288562729849,1.68763524586409,3.28772297456622,"female_hypothalamus","m.inc.d17"
"IFI6",0.000918252456272955,3.03703790126814,3.09877195083999,"female_hypothalamus","m.inc.d17"
"OASL",0.0103437062319743,1.98532382219999,2.06016124230173,"female_hypothalamus","m.inc.d17"
"FILIP1L",0.0595139777723884,1.22538102155733,0.721112957643083,"female_hypothalamus","m.inc.d17"
"GALNT15",0.0479294755420467,1.31939732315595,0.656384823097357,"female_hypothalamus","m.inc.d17"
"RNF213",0.0890376351684251,1.05042638334251,0.607600305568495,"female_hypothalamus","m.inc.d17"
"MPPED1",0.0661332134809666,1.17958037396706,0.580641859615101,"female_hypothalamus","m.inc.d17"
"TYRO3",0.0225563783167498,1.64673063001297,0.488730794294952,"female_hypothalamus","m.inc.d17"
"RPRD1A",0.0199115785825587,1.70089430790238,0.441415877244857,"female_hypothalamus","m.inc.d17"
"KIAA0355",0.0707403191732802,1.15033298502336,-0.220337319166005,"female_hypothalamus","m.inc.d9"
"RAB3IL1",0.0629390201693073,1.20108002243925,-0.288639489472598,"female_hypothalamus","m.inc.d9"
"SERPINB6",0.0661332134809666,1.17958037396706,-0.338198014122859,"female_hypothalamus","m.inc.d9"
"RGS9BP",0.0595139777723884,1.22538102155733,-0.354139787036261,"female_hypothalamus","m.inc.d9"
"GRIK1",0.027441518195985,1.5615918650535,-0.372354178031311,"female_hypothalamus","m.inc.d9"
"ZNF521",0.00793531548657472,2.10043580219775,-0.401468466501365,"female_hypothalamus","m.inc.d9"
"PLCB4",0.0622175236691836,1.20608727831589,-0.439832903188134,"female_hypothalamus","m.inc.d9"
"NXPH1",0.0390658664026481,1.4082025394661,-0.446721562232918,"female_hypothalamus","m.inc.d9"
"PCBP2",0.0133050236185359,1.87598435017003,-0.508771846969752,"female_hypothalamus","m.inc.d9"
"PLS1",0.0283418560172254,1.54757171260494,-0.541673825003749,"female_hypothalamus","m.inc.d9"
"SERTM1",0.083188352620946,1.07993747595151,-0.606495306718563,"female_hypothalamus","m.inc.d9"
"GJD2",0.0327867156758391,1.48430208547454,-0.623005754558258,"female_hypothalamus","m.inc.d9"
"CALB1",0.00815211589504347,2.08872965478425,-0.635935333268214,"female_hypothalamus","m.inc.d9"
"TLL2",0.00100769363193126,2.99667148593193,-0.638233213778753,"female_hypothalamus","m.inc.d9"
"GPRIN2",0.0390658664026481,1.4082025394661,-0.642818778300014,"female_hypothalamus","m.inc.d9"
"AC025263.3",7.02333993970677e-05,4.15345631060038,-0.649224082078695,"female_hypothalamus","m.inc.d9"
"PKDCCb",0.0423909959760809,1.37272637956684,-0.654387718963194,"female_hypothalamus","m.inc.d9"
"RELN",0.00281294079204766,2.55083940895019,-0.677235892515023,"female_hypothalamus","m.inc.d9"
"LOC101751621",0.0607220893282372,1.21665329363245,-0.700689744320241,"female_hypothalamus","m.inc.d9"
"LOC416916",0.0307085778409365,1.51274029590259,-0.754054023238693,"female_hypothalamus","m.inc.d9"
"ZIC1",0.00997886956552941,2.00091865402919,-0.773364817737125,"female_hypothalamus","m.inc.d9"
"INADL",8.48196230599003e-05,4.07150366188538,-0.809097083318698,"female_hypothalamus","m.inc.d9"
"LOC101749809",0.000295451488577593,3.52951381756651,-0.833331607628141,"female_hypothalamus","m.inc.d9"
"LOC416927",0.0287125226741122,1.54192864883696,-0.859348857892995,"female_hypothalamus","m.inc.d9"
"SHISA8",0.00895547507463399,2.04791137052747,-0.878923874519541,"female_hypothalamus","m.inc.d9"
"LOC101751638",0.0583362328040781,1.23406161987021,-0.975541864122112,"female_hypothalamus","m.inc.d9"
"CALB2",0.0464543977844933,1.33297316556421,-0.990228538479129,"female_hypothalamus","m.inc.d9"
"FZD10",0.00815211589504347,2.08872965478425,-1.0616445981511,"female_hypothalamus","m.inc.d9"
"LHX9",0.0413114968087405,1.38392906926936,-1.06196136225517,"female_hypothalamus","m.inc.d9"
"ARHGEF33",0.0604720511520176,1.218445300306,-1.072551787674,"female_hypothalamus","m.inc.d9"
"GHRH",0.0688823509752719,1.16189203870069,-1.15296248218763,"female_hypothalamus","m.inc.d9"
"PLEKHD1",0.0588419982233808,1.230312587429,-1.15751384327824,"female_hypothalamus","m.inc.d9"
"KCNH8",0.00295507379623101,2.52943166913273,-1.18288210981529,"female_hypothalamus","m.inc.d9"
"TCF7L2",0.0225563783167498,1.64673063001297,-1.22486724928107,"female_hypothalamus","m.inc.d9"
"SLITRK6",0.000391081875936274,3.40773231026431,-1.24622757554106,"female_hypothalamus","m.inc.d9"
"CYTL1",0.0257585331303369,1.58907887235023,-1.28006372836034,"female_hypothalamus","m.inc.d9"
"OTX2",0.0107130113851604,1.9700884335446,-1.29000690707345,"female_hypothalamus","m.inc.d9"
"KCNK9",9.18753022059018e-05,4.03680121937834,-1.37057002384651,"female_hypothalamus","m.inc.d9"
"GBX2",0.00734822229458514,2.13381771411753,-1.40921485071067,"female_hypothalamus","m.inc.d9"
"IGFBP7",0.0645453925779271,1.19013475338823,-1.42215904404349,"female_hypothalamus","m.inc.d9"
"NPY6R",0.0595139777723884,1.22538102155733,-1.44254052018391,"female_hypothalamus","m.inc.d9"
"ZNF385B",5.2625356155846e-06,5.27880495194496,-1.4573881997479,"female_hypothalamus","m.inc.d9"
"C1QTNF3",0.0622175236691836,1.20608727831589,-1.46760479211133,"female_hypothalamus","m.inc.d9"
"GABRR1",7.48648097659111e-05,4.1257222746342,-1.58395422824511,"female_hypothalamus","m.inc.d9"
"CBLN2",1.93388958189279e-05,4.71356832619078,-1.61399153639785,"female_hypothalamus","m.inc.d9"
"IRX2",0.00793531548657472,2.10043580219775,-1.62093727871582,"female_hypothalamus","m.inc.d9"
"PPP1R17",2.78669070858473e-07,6.55491123042874,-1.96646998801794,"female_hypothalamus","m.inc.d9"
"RLN1",0.00271356830773653,2.56645924159891,-2.01777407136526,"female_hypothalamus","m.inc.d9"
