"gene","padj","logpadj","lfc","sextissue","direction"
"IGLL1",0.00130632013783929,2.88395037814576,4.21619365853487,"female_hypothalamus","inc.d17"
"OVALY",0.0860442456703611,1.06527816841802,3.96877925935877,"female_hypothalamus","inc.d17"
"NR5A1",0.00265967079152127,2.57517211610345,3.90525403908308,"female_hypothalamus","inc.d17"
"NPVF",0.000463939214259485,3.33353891737834,3.58318049508572,"female_hypothalamus","inc.d17"
"IGJ",0.00223778225991756,2.65018217335581,3.35777112280514,"female_hypothalamus","inc.d17"
"LARP6L",0.0527987462057403,1.27737639039031,3.1943072573623,"female_hypothalamus","inc.d17"
"PITX2",0.00164996641412869,2.78252489597218,3.11820557481739,"female_hypothalamus","inc.d17"
"LOC101748683",0.0706692642904978,1.15076942992824,2.91705912729092,"female_hypothalamus","inc.d17"
"SHOX",0.0715140767595467,1.14560846369163,2.85990577353078,"female_hypothalamus","inc.d17"
"MFRP",0.0800110332820439,1.09685012096914,2.62572015496446,"female_hypothalamus","inc.d17"
"CCDC69",0.0464189352054041,1.3333048259594,2.59014394313452,"female_hypothalamus","inc.d17"
"BAIAP2L2",0.0405167849139627,1.3923650240601,2.57072347695492,"female_hypothalamus","inc.d17"
"PMCH",0.00923905546246803,2.0343724257935,2.53559437294292,"female_hypothalamus","inc.d17"
"NIPAL4",0.0110467636722406,1.95676493692477,2.50669564419617,"female_hypothalamus","inc.d17"
"CD72AGL",0.0604203257912128,1.21881693730596,2.34443053286088,"female_hypothalamus","inc.d17"
"PAX7",0.0458538374677984,1.33862431274533,2.29037513659536,"female_hypothalamus","inc.d17"
"IRX5",0.0651896794985613,1.18582115413926,2.23340152689644,"female_hypothalamus","inc.d17"
"CLCNKB",0.0673875844283883,1.17142011104518,1.94095979817353,"female_hypothalamus","inc.d17"
"DMBX1",0.0331365311950721,1.47969295643832,1.87728075625777,"female_hypothalamus","inc.d17"
"WFIKKN2",0.0904802479233832,1.04344621807807,1.82499762402114,"female_hypothalamus","inc.d17"
"GPR17",0.000175469084429425,3.75579938999262,1.81871755138755,"female_hypothalamus","inc.d17"
"RBPMS2",0.00265967079152127,2.57517211610345,1.80879916708997,"female_hypothalamus","inc.d17"
"BSX",0.0484800293624939,1.31443712580618,1.78247543681296,"female_hypothalamus","inc.d17"
"CALCA",0.00879042105505329,2.05599032202445,1.77553879140743,"female_hypothalamus","inc.d17"
"FOXD1",0.0841527190992318,1.07493184676227,1.75849720152682,"female_hypothalamus","inc.d17"
"SHOX2",0.00414149465257729,2.38284289505784,1.7453378635895,"female_hypothalamus","inc.d17"
"C7ORF72",0.01546482076788,1.81065510895998,1.68553306139773,"female_hypothalamus","inc.d17"
"APOBEC2",0.00131947843712219,2.87959770261359,1.68424259478792,"female_hypothalamus","inc.d17"
"IRX2",0.000952546901469477,3.02111363135007,1.68343860603611,"female_hypothalamus","inc.d17"
"KCNJ15",0.0736957912050177,1.13255731415764,1.65334459195094,"female_hypothalamus","inc.d17"
"LMX1B",0.0285111248739813,1.54498564775804,1.64814695741454,"female_hypothalamus","inc.d17"
"LRRC32",0.00776668591295929,2.1097642574857,1.62675246854851,"female_hypothalamus","inc.d17"
"GDPD2",0.0455647048135758,1.34137143891513,1.60390558631771,"female_hypothalamus","inc.d17"
"NPSR1",0.0543257459580125,1.26499430157947,1.59101693120984,"female_hypothalamus","inc.d17"
"AvBD5",0.0304471808681266,1.51645291288647,1.56407042500695,"female_hypothalamus","inc.d17"
"WNT3",0.0330477688669567,1.48085785543635,1.51239214396817,"female_hypothalamus","inc.d17"
"LOC101750514",0.0688826641771496,1.16189006400708,1.48118124211334,"female_hypothalamus","inc.d17"
"TRIM55",0.0895736913347849,1.04781952812678,1.4718473794592,"female_hypothalamus","inc.d17"
"BMPR1B",0.0105233084292027,1.97784770061389,1.4666524683589,"female_hypothalamus","inc.d17"
"TPPP2",0.0907448401586312,1.04217806000361,1.43508892056278,"female_hypothalamus","inc.d17"
"CIB2",0.00265191910222004,2.57643972838013,1.41753837806918,"female_hypothalamus","inc.d17"
