"gene","padj","logpadj","lfc","sextissue","direction"
"APCDD1L",0.0156310593779885,1.80601158714885,2.46616357112275,"female_pituitary","early"
"FAM132A",0.0336611637504727,1.4728708734561,2.11432451184974,"female_pituitary","early"
"GPRC6A",0.0113212249352125,1.94610658076059,1.6310776308798,"female_pituitary","early"
"UMODL1",0.0832173645919264,1.07978604198343,1.12342486920968,"female_pituitary","early"
"C18ORF42",0.0420237635886584,1.37650505539051,1.09512467910934,"female_pituitary","early"
"VIPR1",0.0633781711722644,1.19806029687897,1.06269801717497,"female_pituitary","early"
"GPD1L2",0.0832173645919264,1.07978604198343,0.867870107259587,"female_pituitary","early"
"CFAP57",0.0633781711722644,1.19806029687897,0.743126727483117,"female_pituitary","early"
"SGSM1",0.0765645562690339,1.11597223009509,-0.726613389124892,"female_pituitary","bldg"
"IRF1",0.096211571986562,1.01677268942099,-0.919083570869873,"female_pituitary","bldg"
"GPR27",0.0285190584908239,1.54486481609188,-0.947284999917114,"female_pituitary","bldg"
"DDX10",0.0475634607952587,1.32272655292631,-0.971540544660922,"female_pituitary","bldg"
"PINLYP",0.0702956987929757,1.1530712474926,-1.24504394456556,"female_pituitary","bldg"
"C1QA",0.0859813844210468,1.06559556641161,-1.33592982828595,"female_pituitary","bldg"
"SRGN",0.00401777310167928,2.39601459309077,-1.44979832895702,"female_pituitary","bldg"
"GVIN1",0.0700445716895784,1.15462551600433,-1.58556331799901,"female_pituitary","bldg"
"CITED4",0.0832173645919264,1.07978604198343,-1.66076991782108,"female_pituitary","bldg"
"LOC395159",0.0832173645919264,1.07978604198343,-1.66453903349473,"female_pituitary","bldg"
"MARCO",0.0475634607952587,1.32272655292631,-1.79915035708997,"female_pituitary","bldg"
"ABCA4",0.0336611637504727,1.4728708734561,-2.06809551822246,"female_pituitary","bldg"
"LOC107054221",0.00606037388658694,2.21750058179532,-2.19275294766682,"female_pituitary","bldg"
"ATP2B4",0.096211571986562,1.01677268942099,-2.22770798315102,"female_pituitary","bldg"
"CYTH4",0.00401777310167928,2.39601459309077,-2.27050893640478,"female_pituitary","bldg"
"ANXA5",0.00912922030388917,2.03956631251808,-2.32349811481726,"female_pituitary","bldg"
"SERPINB5",0.0285190584908239,1.54486481609188,-2.37278564633207,"female_pituitary","bldg"
"NEFM",0.0832173645919264,1.07978604198343,-2.51394814609238,"female_pituitary","bldg"
"SCEL",0.0859813844210468,1.06559556641161,-3.37249967466331,"female_pituitary","bldg"
"LOC422926",0.0028040877758754,2.55220839584743,-3.49669632378506,"female_pituitary","bldg"
"TH",0.088044941515127,1.05529559069244,-3.69016266834512,"female_pituitary","bldg"
"TAC1",0.0962791286588456,1.01646784881213,-4.07391594618006,"female_pituitary","bldg"
"SLC9A3",0.0475634607952587,1.32272655292631,-4.25369238537551,"female_pituitary","bldg"
