"gene","padj","logpadj","lfc","sextissue","direction"
"REG4",2.93516961788497e-08,7.53236679663682,6.60287046453959,"female_pituitary","lay"
"PROCA1",8.89725897351666e-08,7.05074376818948,5.87535174050553,"female_pituitary","lay"
"PRPH2",0.0408574226763003,1.38872903253382,4.69206892785619,"female_pituitary","lay"
"LOC107054855",0.000386891759641756,3.41241052016303,3.11176442108924,"female_pituitary","lay"
"CRABP1",0.0396805058123772,1.40142280047642,2.62897859603246,"female_pituitary","lay"
"AGT",0.0201395408382011,1.69595043515821,2.52725676393515,"female_pituitary","lay"
"DLK1",0.000400918685644106,3.39694370208569,2.46501999783753,"female_pituitary","lay"
"TNFRSF25",0.0561612235893705,1.25056343876424,1.95267394457614,"female_pituitary","lay"
"PLA2G4E",0.000354874341168597,3.44992540074184,1.92433958088336,"female_pituitary","lay"
"SLC30A2",0.0653738315513631,1.18459606034769,1.92357006991082,"female_pituitary","lay"
"ASB11",0.0166557987846704,1.77843453442547,1.81555060129236,"female_pituitary","lay"
"GRID2IP",5.98397929788524e-05,4.22300991762183,1.7539122816659,"female_pituitary","lay"
"MCHR1",0.0975577401957332,1.01073826813578,1.55849589045059,"female_pituitary","lay"
"SLC10A4",0.000354874341168597,3.44992540074184,1.5084965991803,"female_pituitary","lay"
"GPRC6A",0.0291631145286684,1.53516609659604,1.38080429159453,"female_pituitary","lay"
"MT4",0.0168677257800125,1.77294346796044,1.33462296310825,"female_pituitary","lay"
"CNTN4",2.67096016487919e-05,4.57333258906667,1.18350893425894,"female_pituitary","lay"
"ABCC6",0.0561612235893705,1.25056343876424,1.16147914542058,"female_pituitary","lay"
"TBX20",0.0146546807889845,1.83402363700667,1.13154279281609,"female_pituitary","lay"
"BRINP2",0.0486925406177072,1.31253756479555,1.10561389559089,"female_pituitary","lay"
"GATA2",1.86568748388914e-05,4.72916110195565,1.08619555161787,"female_pituitary","lay"
"ROM1",0.0217815630369844,1.66191095864907,1.00430860690375,"female_pituitary","lay"
"C18ORF42",0.0712730296876957,1.14707477973704,0.944462597341136,"female_pituitary","lay"
"ATCAY",0.0217815630369844,1.66191095864907,0.900159477481054,"female_pituitary","lay"
"ESR1",5.72191445469603e-07,6.24245863938836,0.886321656589639,"female_pituitary","lay"
"NFKBIE",0.0320693436229046,1.49390992887317,0.840029015704929,"female_pituitary","lay"
"AMPH",0.000400918685644106,3.39694370208569,0.75590409852818,"female_pituitary","lay"
"OSBPL10",0.000354874341168597,3.44992540074184,0.720548363762648,"female_pituitary","lay"
"ZNF385B",0.0773431291371303,1.11157826128418,0.714439372496974,"female_pituitary","lay"
"NT5DC3",0.00321201730654203,2.49322212338232,0.691181034130591,"female_pituitary","lay"
"BLVRA",0.035792226440007,1.44621128566881,0.670353854144813,"female_pituitary","lay"
"ITPR2",0.00131597183195971,2.88075340658482,0.578234914479329,"female_pituitary","lay"
"ZFYVE28",0.073669013198514,1.13271514751053,0.489478604126377,"female_pituitary","lay"
"SP3",0.0939127763278494,1.02727532028733,0.357728325157026,"female_pituitary","lay"
"DNAJB11",0.076610629418404,1.11571096956456,-0.543097373802442,"female_pituitary","bldg"
"DHCR24",0.00321201730654203,2.49322212338232,-0.559532288583526,"female_pituitary","bldg"
"XBP1",0.0173388422649504,1.76097990424905,-0.610367341212434,"female_pituitary","bldg"
"FICD",0.0660401561481316,1.18019190854383,-0.611661662603517,"female_pituitary","bldg"
"SPCS2",0.02808489832051,1.55152714411903,-0.621076455950421,"female_pituitary","bldg"
"TMEM255B",0.0396805058123772,1.40142280047642,-0.626823072066973,"female_pituitary","bldg"
"PDIA6",0.00427294370326733,2.36927282904599,-0.667448179414355,"female_pituitary","bldg"
"HSP90B1",0.00201150761171383,2.6964783196828,-0.735580505047314,"female_pituitary","bldg"
"SSR2",0.035190678658027,1.45357235764352,-0.746121638698134,"female_pituitary","bldg"
"PHF19",0.0201395408382011,1.69595043515821,-0.753123313260766,"female_pituitary","bldg"
"MXRA7",0.00428270804397084,2.36828153083672,-0.765245604453255,"female_pituitary","bldg"
"HSPA5",0.00277190012680973,2.5572224216637,-0.802132684551257,"female_pituitary","bldg"
"LOC100859104",0.0427247837330385,1.36932012694042,-0.823073384430786,"female_pituitary","bldg"
"CRELD2",0.00757141185053699,2.12082312951899,-0.887487567522618,"female_pituitary","bldg"
"LOC425531",0.0557253232596578,1.25394740352106,-0.893230110341055,"female_pituitary","bldg"
"FAAH2",0.0172338057857535,1.76361880559091,-0.897942968235116,"female_pituitary","bldg"
"WDR90",0.00478718933228226,2.31991939592741,-0.921880047726944,"female_pituitary","bldg"
"DUSP15",0.0561612235893705,1.25056343876424,-0.934381615637672,"female_pituitary","bldg"
"SGSM1",6.64015869802287e-05,4.1778215409856,-0.954017789836774,"female_pituitary","bldg"
"MANF",0.000745268739338344,3.12768709508209,-0.957210348489908,"female_pituitary","bldg"
"CKB",0.0561612235893705,1.25056343876424,-0.986635342533478,"female_pituitary","bldg"
"ALDH1A2",0.0486925406177072,1.31253756479555,-1.00888634366109,"female_pituitary","bldg"
"GPR27",0.000768231753194577,3.11450774617867,-1.03704857747378,"female_pituitary","bldg"
"CORO7",0.0172940789652412,1.7621025623553,-1.06328188848148,"female_pituitary","bldg"
"DUSP4",0.0298956676701111,1.52439174288919,-1.06549252414849,"female_pituitary","bldg"
"HPSE",0.0267777205353131,1.57222639525042,-1.10850554581925,"female_pituitary","bldg"
"PDIA3",1.73395517575975e-05,4.76096213360249,-1.138508594994,"female_pituitary","bldg"
"KANK1",0.0217815630369844,1.66191095864907,-1.14070512749066,"female_pituitary","bldg"
"AKR1B1",0.000564082312381367,3.24865751799417,-1.16700431028123,"female_pituitary","bldg"
"DDX10",0.000293191215495787,3.53284904603247,-1.1770143511389,"female_pituitary","bldg"
"NPC2",0.000611291221031512,3.21375184122142,-1.18309939948471,"female_pituitary","bldg"
"TMEM158",0.0292589930991634,1.53374062349442,-1.19312083561915,"female_pituitary","bldg"
"GADD45B",0.0145513824260334,1.8370957454081,-1.21745756015237,"female_pituitary","bldg"
"COL11A1",0.00852749866168439,2.06917834007924,-1.22603339756358,"female_pituitary","bldg"
"FNDC5",0.0632937281422639,1.19863932265493,-1.2341885201814,"female_pituitary","bldg"
"TMEM8A",0.00137261699513481,2.86245062817041,-1.23811328762469,"female_pituitary","bldg"
"NETO2",0.0352701391374861,1.45259282707696,-1.2551184977377,"female_pituitary","bldg"
"LOC424214",0.0673221468760922,1.17184204299964,-1.31876444673804,"female_pituitary","bldg"
"LOC417253",0.00065044276164009,3.18679091493265,-1.31939169601042,"female_pituitary","bldg"
"ARHGAP40",0.0338486941654417,1.47045808112011,-1.37006344134862,"female_pituitary","bldg"
"CGA",1.04189580286562e-06,5.98217571146182,-1.40071002150176,"female_pituitary","bldg"
"CPLX4",0.0145513824260334,1.8370957454081,-1.4020511868546,"female_pituitary","bldg"
"AEBP1",0.00255019659613668,2.59342633826164,-1.45951027375551,"female_pituitary","bldg"
"CEBPA",0.0537794977730507,1.26938325781021,-1.52011084594301,"female_pituitary","bldg"
"GNRHR",4.20765695050661e-06,5.37595967535982,-1.53029995639725,"female_pituitary","bldg"
"LOC770492",0.0291631145286684,1.53516609659604,-1.54938121824423,"female_pituitary","bldg"
"EMID1",0.000831706593256165,3.08002985568456,-1.63192370795031,"female_pituitary","bldg"
"CSRP1",1.15462116183384e-06,5.93756048703881,-1.64992619855714,"female_pituitary","bldg"
"KRT14",0.00906422950864693,2.04266910655629,-1.67185391305851,"female_pituitary","bldg"
"CAPG",0.000354874341168597,3.44992540074184,-1.74663219632502,"female_pituitary","bldg"
"SLC6A2",0.000433874091376647,3.36263628282332,-2.03914818849702,"female_pituitary","bldg"
"LOC395159",0.000683289545941044,3.16539522375975,-2.04436981139982,"female_pituitary","bldg"
"CYTH4",0.00128011811463212,2.89274995678466,-2.12582216201133,"female_pituitary","bldg"
"SERPINB5",0.0217815630369844,1.66191095864907,-2.1374260161717,"female_pituitary","bldg"
"RASL10A",0.0896075310287967,1.04765548869944,-2.19306305455205,"female_pituitary","bldg"
"FDX1L",0.000219377698178688,3.65880752466573,-2.19564381317842,"female_pituitary","bldg"
