"gene","padj","logpadj","lfc","sextissue","direction"
"LOC416696",0.0139168407703417,1.85645934171736,2.8078780538275,"female_pituitary","m.inc.d17"
"SMYD1",0.0536463964842163,1.27045944498564,2.72888717552065,"female_pituitary","m.inc.d17"
"PRL",7.25388554237093e-13,12.1394293013485,2.50389419603095,"female_pituitary","m.inc.d17"
"CLUL1",0.000269015311211497,3.57022300109266,2.34316827646892,"female_pituitary","m.inc.d17"
"HSP25",0.00682294545454372,2.16602810063646,2.22578159360218,"female_pituitary","m.inc.d17"
"CNTFR",3.18356563586832e-05,4.49708619181818,2.15602552802214,"female_pituitary","m.inc.d17"
"NPVF",0.0193223131396185,1.71394088394337,1.97830529462261,"female_pituitary","m.inc.d17"
"SLC27A6",0.0284517499587002,1.54589101664908,1.94726234236144,"female_pituitary","m.inc.d17"
"PDGFD",5.35318268259363e-07,6.27138793563981,1.89281777784479,"female_pituitary","m.inc.d17"
"IFIT5",0.0386357177486336,1.41301101531036,1.88756477238127,"female_pituitary","m.inc.d17"
"SLC38A8",0.000472981231949931,3.32515609186746,1.83870982220783,"female_pituitary","m.inc.d17"
"CD24",8.3121855787386e-09,8.08028476923788,1.80433034700082,"female_pituitary","m.inc.d17"
"ASIC4",0.021524958045264,1.66705768636574,1.79376890989571,"female_pituitary","m.inc.d17"
"SLITRK6",0.00105040068697789,2.97864500288334,1.75838649413678,"female_pituitary","m.inc.d17"
"VIPR1",7.1562388976067e-08,7.14531516975635,1.65712502727948,"female_pituitary","m.inc.d17"
"C21H1orf233",0.000227903700270617,3.64224862350736,1.60737979337526,"female_pituitary","m.inc.d17"
"CAPN13",0.0773927381937771,1.11129978751254,1.60227849703768,"female_pituitary","m.inc.d17"
"NMBR",0.0301380129631992,1.52088538465461,1.52361928641627,"female_pituitary","m.inc.d17"
"ATP4B",0.00101580046963408,2.99319159072041,1.4991679911757,"female_pituitary","m.inc.d17"
"NSMF",4.73300999109477e-05,4.32486257876193,1.47077951459682,"female_pituitary","m.inc.d17"
"FFAR4",0.0258411517756686,1.5876881331433,1.44155744823299,"female_pituitary","m.inc.d17"
"RASSF6",3.18356563586832e-05,4.49708619181818,1.42462595195331,"female_pituitary","m.inc.d17"
"EBF2",6.9926769792697e-05,4.15535653315843,1.39494505245446,"female_pituitary","m.inc.d17"
"CALB2",0.000373711692280752,3.4274633142093,1.3609691138428,"female_pituitary","m.inc.d17"
"CHRNB4",0.0386357177486336,1.41301101531036,1.35961131075047,"female_pituitary","m.inc.d17"
"MYRIP",0.000931983454355685,3.03059179767371,1.33040334223145,"female_pituitary","m.inc.d17"
"ARAP2",0.0204389497392617,1.68954142429867,1.30828177573494,"female_pituitary","m.inc.d17"
"LOC417372",0.000282040399382515,3.54968867901308,1.26870955131636,"female_pituitary","m.inc.d17"
"TRIM36",0.0339849657232086,1.46871316376523,1.2673842346175,"female_pituitary","m.inc.d17"
"C9H3ORF55",1.36088910827213e-05,4.86617726173832,1.26185522519745,"female_pituitary","m.inc.d17"
"TACR3",0.00160272716646396,2.7951404016533,1.24310661802924,"female_pituitary","m.inc.d17"
"NXPH1",0.0204389497392617,1.68954142429867,1.22853019848931,"female_pituitary","m.inc.d17"
"LOC771735",0.00442767756319618,2.35382401327284,1.22444724367188,"female_pituitary","m.inc.d17"
"SEMA3A",2.96590851513305e-08,7.52784224912209,1.21572295017055,"female_pituitary","m.inc.d17"
"UMODL1",0.00627561087110452,2.20234399334695,1.20379374798043,"female_pituitary","m.inc.d17"
"LOC428479",0.0258411517756686,1.5876881331433,1.16391695956249,"female_pituitary","m.inc.d17"
"RTN4RL1",0.021524958045264,1.66705768636574,1.14191506026013,"female_pituitary","m.inc.d17"
"WSCD2",0.0150172776003044,1.82340879105537,1.12488244978302,"female_pituitary","m.inc.d17"
"VEPH1",0.0109115751143429,1.96211255334457,1.12331192013198,"female_pituitary","m.inc.d17"
"GRIK2",4.52330685570334e-08,7.34454394923876,1.12031384084571,"female_pituitary","m.inc.d17"
"FHL2",0.000400808287930495,3.39706330668855,1.10562399809912,"female_pituitary","m.inc.d17"
"TBCE",0.00113129292515238,2.94642492884474,1.08165379618257,"female_pituitary","m.inc.d17"
"CAPN5",0.000305217094619571,3.5153911460414,1.08067640593935,"female_pituitary","m.inc.d17"
"KIF15",0.00146508128175863,2.83413828026549,1.07848025117605,"female_pituitary","m.inc.d17"
"FEV",0.00722050527006314,2.14143241069596,1.07143656488053,"female_pituitary","m.inc.d17"
"TNR",0.0340535402850225,1.46783773114255,1.069422389422,"female_pituitary","m.inc.d17"
"LOC414835",0.0177698594963626,1.75031600608303,1.06544867149558,"female_pituitary","m.inc.d17"
"EPHX4",1.5836798607594e-07,6.80033260605306,1.04301885747962,"female_pituitary","m.inc.d17"
"LOC101751638",0.0183084408093683,1.73734863968085,1.04029334155744,"female_pituitary","m.inc.d17"
"MYBL1",0.00485358997268673,2.31393691529726,1.01358947225428,"female_pituitary","m.inc.d17"
"PDZD2",0.0253362976960442,1.59625684673949,1.01147550322505,"female_pituitary","m.inc.d17"
"C18ORF42",0.021524958045264,1.66705768636574,1.00084481496852,"female_pituitary","m.inc.d17"
"GPSM1",3.82371292527868e-06,5.41751472090624,0.993687567429491,"female_pituitary","m.inc.d17"
"LOC101749175",0.00105106012375013,2.97837244033135,0.973685904455804,"female_pituitary","m.inc.d17"
"NEURL1",5.58841111669068e-07,6.25271165210285,0.968137659867057,"female_pituitary","m.inc.d17"
"SCG3",0.000285410885957145,3.54452946632664,0.927161252302229,"female_pituitary","m.inc.d17"
"NECAB2",0.0586161456307349,1.23198274247106,0.924088206093525,"female_pituitary","m.inc.d17"
"NETO1",0.0386357177486336,1.41301101531036,0.913259357443225,"female_pituitary","m.inc.d17"
"C10ORF10",2.90564302223891e-05,4.53675774275474,0.904477660572404,"female_pituitary","m.inc.d17"
"SYNPR",8.73638525120028e-06,5.05866822299312,0.870468292628439,"female_pituitary","m.inc.d17"
"CLVS1",0.0703447468263702,1.15276832906795,0.868439439656263,"female_pituitary","m.inc.d17"
"GADL1",0.0605881539488506,1.2176122797537,0.867563504254737,"female_pituitary","m.inc.d17"
"SLC35F3",0.0917486624281721,1.03740025845787,0.861894893106574,"female_pituitary","m.inc.d17"
"RASSF5",0.0213908145021297,1.66977267839969,0.86133040745615,"female_pituitary","m.inc.d17"
"CLVS2",0.0184152980322399,1.73482124815255,0.831698210378035,"female_pituitary","m.inc.d17"
"DAB1",0.0168112897879447,1.77439896554334,0.789250438020966,"female_pituitary","m.inc.d17"
"ADARB2",0.024778255861667,1.6059292668184,0.780717606503442,"female_pituitary","m.inc.d17"
"KCND3",0.00199668234095105,2.69969102303394,0.758564024011773,"female_pituitary","m.inc.d17"
"LAPTM4B",0.0258411517756686,1.5876881331433,0.747276235765119,"female_pituitary","m.inc.d17"
"TMCC3",0.0245781703301263,1.60945045037983,0.742419376787711,"female_pituitary","m.inc.d17"
"MGAT4C",0.0159317240849307,1.79773722356761,0.737728741811543,"female_pituitary","m.inc.d17"
"JAK2",0.00653802851455706,2.18455318964617,0.731020697566812,"female_pituitary","m.inc.d17"
"ADAM22",0.00696055902289871,2.15735587952583,0.717837665682089,"female_pituitary","m.inc.d17"
"CCDC66",0.0184152980322399,1.73482124815255,0.717245110964952,"female_pituitary","m.inc.d17"
"KCNMA1",0.00258787133892212,2.58705731926499,0.697855470529277,"female_pituitary","m.inc.d17"
"RDH10",0.0586161456307349,1.23198274247106,0.697023211478516,"female_pituitary","m.inc.d17"
"PLEKHG1",0.00258787133892212,2.58705731926499,0.690556663876976,"female_pituitary","m.inc.d17"
"DKK3",0.0925557886335856,1.03359641437182,0.685881725517426,"female_pituitary","m.inc.d17"
"C1ORF198",0.0253802950684057,1.59550333315402,0.680998936052181,"female_pituitary","m.inc.d17"
"DOK5",0.0654317913161786,1.18421118992504,0.665247742148555,"female_pituitary","m.inc.d17"
"NEBL",0.000984848807078797,3.00663043680322,0.656584242839766,"female_pituitary","m.inc.d17"
"DPP10",0.00589766704383822,2.2293197494352,0.647387731589066,"female_pituitary","m.inc.d17"
"LPPR5",0.0287993574923605,1.54061720115171,0.647272651944717,"female_pituitary","m.inc.d17"
"LOC101750288",0.0813968562452693,1.08939236835033,0.633225837363074,"female_pituitary","m.inc.d17"
"SMPD3",0.021524958045264,1.66705768636574,0.614577413704364,"female_pituitary","m.inc.d17"
"STARD13",0.0386357177486336,1.41301101531036,0.609303272089834,"female_pituitary","m.inc.d17"
"DYNC2LI1",0.0177698594963626,1.75031600608303,0.583612377103837,"female_pituitary","m.inc.d17"
"LOC416212",0.0258411517756686,1.5876881331433,0.576678384721584,"female_pituitary","m.inc.d17"
"SPTY2D1",0.0514173795134614,1.28889006094566,0.567728911833963,"female_pituitary","m.inc.d17"
"METRNL",0.094587546387668,1.02416604003742,0.56131647622454,"female_pituitary","m.inc.d17"
"EIF2S3L",5.58841111669068e-07,6.25271165210285,0.559940268911402,"female_pituitary","m.inc.d17"
"DTNBP1",0.0360173479346566,1.44348826874435,0.556880742485716,"female_pituitary","m.inc.d17"
"MTUS1",0.0835473333932331,1.07806740706425,0.554577246691023,"female_pituitary","m.inc.d17"
"RASSF3",0.0282821896229119,1.54848697025223,0.543695160817382,"female_pituitary","m.inc.d17"
"IGDCC4",0.0957860593852786,1.01869769314064,0.539158369712119,"female_pituitary","m.inc.d17"
"AFF2",0.0844964301694283,1.0731616388665,0.53480943609034,"female_pituitary","m.inc.d17"
"SEPP1",0.00258787133892212,2.58705731926499,0.516809145316899,"female_pituitary","m.inc.d17"
"MANBA",0.0829528256424922,1.08116881590796,0.511663781579086,"female_pituitary","m.inc.d17"
"LOC101749230",0.094587546387668,1.02416604003742,0.493502574912264,"female_pituitary","m.inc.d17"
"FARP2",0.0676846471791158,1.16950983059907,0.483509562380125,"female_pituitary","m.inc.d17"
