"gene","padj","logpadj","lfc","sextissue","direction"
"OTOF",0.00562807025348212,2.24964049003808,4.41731685548524,"female_pituitary","m.n2"
"RBP4B",0.0420749371787038,1.37597652378857,3.00105995393814,"female_pituitary","m.n2"
"PRL",3.86621189127275e-18,17.4127143477496,2.97051420081008,"female_pituitary","m.n2"
"LOC416696",0.00616578205321929,2.21001183068915,2.89144592562701,"female_pituitary","m.n2"
"FOXM1",0.066691919959587,1.17592677971957,2.77158648219124,"female_pituitary","m.n2"
"SMYD1",0.0397830083101552,1.40030237950465,2.70061513455686,"female_pituitary","m.n2"
"CENPA",0.0455312557628384,1.34169037158176,2.42944525735889,"female_pituitary","m.n2"
"CLUL1",0.000116760157104982,3.93270532932482,2.40071207580269,"female_pituitary","m.n2"
"CDCA3",0.0633189179051114,1.19846651566462,2.34751411517337,"female_pituitary","m.n2"
"SLC27A6",0.0025731354340837,2.58953735458745,2.2777750480455,"female_pituitary","m.n2"
"KPNA2",0.00589192506971476,2.22974278491432,2.23294818639538,"female_pituitary","m.n2"
"MYOT",0.0167504768242445,1.77597282569037,2.13388706246508,"female_pituitary","m.n2"
"CNTFR",6.02490902000703e-05,4.22004950682898,2.1042489348666,"female_pituitary","m.n2"
"TMEM114",0.0235734047229746,1.62757768749631,2.09832078751333,"female_pituitary","m.n2"
"SLITRK6",2.03651561329913e-05,4.69111225597147,2.07490405338738,"female_pituitary","m.n2"
"MLN",0.0184810249574642,1.73327394648025,2.06318603517978,"female_pituitary","m.n2"
"NPVF",0.00777360514189368,2.10937752301166,2.06173382472407,"female_pituitary","m.n2"
"CD24",2.18889281038969e-11,10.6597755052188,2.02430685116022,"female_pituitary","m.n2"
"ASIC4",0.00468662801632458,2.32913951562181,1.96792219548125,"female_pituitary","m.n2"
"CDK1",0.0163932797976159,1.785334148595,1.92795222000556,"female_pituitary","m.n2"
"RACGAP1",0.00318414215676543,2.49700755132362,1.92100757675186,"female_pituitary","m.n2"
"SHCBP1",0.0929083855911125,1.03194508631213,1.86786581419582,"female_pituitary","m.n2"
"CKAP2",0.0179450966909165,1.74605419727956,1.86183448318638,"female_pituitary","m.n2"
"CCNB3",0.0794995430636068,1.09963536751365,1.85637997450669,"female_pituitary","m.n2"
"PDGFD",1.92432653234328e-06,5.71572123210983,1.83829121326576,"female_pituitary","m.n2"
"HABP2",0.0584341848335565,1.23333301006077,1.81643835502236,"female_pituitary","m.n2"
"STC1",2.97947755796775e-05,4.52585988142143,1.77960681618796,"female_pituitary","m.n2"
"CENPI",0.0170223029997478,1.76898168323965,1.77636466519662,"female_pituitary","m.n2"
"RASSF6",3.0129479681358e-08,7.52100836827574,1.73996119751768,"female_pituitary","m.n2"
"ARAP2",0.000120016725257822,3.92075822744378,1.7224455870512,"female_pituitary","m.n2"
"LOC423793",0.0474972299733561,1.32333171758282,1.71404040154882,"female_pituitary","m.n2"
"SLC38A8",0.00153436892214572,2.81407020649595,1.70816763928585,"female_pituitary","m.n2"
"FFAR4",0.00243944179410291,2.61270953983968,1.6727258362976,"female_pituitary","m.n2"
"LOC771735",3.61878907870026e-06,5.44143672902942,1.64697217167808,"female_pituitary","m.n2"
"PDE8B",0.000303745816916049,3.51748969430816,1.60977116715405,"female_pituitary","m.n2"
"VIPR1",3.76578674587664e-07,6.42414427744504,1.59939976137452,"female_pituitary","m.n2"
"MYRIP",9.5404239982268e-06,5.02043232382857,1.58991444759168,"female_pituitary","m.n2"
"NSMF",6.9084074158717e-06,5.16062205830095,1.57559275105048,"female_pituitary","m.n2"
"BUB1",0.0552174297548198,1.25792381264203,1.56231263142935,"female_pituitary","m.n2"
"CHRNB4",0.00555872648224304,2.25502469494417,1.55899300860246,"female_pituitary","m.n2"
"C2H8ORF46",0.0474972299733561,1.32333171758282,1.54024977886788,"female_pituitary","m.n2"
"LOC417372",1.66822151125599e-06,5.77774628299747,1.51517941834299,"female_pituitary","m.n2"
"COL20A1",0.016443134348651,1.78401539479,1.51046277451361,"female_pituitary","m.n2"
"FHL2",1.82726124719677e-08,7.73819935625726,1.4992133826344,"female_pituitary","m.n2"
"CALB2",3.51505809667184e-05,4.45406749259139,1.49374789643865,"female_pituitary","m.n2"
"ATP4B",0.000888051740765228,3.05156173008378,1.49114713642788,"female_pituitary","m.n2"
"MAD2L1",0.00744115870059164,2.12835943299016,1.48968860247041,"female_pituitary","m.n2"
"CAPN13",0.092009776309468,1.03616602513615,1.48462491244081,"female_pituitary","m.n2"
"C21H1orf233",0.000931172905332908,3.03096966933036,1.47654848799597,"female_pituitary","m.n2"
"C9H3ORF55",5.55749119420009e-08,7.25512121676453,1.46821900585533,"female_pituitary","m.n2"
"TACR3",4.56377699111068e-05,4.34067558552822,1.44571481313962,"female_pituitary","m.n2"
"LOC428479",0.000805674969923581,3.09384012846583,1.43533626141505,"female_pituitary","m.n2"
"NXPH1",0.00173297152450757,2.76120857338004,1.41478609976412,"female_pituitary","m.n2"
"LOC427826",0.0586978832636788,1.23137755979973,1.40840103784004,"female_pituitary","m.n2"
"SKA1",0.0904060908646061,1.04380230912885,1.40369029386484,"female_pituitary","m.n2"
"LOC414835",7.50671168677983e-05,4.12455026393182,1.40147645422314,"female_pituitary","m.n2"
"GPRC6A",0.0103561323498952,1.98480240798013,1.40074921467247,"female_pituitary","m.n2"
"LOC107051182",0.0170784976493243,1.76755033571406,1.3810593946423,"female_pituitary","m.n2"
"LOC101751638",7.39279212227554e-05,4.13119150554574,1.37228651255733,"female_pituitary","m.n2"
"KNSTRN",0.0179761219084284,1.74530399532979,1.36934198306566,"female_pituitary","m.n2"
"NECAB2",9.2210615757079e-05,4.03521907786908,1.34976263684988,"female_pituitary","m.n2"
"VEPH1",0.000340238465410971,3.46821658910267,1.33965935093867,"female_pituitary","m.n2"
"TRIM36",0.0132336814007651,1.87831932515224,1.3379810875213,"female_pituitary","m.n2"
"FAM84A",0.00548335487279495,2.26095364645477,1.32978128238565,"female_pituitary","m.n2"
"SNTN",0.0651790629713509,1.18589188733968,1.31602739189405,"female_pituitary","m.n2"
"GRIK2",2.18889281038969e-11,10.6597755052188,1.31138332439194,"female_pituitary","m.n2"
"C3H2orf71",0.0210542446609598,1.67666033465034,1.30650237658045,"female_pituitary","m.n2"
"FEV",0.000338445634822721,3.47051108293954,1.24694439114593,"female_pituitary","m.n2"
"TBCE",3.68055081362969e-05,4.43408718202781,1.2449657093748,"female_pituitary","m.n2"
"LOC771917",0.0448513718754832,1.34822426858778,1.24478253967379,"female_pituitary","m.n2"
"KIF15",5.77771420612696e-05,4.23824394427994,1.23609900253238,"female_pituitary","m.n2"
"SCG3",1.82726124719677e-08,7.73819935625726,1.23117043075421,"female_pituitary","m.n2"
"LOC107057175",0.0794560048315954,1.09987327571676,1.19946636175114,"female_pituitary","m.n2"
"TNR",0.00606962947393834,2.21683782001791,1.198138962819,"female_pituitary","m.n2"
"MYBL1",0.000139619050344818,3.85505532028614,1.1945840758368,"female_pituitary","m.n2"
"THADA",0.000210793749360746,3.67614227134556,1.18892982017605,"female_pituitary","m.n2"
"CARD10",0.033747738431232,1.47175532564024,1.1882625676229,"female_pituitary","m.n2"
"CAPN5",2.8270291519646e-05,4.548669713098,1.18454937028013,"female_pituitary","m.n2"
"RTN4RL1",0.0101044690809397,1.99548650068165,1.17880880395695,"female_pituitary","m.n2"
"LRRTM4",0.000299870545033828,3.52306619098442,1.17416588177975,"female_pituitary","m.n2"
"EBF2",0.0025731354340837,2.58953735458745,1.17363870623422,"female_pituitary","m.n2"
"EPHX4",1.17752494227189e-09,8.92902988489858,1.17128243332524,"female_pituitary","m.n2"
"SEMA3A",2.14225610750743e-07,6.66912861033496,1.16427483359225,"female_pituitary","m.n2"
"GREB1",0.0822098422950745,1.08507618491059,1.13681871068352,"female_pituitary","m.n2"
"NETO1",0.00153436892214572,2.81407020649595,1.11979460995262,"female_pituitary","m.n2"
"UMODL1",0.0123141826812645,1.90959440792526,1.11802158217092,"female_pituitary","m.n2"
"NTN1",0.0813635803324887,1.08956994891974,1.11545652738069,"female_pituitary","m.n2"
"ADAMTS15",0.0799746602419537,1.0970475962624,1.11046261106234,"female_pituitary","m.n2"
"ACSL6",0.00186915481590036,2.7283547259584,1.10271326829512,"female_pituitary","m.n2"
"PTGFR",0.0725311582917103,1.13947538698494,1.03237347497498,"female_pituitary","m.n2"
"NEURL1",5.6643492859764e-08,7.24684997419275,1.0299158242977,"female_pituitary","m.n2"
"CALN1",0.0485960717318038,1.31339883555566,1.01531499086594,"female_pituitary","m.n2"
"USP13",0.0378099236613036,1.42239419948243,1.0133709714396,"female_pituitary","m.n2"
"SYNPR",3.83686861652198e-08,7.41602307181978,1.00059467154267,"female_pituitary","m.n2"
"SHOX2",0.00347996969870406,2.45842453758874,0.996169414442106,"female_pituitary","m.n2"
