"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101749834",3.41883594248815e-06,5.46612173891723,4.22853161149938,"female_pituitary","prolong"
"CKM",0.000621861965641506,3.20630600471911,3.9339932670891,"female_pituitary","prolong"
"MYLK2",0.0462500879760168,1.33488743681766,3.80443151810538,"female_pituitary","prolong"
"SMYD1",0.00100899339822711,2.99611167531206,3.54395607540119,"female_pituitary","prolong"
"TMEM240",0.00154047953613662,2.81234406651418,3.43100415191916,"female_pituitary","prolong"
"FGF6",4.12467322285786e-05,4.38461045272162,3.37168387345837,"female_pituitary","prolong"
"PRL",8.4445748197744e-24,23.073422212058,3.33676317632725,"female_pituitary","prolong"
"MLN",9.6759479491478e-07,6.0143064765502,3.32872814382961,"female_pituitary","prolong"
"CENPA",0.000621861965641506,3.20630600471911,3.3223306092668,"female_pituitary","prolong"
"KPNA2",9.45988371253566e-07,6.02411420221496,3.27667136360114,"female_pituitary","prolong"
"LOC101749531",0.0413518988626544,1.38350454302466,3.2594972820535,"female_pituitary","prolong"
"FOXM1",0.0166691485319859,1.77808658357358,3.21523429488303,"female_pituitary","prolong"
"SHCBP1",8.63317345157845e-05,4.06382953346546,3.08588194293752,"female_pituitary","prolong"
"CDK1",2.92614165052131e-06,5.53370465409904,2.98234520083321,"female_pituitary","prolong"
"CAMKV",0.00618572518999808,2.20860937807977,2.81183223549826,"female_pituitary","prolong"
"DEPDC1",0.00136685664960016,2.86427703009356,2.72329837668248,"female_pituitary","prolong"
"CKAP2",2.00524254276832e-05,4.69783309006859,2.70878669820216,"female_pituitary","prolong"
"ESCO2",0.00428794048210825,2.36775125141028,2.69240447270414,"female_pituitary","prolong"
"STC1",2.87119178641627e-13,12.541937797054,2.6807832493677,"female_pituitary","prolong"
"CDCA3",0.0191898899700309,1.71692751539196,2.66138857395438,"female_pituitary","prolong"
"LOC423793",5.47197123086611e-05,4.26185619460463,2.63408655893644,"female_pituitary","prolong"
"CMYA5",0.00418859278529854,2.37793185966605,2.6102818895208,"female_pituitary","prolong"
"OPRD1",0.0465437827757158,1.33213832298616,2.61004045577313,"female_pituitary","prolong"
"CCNB3",0.00151368474189771,2.81996456678507,2.59946185050387,"female_pituitary","prolong"
"RRM2",0.000621861965641506,3.20630600471911,2.49966323924558,"female_pituitary","prolong"
"BTG4",0.0894303028392011,1.04851529858718,2.47570231841277,"female_pituitary","prolong"
"RACGAP1",1.25732059551874e-05,4.90055397043482,2.4751441733054,"female_pituitary","prolong"
"MYOT",0.00239232188046674,2.62118038759923,2.44426479167411,"female_pituitary","prolong"
"CENPK",0.00919552427613878,2.03642350473551,2.42889128274596,"female_pituitary","prolong"
"CDC45",0.000350826565433393,3.45490752823556,2.40779276815269,"female_pituitary","prolong"
"FHL1",0.00177192361921814,2.75155500280282,2.4025356347119,"female_pituitary","prolong"
"NEK2",0.00365740874973913,2.43682650046694,2.38322450986339,"female_pituitary","prolong"
"MYH7B",0.0159437807516844,1.79740868639665,2.3727619848769,"female_pituitary","prolong"
"TNNI1",0.00433907710693995,2.36260263223516,2.26355836627924,"female_pituitary","prolong"
"DEPDC1B",0.00270092251432683,2.5684878749325,2.26031145849047,"female_pituitary","prolong"
"CENPI",0.000466856174227414,3.33081689322392,2.23916917072085,"female_pituitary","prolong"
"SKA1",0.000170676260538923,3.76782688095862,2.22455026074602,"female_pituitary","prolong"
"MAD2L1",8.3703994998353e-07,6.07725381363953,2.20125493914716,"female_pituitary","prolong"
"FAM132A",0.00138062926935626,2.85992292380215,2.19618406902472,"female_pituitary","prolong"
"COL20A1",1.97241344146631e-05,4.7050020465309,2.16896866787803,"female_pituitary","prolong"
"ARAP2",7.57121153508592e-08,7.12083461972024,2.16865080682486,"female_pituitary","prolong"
"BUB1",0.00093315733268124,3.03004512693435,2.13595664607203,"female_pituitary","prolong"
"AGR2",1.03854398934485e-05,4.98357510343786,2.11284282347021,"female_pituitary","prolong"
"USP35",4.55159058304228e-08,7.34183680977692,2.10399581187937,"female_pituitary","prolong"
"PDE11A",0.0532316743739349,1.27382987311103,2.0843430019919,"female_pituitary","prolong"
"LOC107051182",7.77989960533361e-06,5.10902600726879,2.05162504319777,"female_pituitary","prolong"
"UBE2C",0.00111294104168057,2.95352784191058,2.04969857490188,"female_pituitary","prolong"
"VEPH1",5.60129174308254e-11,10.2517118065294,2.04536250908462,"female_pituitary","prolong"
"SOSTDC1",8.3703994998353e-07,6.07725381363953,2.03893973122841,"female_pituitary","prolong"
"PBK",0.013429689087857,1.87193404161208,2.03390382626187,"female_pituitary","prolong"
"SLITRK6",2.93118368818069e-05,4.53295696482202,2.01573966858599,"female_pituitary","prolong"
"NUF2",0.0323546759880157,1.49006294500949,2.01490838664603,"female_pituitary","prolong"
"E2F7",0.00236785227705413,2.62564539538722,1.99956736448992,"female_pituitary","prolong"
"LOC428479",8.75275589027324e-08,7.05785518360673,1.96365757744158,"female_pituitary","prolong"
"ERI2",0.0173547505012844,1.76058162553589,1.94685456372355,"female_pituitary","prolong"
"CD24",3.19777945643643e-10,9.49515149185792,1.90912447037234,"female_pituitary","prolong"
"PAX7",0.0019906579671787,2.70100335359762,1.90316452208649,"female_pituitary","prolong"
"C7H2ORF66",0.000633639588643219,3.19815769664554,1.88614458426456,"female_pituitary","prolong"
"DLGAP5",0.00032757247870469,3.48469259301897,1.86047578629632,"female_pituitary","prolong"
"KNTC1",7.08850614177845e-06,5.149445280013,1.83723094971759,"female_pituitary","prolong"
"GRXCR1",0.0789685536249785,1.10254581638029,1.78826058202959,"female_pituitary","prolong"
"LOC101748402",0.0580858739166961,1.23592947218711,1.78476617577918,"female_pituitary","prolong"
"HSPB1",0.0577815732733143,1.23821063738596,1.78297422086819,"female_pituitary","prolong"
"CDC20",0.00104245307522541,2.98194348515932,1.77835051232027,"female_pituitary","prolong"
"HTRA3",0.011148388427467,1.9527879081892,1.76863121832006,"female_pituitary","prolong"
"PDE8B",2.9938170664726e-05,4.52377474021498,1.75343527380841,"female_pituitary","prolong"
"NPVF",0.0592253092446484,1.22749266293287,1.71821219116243,"female_pituitary","prolong"
"FBXO5",0.052152141591591,1.28272785286902,1.71185509517003,"female_pituitary","prolong"
"TFAP2B",0.0832324138866844,1.07970750987907,1.71175298021457,"female_pituitary","prolong"
"PCSK1",7.75257501570341e-07,6.11055402273676,1.69426152497758,"female_pituitary","prolong"
"SLBP",3.12799122226122e-05,4.50473447432346,1.68673004612586,"female_pituitary","prolong"
"MCM10",0.0161244733290827,1.79251446174749,1.68453297059224,"female_pituitary","prolong"
"KNSTRN",0.000799020813771471,3.09744190755915,1.68250983287759,"female_pituitary","prolong"
"C9H3ORF55",7.16035439126521e-11,10.1450654823902,1.66882852055971,"female_pituitary","prolong"
"CHRNB4",0.00151507490121577,2.81956589628339,1.66707548454504,"female_pituitary","prolong"
