"gene","padj","logpadj","lfc","sextissue","direction"
"TH",0.000815336707364455,3.08866300481572,3.77531825727227,"female_pituitary","m.n2"
"TIMM10B",0.00703519819341876,2.15272366324762,3.58167291600753,"female_pituitary","m.n2"
"PRC1",0.0572877810450423,1.24193799916,3.43789933059866,"female_pituitary","m.n2"
"CDCA3",0.000566510901172701,3.24679172874216,3.24186518219013,"female_pituitary","m.n2"
"SHCBP1",0.000262871838010025,3.58025593824497,3.02369795705549,"female_pituitary","m.n2"
"LOC107049005",0.0534760685599771,1.27184052858785,2.92666785219043,"female_pituitary","m.n2"
"ECM1",4.49317944790279e-21,20.3474462362751,2.91178568181837,"female_pituitary","m.n2"
"TN",9.63088771527974e-06,5.0163336804685,2.89609401777621,"female_pituitary","m.n2"
"LOC107054772",0.0569154454408905,1.24476986085463,2.84973156407561,"female_pituitary","m.n2"
"ESCO2",0.00211614942555433,2.67445366914986,2.74689892667353,"female_pituitary","m.n2"
"CLUL1",2.25272331178235e-05,4.64729214673393,2.65659420136054,"female_pituitary","m.n2"
"ATP2B4",1.61597977076328e-05,4.79156408013375,2.65567332304653,"female_pituitary","m.n2"
"KPNA2",1.6445653770298e-05,4.78394885716526,2.64973420289329,"female_pituitary","m.n2"
"LOC423793",2.61878101750605e-05,4.58190081576526,2.57632644699703,"female_pituitary","m.n2"
"LOC107055016",0.0036249578278473,2.44069704157292,2.56718035302417,"female_pituitary","m.n2"
"LOC101750437",2.03158875584189e-06,5.69216419951017,2.53325630394486,"female_pituitary","m.n2"
"LOC101749531",0.0271034274070638,1.5669757862527,2.52384758455782,"female_pituitary","m.n2"
"CDC45",0.000439672049205037,3.35687114243546,2.52162694842645,"female_pituitary","m.n2"
"LOC426385",0.000645693544510204,3.18997355554493,2.49232810568109,"female_pituitary","m.n2"
"FOXM1",0.0199442003956861,1.70018337077066,2.45770043499107,"female_pituitary","m.n2"
"CENPI",4.88373146314521e-05,4.31124822418672,2.4191121253639,"female_pituitary","m.n2"
"RACGAP1",4.03303688781287e-06,5.3943678057384,2.41844289542411,"female_pituitary","m.n2"
"GAS2L3",0.00776738645408955,2.10972508666942,2.39720599916127,"female_pituitary","m.n2"
"LOC107055116",8.16919047457868e-05,4.08782097772002,2.37752538569824,"female_pituitary","m.n2"
"DEPDC1",0.00473872567999895,2.32433843143797,2.37117738197441,"female_pituitary","m.n2"
"SLC30A8",0.0261581313718742,1.58239328343146,2.36719355241806,"female_pituitary","m.n2"
"LOC107050646",5.45502873264057e-09,8.26320295756063,2.3568643001427,"female_pituitary","m.n2"
"SOX4",8.93667645327387e-17,16.0488239651381,2.356047604467,"female_pituitary","m.n2"
"RRM2",0.000261645494331346,3.58228673963206,2.34663110036308,"female_pituitary","m.n2"
"LOC107055658",0.000314106751812447,3.50292272821985,2.33106233293346,"female_pituitary","m.n2"
"CENPA",0.0106411411673915,1.97301179533744,2.31102721379545,"female_pituitary","m.n2"
"DMB2",0.000568198705363398,3.24549976014876,2.20649559059069,"female_pituitary","m.n2"
"LOC101748081",4.66046740271326e-14,13.3315705253186,2.20384138622355,"female_pituitary","m.n2"
"GSG1",0.0134069152658214,1.87267113543257,2.20104813119137,"female_pituitary","m.n2"
"PBK",0.00132138980066354,2.87896904967893,2.19453555281424,"female_pituitary","m.n2"
"NUF2",0.00187545765713784,2.72689273662068,2.19058825639726,"female_pituitary","m.n2"
"CDK1",0.000199059841663234,3.70101634571428,2.15929958643954,"female_pituitary","m.n2"
"LOC100859302",0.00940569024847045,2.02660932769446,2.157269610914,"female_pituitary","m.n2"
"BUB1",0.000152928866304132,3.81551053098171,2.14991309757436,"female_pituitary","m.n2"
"MCM10",0.00144216783721371,2.84098419416988,2.11450056750343,"female_pituitary","m.n2"
"ANGPTL3",6.40945584414011e-08,7.1931788400473,2.11058584083508,"female_pituitary","m.n2"
"LOC107051332",2.51338238864716e-08,7.59974143236016,2.10869422117694,"female_pituitary","m.n2"
"GSG1L2",0.00553869640305984,2.25659243952733,2.08873343705561,"female_pituitary","m.n2"
"LAMC3",1.35469690786734e-05,4.86815786048318,2.07974979236804,"female_pituitary","m.n2"
"LOC420716",0.0193024503419604,1.71438755615057,2.07553922014768,"female_pituitary","m.n2"
"LOC107056903",0.00375985889617386,2.42482845341355,2.05005326085478,"female_pituitary","m.n2"
"CNTD1",0.0737005815856719,1.13252908502492,2.0344714730756,"female_pituitary","m.n2"
"LOC107055647",3.58083052619147e-06,5.44601623282266,2.03359909903785,"female_pituitary","m.n2"
"MKI67",4.45676908242983e-05,4.35097986733283,2.02919107911338,"female_pituitary","m.n2"
"LOC101748630",0.00296696699541366,2.52768728475476,2.01231097228868,"female_pituitary","m.n2"
"DIO3",0.0190581228475631,1.71991987794179,1.96958961316905,"female_pituitary","m.n2"
"LOC100859602",0.00952117675067181,2.02130937254614,1.9278222291416,"female_pituitary","m.n2"
"CKAP2",0.000522251588425914,3.28212023044088,1.92394048125,"female_pituitary","m.n2"
"LGALS1",0.0439779499332514,1.35676501948246,1.87097740006409,"female_pituitary","m.n2"
"DLGAP5",5.75358930042955e-05,4.24006114191093,1.87095165654211,"female_pituitary","m.n2"
"TCTN3",0.00971546875939287,2.01253624038521,1.85909668379954,"female_pituitary","m.n2"
"CRYAA",0.0187215151071454,1.72765900730484,1.85436820007301,"female_pituitary","m.n2"
"FKBP11",2.67681616773596e-09,8.572381453273,1.82444200706892,"female_pituitary","m.n2"
"LOC107050880",0.0123894465422667,1.90694809386673,1.79164840316805,"female_pituitary","m.n2"
"UBE2C",0.00131407289483608,2.88138054273135,1.75551651140879,"female_pituitary","m.n2"
"TUT1",5.85611162327635e-05,4.23239065378864,1.75168869008853,"female_pituitary","m.n2"
"F8A3",3.36869832265543e-08,7.4725378796904,1.73899689650487,"female_pituitary","m.n2"
"CCNB3",0.0139802309814588,1.85448565311507,1.7216312017332,"female_pituitary","m.n2"
"JADE2",1.72474261965207e-15,14.7632757047674,1.66980264937255,"female_pituitary","m.n2"
"CCDC142",2.30769256534335e-07,6.63682204909873,1.65294280291639,"female_pituitary","m.n2"
"LOC107049580",3.94996245552999e-06,5.40340703233142,1.64619753264183,"female_pituitary","m.n2"
"LOC107050672",2.49481798926849e-07,6.60296113306252,1.64479949793865,"female_pituitary","m.n2"
"WNT9A",0.00332444072044275,2.4782814067385,1.6346188812643,"female_pituitary","m.n2"
"IGFBP5",4.22546108758152e-11,10.3741258933732,1.62834269838456,"female_pituitary","m.n2"
"CCDC102B",0.00041164671873506,3.38547534203052,1.62515972141855,"female_pituitary","m.n2"
"LOC107050804",1.0390408277334e-09,8.98336738708098,1.61167445180632,"female_pituitary","m.n2"
"SHH",0.00313643806803434,2.50356328360138,1.59800427160934,"female_pituitary","m.n2"
"IER5",1.47332885635643e-06,5.8317003050511,1.58510411884863,"female_pituitary","m.n2"
"SCO2",1.10363005679648e-05,4.95717648024514,1.57709888075925,"female_pituitary","m.n2"
"PANX3",0.00450208500842498,2.34658630890428,1.56665887808683,"female_pituitary","m.n2"
"PDE6C",0.0763493740832356,1.11719451896527,1.56062223869104,"female_pituitary","m.n2"
"EPHA10",2.53531250186853e-06,5.59596850202198,1.55852452952391,"female_pituitary","m.n2"
"CMYA5",0.0998214753574114,1.0007760155674,1.5570379097312,"female_pituitary","m.n2"
"TCTA",0.00411610188158191,2.38551388413768,1.55295613336857,"female_pituitary","m.n2"
"C21H1orf233",1.61960618651009e-06,5.79059057299892,1.54870789466149,"female_pituitary","m.n2"
"ABCA4",0.00601409591585023,2.22082964983173,1.54666544634107,"female_pituitary","m.n2"
"ESPL1",6.56777520060729e-07,6.18258172050594,1.54660382121877,"female_pituitary","m.n2"
"GPR50",0.0594719366840911,1.22568791861324,1.54453278220842,"female_pituitary","m.n2"
"PAGR1",2.41045177363495e-10,9.61790155310599,1.5339677061251,"female_pituitary","m.n2"
"JAK3",0.0435242216260771,1.36126898693142,1.52460836716794,"female_pituitary","m.n2"
"SGOL1",0.0109445906454339,1.96080047747237,1.51779751436173,"female_pituitary","m.n2"
"ANXA5",0.00436241163133814,2.36027335737624,1.51381837706393,"female_pituitary","m.n2"
"PCOLCE",4.35107241835495e-11,10.361403688339,1.51089858947907,"female_pituitary","m.n2"
"LOC107050660",0.000603956493326803,3.21899434513488,1.51001285541668,"female_pituitary","m.n2"
"ADO",2.35859542607729e-05,4.62734654800407,1.50230963020418,"female_pituitary","m.n2"
