"gene","padj","logpadj","lfc","sextissue","direction"
"LGALS1",2.75485293180484e-08,7.55990158106282,5.54706366148162,"female_pituitary","m.n2"
"TH",7.59545081652672e-05,4.11944644414228,5.38068025618826,"female_pituitary","m.n2"
"OTOF",0.00112800360400879,2.94768951276524,4.92206057488679,"female_pituitary","m.n2"
"CCK",0.0451727601546087,1.34512337228357,4.48342241240263,"female_pituitary","m.n2"
"RBP4B",0.000736280730232703,3.1329565656283,4.40615857185,"female_pituitary","m.n2"
"SEBOX",0.000113383284717761,3.94545096563633,4.02630746245614,"female_pituitary","m.n2"
"LOC416696",3.08763623408694e-05,4.51037387117133,3.83814546073802,"female_pituitary","m.n2"
"HABP2",0.000387281530245461,3.41197321435847,3.43515420747199,"female_pituitary","m.n2"
"VIP",0.0944497357937464,1.02479925260163,3.28965642451665,"female_pituitary","m.n2"
"ASIC4",3.21523799450789e-08,7.49278687472233,3.2587568877754,"female_pituitary","m.n2"
"SSTR3",0.000431685022707353,3.36483301891007,3.23247879173773,"female_pituitary","m.n2"
"OPRK1",0.0290726229350839,1.53651578436835,3.06579809666807,"female_pituitary","m.n2"
"LOC429032",0.000110689050280322,3.95589533881447,2.94750031705991,"female_pituitary","m.n2"
"ADIRF",0.00225215018263832,2.64740265231254,2.93992892641065,"female_pituitary","m.n2"
"DIO3",0.0138109337351042,1.8597769584746,2.70352549174914,"female_pituitary","m.n2"
"XPNPEP2",0.0776558409246497,1.10982587302051,2.45165046999563,"female_pituitary","m.n2"
"EGR3",0.00489625149482361,2.31013628285413,2.40458218039298,"female_pituitary","m.n2"
"VTN",0.00254964960733609,2.59351949958816,2.37653911046653,"female_pituitary","m.n2"
"TMEM114",0.00527994049890191,2.27737097162228,2.36405145634896,"female_pituitary","m.n2"
"RASA4",0.00137422653228073,2.86194167076245,2.23653022621476,"female_pituitary","m.n2"
"GREB1",5.78752702915367e-07,6.23750696770878,2.17175472445835,"female_pituitary","m.n2"
"SHH",0.00165437698657152,2.7813655198546,2.12665260270038,"female_pituitary","m.n2"
"LOC424214",7.78211380168566e-05,4.10890242258358,2.10943281039504,"female_pituitary","m.n2"
"SRRL",0.00364084985270261,2.4387972308401,2.08463831150798,"female_pituitary","m.n2"
"LOC107049603",0.0421430932848638,1.37527359053039,2.06931680295615,"female_pituitary","m.n2"
"ANKRD34B",0.0793935143574584,1.10021497356549,2.06744237568904,"female_pituitary","m.n2"
"CARD10",8.87548985279016e-07,6.05180766818917,2.01823805943599,"female_pituitary","m.n2"
"LOC771735",6.76669721735559e-09,8.16962325602335,2.00653360142482,"female_pituitary","m.n2"
"NSMF",1.04572562160737e-09,8.98058225108375,1.99532800407441,"female_pituitary","m.n2"
"RLTPR",0.0644438458235335,1.19081855003275,1.9952943621495,"female_pituitary","m.n2"
"COL6A3",2.38476255516126e-05,4.62255485608584,1.95191828253331,"female_pituitary","m.n2"
"CLUL1",0.00296062131264004,2.52861713882764,1.95143672767279,"female_pituitary","m.n2"
"NPTX1",0.0635064126623912,1.19718241890839,1.92534181696334,"female_pituitary","m.n2"
"CEBPA",0.000596779240317731,3.22418629272752,1.9106905710314,"female_pituitary","m.n2"
"MTUS2",0.0013932899719611,2.8559584886607,1.90905735920212,"female_pituitary","m.n2"
"LRRC31",0.0108088344144213,1.96622113626666,1.87644761244962,"female_pituitary","m.n2"
"KANK1",3.21523799450789e-08,7.49278687472233,1.86210914393427,"female_pituitary","m.n2"
"SCT",0.0021742674435977,2.66268703700456,1.85639813048777,"female_pituitary","m.n2"
"ZNF469",3.74320279655141e-05,4.42675664335381,1.84365502291511,"female_pituitary","m.n2"
"SARM1",0.00253697769285318,2.5956833514276,1.83937253818112,"female_pituitary","m.n2"
"CYTH4",0.0142485129112454,1.84623045973556,1.83450979148407,"female_pituitary","m.n2"
"ALK",0.0779409275393938,1.10823443017223,1.8315328207275,"female_pituitary","m.n2"
"SGK2",0.0625306429840736,1.2039071055749,1.82891822133943,"female_pituitary","m.n2"
"AQP2",0.033049830565855,1.48083076263834,1.80899079959387,"female_pituitary","m.n2"
"NETO2",2.74210368370757e-05,4.56191612780663,1.74996417231169,"female_pituitary","m.n2"
"GAD2",0.0478270006644268,1.32032685382869,1.74599853550172,"female_pituitary","m.n2"
"MYRIP",3.52230379938919e-07,6.45317318876956,1.74141208314882,"female_pituitary","m.n2"
"LPAR1",6.25779742908156e-05,4.20357849949216,1.73883911569137,"female_pituitary","m.n2"
"WSCD2",3.81363658795291e-07,6.41866069444848,1.72527853740226,"female_pituitary","m.n2"
"KIF12",0.0290511484700034,1.5368366941058,1.72210203742791,"female_pituitary","m.n2"
"ARHGAP40",0.000488548821147675,3.31109203031656,1.72026854573391,"female_pituitary","m.n2"
"CLDN10",0.0414974302015158,1.38197879687483,1.71110982599007,"female_pituitary","m.n2"
"SLC27A6",0.0447991119406302,1.34873059499977,1.69877551587269,"female_pituitary","m.n2"
"LOC427826",0.0120955932280737,1.91737282681753,1.65976647875985,"female_pituitary","m.n2"
"ATP6V1C2",0.0087619743520823,2.05739802241617,1.62046314575109,"female_pituitary","m.n2"
"TMEM8A",7.86399818437836e-07,6.10435659544481,1.59258508904207,"female_pituitary","m.n2"
"SERPINA4",0.0353655779627917,1.45141924005573,1.56796374530687,"female_pituitary","m.n2"
"LACTBL1",0.024033888942333,1.61917594998081,1.56127833531819,"female_pituitary","m.n2"
"AEBP1",0.000328388406861771,3.48361218323601,1.54939214433326,"female_pituitary","m.n2"
"C3H2orf71",0.00138385158806262,2.85891048353646,1.5450622275226,"female_pituitary","m.n2"
"CMKLR1",0.00225791270869867,2.64629285198735,1.50349323656883,"female_pituitary","m.n2"
"KIAA1024",0.000237679111961306,3.6240089838526,1.49772603145065,"female_pituitary","m.n2"
"IGDCC3",0.00228982737567266,2.64019725679488,1.49283938205712,"female_pituitary","m.n2"
"ABCA4",0.0814333556925234,1.08919766850179,1.48943645758295,"female_pituitary","m.n2"
"OPCML",0.00419561074091397,2.37720481144965,1.47498515353617,"female_pituitary","m.n2"
"GHRH-LR",0.00553291343278662,2.25704612464527,1.47172873042769,"female_pituitary","m.n2"
"CDKN1A",0.0226556097486979,1.64482424480983,1.47053619253958,"female_pituitary","m.n2"
"LOC101748568",0.000521070761473474,3.28310329545151,1.46314598885056,"female_pituitary","m.n2"
"AQP3",0.0614808484576428,1.21126014771215,1.46307906806356,"female_pituitary","m.n2"
