"gene","padj","logpadj","lfc","sextissue","direction"
"SLC32A1",0.00999798290171649,2.00008761030162,4.69032680269792,"female_pituitary","prolong"
"FGF6",2.15510593131934e-10,9.6665313778203,4.50465279876409,"female_pituitary","prolong"
"VIP",0.00859454835783032,2.06577694048428,4.44213478703149,"female_pituitary","prolong"
"CARTPT",0.00233764572322825,2.6312213067351,4.15667184508392,"female_pituitary","prolong"
"KPNA2",1.41247604948576e-11,10.8500189075187,4.08686585265033,"female_pituitary","prolong"
"CDCA3",2.50758589405688e-05,4.60074418186645,4.0797507175174,"female_pituitary","prolong"
"CAMKV",1.73122433644801e-06,5.76164665149566,4.02012623158864,"female_pituitary","prolong"
"CDK1",1.14103330270289e-10,9.94270167988588,3.671072677486,"female_pituitary","prolong"
"CKAP2",5.03300071355907e-11,10.2981730080303,3.65951350583081,"female_pituitary","prolong"
"DEPDC1",7.92428430142592e-06,5.10103995156792,3.53994034768182,"female_pituitary","prolong"
"SHCBP1",9.53850547863735e-07,6.02051966651464,3.51171553783319,"female_pituitary","prolong"
"LOC101749531",0.0147646942389106,1.83077554238186,3.487198938411,"female_pituitary","prolong"
"FOXM1",0.00463639474724778,2.33381959487127,3.46709822282403,"female_pituitary","prolong"
"PDE11A",0.000153748267062952,3.81318977057199,3.38027274518772,"female_pituitary","prolong"
"LOC101749834",2.21551110246267e-05,4.65452606927209,3.37577973239353,"female_pituitary","prolong"
"PBK",1.90232188609244e-07,6.72071599553421,3.36908628832275,"female_pituitary","prolong"
"SLC13A3",0.098487368962663,1.00661946434062,3.31787901223514,"female_pituitary","prolong"
"LOC423793",1.28943734563109e-08,7.88959975558712,3.29260791059531,"female_pituitary","prolong"
"ESCO2",7.56866878214288e-05,4.1209804998143,3.28957057824648,"female_pituitary","prolong"
"CCNB3",4.23937133493058e-06,5.37269854105194,3.26850744481664,"female_pituitary","prolong"
"RRM2",2.38302590932897e-07,6.62287123578303,3.23153852391526,"female_pituitary","prolong"
"BUB1",8.92536766167844e-09,8.04937388500295,3.16673436922596,"female_pituitary","prolong"
"LOC422926",0.000135337558932105,3.86858166110124,3.16319186500662,"female_pituitary","prolong"
"SLC30A8",0.0367478925325362,1.43476756236848,3.09276263090887,"female_pituitary","prolong"
"PHGDH",0.000908241576937318,3.04179862110808,3.0445355394535,"female_pituitary","prolong"
"TRIM63",0.0199444208137498,1.70017857108865,3.04193270156164,"female_pituitary","prolong"
"CKM",0.00595406063626659,2.22518674680352,3.03629710895721,"female_pituitary","prolong"
"PVALB",0.0629109746765915,1.20127358626013,2.93687251279648,"female_pituitary","prolong"
"SEPP1L",0.0712277391538889,1.14735084041709,2.9330292845838,"female_pituitary","prolong"
"RACGAP1",8.92536766167844e-09,8.04937388500295,2.92394575919593,"female_pituitary","prolong"
"CENPI",2.46088646923305e-07,6.60890842161737,2.88946759735255,"female_pituitary","prolong"
"CDC45",1.82889083009083e-06,5.73781221759858,2.88245905915621,"female_pituitary","prolong"
"ANLN",0.00992974038109402,2.003062106241,2.85449091315169,"female_pituitary","prolong"
"MKI67",5.36806189433761e-09,8.27018248534757,2.84987279902533,"female_pituitary","prolong"
"CDC6",0.0652565546045437,1.18537585968904,2.83208949173302,"female_pituitary","prolong"
"HSPB1",2.63624138852077e-05,4.57901482590548,2.80876820319885,"female_pituitary","prolong"
"GAS2L3",0.00291868300675604,2.53481307044273,2.80005188915353,"female_pituitary","prolong"
"CENPA",0.0025575568134048,2.59217471011858,2.72750801906742,"female_pituitary","prolong"
"CENPK",0.00130752963271506,2.88354845987652,2.69890288512955,"female_pituitary","prolong"
"MYH7B",0.00255532327146925,2.59255414987985,2.63038315867396,"female_pituitary","prolong"
"SMYD1",0.0131935523373465,1.87963825579585,2.59366172218262,"female_pituitary","prolong"
"S100B",0.0431455177655657,1.36506431491496,2.58574193603551,"female_pituitary","prolong"
"SKA1",1.88481759557596e-06,5.72473067254989,2.52431144468558,"female_pituitary","prolong"
"PRL",7.43997169582017e-13,12.1284287166547,2.4153670822794,"female_pituitary","prolong"
"OVST",0.0328150098313523,1.48392746129274,2.37905301945013,"female_pituitary","prolong"
"NUF2",0.00260883617847193,2.58355319150899,2.36824974558473,"female_pituitary","prolong"
"DLGAP5",1.33517590149108e-07,6.87446151481285,2.35070548028469,"female_pituitary","prolong"
"CMYA5",0.0111468359868023,1.95284838898121,2.303816692573,"female_pituitary","prolong"
"DEPDC1B",0.00127587026215126,2.89419348493807,2.27960862785735,"female_pituitary","prolong"
"UBE2C",4.95730825901755e-05,4.30475407463371,2.25420034155394,"female_pituitary","prolong"
"STC1",2.25883251102149e-10,9.64611597015792,2.25393567465723,"female_pituitary","prolong"
"SGOL1",0.00042023657837521,3.37650614827675,2.22985576645996,"female_pituitary","prolong"
"TNNI1",0.00289363440686509,2.53855634022141,2.22759287136829,"female_pituitary","prolong"
"NEK2",0.00869917700965372,2.06052183210236,2.14262453079515,"female_pituitary","prolong"
"COL20A1",6.61306103832584e-06,5.17959746875439,2.11583186892441,"female_pituitary","prolong"
"MYOT",0.0122252014845351,1.91274397450285,2.08400929531344,"female_pituitary","prolong"
