"gene","padj","logpadj","lfc","sextissue","direction"
"HAPLN1",0.0491909060501703,1.30811517807158,3.07422803171951,"female_pituitary","m.inc.d17"
"KPNA2",0.000565158945367326,3.24782939397141,2.83525511983229,"female_pituitary","m.inc.d17"
"CKAP2",0.000266506298682568,3.57429252228185,2.68531637114162,"female_pituitary","m.inc.d17"
"HSP25",0.00256158953104063,2.59149046033912,2.59170040312743,"female_pituitary","m.inc.d17"
"NUF2",0.0112414711446446,1.94917684995974,2.59140728417227,"female_pituitary","m.inc.d17"
"IFIT5",0.000565158945367326,3.24782939397141,2.57459953507846,"female_pituitary","m.inc.d17"
"PDE11A",0.0896323510459302,1.04753521193485,2.48739643265933,"female_pituitary","m.inc.d17"
"SHCBP1",0.0455693263451519,1.34132739157875,2.43308347346982,"female_pituitary","m.inc.d17"
"RSAD2",0.00210960877104022,2.6757980775612,2.41417677322931,"female_pituitary","m.inc.d17"
"LOC423793",0.00447932185946209,2.3487877304184,2.38500792835547,"female_pituitary","m.inc.d17"
"RRM2",0.0124503117410602,1.90481977421264,2.35632863815064,"female_pituitary","m.inc.d17"
"IFI6",0.0117556467560459,1.92975347246375,2.16546507843459,"female_pituitary","m.inc.d17"
"BUB1",0.00692032200781201,2.15987369702268,2.1560197382842,"female_pituitary","m.inc.d17"
"PRL",1.8871583032791e-08,7.72419166774341,2.14876034269072,"female_pituitary","m.inc.d17"
"OASL",0.0144161417638114,1.84115095562845,2.10100480658649,"female_pituitary","m.inc.d17"
"PBK",0.0398117744851818,1.3999884646679,2.06658885796421,"female_pituitary","m.inc.d17"
"LOC416696",0.0942189960715367,1.02586152759635,2.06527809728363,"female_pituitary","m.inc.d17"
"CLUL1",0.00646987735548329,2.18910395184161,2.0365473610505,"female_pituitary","m.inc.d17"
"CCNB3",0.0626087357202073,1.20336506598459,2.01283181804763,"female_pituitary","m.inc.d17"
"SLITRK6",0.000273173622945167,3.56356123750295,1.87042891146163,"female_pituitary","m.inc.d17"
"MKI67",0.00748447134212826,2.12583887017796,1.85918255754807,"female_pituitary","m.inc.d17"
"MX1",0.0199550784898154,1.69994655965512,1.85639402759842,"female_pituitary","m.inc.d17"
"CDK1",0.0356053602143536,1.44848461617659,1.85091729571788,"female_pituitary","m.inc.d17"
"UBE2C",0.0272444951479976,1.56472123534549,1.81673324103617,"female_pituitary","m.inc.d17"
"RACGAP1",0.028325522871034,1.54782206459223,1.66244578905049,"female_pituitary","m.inc.d17"
"SERPINB5",0.0827790787183829,1.0820794113461,1.63951655666695,"female_pituitary","m.inc.d17"
"TRIM36",0.00185844743037634,2.73084971921737,1.6162295408317,"female_pituitary","m.inc.d17"
"PDGFD",7.94086490471163e-05,4.10013219242344,1.60148906382182,"female_pituitary","m.inc.d17"
"FANCC",0.0995849127898898,1.00180645262462,1.5941254000412,"female_pituitary","m.inc.d17"
"CHRNA3",0.004652928447983,2.33227362592903,1.56965059295334,"female_pituitary","m.inc.d17"
"NMBR",0.0207235308723413,1.68353624758833,1.56723768857654,"female_pituitary","m.inc.d17"
"ARAP2",0.00116108750925895,2.93513504696594,1.54237635306915,"female_pituitary","m.inc.d17"
"EPSTI1",0.0278409957842257,1.5553152354458,1.538649467629,"female_pituitary","m.inc.d17"
"SKA1",0.0610808052933371,1.21409524581098,1.53426366975689,"female_pituitary","m.inc.d17"
"C2H8ORF46",0.0876311067637379,1.05734170321779,1.51137337026215,"female_pituitary","m.inc.d17"
"CD24",4.78007543190788e-06,5.32056524995632,1.50892742376931,"female_pituitary","m.inc.d17"
"CENPI",0.0770782299321937,1.11306826728472,1.48721972050997,"female_pituitary","m.inc.d17"
"PTGFR",0.00447932185946209,2.3487877304184,1.48617327290637,"female_pituitary","m.inc.d17"
"EBF2",3.55497227601237e-05,4.44916378183205,1.47576267850799,"female_pituitary","m.inc.d17"
