"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"hypothalamus","ABCB5",1,"NS",0.0018478488654387,"hatch",3.42421227246418,0
"hypothalamus","ABCB8",1,"NS",0.0470340386441881,"hatch",0.451280735794564,0
"hypothalamus","ACAN",1,"NS",0.00265367749881861,"bldg",-0.842804893181884,0
"hypothalamus","ACP5",1,"NS",0.0407552083865854,"hatch",0.982416093090582,0
"hypothalamus","ADAMTS13",1,"NS",0.032221824574947,"bldg",-0.672001155047019,0
"hypothalamus","ADGRF4",1,"NS",0.0316989122428331,"bldg",-1.54125401049667,0
"hypothalamus","ADPRHL1",1,"NS",0.0353145673913748,"hatch",1.4603126598623,0
"hypothalamus","AL021546.6",1,"NS",0.0345452866465903,"hatch",0.364203036289489,0
"hypothalamus","ALAD",1,"NS",0.0267582453416311,"hatch",0.433730746072545,0
"hypothalamus","ANXA1",1,"NS",0.0254495639124863,"bldg",-0.849855089263602,0
"hypothalamus","ANXA7",1,"NS",0.0175031414505329,"hatch",0.33506048154723,0
"hypothalamus","APEH",1,"NS",0.0274662347048018,"hatch",0.451385239110735,0
"hypothalamus","ARL16",1,"NS",0.035304044891126,"hatch",0.592120837863148,0
"hypothalamus","ATP5D",1,"NS",0.02619065795313,"hatch",0.508060953275585,0
"hypothalamus","AUP1",1,"NS",0.0352546327269406,"hatch",0.423400748999964,0
"hypothalamus","BAIAP2L1",1,"NS",0.0278845266876193,"bldg",-0.476220437984603,0
"hypothalamus","BCHE",1,"NS",0.0441216539733248,"hatch",0.700388064749097,0
"hypothalamus","BCL6",0.41509286821288,"NS",0.000190148000136825,"bldg",-0.578261248357785,0.381854728250967
"hypothalamus","BZFP3",1,"NS",0.00249950468840417,"bldg",-0.869754168143063,0
"hypothalamus","C1H12ORF73",1,"NS",0.0238772701502155,"hatch",0.622740850494989,0
"hypothalamus","C6",1,"NS",0.014543444805561,"hatch",1.91296017953853,0
"hypothalamus","CAPN2",0.000912018282998644,"hatch",6.6497869704604e-08,"hatch",1.90405496575121,3.03999645539326
"hypothalamus","CCDC142",1,"NS",0.0419310144156317,"hatch",0.629739430713055,0
"hypothalamus","CCDC183",1,"NS",0.00236095238402166,"hatch",1.40475729227422,0
"hypothalamus","CCDC28B",1,"NS",0.0166952315695957,"hatch",0.966111179379374,0
"hypothalamus","CCDC37",1,"NS",0.046098793974993,"bldg",-0.621204509919724,0
"hypothalamus","CD40LG",1,"NS",0.0115421910290035,"bldg",-1.5893248248786,0
"hypothalamus","CDHR5",1,"NS",0.0115082230908972,"bldg",-0.947370878020703,0
"hypothalamus","CDR2",1,"NS",0.00948255347639341,"bldg",-0.549123982756287,0
"hypothalamus","CHDH",1,"NS",0.0399527806786124,"bldg",-0.54769416619414,0
