"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"hypothalamus","ABCG5",1,"NS",0.025938703917933,"inc.d9",1.2837964082486,0
"hypothalamus","ABCG8",1,"NS",0.0306674564072984,"inc.d9",1.57853499588782,0
"hypothalamus","ADAP2",1,"NS",0.0153733437600709,"bldg",-0.62114902556432,0
"hypothalamus","ADCYAP1",1,"NS",0.00556280549098808,"bldg",-0.600011613196915,0
"hypothalamus","ADGRG3",1,"NS",0.049379280410137,"bldg",-1.61585941549062,0
"hypothalamus","ADGRV1",1,"NS",0.014778257642778,"inc.d9",0.591826328916052,0
"hypothalamus","ADIRF",1,"NS",0.0444654185603447,"bldg",-1.07740521530209,0
"hypothalamus","AGXT2",1,"NS",0.0097060541205561,"inc.d9",0.685096967089782,0
"hypothalamus","AIFM2",1,"NS",0.0087050165585274,"bldg",-0.622011760676151,0
"hypothalamus","AKAP5",1,"NS",0.0246931534812414,"inc.d9",0.786073332172757,0
"hypothalamus","ANGPTL7",1,"NS",0.0397334153378769,"inc.d9",0.89092905991573,0
"hypothalamus","APOBEC2",1,"NS",0.0248445843804602,"bldg",-0.954436618306359,0
"hypothalamus","ARAP3",1,"NS",0.00453321893283993,"bldg",-0.865372586166479,0
"hypothalamus","ARHGAP25",1,"NS",0.0343506975510181,"bldg",-0.655689222496193,0
"hypothalamus","ARHGAP6",1,"NS",0.0370541958146158,"inc.d9",0.605346627986381,0
"hypothalamus","ARHGDIB",1,"NS",0.0475709664283929,"inc.d9",0.491010907128202,0
"hypothalamus","ARHGEF3",1,"NS",0.0249822325963782,"bldg",-0.428345639256995,0
"hypothalamus","ARPC1B",1,"NS",0.00938826087546124,"bldg",-0.730368557295392,0
"hypothalamus","ARSI",1,"NS",0.0359975643420586,"inc.d9",0.984807150438258,0
"hypothalamus","ATP6V1C2",1,"NS",0.0176657892500179,"bldg",-0.885782214155761,0
"hypothalamus","AvBD12",1,"NS",0.0359978039401196,"inc.d9",0.905723899317461,0
"hypothalamus","B2M",1,"NS",0.0015083058326228,"bldg",-0.903201430211103,0
"hypothalamus","BARHL1",1,"NS",0.0335689535331593,"bldg",-3.01935264935376,0
"hypothalamus","BATF3",1,"NS",0.0196769259869796,"bldg",-0.926820176958421,0
"hypothalamus","BF1",1,"NS",0.0174222757973131,"bldg",-0.850316265690933,0
"hypothalamus","BSX",1,"NS",0.0348554565319724,"bldg",-1.25202030995399,0
"hypothalamus","C11ORF88",1,"NS",0.0439165394570205,"inc.d9",0.977619728157435,0
"hypothalamus","C14H7ORF62",1,"NS",0.00167413593203599,"bldg",-1.51384019124284,0
"hypothalamus","C15ORF43",1,"NS",0.0102704682152599,"bldg",-1.93291732003772,0
"hypothalamus","C18ORF42",1,"NS",0.0303035088879824,"bldg",-0.686341648568852,0
"hypothalamus","C1H12ORF63",1,"NS",0.0497735924633625,"inc.d9",0.504686980128926,0
"hypothalamus","C1HXORF59",1,"NS",0.0398597023315524,"inc.d9",0.538744684474216,0
"hypothalamus","C1ORF198",1,"NS",0.0341085639411773,"bldg",-0.51730344819971,0
"hypothalamus","C1QA",1,"NS",0.0139572156420274,"bldg",-0.741822699745658,0
