"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"hypothalamus","ACBD7",1,"NS",0.0333359899946463,"n5",-0.555840958825445,0
"hypothalamus","ACSM3",1,"NS",0.00500058983981385,"extend",1.13012546803783,0
"hypothalamus","AQP9",1,"NS",0.0105477840963278,"n5",-0.37145241214604,0
"hypothalamus","BAG3",1,"NS",0.0146835797385477,"n5",-0.543742722512054,0
"hypothalamus","BARHL2",1,"NS",0.0439766278723372,"n5",-0.870857241956279,0
"hypothalamus","C7ORF57",1,"NS",0.0493799532711771,"n5",-1.60510806420699,0
"hypothalamus","C9ORF69",1,"NS",0.0315907815834014,"n5",-0.340833127381386,0
"hypothalamus","CCDC60",1,"NS",0.0342800931054087,"extend",0.822649730111086,0
"hypothalamus","CCM2L",1,"NS",0.0305467753690071,"n5",-0.814997247104698,0
"hypothalamus","CCR7",1,"NS",0.010411410457933,"extend",1.66269491388834,0
"hypothalamus","CEP55",1,"NS",0.0411466688950266,"extend",1.38083341645312,0
"hypothalamus","CFAP36",1,"NS",0.0436740066134545,"n5",-0.644157862691374,0
"hypothalamus","CNOT6L",1,"NS",0.0368900398842335,"extend",1.09738605476289,0
"hypothalamus","CNTN3",1,"NS",0.0399188610254169,"extend",0.723262802457136,0
"hypothalamus","CNTNAP4",1,"NS",0.0445073351957057,"extend",0.918105270975779,0
"hypothalamus","COL19A1",1,"NS",0.0137810873498218,"extend",0.866094933596717,0
"hypothalamus","CXCR1",1,"NS",0.0323460641011563,"n5",-2.05554438460403,0
"hypothalamus","DCUN1D3",1,"NS",0.0211568078008658,"extend",0.3166432706532,0
"hypothalamus","DMGDH",1,"NS",0.0472196601949558,"extend",0.836448360174547,0
"hypothalamus","E2F7",1,"NS",0.0473382668728563,"extend",1.00884741278034,0
"hypothalamus","ENPP1",1,"NS",0.0271754917365785,"extend",0.536193276212683,0
"hypothalamus","FETUB",1,"NS",0.0199781031370441,"extend",1.41481640028796,0
"hypothalamus","GPR65",1,"NS",0.0342102637304562,"n5",-2.31011965378233,0
"hypothalamus","GPX7",1,"NS",0.027309904356357,"n5",-0.78627866580287,0
"hypothalamus","HAO2",1,"NS",0.0131476724266282,"n5",-1.71706730840117,0
"hypothalamus","HNF4beta",1,"NS",0.0241958150030419,"extend",2.29497111349262,0
"hypothalamus","HSP90AA1",1,"NS",0.0453673700451498,"n5",-0.341149004055277,0
