"gene","padj","logpadj","lfc","sextissue","direction"
"UBE2O",0.017674547707356,1.75265169100845,1.64650361710692,"male_gonad","extend"
"RASGRP1",0.0230084314469821,1.63811298746521,1.41966458231993,"male_gonad","extend"
"LOC107056620",0.0280857384246145,1.55151415325412,1.15551715847989,"male_gonad","extend"
"CDHR4",0.0965648515115416,1.01518092298774,1.13839173236851,"male_gonad","extend"
"KYNU",0.0744118305039378,1.12835801184491,1.09272880878806,"male_gonad","extend"
"LOC421690",0.0102406157831209,1.98967392781617,0.96004393050428,"male_gonad","extend"
"TMSB4X",0.0341142307821303,1.46706441687543,0.930464023290893,"male_gonad","extend"
"LEMD3",0.0825413471736732,1.08332844719451,0.919465505802544,"male_gonad","extend"
"TF",0.00876762283277206,2.05711814101858,0.89618343586963,"male_gonad","extend"
"BBOX1",0.00930761397386408,2.03116163704165,0.880631955141625,"male_gonad","extend"
"C20ORF196",0.00390237120405035,2.40867142171674,0.856617291695559,"male_gonad","extend"
"ELOVL6",0.0226044684050695,1.64580570192142,0.85304924339621,"male_gonad","extend"
"USPL1",0.0611525613940304,1.21358534768744,0.821153110878595,"male_gonad","extend"
"RIPK4",0.0775565474730507,1.11038153232639,0.820196652361189,"male_gonad","extend"
"COLEC12",0.016031189074212,1.79503426372092,0.820082325152248,"male_gonad","extend"
"RASSF9",0.0484018833689529,1.31513773916488,0.819428800839514,"male_gonad","extend"
"PNLDC1",0.0945748884429594,1.02422416231262,0.810561817468447,"male_gonad","extend"
"FBP1",0.027429443803978,1.5617829986409,0.795131336206694,"male_gonad","extend"
"TMEM74",0.00150580164348872,2.82223223318971,0.788303490632569,"male_gonad","extend"
"GABRA5",0.0151090689696346,1.82076229633654,0.785198541414752,"male_gonad","extend"
"TNNI3K",0.0368322840099284,1.43377134923761,0.780563730364545,"male_gonad","extend"
"SRRM4",0.0208835280645475,1.68019612973439,0.764645708636263,"male_gonad","extend"
"NEK11",0.0222595648760084,1.65248332939015,0.737181944409547,"male_gonad","extend"
"BHMT",0.0316286022816827,1.49991999982518,0.730406277026134,"male_gonad","extend"
"CFLAR",0.00568170206896122,2.2455215430873,0.723314460827557,"male_gonad","extend"
"BEND6",0.0236921773612817,1.62539502486034,0.717522036170347,"male_gonad","extend"
"CASP10",0.0197605512404773,1.70420094449746,0.711238800207409,"male_gonad","extend"
"RPAP2",0.0742794834645197,1.12913112498192,0.705055907577554,"male_gonad","extend"
"RASGRF2",0.0418651460415455,1.37814738946878,0.686903053213413,"male_gonad","extend"
"NIPA1",0.00147617436166302,2.83086234181125,0.686440435046459,"male_gonad","extend"
"CTPS2",0.0830088951935829,1.08087536634085,0.673482348951931,"male_gonad","extend"
"PCDH9",0.0334405940481097,1.47572601623528,0.666100680523992,"male_gonad","extend"
"COL28A1",0.0638491375901573,1.1948449643734,0.658137507841996,"male_gonad","extend"
"MCC",0.0876537086146581,1.05722970425007,0.646557746970146,"male_gonad","extend"
"DOCK4",0.0901287590356804,1.04513660860363,0.615923291407082,"male_gonad","extend"
"LOC101749809",0.0800405492234809,1.096689939977,0.615868006018258,"male_gonad","extend"
"POLQ",0.0234762585253845,1.62937111659203,0.611551326522018,"male_gonad","extend"
"GALNT10",0.0358370666948853,1.44566754505789,0.594655372223996,"male_gonad","extend"
"ADGRL4",0.053618651078425,1.27068411606305,0.591459459315893,"male_gonad","extend"
"AADAT",0.0588654796505747,1.23013931289153,0.583264487317257,"male_gonad","extend"
"PTCHD1",0.0490528935752298,1.30933536898352,0.580555504663571,"male_gonad","extend"
"ANKRD44",0.0295533300814123,1.52939357554424,0.578257527927014,"male_gonad","extend"
"TRIM67",0.0524158602430301,1.28053728221818,0.571621606097175,"male_gonad","extend"
"TARBP1",0.0230490392076965,1.63734717333257,0.559086333283857,"male_gonad","extend"
"FAM219A",0.0394997957971703,1.403405149548,0.55750727404299,"male_gonad","extend"
"STEAP1",0.0216833572795897,1.66387347420386,0.554401490882055,"male_gonad","extend"
"BAG1",0.0131827084031247,1.87999535425695,0.549219416327422,"male_gonad","extend"
"MBNL2",0.0651310811013601,1.18621171297503,0.542096826801504,"male_gonad","extend"
"STXBP4",0.0197605512404773,1.70420094449746,0.537566730294072,"male_gonad","extend"
"IRF6",0.0931326149060426,1.03089820308693,0.535840241875369,"male_gonad","extend"
"CISH",0.0620756421193286,1.20707877934587,0.534822808340219,"male_gonad","extend"
"SLC5A11",0.0372604996107757,1.42875132612393,0.533295652431455,"male_gonad","extend"
"GDAP1",0.052483610829507,1.27997629349931,0.53304305497378,"male_gonad","extend"
"RAB11FIP2",0.00964257005398211,2.01580719726904,0.530921335091539,"male_gonad","extend"
"KCNQ5",0.0287651909307086,1.54113273897281,0.524833710313393,"male_gonad","extend"
"SERTAD2",0.0985428613927254,1.00637483125302,0.51319114876634,"male_gonad","extend"
"HESX1",0.0560423740828723,1.25148347529112,0.512980260114534,"male_gonad","extend"
"SCML2",0.0272821391576453,1.5641215802055,0.511013526830262,"male_gonad","extend"
"EIF2AK2",0.0966011274185769,1.01501780496329,0.510391021844527,"male_gonad","extend"
"TMEM27",0.0726537442508708,1.13874199918303,0.509690914189867,"male_gonad","extend"
"LOC107055786",0.0972156219166905,1.0122639411738,0.505471483882264,"male_gonad","extend"
"BEND4",0.0630043845539192,1.20062922639858,0.504483306707946,"male_gonad","extend"
"IRAK4",0.0776014543419297,1.11013013947949,0.503806078429328,"male_gonad","extend"
"FAM83A",0.0980126910784726,1.00871768646569,0.50290588617824,"male_gonad","extend"
"ZNF385D",0.0825413471736732,1.08332844719451,0.501130332233661,"male_gonad","extend"
"CA5B",0.0451500033410039,1.34534221321361,0.499417864805778,"male_gonad","extend"
"RIC1",0.0721009305452823,1.14205913017553,0.493159078912246,"male_gonad","extend"
"RUNDC3B",0.00740857569765516,2.13026527732499,0.493006821042327,"male_gonad","extend"
"NTS",0.0413716661348526,1.38329698868626,0.492776053873882,"male_gonad","extend"
"TRPV1",0.0525749028512773,1.27922152113699,0.489647830186907,"male_gonad","extend"
"CNTN5",0.0409033793696308,1.38824080981774,0.488450879117494,"male_gonad","extend"
"DAAM2",0.0427269774765255,1.36929782826154,0.487970740146294,"male_gonad","extend"
"KIAA1549L",0.0577507999199724,1.23844199587869,0.486237769985378,"male_gonad","extend"
"DNAJC6",0.0826024272963169,1.08300719062262,0.485233669585514,"male_gonad","extend"
"PPP3CB",0.0596839512344684,1.22414243314726,0.483515122457267,"male_gonad","extend"
"ADAT1",0.0498458134466487,1.30237131224444,0.481243543437417,"male_gonad","extend"
