"gene","padj","logpadj","lfc","sextissue","direction"
"POLQ",0.0541699840974654,1.26624129190743,0.723072724590672,"male_gonad","m.n2"
"NGLY1",0.0994098246335661,1.0025706923301,0.44112459747931,"male_gonad","m.n2"
"STXBP5L",0.0671255115928924,1.17311239133152,0.440961147098131,"male_gonad","m.n2"
"INPP5F",0.0875685039308017,1.05765206995828,0.408345563878613,"male_gonad","m.n2"
"SAMHD1",0.0784353070377108,1.10548839905063,0.407182085472917,"male_gonad","m.n2"
"BCMO1",0.0994098246335661,1.0025706923301,0.397486374100621,"male_gonad","m.n2"
"MTMR9",0.0721980929978644,1.14147427350297,0.386306157300607,"male_gonad","m.n2"
"RAPGEF5",0.0931891388569796,1.03063470148023,0.385461005713826,"male_gonad","m.n2"
"KDM8",0.0700667935905293,1.1544877563155,0.381021338454704,"male_gonad","m.n2"
"PIGA",0.0449647705275235,1.34712761861624,0.380158199108338,"male_gonad","m.n2"
"LMBRD2",0.0721273904012553,1.14189978047924,0.378998587875981,"male_gonad","m.n2"
"KLHL11",0.0238192186925984,1.62307248815375,0.37345764203502,"male_gonad","m.n2"
"NEDD1",0.0238192186925984,1.62307248815375,0.369586704003631,"male_gonad","m.n2"
"SGCG",0.0931891388569796,1.03063470148023,0.368225707808839,"male_gonad","m.n2"
"TRABD",0.0541699840974654,1.26624129190743,0.355504372711347,"male_gonad","m.n2"
"MTRF1L",0.0786210259354686,1.10446129331667,0.349591390367421,"male_gonad","m.n2"
"SCAF8",0.0729127510892546,1.13719651498175,0.34816981206534,"male_gonad","m.n2"
"PRKRIR",0.0700667935905293,1.1544877563155,0.346922878990791,"male_gonad","m.n2"
"SCYL2",0.0984324662455375,1.00686163342106,0.330713226952756,"male_gonad","m.n2"
"CASD1",0.0931891388569796,1.03063470148023,0.329598742961444,"male_gonad","m.n2"
"CCDC18",0.0913339085848294,1.0393679565588,0.32873133789612,"male_gonad","m.n2"
"ZCCHC8",0.0915375817560341,1.03840056496839,0.32821258376014,"male_gonad","m.n2"
"TMEM57",0.0698617099329737,1.15576078879046,0.323433346017779,"male_gonad","m.n2"
"ZAK",0.0911846418683649,1.04007830326694,0.314122878160302,"male_gonad","m.n2"
"OSTM1",0.0931891388569796,1.03063470148023,0.314075361892672,"male_gonad","m.n2"
"ABHD13",0.0721980929978644,1.14147427350297,0.313627975241388,"male_gonad","m.n2"
"POLR3A",0.0721980929978644,1.14147427350297,0.313548736378695,"male_gonad","m.n2"
"C3H2ORF3",0.0999519340915298,1.00020879777246,0.313399435261831,"male_gonad","m.n2"
"KBTBD8",0.0729127510892546,1.13719651498175,0.313283353453594,"male_gonad","m.n2"
"CLN8",0.0729127510892546,1.13719651498175,0.313142610867471,"male_gonad","m.n2"
"ASAP2",0.0869210905519597,1.06087483345912,0.312897164636598,"male_gonad","m.n2"
"MPP5",0.0908496021539613,1.04167697020204,0.305206772576148,"male_gonad","m.n2"
"RRAGD",0.0900717557163409,1.04541137172402,0.304010373235783,"male_gonad","m.n2"
"FNDC3B",0.0891495436114891,1.04988087579226,0.298701498953053,"male_gonad","m.n2"
"GIT1",0.0729127510892546,1.13719651498175,0.295833292231485,"male_gonad","m.n2"
"EIF2AK3",0.0782724118492899,1.10639128382801,0.293373445043826,"male_gonad","m.n2"
"FAM13A",0.047055510676001,1.3273895089841,0.292244859158937,"male_gonad","m.n2"
"MED14",0.0999519340915298,1.00020879777246,0.289765870478707,"male_gonad","m.n2"
"ACVR2A",0.083310332958059,1.07930112982538,0.289581589099288,"male_gonad","m.n2"
"MYNN",0.0931891388569796,1.03063470148023,0.282940232569719,"male_gonad","m.n2"
"STX2",0.0984324662455375,1.00686163342106,0.282592915092309,"male_gonad","m.n2"
"TRPM7",0.0931891388569796,1.03063470148023,0.282029938011626,"male_gonad","m.n2"
"USP40",0.0875685039308017,1.05765206995828,0.276541186538885,"male_gonad","m.n2"
"ZNF326",0.0541699840974654,1.26624129190743,0.273493319194025,"male_gonad","m.n2"
"TBC1D23",0.0931891388569796,1.03063470148023,0.271750553190551,"male_gonad","m.n2"
"RP11-196G11.1",0.0931891388569796,1.03063470148023,0.270289163252777,"male_gonad","m.n2"
"MIER1",0.0911846418683649,1.04007830326694,0.263805979941792,"male_gonad","m.n2"
"UGT8",0.0984324662455375,1.00686163342106,0.260160467368063,"male_gonad","m.n2"
"GNA13",0.0729127510892546,1.13719651498175,0.260130552807741,"male_gonad","m.n2"
"ITPKA",0.0999519340915298,1.00020879777246,0.258467629567079,"male_gonad","m.n2"
"TRAF6",0.0900717557163409,1.04541137172402,0.251194246566046,"male_gonad","m.n2"
"CRK",0.0999519340915298,1.00020879777246,0.240290378141017,"male_gonad","m.n2"
"OXR1",0.0965924872184512,1.01505665087698,0.237295645687793,"male_gonad","m.n2"
"KTN1",0.0999519340915298,1.00020879777246,0.218525677602425,"male_gonad","m.n2"
"PDE7A",0.0931891388569796,1.03063470148023,0.217636193765134,"male_gonad","m.n2"
"RIOK3",0.099909574328074,1.00039289136751,0.216792956655077,"male_gonad","m.n2"
"SDF4",0.0913339085848294,1.0393679565588,0.216576478109842,"male_gonad","m.n2"
"PGRMC2",0.0931891388569796,1.03063470148023,0.19613320164011,"male_gonad","m.n2"
"RPN1",0.0999519340915298,1.00020879777246,-0.202911419878559,"male_gonad","bldg"
"STUB1",0.0671255115928924,1.17311239133152,-0.266667263911288,"male_gonad","bldg"
"CIAPIN1",0.0999940232582353,1.00002595743539,-0.268086170898648,"male_gonad","bldg"
"DNAJC11",0.0875685039308017,1.05765206995828,-0.273966250823384,"male_gonad","bldg"
"OARD1",0.0997335874163913,1.0011585591095,-0.276600008825668,"male_gonad","bldg"
"GALNT18",0.0959078884161515,1.01814567067384,-0.281229989718004,"male_gonad","bldg"
"RPL4",0.0875685039308017,1.05765206995828,-0.283485589690241,"male_gonad","bldg"
"RPL21",0.0671255115928924,1.17311239133152,-0.313780328999049,"male_gonad","bldg"
"COPS7A",0.0875685039308017,1.05765206995828,-0.31732033447451,"male_gonad","bldg"
"GPR162",0.0729127510892546,1.13719651498175,-0.317384851675732,"male_gonad","bldg"
"PRDX6",0.0681021851005364,1.16683895325783,-0.319559180479473,"male_gonad","bldg"
"RPL14",0.0891495436114891,1.04988087579226,-0.331718832559226,"male_gonad","bldg"
"RPS6",0.0911846418683649,1.04007830326694,-0.335135510752633,"male_gonad","bldg"
"RPS7",0.099909574328074,1.00039289136751,-0.33621014910132,"male_gonad","bldg"
"MAGOH2",0.0931891388569796,1.03063470148023,-0.337006594921117,"male_gonad","bldg"
"TCF25",0.0965924872184512,1.01505665087698,-0.343745914940778,"male_gonad","bldg"
"YIPF3",0.0599148407492076,1.22246559067937,-0.347017190734218,"male_gonad","bldg"
"TIMM17A",0.0931891388569796,1.03063470148023,-0.352834026191853,"male_gonad","bldg"
"KIFC3",0.0999519340915298,1.00020879777246,-0.360392845339592,"male_gonad","bldg"
"EWSR1",0.0915436673544222,1.03837169317718,-0.366385979819329,"male_gonad","bldg"
"PPIA",0.0913339085848294,1.0393679565588,-0.374409742310349,"male_gonad","bldg"
"NACA",0.0700667935905293,1.1544877563155,-0.37661074815357,"male_gonad","bldg"
"PSMD13",0.099909574328074,1.00039289136751,-0.383147652238471,"male_gonad","bldg"
"RPL39",0.0911846418683649,1.04007830326694,-0.384769331537954,"male_gonad","bldg"
"ARPC4",0.0875685039308017,1.05765206995828,-0.385313257852005,"male_gonad","bldg"
"ATP5B",0.0875685039308017,1.05765206995828,-0.390695901107405,"male_gonad","bldg"
"TMBIM6",0.0782724118492899,1.10639128382801,-0.395401404456883,"male_gonad","bldg"
"MEF2BNB",0.0869210905519597,1.06087483345912,-0.395573076244168,"male_gonad","bldg"
"RPL23A",0.0743124222371935,1.12893858249611,-0.398857186924615,"male_gonad","bldg"
"LOC107050681",0.0931891388569796,1.03063470148023,-0.399787862387568,"male_gonad","bldg"
"NUDT2",0.0920543652647754,1.03595561220665,-0.40107310395242,"male_gonad","bldg"
"GLA",0.0915436673544222,1.03837169317718,-0.401659343555999,"male_gonad","bldg"
"RPL7",0.0900717557163409,1.04541137172402,-0.404456671473223,"male_gonad","bldg"
"C9ORF69",0.0984324662455375,1.00686163342106,-0.404729808437559,"male_gonad","bldg"
"PARP6",0.0931891388569796,1.03063470148023,-0.406736958985631,"male_gonad","bldg"
"RPS12",0.0721980929978644,1.14147427350297,-0.408358469092774,"male_gonad","bldg"
"MRP63",0.0541699840974654,1.26624129190743,-0.413415608845734,"male_gonad","bldg"
"ICMT",0.0945108644374024,1.02451826457006,-0.416508251387642,"male_gonad","bldg"
"EMC6",0.0915436673544222,1.03837169317718,-0.416532312294833,"male_gonad","bldg"
"SLC25A28",0.0541699840974654,1.26624129190743,-0.416576855366206,"male_gonad","bldg"
"RP11-343C2.11",0.0868169691238263,1.06139537993217,-0.419895884978248,"male_gonad","bldg"
"RPL15",0.0931891388569796,1.03063470148023,-0.419976875489653,"male_gonad","bldg"
"FTH1",0.0805285810448926,1.09404995333279,-0.422103861387983,"male_gonad","bldg"
"PPP6C",0.0612232043669055,1.21308394356512,-0.422543580291802,"male_gonad","bldg"
"RPSA",0.0612232043669055,1.21308394356512,-0.42324527963598,"male_gonad","bldg"
"PSMB7",0.0541699840974654,1.26624129190743,-0.424463262139236,"male_gonad","bldg"
"SMARCAL1",0.0875685039308017,1.05765206995828,-0.425046260052964,"male_gonad","bldg"
"PIGS",0.0900717557163409,1.04541137172402,-0.427151445544918,"male_gonad","bldg"
"ACOT8",0.0891495436114891,1.04988087579226,-0.430737550464549,"male_gonad","bldg"
"RPL11",0.0859624713912202,1.06569110718547,-0.430949989053689,"male_gonad","bldg"
"RPL8",0.0931891388569796,1.03063470148023,-0.43188091593582,"male_gonad","bldg"
"PRKAG1",0.0784353070377108,1.10548839905063,-0.432228222873243,"male_gonad","bldg"
"RPL7A",0.0423638702722794,1.37300437054016,-0.432685229833921,"male_gonad","bldg"
"PPIH",0.0915375817560341,1.03840056496839,-0.4369429385496,"male_gonad","bldg"
"EI24",0.0346921392047071,1.45976891964033,-0.437182849869871,"male_gonad","bldg"
"CYB561D2",0.0612232043669055,1.21308394356512,-0.438313860235476,"male_gonad","bldg"
"COX6C",0.0784353070377108,1.10548839905063,-0.442244527073993,"male_gonad","bldg"
"AAMP",0.0999519340915298,1.00020879777246,-0.443410024908107,"male_gonad","bldg"
"DPM2",0.0915375817560341,1.03840056496839,-0.44398898215492,"male_gonad","bldg"
"VAMP3",0.0541699840974654,1.26624129190743,-0.448070164726474,"male_gonad","bldg"
"RP11-106M3.2",0.0541699840974654,1.26624129190743,-0.449310026329881,"male_gonad","bldg"
"LOC107049322",0.0784353070377108,1.10548839905063,-0.451588742685447,"male_gonad","bldg"
"PEBP1",0.0931891388569796,1.03063470148023,-0.452017581256216,"male_gonad","bldg"
"NDUFC2",0.0915375817560341,1.03840056496839,-0.453527174395929,"male_gonad","bldg"
"PPP1R3E",0.0875685039308017,1.05765206995828,-0.457403109196952,"male_gonad","bldg"
"RPS13",0.0671255115928924,1.17311239133152,-0.459591048490123,"male_gonad","bldg"
"MRPL17",0.0900717557163409,1.04541137172402,-0.459837216468906,"male_gonad","bldg"
"HNRNPA1",0.0984324662455375,1.00686163342106,-0.460089982404497,"male_gonad","bldg"
"GPX4",0.0921011416087196,1.03573498661863,-0.460722125860019,"male_gonad","bldg"
"LOC101747587",0.0931891388569796,1.03063470148023,-0.46107110655705,"male_gonad","bldg"
"ZC3HC1",0.0541699840974654,1.26624129190743,-0.461474961810936,"male_gonad","bldg"
"LOC107049205",0.0612232043669055,1.21308394356512,-0.461562155632839,"male_gonad","bldg"
"UBALD1",0.0687966472915967,1.16243272598306,-0.46832347340548,"male_gonad","bldg"
"RPLP0",0.0541699840974654,1.26624129190743,-0.468776509882821,"male_gonad","bldg"
"RPS20",0.0875685039308017,1.05765206995828,-0.470390709146642,"male_gonad","bldg"
"MRPL38",0.0931891388569796,1.03063470148023,-0.471429983485516,"male_gonad","bldg"
"BRK1",0.0729127510892546,1.13719651498175,-0.471727888231044,"male_gonad","bldg"
"ZDHHC16",0.0750282310686994,1.12477529273628,-0.472577472735864,"male_gonad","bldg"
"TIMM8A",0.0700667935905293,1.1544877563155,-0.473094091529592,"male_gonad","bldg"
"SDHC",0.0915436673544222,1.03837169317718,-0.479203321956907,"male_gonad","bldg"
"RPL18A",0.0875685039308017,1.05765206995828,-0.480176390243793,"male_gonad","bldg"
"UBL5",0.0984324662455375,1.00686163342106,-0.480198531105664,"male_gonad","bldg"
"RPS3",0.0560845426783075,1.25115681707738,-0.482709462563922,"male_gonad","bldg"
"COX7C",0.0875685039308017,1.05765206995828,-0.484505344827839,"male_gonad","bldg"
"KCTD12",0.0900717557163409,1.04541137172402,-0.485899205457097,"male_gonad","bldg"
"RPL31",0.047055510676001,1.3273895089841,-0.489119500040728,"male_gonad","bldg"
"TMEM208",0.0984324662455375,1.00686163342106,-0.489804250217487,"male_gonad","bldg"
"CDC42SE1",0.0782724118492899,1.10639128382801,-0.490688139399216,"male_gonad","bldg"
"LOC100858304",0.0607870029518202,1.21618926858419,-0.491656800084601,"male_gonad","bldg"
"RPL34",0.0729127510892546,1.13719651498175,-0.492685943092601,"male_gonad","bldg"
"TSTA3",0.0869210905519597,1.06087483345912,-0.494341132545597,"male_gonad","bldg"
"EIF3I",0.0238192186925984,1.62307248815375,-0.494633360635456,"male_gonad","bldg"
"CHST13",0.0920543652647754,1.03595561220665,-0.49540181212994,"male_gonad","bldg"
"CSTF2",0.0721980929978644,1.14147427350297,-0.499471194921839,"male_gonad","bldg"
"RPS5",0.0931891388569796,1.03063470148023,-0.499623623455514,"male_gonad","bldg"
"RPS10",0.0700667935905293,1.1544877563155,-0.502777476302523,"male_gonad","bldg"
"IDH3B",0.0875685039308017,1.05765206995828,-0.504421234716611,"male_gonad","bldg"
"RPS4X",0.0931891388569796,1.03063470148023,-0.504919794917921,"male_gonad","bldg"
"PNKD",0.0721980929978644,1.14147427350297,-0.50602577293307,"male_gonad","bldg"
"RPL13",0.0657177780515692,1.18231712868578,-0.507051016871382,"male_gonad","bldg"
"LMF2",0.0994098246335661,1.0025706923301,-0.50716113395732,"male_gonad","bldg"
"P4HTM",0.0721980929978644,1.14147427350297,-0.509316074232767,"male_gonad","bldg"
"RPS2",0.047055510676001,1.3273895089841,-0.509409920588391,"male_gonad","bldg"
"COPZ1",0.0750282310686994,1.12477529273628,-0.515084930695792,"male_gonad","bldg"
"RPL17",0.047055510676001,1.3273895089841,-0.516583564112111,"male_gonad","bldg"
"LAMTOR1",0.0729127510892546,1.13719651498175,-0.517445466791081,"male_gonad","bldg"
"RPS27L",0.0541699840974654,1.26624129190743,-0.532329133281713,"male_gonad","bldg"
"UQCR10",0.0999519340915298,1.00020879777246,-0.532504907882325,"male_gonad","bldg"
"PFDN1",0.0999519340915298,1.00020879777246,-0.532929512498762,"male_gonad","bldg"
"RPL30",0.0238192186925984,1.62307248815375,-0.53536198994424,"male_gonad","bldg"
"RPL22",0.0729127510892546,1.13719651498175,-0.537791552985781,"male_gonad","bldg"
"LOC107049545",0.0782724118492899,1.10639128382801,-0.544723811901622,"male_gonad","bldg"
"PIGC",0.0984324662455375,1.00686163342106,-0.546004449464657,"male_gonad","bldg"
"RPS25",0.0541699840974654,1.26624129190743,-0.54774916854249,"male_gonad","bldg"
"RPL36",0.0543856465018722,1.26451570448481,-0.550033807219346,"male_gonad","bldg"
"TMEM109",0.0612232043669055,1.21308394356512,-0.551567958433873,"male_gonad","bldg"
"LOC107050398",0.0901247498420454,1.04515592773571,-0.55583035837967,"male_gonad","bldg"
"RPLP2",0.088134716862171,1.05485298634679,-0.569065355936945,"male_gonad","bldg"
"RPL10L",0.0782724118492899,1.10639128382801,-0.571000072785847,"male_gonad","bldg"
"UQCRQ",0.0671255115928924,1.17311239133152,-0.584334626913925,"male_gonad","bldg"
"AP3S2",0.0945108644374024,1.02451826457006,-0.592651122568074,"male_gonad","bldg"
"RPS26",0.0798758741160413,1.09758437613625,-0.594561658821876,"male_gonad","bldg"
"CLAPS2",0.0765050098145938,1.11631012479939,-0.59633783369167,"male_gonad","bldg"
"UBE2C",0.0541699840974654,1.26624129190743,-0.598143734192176,"male_gonad","bldg"
"NDUFA1",0.0798758741160413,1.09758437613625,-0.599704947245852,"male_gonad","bldg"
"NIT1",0.0706124531598062,1.15111870034122,-0.601214255709668,"male_gonad","bldg"
"BYSL",0.0999519340915298,1.00020879777246,-0.603240775602808,"male_gonad","bldg"
"RPS15A",0.0541699840974654,1.26624129190743,-0.604304584282805,"male_gonad","bldg"
"ATP6V0E2",0.0965924872184512,1.01505665087698,-0.605589344789834,"male_gonad","bldg"
"RPL10A",0.071026701725967,1.14857835223588,-0.605776917126046,"male_gonad","bldg"
"DAD1",0.0238192186925984,1.62307248815375,-0.608230550792309,"male_gonad","bldg"
"RBM4B",0.0750282310686994,1.12477529273628,-0.608323659832152,"male_gonad","bldg"
"PFDN5",0.0541699840974654,1.26624129190743,-0.614263875341466,"male_gonad","bldg"
"RFXANK",0.0758249495022362,1.12018787024786,-0.614839805404093,"male_gonad","bldg"
"MED29",0.0960048877074821,1.01770665601925,-0.61844358500454,"male_gonad","bldg"
"PGAP3",0.0783985676019599,1.10569187211464,-0.620508192531549,"male_gonad","bldg"
"HIGD2A",0.0994098246335661,1.0025706923301,-0.629133342625212,"male_gonad","bldg"
"RPL37",0.047055510676001,1.3273895089841,-0.629262340074479,"male_gonad","bldg"
"RPL38",0.0590326032806624,1.22890806439024,-0.630208962847984,"male_gonad","bldg"
"CCDC101",0.0700667935905293,1.1544877563155,-0.634117459055444,"male_gonad","bldg"
"LOC107050492",0.0541699840974654,1.26624129190743,-0.634520887541553,"male_gonad","bldg"
"RAD23A",0.0999519340915298,1.00020879777246,-0.635102198678635,"male_gonad","bldg"
"SSR4",0.0748266711612519,1.12594357494878,-0.637143012216469,"male_gonad","bldg"
"RPL27",0.0238192186925984,1.62307248815375,-0.637167535607647,"male_gonad","bldg"
"VPS25",0.0743124222371935,1.12893858249611,-0.639674764532658,"male_gonad","bldg"
"CHTF8",0.0999519340915298,1.00020879777246,-0.641058423076598,"male_gonad","bldg"
"MRPL21",0.0700667935905293,1.1544877563155,-0.643395208663094,"male_gonad","bldg"
"NDUFS7",0.0671255115928924,1.17311239133152,-0.645433221225014,"male_gonad","bldg"
"TMEM258",0.0612232043669055,1.21308394356512,-0.64728627382339,"male_gonad","bldg"
"CTDNEP1",0.0768364848988056,1.11443251137894,-0.650264734367298,"male_gonad","bldg"
"UQCRH",0.0788608290410472,1.10313866162674,-0.650988023374485,"male_gonad","bldg"
"SLC43A3",0.0945108644374024,1.02451826457006,-0.653147851930106,"male_gonad","bldg"
"PSMB3",0.0657177780515692,1.18231712868578,-0.655508474248595,"male_gonad","bldg"
"LOC100859845",0.0729127510892546,1.13719651498175,-0.659943003797641,"male_gonad","bldg"
"RPL32",0.0238192186925984,1.62307248815375,-0.668891180832135,"male_gonad","bldg"
"MRPL43",0.0805335874647769,1.0940229543106,-0.669904643891482,"male_gonad","bldg"
"PRADC1",0.0541699840974654,1.26624129190743,-0.673813091590466,"male_gonad","bldg"
"HAX1",0.0915375817560341,1.03840056496839,-0.674207559782783,"male_gonad","bldg"
"ANAPC15",0.0945108644374024,1.02451826457006,-0.680677328725178,"male_gonad","bldg"
"GADD45A",0.0911846418683649,1.04007830326694,-0.688746843694369,"male_gonad","bldg"
"MRPS16",0.0931891388569796,1.03063470148023,-0.690630821901483,"male_gonad","bldg"
"AK1",0.0671255115928924,1.17311239133152,-0.695890572797672,"male_gonad","bldg"
"CBX5",0.099909574328074,1.00039289136751,-0.700925127710904,"male_gonad","bldg"
"TOMM40L",0.0984324662455375,1.00686163342106,-0.702195624738202,"male_gonad","bldg"
"HTRA2",0.0900717557163409,1.04541137172402,-0.70349493566171,"male_gonad","bldg"
"ATP5G1",0.0645364604383988,1.19019485755972,-0.705070800878681,"male_gonad","bldg"
"LOC107051351",0.0900717557163409,1.04541137172402,-0.715517362653537,"male_gonad","bldg"
"ATP5E",0.0891495436114891,1.04988087579226,-0.717599899562599,"male_gonad","bldg"
"LOC100859104",0.088134716862171,1.05485298634679,-0.725827318756887,"male_gonad","bldg"
"RAB24",0.0931891388569796,1.03063470148023,-0.72828557881675,"male_gonad","bldg"
"RPS17",0.0238192186925984,1.62307248815375,-0.735025499467787,"male_gonad","bldg"
"RPS29",0.0346921392047071,1.45976891964033,-0.74678871702017,"male_gonad","bldg"
"RPRD1A",0.088134716862171,1.05485298634679,-0.782945093343766,"male_gonad","bldg"
"NTHL1",0.0671255115928924,1.17311239133152,-0.796579551609429,"male_gonad","bldg"
"KLHDC8B",0.0721980929978644,1.14147427350297,-0.799582159568822,"male_gonad","bldg"
"LOC107049607",0.0748266711612519,1.12594357494878,-0.802506254443027,"male_gonad","bldg"
"RP11-108K14.8",0.0999519340915298,1.00020879777246,-0.811714331174678,"male_gonad","bldg"
"LOC107049500",0.0984324662455375,1.00686163342106,-0.819424921649042,"male_gonad","bldg"
"TMEM107",0.0999519340915298,1.00020879777246,-0.829016844491361,"male_gonad","bldg"
"MVD",0.0541699840974654,1.26624129190743,-0.832700194419974,"male_gonad","bldg"
"PFDN2",0.0750282310686994,1.12477529273628,-0.833784436627823,"male_gonad","bldg"
"LOC107051413",0.0931891388569796,1.03063470148023,-0.834011162509684,"male_gonad","bldg"
"MRPL12",0.0999940232582353,1.00002595743539,-0.836962290793278,"male_gonad","bldg"
"GSTM2",0.0671255115928924,1.17311239133152,-0.849815918185909,"male_gonad","bldg"
"RPS28",0.0671255115928924,1.17311239133152,-0.900616013472947,"male_gonad","bldg"
"LOC107050660",0.0931891388569796,1.03063470148023,-0.915182583933964,"male_gonad","bldg"
"LOC107051291",0.0931891388569796,1.03063470148023,-0.91653472166628,"male_gonad","bldg"
"MRPS21",0.0915436673544222,1.03837169317718,-0.931325061871605,"male_gonad","bldg"
"LOC101748459",0.0729127510892546,1.13719651498175,-0.961099300001261,"male_gonad","bldg"
"SUOX",0.0984324662455375,1.00686163342106,-1.01193484699183,"male_gonad","bldg"
"SLC27A2",0.0709030143135778,1.14933530117905,-1.02194924679099,"male_gonad","bldg"
"LOC107051058",0.0915375817560341,1.03840056496839,-1.03512676819183,"male_gonad","bldg"
"DHRS4",0.0530142873173337,1.27560707253326,-1.03735185128307,"male_gonad","bldg"
"TAF10",0.0238192186925984,1.62307248815375,-1.07449802897484,"male_gonad","bldg"
"LOC107054223",0.0671255115928924,1.17311239133152,-1.07814038398676,"male_gonad","bldg"
"C30H19orf43",0.0945108644374024,1.02451826457006,-1.09025054298554,"male_gonad","bldg"
"SERF2",0.0541699840974654,1.26624129190743,-1.1368708787579,"male_gonad","bldg"
"LOC107050490",0.0915375817560341,1.03840056496839,-1.13695992699786,"male_gonad","bldg"
"OST4",0.0915436673544222,1.03837169317718,-1.15067906215952,"male_gonad","bldg"
"LAMTOR4",0.0543856465018722,1.26451570448481,-1.16138008013409,"male_gonad","bldg"
"LOC107050608",0.0931891388569796,1.03063470148023,-1.23348242425864,"male_gonad","bldg"
"LOC768671",0.0645364604383988,1.19019485755972,-1.24583934019398,"male_gonad","bldg"
"LOC101747652",0.0700667935905293,1.1544877563155,-1.56096705365308,"male_gonad","bldg"
