"gene","padj","logpadj","lfc","sextissue","direction"
"ROCK2",6.83537233201155e-05,4.16523782384175,4.00604089807077,"male_gonad","bldg"
"TIMM10B",0.0622965107041562,1.20553627796955,2.76415801817614,"male_gonad","bldg"
"LOC107051332",3.98047368777875e-07,6.40006524256266,2.36377954425276,"male_gonad","bldg"
"SEMA6A",0.000643185427661828,3.19166380374616,2.35727448182726,"male_gonad","bldg"
"CYP24A1",0.00853659895368594,2.06871512109588,2.3207785080084,"male_gonad","bldg"
"CAPN2",4.97625862758662e-11,10.3030970564493,2.30475886068061,"male_gonad","bldg"
"DMB2",0.0190770439099861,1.7194889206719,2.29841464820017,"male_gonad","bldg"
"PSMB5",0.00121288936338333,2.91617881254109,2.27142557752431,"male_gonad","bldg"
"F8A3",4.42770168764825e-07,6.35382164700119,2.15860646128606,"male_gonad","bldg"
"ECM1",7.97965947711469e-09,8.09801564127652,2.15577328340167,"male_gonad","bldg"
"LOC107055647",1.96419154587232e-07,6.7068161625475,2.15302331567364,"male_gonad","bldg"
"RPUSD3",7.22503629179684e-10,9.14115996707833,2.15248563321856,"male_gonad","bldg"
"LOC693258",2.8839117498414e-05,4.54001803353073,2.15209052675205,"male_gonad","bldg"
"TMSB4X",2.29704936354054e-08,7.63882967172578,2.12646123637093,"male_gonad","bldg"
"RGS7",1.17442599769333e-05,4.93017434355728,2.07347645613754,"male_gonad","bldg"
"ATP2B4",1.28615470635262e-05,4.89070678874134,2.06557511579403,"male_gonad","bldg"
"LOC100858855",9.67408547231911e-05,4.01439007985923,2.0561846047338,"male_gonad","bldg"
"TUT1",5.63266767899759e-06,5.24928587089051,1.98005685474661,"male_gonad","bldg"
"C6H10ORF71",0.0167568553480335,1.77580747932956,1.90632091821721,"male_gonad","bldg"
"ZBTB42",0.000144783681731633,3.83928038381061,1.89603158466106,"male_gonad","bldg"
"ANGPTL3",0.000246615068736418,3.60798039055806,1.86164367354332,"male_gonad","bldg"
"XKR6",7.80959599681328e-05,4.10737143230617,1.84028189138124,"male_gonad","bldg"
"MLN",0.015064155585536,1.82205520749014,1.79825739805209,"male_gonad","bldg"
"SCO2",0.000690218021967864,3.16101370523141,1.7695139432858,"male_gonad","bldg"
"PANX3",0.00267600147840872,2.57251365096977,1.76766914623703,"male_gonad","bldg"
"AMH",0.00122107977334119,2.91325596259879,1.72837200765586,"male_gonad","bldg"
"NANOG",0.00916577045180935,2.03783102345615,1.72589185705022,"male_gonad","bldg"
"LOC107050804",3.01818912899377e-14,13.5202535494826,1.71919593066871,"male_gonad","bldg"
"LOC107050982",0.00018555910772939,3.73151772447584,1.69495590557266,"male_gonad","bldg"
"LOC771089",0.00480965595921837,2.31788598814941,1.68892268045153,"male_gonad","bldg"
"IRF5",0.0393540540407858,1.40501052234295,1.67278954221958,"male_gonad","bldg"
"TCTA",0.00999326139562424,2.00029275251786,1.65885863422456,"male_gonad","bldg"
"ATRAID",6.87554346692913e-05,4.16269296799078,1.65514801299126,"male_gonad","bldg"
"LOC107050564",4.87249437042204e-05,4.3122486539848,1.64442294975298,"male_gonad","bldg"
"FGFBP3",0.0178160712482539,1.7491880591834,1.62932513951832,"male_gonad","bldg"
"DHRS13",1.67223330553383e-05,4.77670313106122,1.61724148454945,"male_gonad","bldg"
"LOC107050672",5.80294926952341e-06,5.23635122610312,1.61160704797003,"male_gonad","bldg"
"LOC107053353",9.41467228488416e-05,4.02619479273107,1.58064853494084,"male_gonad","bldg"
"MRPS21",1.11845037549985e-06,5.95138328034222,1.57214922882472,"male_gonad","bldg"
"ADMP",0.00523781672166272,2.28084970220004,1.57174761085277,"male_gonad","bldg"
"SERPING1",2.93553641419057e-07,6.53231252799831,1.56703499798945,"male_gonad","bldg"
"LOC101750437",0.028287109338664,1.54841143085371,1.54439320062581,"male_gonad","bldg"
"CCND2",3.22798163890087e-09,8.49106894425564,1.54294041822462,"male_gonad","bldg"
"IGFBP5",5.98375947434823e-13,12.223025871872,1.5369485637553,"male_gonad","bldg"
"CDC6",8.34316243635338e-07,6.07866930088158,1.52742081444291,"male_gonad","bldg"
"COL1A1",0.000309521376415909,3.50930935201095,1.51089394963621,"male_gonad","bldg"
"COX14",7.15991508033426e-05,4.14509212858054,1.50352248119948,"male_gonad","bldg"
"FIGN",0.0428885095014914,1.36765904647544,1.50350853389006,"male_gonad","bldg"
"MAP2K6",0.0104862313932961,1.97938056320413,1.49103983045413,"male_gonad","bldg"
"ERBB2",0.00964357310783341,2.01576202278813,1.48823757327605,"male_gonad","bldg"
"LOC107055658",0.00299437911710501,2.52369321466657,1.48283498000405,"male_gonad","bldg"
"LOC107050646",0.00925117970419115,2.03380288279042,1.4593833249998,"male_gonad","bldg"
"RPL27A",6.96722368847602e-08,7.15694024585824,1.43657597540045,"male_gonad","bldg"
"LAMC3",0.00145322731641803,2.83766644726809,1.43314917528612,"male_gonad","bldg"
"WFDC1",0.000112920663022452,3.94722658052382,1.41911173436924,"male_gonad","bldg"
"RPRD1A",3.22722891508794e-08,7.49117022795417,1.41822809021399,"male_gonad","bldg"
"SLC35F6",1.82419546274123e-06,5.73892862881359,1.41568434854293,"male_gonad","bldg"
"LOC107051380",2.92858434880637e-07,6.53334226294774,1.39392105066382,"male_gonad","bldg"
"FKBP11",0.00200788177190587,2.69726186290178,1.38954322214284,"male_gonad","bldg"
"NAT8B",0.0341082967128972,1.46713996768318,1.3885718865542,"male_gonad","bldg"
"WNT5A",2.75520948862848e-11,10.559845374563,1.35409817868103,"male_gonad","bldg"
"PHPT1",2.54708479633596e-09,8.59395659647032,1.35326937369637,"male_gonad","bldg"
"BTBD19",0.0665209868003434,1.17704131689742,1.35254586062026,"male_gonad","bldg"
"PLCD4",0.0692163736959116,1.15979115749941,1.35232448566475,"male_gonad","bldg"
"G6PC3",3.72148615562253e-09,8.42928359229697,1.34015011645278,"male_gonad","bldg"
"LOC107050086",0.00108321947274468,2.96528354139384,1.33301536216512,"male_gonad","bldg"
"LOC101748456",0.0787791760554396,1.10358856575139,1.33257756434061,"male_gonad","bldg"
"FBLN7",0.0367104588031113,1.43521018769938,1.33040693956389,"male_gonad","bldg"
"FAM136A",0.010249022982398,1.98931753300599,1.32786637364761,"male_gonad","bldg"
"LOC101749360",1.60010168589681e-06,5.79585241720619,1.30909468748887,"male_gonad","bldg"
"LOC101748102",5.78990925068447e-05,4.23732824322176,1.30713532326063,"male_gonad","bldg"
