"gene","padj","logpadj","lfc","sextissue","direction"
"ANXA5",0.0327338930599968,1.48500234073751,1.90436807547174,"male_gonad","inc.d3"
"ATP2B4",0.0357777129054535,1.44638742520766,1.69645213345008,"male_gonad","inc.d3"
"LOC107055658",0.0608833952547019,1.21550113647293,1.55928030137507,"male_gonad","inc.d3"
"RPL35A",0.0327338930599968,1.48500234073751,0.899161209069378,"male_gonad","inc.d3"
"RPRD1A",0.0676919127593676,1.16946321394083,0.835967453303359,"male_gonad","inc.d3"
"RPL36A",0.0407903711304279,1.38944234324472,0.828071166651085,"male_gonad","inc.d3"
"RPL34",0.0327338930599968,1.48500234073751,0.620429720954532,"male_gonad","inc.d3"
"RPS14",0.0942136150451478,1.02588633169002,0.617422362783358,"male_gonad","inc.d3"
"C8H1ORF173",0.0997262024900812,1.00119071830057,0.58499222861951,"male_gonad","inc.d3"
"RPL30",0.016067684664415,1.79404670008253,0.582569667792362,"male_gonad","inc.d3"
"RPL38",0.0820396183091289,1.08597636886224,0.561698201587513,"male_gonad","inc.d3"
"RPS17",0.0777679487538275,1.10919935606149,0.543286663237202,"male_gonad","inc.d3"
"UQCRQ",0.0962047032976738,1.01680369546431,0.521175668956496,"male_gonad","inc.d3"
"RPS15A",0.0942136150451478,1.02588633169002,0.510457029024854,"male_gonad","inc.d3"
"RPL7",0.0327338930599968,1.48500234073751,0.501028528564135,"male_gonad","inc.d3"
"RPL11",0.0407903711304279,1.38944234324472,0.499077830002623,"male_gonad","inc.d3"
"DYNLT1",0.0728030231559755,1.13785058617188,0.498039060805411,"male_gonad","inc.d3"
"RPL37",0.0962047032976738,1.01680369546431,0.494152645852574,"male_gonad","inc.d3"
"RPL22",0.0997262024900812,1.00119071830057,0.488198329929097,"male_gonad","inc.d3"
"PTTG1",0.0558870905200511,1.25268849915091,0.480301243290908,"male_gonad","inc.d3"
"MRPS22",0.0777679487538275,1.10919935606149,0.477258547605559,"male_gonad","inc.d3"
"RPS16",0.0407903711304279,1.38944234324472,0.474664724768911,"male_gonad","inc.d3"
"LSM8",0.0728030231559755,1.13785058617188,0.472061046425095,"male_gonad","inc.d3"
"RPL31",0.0407903711304279,1.38944234324472,0.467599413431339,"male_gonad","inc.d3"
"RPS27L",0.0820396183091289,1.08597636886224,0.467581315807027,"male_gonad","inc.d3"
"MED10",0.0327338930599968,1.48500234073751,0.460330188619174,"male_gonad","inc.d3"
"MRPL27",0.0695049112381128,1.15798450694581,0.449553554434116,"male_gonad","inc.d3"
"RPL12",0.0428795286645886,1.36774999709078,0.442245422008291,"male_gonad","inc.d3"
"COMMD6",0.0945342701742101,1.02441072430024,0.43991101578967,"male_gonad","inc.d3"
"ALDH7A1",0.0472557603834679,1.32554524429183,0.438906972792951,"male_gonad","inc.d3"
"RPS13",0.0777679487538275,1.10919935606149,0.431004178374844,"male_gonad","inc.d3"
"RPS3",0.0962047032976738,1.01680369546431,0.411258046597848,"male_gonad","inc.d3"
"RPS3A",0.0680896696837547,1.16691877266364,0.406624108654949,"male_gonad","inc.d3"
"RPL7A",0.0428795286645886,1.36774999709078,0.394993348662335,"male_gonad","inc.d3"
"RPS7",0.0615602255808454,1.21069979741208,0.387052010510284,"male_gonad","inc.d3"
"TIMM17A",0.0751919295106997,1.12382877053948,0.382533504221548,"male_gonad","inc.d3"
"PDAP1",0.0615602255808454,1.21069979741208,0.382234206864198,"male_gonad","inc.d3"
"RPS12",0.090695535831809,1.04241408902949,0.382026674141303,"male_gonad","inc.d3"
"MRP63",0.0676919127593676,1.16946321394083,0.381870241765904,"male_gonad","inc.d3"
"EIF3I",0.0695049112381128,1.15798450694581,0.380391894842438,"male_gonad","inc.d3"
"SLC25A26",0.0455326502515406,1.34167707062038,0.379586620235715,"male_gonad","inc.d3"
"RPL14",0.0430777140031971,1.36574735138471,0.378324493055753,"male_gonad","inc.d3"
"LSM5",0.0407903711304279,1.38944234324472,0.378259099800545,"male_gonad","inc.d3"
"RPL39",0.099552268781544,1.00194883801651,0.377393146024102,"male_gonad","inc.d3"
"C28H19ORF10",0.0357777129054535,1.44638742520766,0.375138359302422,"male_gonad","inc.d3"
"ESD",0.0426406630227332,1.37017605105288,0.372439759385443,"male_gonad","inc.d3"
"FBXO22",0.0984088304252043,1.00696592968987,0.370412526606186,"male_gonad","inc.d3"
"CWC15",0.0714667173246574,1.14589616585642,0.367358678310948,"male_gonad","inc.d3"
"ATP6V1G1",0.0428795286645886,1.36774999709078,0.366324201543973,"male_gonad","inc.d3"
"GTF2A2",0.0962047032976738,1.01680369546431,0.360844474863821,"male_gonad","inc.d3"
"SDF2L1",0.043662750082399,1.35988891388576,0.354840215049974,"male_gonad","inc.d3"
"RP11-849F2.7",0.0854986577223916,1.068040703381,0.352094252040026,"male_gonad","inc.d3"
"PSMA2",0.0327338930599968,1.48500234073751,0.348944000160667,"male_gonad","inc.d3"
"TAF7",0.0870169850894071,1.0603959679488,0.341309086532834,"male_gonad","inc.d3"
"NCBP2",0.0695049112381128,1.15798450694581,0.340563460819698,"male_gonad","inc.d3"
"SNRPB2",0.0327338930599968,1.48500234073751,0.33870549274392,"male_gonad","inc.d3"
"TMA16",0.0676919127593676,1.16946321394083,0.327767723326116,"male_gonad","inc.d3"
"TOMM20",0.0997262024900812,1.00119071830057,0.326651235830541,"male_gonad","inc.d3"
"RPL21",0.0430777140031971,1.36574735138471,0.326553536321133,"male_gonad","inc.d3"
"XRCC6BP1",0.0962047032976738,1.01680369546431,0.322278249905811,"male_gonad","inc.d3"
"NOP16",0.0870169850894071,1.0603959679488,0.32036478152997,"male_gonad","inc.d3"
"SEC13",0.0962047032976738,1.01680369546431,0.310400384994325,"male_gonad","inc.d3"
"RP11-234B24.6",0.0962047032976738,1.01680369546431,0.309555374462772,"male_gonad","inc.d3"
"HRSP12",0.0997262024900812,1.00119071830057,0.308913472958259,"male_gonad","inc.d3"
"NOP14",0.043662750082399,1.35988891388576,0.306735167078995,"male_gonad","inc.d3"
"ARFRP1",0.0565965987738028,1.24720966736567,0.292807849828638,"male_gonad","inc.d3"
"MTIF2",0.0962047032976738,1.01680369546431,0.291818092958906,"male_gonad","inc.d3"
"SH3GLB1",0.099552268781544,1.00194883801651,0.286043882982652,"male_gonad","inc.d3"
"PSMB2",0.0997262024900812,1.00119071830057,0.277240006488945,"male_gonad","inc.d3"
"CHP1",0.0820396183091289,1.08597636886224,0.273998070195507,"male_gonad","inc.d3"
"DCK",0.0962047032976738,1.01680369546431,0.269263422545099,"male_gonad","inc.d3"
"PGD",0.0984088304252043,1.00696592968987,0.263240268885977,"male_gonad","inc.d3"
"LOC107051991",0.0854986577223916,1.068040703381,0.253485353608951,"male_gonad","inc.d3"
"VAPA",0.0695049112381128,1.15798450694581,0.253277237246866,"male_gonad","inc.d3"
"EIF2S3L",0.0327338930599968,1.48500234073751,0.24475417832878,"male_gonad","inc.d3"
"EIF3H",0.0962047032976738,1.01680369546431,0.231508223927101,"male_gonad","inc.d3"
"VPS29",0.099552268781544,1.00194883801651,0.219305665974836,"male_gonad","inc.d3"
"HNRNPD",0.0962047032976738,1.01680369546431,0.215131765640579,"male_gonad","inc.d3"
"GLYR1",0.052043035461821,1.28363738071397,0.2120036023573,"male_gonad","inc.d3"
"EIF4H",0.0997262024900812,1.00119071830057,0.155165233215849,"male_gonad","inc.d3"
"CSE1L",0.043662750082399,1.35988891388576,-0.204639040184863,"male_gonad","lay"
"MAN2A1",0.0984088304252043,1.00696592968987,-0.228445941038642,"male_gonad","lay"
"WHSC1",0.0854986577223916,1.068040703381,-0.231574805179547,"male_gonad","lay"
"DDI2",0.084916429936293,1.07100827276746,-0.246060279386015,"male_gonad","lay"
"UGT8",0.0997262024900812,1.00119071830057,-0.264352147127975,"male_gonad","lay"
"SLC39A9",0.0820396183091289,1.08597636886224,-0.277623170087484,"male_gonad","lay"
"AGO1",0.0820396183091289,1.08597636886224,-0.278806087432983,"male_gonad","lay"
"RBBP6",0.0430777140031971,1.36574735138471,-0.286197355375551,"male_gonad","lay"
"NPAT",0.0728030231559755,1.13785058617188,-0.287505787762697,"male_gonad","lay"
"ACOX1",0.0962047032976738,1.01680369546431,-0.290300352292365,"male_gonad","lay"
"CHD9",0.0327338930599968,1.48500234073751,-0.290881142366142,"male_gonad","lay"
"C12H3ORF67",0.0728030231559755,1.13785058617188,-0.304220436664844,"male_gonad","lay"
