"gene","padj","logpadj","lfc","sextissue","direction"
"CAPN2",2.39669973974752e-25,24.6203863712808,3.53810154449745,"male_gonads","inc.d9"
"TIMM10B",0.0996001945933258,1.00173981307505,3.00196341277696,"male_gonads","inc.d9"
"ATP2B4",7.56370720469468e-10,9.12126529128213,2.96663187440846,"male_gonads","inc.d9"
"TMSB4X",8.50162297424503e-11,10.0704981588179,2.56492778801205,"male_gonads","inc.d9"
"ANGPTL3",9.38566569613799e-07,6.02753491879049,2.52371586175526,"male_gonads","inc.d9"
"PSMB5",0.00112270100725395,2.94973588771794,2.5233471925227,"male_gonads","inc.d9"
"LOC107055647",9.80889667394639e-09,8.00837984026172,2.50037952886589,"male_gonads","inc.d9"
"SEMA6A",0.00188786223381241,2.72402970139287,2.41424613599918,"male_gonads","inc.d9"
"RGS7",1.57647047341237e-06,5.80231415898151,2.41423395507806,"male_gonads","inc.d9"
"LOC107055658",3.06799004296503e-06,5.51314605420557,2.37700067474242,"male_gonads","inc.d9"
"XKR6",7.0372532337526e-07,6.15259682071588,2.37536535152221,"male_gonads","inc.d9"
"DMB2",0.0623579848983868,1.20510792750583,2.27755184398,"male_gonads","inc.d9"
"MLN",0.00522197721450646,2.28216502750268,2.26536939320478,"male_gonads","inc.d9"
"AMH",8.49188634920687e-05,4.07099582682853,2.23912073375935,"male_gonads","inc.d9"
"SCO2",5.98189176889717e-05,4.22316144897704,2.22512067000595,"male_gonads","inc.d9"
"F8A3",2.37976643010195e-06,5.62346566609293,2.20241284051666,"male_gonads","inc.d9"
"ANXA5",8.46740700749931e-05,4.07224956425542,2.12446972526258,"male_gonads","inc.d9"
"ECM1",2.06972179538985e-07,6.68408802693291,2.1054499773962,"male_gonads","inc.d9"
"RPUSD3",3.74031567290422e-08,7.4270917429292,2.08532513807067,"male_gonads","inc.d9"
"LOC100858855",0.000481623828088679,3.31729203472483,2.08159379023658,"male_gonads","inc.d9"
"LOC100859351",0.00965754360768926,2.01513332216465,2.07844667239751,"male_gonads","inc.d9"
"AP3B2",0.0417972635123218,1.37885215077046,2.00250245211849,"male_gonads","inc.d9"
"LOC107051332",0.000246931254234325,3.60742393768062,2.00081796617932,"male_gonads","inc.d9"
"TUT1",7.05766831404026e-05,4.15133875583251,1.95062423524587,"male_gonads","inc.d9"
"CYP24A1",0.0996001945933258,1.00173981307505,1.93946814731941,"male_gonads","inc.d9"
"ATRAID",2.16244376202095e-05,4.66505517827312,1.91371289120654,"male_gonads","inc.d9"
"COX14",2.37976643010195e-06,5.62346566609293,1.89915289687428,"male_gonads","inc.d9"
"IRF5",0.0552155082256098,1.25793892605924,1.88943745042214,"male_gonads","inc.d9"
"NAT8B",0.00965754360768926,2.01513332216465,1.88128469826355,"male_gonads","inc.d9"
"RPRD1A",4.43673840554404e-12,11.352936176958,1.87402412592761,"male_gonads","inc.d9"
"DHRS13",4.56766251536173e-06,5.34030599169973,1.86571403566957,"male_gonads","inc.d9"
"SLC34A1",0.0926092119098718,1.03334581156166,1.82016626564502,"male_gonads","inc.d9"
"LOC107050982",0.000374440489075644,3.42661719617489,1.80881079486493,"male_gonads","inc.d9"
"LOC107050564",6.58376124615339e-05,4.18152592678701,1.78928364898323,"male_gonads","inc.d9"
"LOC693258",0.00555730490929095,2.25513577438796,1.76589648007875,"male_gonads","inc.d9"
"TNFRSF14",0.0456624265481063,1.34044101337905,1.7530233265989,"male_gonads","inc.d9"
"LOC101750437",0.0395575678374035,1.40277041847188,1.74648809014996,"male_gonads","inc.d9"
"NANOG",0.0337661389687377,1.47151859646963,1.73539526750485,"male_gonads","inc.d9"
"LOC107049136",0.019356629420851,1.71317026435025,1.72832827359016,"male_gonads","inc.d9"
"MRPS21",4.12013922760107e-06,5.38508810805492,1.6550461990069,"male_gonads","inc.d9"
"CDC6",1.51532068208694e-06,5.81949544919263,1.65020777140972,"male_gonads","inc.d9"
"IL1RN",0.0427401414650956,1.36916404470333,1.65011630234687,"male_gonads","inc.d9"
"LOC107053353",0.000356092581585872,3.44843707381207,1.64160511659574,"male_gonads","inc.d9"
