"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"male_gonads","AAAS",0.180874524566421,"NS",0.0212167158904277,"m.inc.d9",0.628884410277077,0.742622597426195
"male_gonads","AAR2",0.0515549973405058,"m.inc.d9",0.003627628124125,"m.inc.d9",0.459523230359848,1.28772923121042
"male_gonads","AASS",0.00482185268152549,"m.inc.d9",0.000142459063098435,"m.inc.d9",0.523016766245525,2.31678606243179
"male_gonads","ABCA5",0.0363875181045837,"m.inc.d9",0.00227011232004063,"m.inc.d9",0.548659246449753,1.43904756547017
"male_gonads","ABCB6",0.0740709388171954,"m.inc.d9",0.00593436454417841,"m.inc.d9",0.560144090225557,1.13035215081832
"male_gonads","ABCB8",0.0501623371556299,"m.inc.d9",0.00351075959924261,"m.inc.d9",0.965386874654303,1.29962223712656
"male_gonads","ABCC13",0.0966474929669189,"m.inc.d9",0.00872067610380311,"m.inc.d9",0.457855648845994,1.01480940707521
"male_gonads","ABCC3",0.179913910038218,"NS",0.0210405039283106,"control",-0.839883220493893,0.74493525789234
"male_gonads","ABCC4",0.252817125758646,"NS",0.0359020105588926,"m.inc.d9",0.419780891680053,0.597193510411166
"male_gonads","ABHD14A",0.119292720649162,"NS",0.0117515180109688,"m.inc.d9",0.708635194660044,0.923386056567327
"male_gonads","ABHD6",0.196132162116752,"NS",0.0241458574729845,"control",-0.795948998111909,0.707451184075541
"male_gonads","ABI1",0.206840079082195,"NS",0.0260106691862092,"control",-0.354259185785731,0.68436530485397
"male_gonads","ABL2",0.00220218499532924,"m.inc.d9",5.07125683752819e-05,"m.inc.d9",0.552291744127081,2.65714620077027
"male_gonads","ABLIM2",0.227699560545935,"NS",0.0302274251055862,"control",-1.22213769124254,0.642637807560789
"male_gonads","ABTB1",0.162689960939082,"NS",0.0182426280703817,"m.inc.d9",0.358546259691096,0.788639245116461
"male_gonads","AC004754.3",0.159081913636663,"NS",0.0175866444259677,"m.inc.d9",0.430043954295106,0.798379193416227
"male_gonads","ACBD6",0.165194274659122,"NS",0.0186601901161456,"control",-0.444838457090704,0.782005008632091
"male_gonads","ACBD7",0.0219028640087088,"control",0.001142285126282,"control",-1.83505209597043,1.6594990932944
"male_gonads","ACCN2",3.56337347385878e-11,"control",1.65668840377244e-14,"control",-3.72253104397381,10.4481386572628
"male_gonads","ACCS",0.131785605966186,"NS",0.0134086498544765,"m.inc.d9",0.465779494523075,0.880132022145923
"male_gonads","ACER3",0.233329757727912,"NS",0.031261483246617,"m.inc.d9",0.362806859457377,0.632029869895128
"male_gonads","ACLY",0.00222972880121805,"m.inc.d9",5.23536563801951e-05,"m.inc.d9",0.488191812474958,2.6517479563675
