"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"male_gonads","ADAMTS13",1,"NS",0.0160332609570513,"hatch",-0.464040783266659,0
"male_gonads","APOV1",1,"NS",0.0370352867169705,"n5",0.867908217718825,0
"male_gonads","ASIC5",1,"NS",0.0416521121396564,"n5",2.27585071395233,0
"male_gonads","BMP3",1,"NS",0.0177635626398452,"n5",1.03091839346819,0
"male_gonads","C3ORF17",1,"NS",0.00957476470207335,"hatch",-0.985951520599569,0
"male_gonads","C4H4ORF50",1,"NS",0.048713992645195,"hatch",-1.24057121463826,0
"male_gonads","CCK",1,"NS",0.0200328396398116,"hatch",-1.97054124137376,0
"male_gonads","CHGA",1,"NS",0.00102152421081164,"n5",1.41370764016587,0
"male_gonads","COL13A1",1,"NS",0.0162296234154921,"n5",0.732359361063264,0
"male_gonads","CPED1",1,"NS",0.0119143391151213,"n5",0.947336351706287,0
"male_gonads","DPP9",1,"NS",0.0125250135171212,"hatch",-1.54623808887012,0
"male_gonads","EGFR",1,"NS",0.00895478637353151,"n5",0.80387134138367,0
"male_gonads","ENDOD1",1,"NS",0.0143039170627277,"n5",0.962859438228619,0
"male_gonads","FGFBP1",1,"NS",0.0487312633938024,"hatch",-1.12099573299711,0
"male_gonads","FLI1",1,"NS",0.0268789938185684,"n5",0.632576748666877,0
"male_gonads","FRMD6",1,"NS",0.0484938855278525,"n5",1.31072125811021,0
"male_gonads","GABRQ",1,"NS",0.0481608113295987,"n5",1.98889827495241,0
"male_gonads","GAL",1,"NS",0.0125552587242656,"hatch",-1.56402984508117,0
"male_gonads","GHRHR",1,"NS",0.0014028839657807,"n5",1.99302600603813,0
"male_gonads","GRIK4",1,"NS",0.0405570564567009,"hatch",-0.728806834025731,0
"male_gonads","HDAC7",1,"NS",0.0110569444382463,"n5",2.30512853606858,0
"male_gonads","HKDC1",1,"NS",0.0381071410355998,"n5",1.07453552403204,0
"male_gonads","HSPB7",1,"NS",0.0499825252915233,"hatch",-0.669921286771675,0
"male_gonads","IL1B",1,"NS",0.0227181298752031,"n5",0.651028550293138,0
"male_gonads","IL1RAP",1,"NS",0.029149387038948,"hatch",-0.59940673866942,0
"male_gonads","ISM2",1,"NS",0.0358338167920644,"n5",1.33746740924859,0
"male_gonads","ISX",1,"NS",0.0157801760073451,"hatch",-1.43742910765956,0
"male_gonads","JADE2",1,"NS",0.0279434411034946,"n5",1.10505761980284,0
"male_gonads","KCNJ9",1,"NS",0.0428827989755109,"n5",0.539403597057447,0
"male_gonads","KIAA1919",1,"NS",0.0463602315393315,"n5",0.445094672449544,0
"male_gonads","KMO",1,"NS",0.0379543962850627,"n5",1.03634965570461,0
"male_gonads","LECT2",1,"NS",0.0115960426261081,"hatch",-2.25749439640738,0
"male_gonads","LEF1",1,"NS",0.0311500978789385,"hatch",-1.10918969670143,0
"male_gonads","LHX3",1,"NS",0.00781938641557273,"n5",1.57838208497579,0
"male_gonads","LOC101749539",1,"NS",0.00837410296132195,"n5",2.36204454866587,0
"male_gonads","LOC101750423",1,"NS",0.0363684588246576,"hatch",-2.12837244115365,0
"male_gonads","LOC107049255",1,"NS",0.00115861394756645,"hatch",-4.47171279831041,0
"male_gonads","LOC107051325",1,"NS",0.0348033723603236,"n5",1.06594582311674,0
"male_gonads","LOC417848",1,"NS",0.0433635903958093,"hatch",-1.03965119990152,0
"male_gonads","LOC420807",1,"NS",0.0292105724702009,"hatch",-1.13333057606239,0
"male_gonads","LOC420992",1,"NS",0.0457675887621448,"hatch",-1.47543648620045,0
"male_gonads","MYH15",1,"NS",0.000237902422497079,"n5",1.56705939547944,0
"male_gonads","MYO5BL",1,"NS",0.0113189144712724,"hatch",-2.27763548211119,0
"male_gonads","NPY",1,"NS",0.0242978470989402,"hatch",-1.31843315082391,0
"male_gonads","P2RY14",1,"NS",0.0330800871866936,"n5",2.06245531755764,0
"male_gonads","P4HA3",1,"NS",0.0346594124537822,"hatch",-1.09153046129612,0
"male_gonads","PTHLH",1,"NS",0.00820387529760166,"n5",2.26601991889418,0
"male_gonads","PTPRVP",1,"NS",0.0198017976952023,"n5",0.667392310580479,0
"male_gonads","RET",1,"NS",0.0303622797718528,"hatch",-0.629380446538176,0
"male_gonads","RGNL",1,"NS",0.0278234331817248,"hatch",-1.28862515877214,0
"male_gonads","SEMA3E",1,"NS",0.0486779936642064,"hatch",-1.37479338805603,0
"male_gonads","SEMA6A",1,"NS",0.00101746848748744,"n5",2.12734650875018,0
"male_gonads","SERPINC1",1,"NS",0.00221342686560478,"hatch",-1.65417404139399,0
"male_gonads","SFRP4",1,"NS",0.00217851125091269,"hatch",-3.16242899445134,0
"male_gonads","SI",1,"NS",0.0270122149447191,"hatch",-1.23944006237589,0
