"gene","padj","logpadj","lfc","sextissue","direction"
"DNAH1",0.0205357638436925,1.68748913858919,5.22968903101424,"male_hypothalamus","early"
"IGLL1",0.0106148709221971,1.97408528252656,3.27836278004057,"male_hypothalamus","early"
"IGJ",0.0129784095441933,1.88677852544796,2.61122616423505,"male_hypothalamus","early"
"TMED11",0.00106593232980338,2.97227036540872,2.57109969373001,"male_hypothalamus","early"
"LOC100857497",0.00490997763836749,2.30892048579062,2.51079647847271,"male_hypothalamus","early"
"SLC7A9",0.0103561886501827,1.98480004697923,2.40312102662978,"male_hypothalamus","early"
"LOC107056159",0.00954980547659169,2.02000547462602,2.29595556152319,"male_hypothalamus","early"
"DMRT2",0.0465341951404221,1.33222779328215,2.21416741413147,"male_hypothalamus","early"
"FGF3",0.00403642649521532,2.39400295176796,2.19574505388743,"male_hypothalamus","early"
"LOC107051069",0.00675359755900615,2.17046482215934,2.18889460634658,"male_hypothalamus","early"
"LOC101748402",0.0025846256343754,2.58760235264705,2.15054680937883,"male_hypothalamus","early"
"PERP1",0.00311962297142068,2.50589789038084,2.13634172988092,"male_hypothalamus","early"
"FBN3",0.0421940720548232,1.37474855981363,2.07880851692277,"male_hypothalamus","early"
"TPO",0.010046428717184,1.99798829287619,2.07759819684428,"male_hypothalamus","early"
"DPP4",0.0601978642248635,1.22041891691179,2.05631616103705,"male_hypothalamus","early"
"FAM83G",0.038937443512088,1.4096325660425,2.01084912011373,"male_hypothalamus","early"
"LOC424473",0.0173273785632627,1.76126713616805,1.92287487341991,"male_hypothalamus","early"
"LOC425795",0.0374902907024128,1.42608119201472,1.90102181916181,"male_hypothalamus","early"
"WDR88",0.0695338524377973,1.15780370839479,1.89310435469238,"male_hypothalamus","early"
"UNKL",0.00118403796953992,2.92663437050392,1.87320393933254,"male_hypothalamus","early"
"PPP1R1B",0.00169549972422712,2.77070227652385,1.85807640647354,"male_hypothalamus","early"
"ABCG8",0.0480390310009194,1.31840576136901,1.81701445213284,"male_hypothalamus","early"
"LOC107055658",0.0170223901598175,1.76897945950762,1.81636788960733,"male_hypothalamus","early"
"LOC100859602",0.0263149305303299,1.5797977721538,1.80422118331071,"male_hypothalamus","early"
"TMPRSS12",0.0762833229469703,1.11757039708775,1.80180207265445,"male_hypothalamus","early"
"SLCO4C1",8.14875866280422e-05,4.08890854426057,1.79526227069423,"male_hypothalamus","early"
"PNLIPRP3",0.0442980035382969,1.35361584650468,1.77240026930945,"male_hypothalamus","early"
"LOC769052",0.0015547596970694,2.80833672580204,1.74625710654602,"male_hypothalamus","early"
"SATB2",0.00332711774323988,2.47793182962876,1.73623340216292,"male_hypothalamus","early"
"WWP1",0.00194095139006325,2.71198534111429,1.70315428704583,"male_hypothalamus","early"
"TBX4",0.00695298220845254,2.15782888190171,1.68565615178114,"male_hypothalamus","early"
"LOC769174",0.0147065100505928,1.83249037591925,1.68022976548535,"male_hypothalamus","early"
