"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"IGLL1",0.0155095543409056,1,0,2.73959985719933,"male_hypothalamus","NS","m.inc.d9"
"TECRL",0.0490445435573446,1,0,2.50680288331391,"male_hypothalamus","NS","m.inc.d9"
"P2RY13",0.00663139840911916,1,0,2.46727686654572,"male_hypothalamus","NS","m.inc.d9"
"LOC100857497",0.00620733051294187,1,0,2.20756078084311,"male_hypothalamus","NS","m.inc.d9"
"TMED11",0.0019826098858644,1,0,2.18586586166947,"male_hypothalamus","NS","m.inc.d9"
"ND6",0.0207863671218712,1,0,2.16571485608711,"male_hypothalamus","NS","m.inc.d9"
"AVDL",0.00132368604443955,1,0,2.16300092388406,"male_hypothalamus","NS","m.inc.d9"
"CLEC3A",0.0106581870843252,1,0,2.05484602759318,"male_hypothalamus","NS","m.inc.d9"
"SH3BP1",0.0178866666943792,1,0,2.04186043471339,"male_hypothalamus","NS","m.inc.d9"
"CDHR4",5.58158444866953e-05,0.326564452859577,0.486031090778549,2.01576674788298,"male_hypothalamus","NS","m.inc.d9"
"TMEM182",0.043547326510401,1,0,1.90225826915182,"male_hypothalamus","NS","m.inc.d9"
"IGJ",0.0453406597232107,1,0,1.90172882931416,"male_hypothalamus","NS","m.inc.d9"
"MUC13",0.049478239227027,1,0,1.81833244703399,"male_hypothalamus","NS","m.inc.d9"
"SLC7A9",0.0389452036076644,1,0,1.79308558725341,"male_hypothalamus","NS","m.inc.d9"
"LOC107051069",0.024258615515321,1,0,1.70098895507561,"male_hypothalamus","NS","m.inc.d9"
"VDHAP",0.014236747337588,1,0,1.63929623255042,"male_hypothalamus","NS","m.inc.d9"
"TF",0.0438037993011954,1,0,1.62759192531915,"male_hypothalamus","NS","m.inc.d9"
"IFI6",0.0484555686647217,1,0,1.62619364022882,"male_hypothalamus","NS","m.inc.d9"
"LOC107055658",0.0222581698205857,1,0,1.59307204516209,"male_hypothalamus","NS","m.inc.d9"
"AVD",0.0101458233782357,1,0,1.53768461088973,"male_hypothalamus","NS","m.inc.d9"
"SOD3",0.0443155376469061,1,0,1.53668867854243,"male_hypothalamus","NS","m.inc.d9"
"MOV10",0.00616317626754147,1,0,1.47718728059627,"male_hypothalamus","NS","m.inc.d9"
"IGFBP7",0.00224393721676753,1,0,1.43322919463677,"male_hypothalamus","NS","m.inc.d9"
"ANXA5",0.016287156140542,1,0,1.40378774869531,"male_hypothalamus","NS","m.inc.d9"
"TTC34",0.00852016195949463,1,0,1.37337605772904,"male_hypothalamus","NS","m.inc.d9"
"OASL",0.0363329297602523,1,0,1.32507274000612,"male_hypothalamus","NS","m.inc.d9"
"ATP2B4",0.023800333344271,1,0,1.32007936357316,"male_hypothalamus","NS","m.inc.d9"
"MBOAT4",0.0413647884034439,1,0,1.31827859205619,"male_hypothalamus","NS","m.inc.d9"
"HLX",0.0241091425712449,1,0,1.28625786800881,"male_hypothalamus","NS","m.inc.d9"
"LOC107056232",0.00529635570345881,1,0,1.26840363611697,"male_hypothalamus","NS","m.inc.d9"
"LOC107054321",0.0477029308304009,1,0,1.25874727717862,"male_hypothalamus","NS","m.inc.d9"
"LOC101750281",0.0193892143658303,1,0,1.23624690501562,"male_hypothalamus","NS","m.inc.d9"
"SLC27A2",0.0195922133236604,1,0,1.18233331985261,"male_hypothalamus","NS","m.inc.d9"
"FOLR1",0.001850727166663,1,0,1.17151296903639,"male_hypothalamus","NS","m.inc.d9"
"OLAH",0.0171101121857135,1,0,1.16341340739393,"male_hypothalamus","NS","m.inc.d9"
"VWA3A",0.0161723055876891,1,0,1.13315711614875,"male_hypothalamus","NS","m.inc.d9"
"PLACL2",0.00620650043025776,1,0,1.08979333459988,"male_hypothalamus","NS","m.inc.d9"
"C11ORF88",0.0476436691137329,1,0,1.0803892774739,"male_hypothalamus","NS","m.inc.d9"
"LOC101747588",0.0453310768408127,1,0,1.07329452506811,"male_hypothalamus","NS","m.inc.d9"
"IFIT5",0.0393291483989264,1,0,1.02664588408544,"male_hypothalamus","NS","m.inc.d9"
"CYP11A1",0.00218976190221338,1,0,1.00509191828828,"male_hypothalamus","NS","m.inc.d9"
"NLGN1",0.0360787042725232,1,0,0.963218582536055,"male_hypothalamus","NS","m.inc.d9"
"ENPP3",0.0489620188960408,1,0,0.950372080015026,"male_hypothalamus","NS","m.inc.d9"
"MATN4",0.0115580394814498,1,0,0.909639116395425,"male_hypothalamus","NS","m.inc.d9"
"PFN4",0.0245142245243962,1,0,0.886442937620657,"male_hypothalamus","NS","m.inc.d9"
"CA12",0.0193354842151788,1,0,0.842734084337908,"male_hypothalamus","NS","m.inc.d9"
