"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"F8A3",1.89194991924743e-13,7.77071273479419e-12,11.1095391456016,3.07146587122373,"male_hypothalamus","hatch","hatch"
"SOX4",2.3690221161625e-10,4.96253554225411e-09,8.30429636975033,2.84875086852351,"male_hypothalamus","hatch","hatch"
"LRRC71",0.002318007100729,0.00908688193033758,2.0415851148809,2.75047634098579,"male_hypothalamus","hatch","hatch"
"GEMIN8",0.00254539710468209,0.00986450217735263,2.00592482699406,2.6794428417821,"male_hypothalamus","hatch","hatch"
"TNNI2",0.00908497965946823,0.029547918294371,1.52947311055646,2.48508865148563,"male_hypothalamus","hatch","hatch"
"LOC107050672",1.61282011178523e-10,3.49701585641471e-09,8.45630239847777,2.43846378341939,"male_hypothalamus","hatch","hatch"
"ATP2B4",2.01289608932022e-06,1.76209416190009e-05,4.75397088769414,2.42776350580632,"male_hypothalamus","hatch","hatch"
"CELSR1",0.000468995575666749,0.00225379810929284,2.64708498977485,2.41921303130979,"male_hypothalamus","hatch","hatch"
"ANGPTL3",9.67377359989423e-05,0.000560353438817904,3.25153795851215,2.35942572470372,"male_hypothalamus","hatch","hatch"
"ADO",4.28591685543081e-14,2.0516563256895e-12,11.6878953864242,2.35411045717624,"male_hypothalamus","hatch","hatch"
"ECM1",6.78630270299023e-10,1.27606895224277e-08,7.89412585792718,2.33212197041531,"male_hypothalamus","hatch","hatch"
"LOC107051332",5.01772058576694e-07,5.04182641267565e-06,5.29741211092353,2.33002866382498,"male_hypothalamus","hatch","hatch"
"FIGN",7.48852886821489e-08,9.09799374114221e-07,6.04105436627374,2.32252367652437,"male_hypothalamus","hatch","hatch"
"LOC107055647",4.08052804140725e-06,3.32184303730129e-05,4.47862089254821,2.27534118199704,"male_hypothalamus","hatch","hatch"
"CCDC57",1.06929196620674e-10,2.42283738009678e-09,8.6156757345611,2.25626934532136,"male_hypothalamus","hatch","hatch"
"LOC101749727",2.49847822168795e-15,1.57253756591887e-13,12.8033989710169,2.23919727864275,"male_hypothalamus","hatch","hatch"
"LOC107050646",2.41404120769435e-07,2.56397579832849e-06,5.59108607849097,2.20560299482663,"male_hypothalamus","hatch","hatch"
"MYLK4",0.00317747095708136,0.0119001977028984,1.92444582343397,2.1818929498434,"male_hypothalamus","hatch","hatch"
"SATB2",0.000171003575966725,0.000922171207960187,3.03518844145213,2.17460056717518,"male_hypothalamus","hatch","hatch"
"MTBP",0.0157268664732867,0.0472396707256589,1.32569313820771,2.15666226712751,"male_hypothalamus","hatch","hatch"
"LOC107056903",5.42623685221397e-05,0.000334327392500837,3.47582803882894,2.15532580917392,"male_hypothalamus","hatch","hatch"
"SOWAHC",2.39850966890515e-10,5.00886927016367e-09,8.30026030310534,2.12062502150155,"male_hypothalamus","hatch","hatch"
"TUT1",0.000474488561384392,0.00227617219196218,2.6427948867452,2.08718059520243,"male_hypothalamus","hatch","hatch"
"SCO2",4.11043538635106e-08,5.30183767338165e-07,6.27557357321436,2.06440076747107,"male_hypothalamus","hatch","hatch"
"WNT9A",5.99642907581349e-06,4.69593624917537e-05,4.32827780759078,2.03068162966854,"male_hypothalamus","hatch","hatch"
"RTN4RL2",1.86200518523934e-07,2.03002172329872e-06,5.69249931466891,2.02323699767577,"male_hypothalamus","hatch","hatch"
"LOC101748630",0.00172733164173046,0.00703486917152363,2.15274397479124,1.9736192411218,"male_hypothalamus","hatch","hatch"
"LOC107055658",0.00194516443643141,0.00779614107113354,2.10812031092685,1.95489576917039,"male_hypothalamus","hatch","hatch"
"DMB2",0.00553858993693628,0.0192280720614527,1.71606425892572,1.9418128127863,"male_hypothalamus","hatch","hatch"
"SOX12",0.000199149493432937,0.00105717975916469,2.97585116049231,1.87924249432439,"male_hypothalamus","hatch","hatch"
"LOC100859265",5.16840029044403e-14,2.4145842594016e-12,11.6171576348465,1.87519071450354,"male_hypothalamus","hatch","hatch"
"LOC422323",4.19512510676939e-10,8.3138084295233e-09,8.08019998692139,1.86587015723329,"male_hypothalamus","hatch","hatch"
"TET3",9.43177048888548e-07,8.89832892410812e-06,5.05069154472364,1.86119569085449,"male_hypothalamus","hatch","hatch"
"HIF3A",0.0124093957918459,0.0385260871866055,1.414245096867,1.83630204855034,"male_hypothalamus","hatch","hatch"
"CNTD1",0.0229084427494839,0.0650460065119534,1.18677936171671,1.76543251190652,"male_hypothalamus","hatch","hatch"
"LOC100859545",2.36231701881862e-06,2.03909205529137e-05,4.69056316745255,1.76503847384595,"male_hypothalamus","hatch","hatch"
"ZNF212",1.40856495413655e-06,1.28519735244875e-05,4.89103017778134,1.76416718527476,"male_hypothalamus","hatch","hatch"
"C17ORF89",0.00897613506824428,0.0292428843165063,1.53397979378789,1.75665638074792,"male_hypothalamus","hatch","hatch"
"LOC107050482",0.00320188296234657,0.0119883224657399,1.92124158377712,1.75663976027823,"male_hypothalamus","hatch","hatch"
"ASXL2",1.16884375348923e-08,1.70498184857147e-07,6.76828024019478,1.75112396902275,"male_hypothalamus","hatch","hatch"
"MAVS",2.36842758240919e-09,4.02484662285661e-08,7.3952506648902,1.72422328954285,"male_hypothalamus","hatch","hatch"
"TUBB4B",0.0320464670107564,0.0861351757633913,1.06481945574511,1.71997330862362,"male_hypothalamus","hatch","hatch"
"LOC101748081",8.29383356471742e-08,9.94309235558495e-07,6.00247852665843,1.69724867001081,"male_hypothalamus","hatch","hatch"
