"gene","padj","logpadj","lfc","sextissue","direction"
"GEMIN8",7.20839148403488e-05,4.1421616350785,3.57179036532368,"male_hypothalamus","inc.d9"
"LOC107055647",4.81161560390519e-10,9.3177090753827,3.0028534372307,"male_hypothalamus","inc.d9"
"SOX4",2.86081270225084e-11,10.5435105745756,3.00216749413716,"male_hypothalamus","inc.d9"
"ATP2B4",1.30623970305437e-08,7.88397712002758,2.85407196775739,"male_hypothalamus","inc.d9"
"F8A3",2.36422535319181e-11,10.6263111297438,2.8266468621124,"male_hypothalamus","inc.d9"
"ANGPTL3",3.39613939322883e-05,4.4690144926131,2.54698372289161,"male_hypothalamus","inc.d9"
"LRRC71",0.0112116291261215,1.9503312768717,2.42366359248376,"male_hypothalamus","inc.d9"
"LOC107055658",0.000135680129848599,3.86748374945865,2.37622828216024,"male_hypothalamus","inc.d9"
"LOC107050672",3.4675698656363e-09,8.45997477987122,2.26818792577423,"male_hypothalamus","inc.d9"
"LOC421506",0.0663844214389401,1.17793382540458,2.19625952842826,"male_hypothalamus","inc.d9"
"LOC101749727",5.34311387458158e-15,14.2722055698606,2.18520190649748,"male_hypothalamus","inc.d9"
"SATB2",0.00022536351170994,3.64711639860852,2.14676865314486,"male_hypothalamus","inc.d9"
"CZH9ORF84",0.0227850404724229,1.64235019565584,2.14140054894419,"male_hypothalamus","inc.d9"
"LOC107051332",6.91146914605586e-06,5.16042962640189,2.12151222287715,"male_hypothalamus","inc.d9"
"TET3",2.01830807180828e-08,7.69501254291834,2.09828790042431,"male_hypothalamus","inc.d9"
"FIGN",1.57901604824331e-06,5.80161345604104,2.09378777540705,"male_hypothalamus","inc.d9"
"LOC107056903",0.000120797387569353,3.91794245790431,2.09315156416775,"male_hypothalamus","inc.d9"
"RTN4RL2",4.36895061252931e-08,7.3596228646123,2.09011787406036,"male_hypothalamus","inc.d9"
"LOC107050646",1.43175145265079e-06,5.84413236758051,2.07515374582459,"male_hypothalamus","inc.d9"
"ADO",6.76242626737686e-11,10.1698974570936,2.04350501122409,"male_hypothalamus","inc.d9"
"WNT9A",5.83009645938717e-06,5.23432425974647,2.03859348791169,"male_hypothalamus","inc.d9"
"CNTD1",0.0109059087820064,1.96233813911178,2.01465614275648,"male_hypothalamus","inc.d9"
"TUT1",0.00122335559032601,2.91244728910422,1.98982866397023,"male_hypothalamus","inc.d9"
"SCO2",1.08174314931439e-07,6.96587584650999,1.98450109845391,"male_hypothalamus","inc.d9"
