"gene","padj","logpadj","lfc","sextissue","direction"
"LOC107055658",7.77421941520388e-10,9.10934320624816,3.79292926575401,"male_hypothalamus","m.inc.d3"
"ATP2B4",1.41115746460559e-13,12.8504245226073,3.73224930151499,"male_hypothalamus","m.inc.d3"
"LOC107055647",1.92318241237313e-13,12.7159795213102,3.57246750135553,"male_hypothalamus","m.inc.d3"
"SATB2",4.98161764943675e-10,9.30262960861647,3.53771492098603,"male_hypothalamus","m.inc.d3"
"SOX4",3.59856092171688e-14,13.4438711405403,3.40351555375409,"male_hypothalamus","m.inc.d3"
"GEMIN8",0.000217074880262843,3.66339042985936,3.34876987027287,"male_hypothalamus","m.inc.d3"
"F8A3",9.17850071136168e-12,11.0372282540885,2.88736040586878,"male_hypothalamus","m.inc.d3"
"LRRC71",0.0023087496360379,2.63662316001591,2.86407152276352,"male_hypothalamus","m.inc.d3"
"ANGPTL3",5.44220702483723e-06,5.26422494141802,2.77251285368073,"male_hypothalamus","m.inc.d3"
"RTN4RL2",6.19482356656229e-13,12.2079710581595,2.73031563241535,"male_hypothalamus","m.inc.d3"
"FIGN",3.9166144421888e-10,9.40708917899372,2.68930651083191,"male_hypothalamus","m.inc.d3"
"LOC107050646",5.48513308417206e-10,9.26081283080205,2.63111719760072,"male_hypothalamus","m.inc.d3"
"ROCK2",0.00129695880049633,2.88707381959926,2.53315191862523,"male_hypothalamus","m.inc.d3"
"LOC107051332",5.49675022285155e-08,7.25989399730785,2.53092170583624,"male_hypothalamus","m.inc.d3"
"LOC107050672",6.76874505980388e-11,10.1694918430021,2.49741108616621,"male_hypothalamus","m.inc.d3"
"ANXA5",1.65284615455391e-06,5.78176756829045,2.46641924912979,"male_hypothalamus","m.inc.d3"
"LOC101749727",3.86787816762213e-18,17.4125272140003,2.43253645729834,"male_hypothalamus","m.inc.d3"
"WNT9A",5.5809103798887e-08,7.25329495147229,2.41759177855296,"male_hypothalamus","m.inc.d3"
"GRIN2B",2.54687781280142e-22,21.5939918899398,2.41026575314977,"male_hypothalamus","m.inc.d3"
"FGFBP3",0.000510969912581904,3.29160467165463,2.39631440419044,"male_hypothalamus","m.inc.d3"
"LOC422323",1.82862457644376e-16,15.7378754476753,2.39268965285358,"male_hypothalamus","m.inc.d3"
"MN1",3.43848555163373e-23,22.4636327962046,2.35031403004967,"male_hypothalamus","m.inc.d3"
"GPRIN1",1.58847657422683e-15,14.7990191854695,2.34639419813835,"male_hypothalamus","m.inc.d3"
"GDA",6.7799990279811e-15,14.1687703683958,2.33326095260727,"male_hypothalamus","m.inc.d3"
"PPP1R1B",2.75756849896596e-06,5.55947369072696,2.31205270348021,"male_hypothalamus","m.inc.d3"
"ADO",1.64170529198454e-13,12.7847048018768,2.30522074387466,"male_hypothalamus","m.inc.d3"
"TET3",8.30132643606871e-10,9.08085250788425,2.29068238959171,"male_hypothalamus","m.inc.d3"
"LOC107052863",2.33456160621037e-19,18.6317946610846,2.26070704326301,"male_hypothalamus","m.inc.d3"
"CELSR1",0.00178678705908902,2.74792720159229,2.25097239069945,"male_hypothalamus","m.inc.d3"
"SH3RF2",4.73911405132233e-07,6.32430283946183,2.2429445513228,"male_hypothalamus","m.inc.d3"
"LOC100859265",1.31757322110012e-19,18.8802252405282,2.19328972343813,"male_hypothalamus","m.inc.d3"
"CCDC57",4.64643669498052e-10,9.33287997548548,2.16716229214983,"male_hypothalamus","m.inc.d3"
"TUBB4B",0.00739134809926543,2.13127634392222,2.16561248526482,"male_hypothalamus","m.inc.d3"
"LOC100859545",4.42207626051448e-09,8.35437377210669,2.1523637621468,"male_hypothalamus","m.inc.d3"
"C17ORF89",0.00152068243328375,2.81796147093863,2.14935159085066,"male_hypothalamus","m.inc.d3"
"BCL11B",7.83930642870514e-10,9.1057223591919,2.13970833508944,"male_hypothalamus","m.inc.d3"
"SLC8A2",3.11236398357982e-16,15.5069096190035,2.11262658030176,"male_hypothalamus","m.inc.d3"
"TUT1",0.000621499422750579,3.20655927039539,2.10166030801066,"male_hypothalamus","m.inc.d3"
"CHST7",1.93201472136985e-08,7.71398956871487,2.07840009879618,"male_hypothalamus","m.inc.d3"
"PLCD4",6.57732113271316e-17,16.1819509535246,2.04828166345149,"male_hypothalamus","m.inc.d3"
"PLXNA4B",5.09688026667486e-14,13.2926955685171,2.04768035732912,"male_hypothalamus","m.inc.d3"
"MUSK",0.0014709867016159,2.83239125347297,2.04587288535984,"male_hypothalamus","m.inc.d3"
"ECM1",1.04189477373312e-07,6.98217614043637,2.04061594789199,"male_hypothalamus","m.inc.d3"
"CELF2",1.20422963327361e-27,26.9192906900263,2.02548227819546,"male_hypothalamus","m.inc.d3"
"CNTD1",0.0110814192542913,1.95540461372001,2.01398233111522,"male_hypothalamus","m.inc.d3"
"CRH",2.87813284380554e-10,9.54088916453415,1.99704441600048,"male_hypothalamus","m.inc.d3"
"SLITRK5",1.39600249559101e-20,19.8551138053372,1.99024112480108,"male_hypothalamus","m.inc.d3"
"FBLN7",0.00231754812851734,2.63497123809718,1.98300938117538,"male_hypothalamus","m.inc.d3"
"SCO2",1.65971967076039e-07,6.77996525878091,1.96838801323637,"male_hypothalamus","m.inc.d3"
"CZH9ORF84",0.0396793302742993,1.40143566667489,1.96254876128129,"male_hypothalamus","m.inc.d3"
"LOC107050437",0.0196860332451522,1.70584178580686,1.96213734698967,"male_hypothalamus","m.inc.d3"
"AKAP5",1.7336481516834e-08,7.76103903909019,1.95682063395286,"male_hypothalamus","m.inc.d3"
"SOWAHC",6.12503582610377e-09,8.21289136671303,1.9531765533663,"male_hypothalamus","m.inc.d3"
"TNKS",2.50143831246758e-05,4.60181020270872,1.94318909029584,"male_hypothalamus","m.inc.d3"
"HTR6",6.17288993013734e-06,5.2095114669435,1.93927739546447,"male_hypothalamus","m.inc.d3"
"LOC107053497",1.2703140610509e-05,4.89608889469801,1.93352615279016,"male_hypothalamus","m.inc.d3"
"KCTD16",4.99751762263302e-15,14.3012456657644,1.92814310813536,"male_hypothalamus","m.inc.d3"
"LOC107056903",0.000475795971610338,3.32257923929498,1.92813877349425,"male_hypothalamus","m.inc.d3"
"EGR3",7.38338763601397e-09,8.13174433003852,1.92386451178927,"male_hypothalamus","m.inc.d3"
"LOC101749060",5.63758018397692e-11,10.2489072680477,1.91796438274483,"male_hypothalamus","m.inc.d3"
"FOSL2",3.51345621326286e-11,10.4542654545237,1.90884533131987,"male_hypothalamus","m.inc.d3"
"PLXNA2",2.97781728336964e-13,12.5261019537493,1.90427336745665,"male_hypothalamus","m.inc.d3"
"RAPSN",0.0198511076208081,1.70221525614597,1.89712257265425,"male_hypothalamus","m.inc.d3"
"BRS3",1.35096165565113e-06,5.86935697738467,1.88604948828985,"male_hypothalamus","m.inc.d3"
"LOC107050482",0.00193878201640914,2.71247101732276,1.87700505240662,"male_hypothalamus","m.inc.d3"
"TMEM158",8.28326545550097e-18,17.081798420494,1.87357248337804,"male_hypothalamus","m.inc.d3"
"TFAP2C",0.00466175135156993,2.33145089459085,1.86898350286429,"male_hypothalamus","m.inc.d3"
"LOC107050804",2.23927675525952e-13,12.6498922280582,1.86673187802171,"male_hypothalamus","m.inc.d3"
"GABRQ",4.23594853894994e-30,29.3730493246235,1.86622070716564,"male_hypothalamus","m.inc.d3"
"LOC107056972",3.75809224930231e-06,5.42503256354597,1.86103668934982,"male_hypothalamus","m.inc.d3"
"DPYSL4",0.000136708524088372,3.86420440533614,1.85502359546172,"male_hypothalamus","m.inc.d3"
"DGKG",1.59652380463605e-18,17.7968246016187,1.8448430946062,"male_hypothalamus","m.inc.d3"
"SLC1A2",1.04249942634245e-21,20.9819241753339,1.83935092151702,"male_hypothalamus","m.inc.d3"
"IL7",0.0151255949320872,1.82028753431905,1.8285801200976,"male_hypothalamus","m.inc.d3"
"LOC107057085",5.33050321194541e-09,8.27323179062533,1.81827798580616,"male_hypothalamus","m.inc.d3"
"SOX12",0.000440410301747818,3.35614253089033,1.81551217207825,"male_hypothalamus","m.inc.d3"
"AFF3",7.8712064016992e-10,9.10395869922317,1.81531253109976,"male_hypothalamus","m.inc.d3"
"ELK4",5.54459807531255e-16,15.2561299301281,1.80713110601949,"male_hypothalamus","m.inc.d3"
"RAB3C",1.62910942392418e-22,21.788049744046,1.79945987114433,"male_hypothalamus","m.inc.d3"
"ERBB2",0.012033159707444,1.91962031918323,1.79892305203706,"male_hypothalamus","m.inc.d3"
"TBR1",1.97665076009371e-06,5.70407005621104,1.79576812802067,"male_hypothalamus","m.inc.d3"
"AGO3",5.15494580939394e-13,12.287775895813,1.79545298709985,"male_hypothalamus","m.inc.d3"
"CCND2",2.13316095690775e-12,11.6709763737772,1.79315072252978,"male_hypothalamus","m.inc.d3"
"ZNF212",9.46937102171388e-07,6.02367886691761,1.78928336936165,"male_hypothalamus","m.inc.d3"
"LOC101750437",3.09618856738326e-07,6.50917259731725,1.78717304725192,"male_hypothalamus","m.inc.d3"
"TMEM178B",1.54702535495188e-23,22.8105025683786,1.78555591640783,"male_hypothalamus","m.inc.d3"
"NMBR",1.98922246483536e-06,5.70131664480532,1.78041865767243,"male_hypothalamus","m.inc.d3"
"KLHL1",3.4192512722896e-09,8.46606898280708,1.78011294384198,"male_hypothalamus","m.inc.d3"
