"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"LOC107055647",1.39953544132198e-10,5.39101859319304e-09,8.26832917032176,3.29074249944943,"male_hypothalamus","m.inc.d9","m.inc.d9"
"F8A3",2.22687146701084e-14,2.80317755500114e-12,11.5523493928872,3.24810983612512,"male_hypothalamus","m.inc.d9","m.inc.d9"
"ATP2B4",2.62403860429288e-09,6.88683490837098e-08,7.16198032782387,3.1888541851941,"male_hypothalamus","m.inc.d9","m.inc.d9"
"SOX4",3.0048741576965e-11,1.43337769031172e-09,8.84363935935435,3.06117115153475,"male_hypothalamus","m.inc.d9","m.inc.d9"
"CZH9ORF84",0.00117244721655992,0.00594089448719048,2.22614816080929,2.94451146473189,"male_hypothalamus","m.inc.d9","m.inc.d9"
"LOC107055658",1.13714318795875e-05,0.00010965010613078,3.95999094363088,2.87539850731982,"male_hypothalamus","m.inc.d9","m.inc.d9"
"ANGPTL3",1.14442898704539e-05,0.000110187762598315,3.95786663534933,2.70640213785223,"male_hypothalamus","m.inc.d9","m.inc.d9"
"MTBP",0.00576268052789652,0.0231170379984518,1.63606781312939,2.54470092803708,"male_hypothalamus","m.inc.d9","m.inc.d9"
"GEMIN8",0.0066458141800206,0.0259775284006268,1.58540217170146,2.53278557905078,"male_hypothalamus","m.inc.d9","m.inc.d9"
"C17ORF89",0.000260021588620596,0.00163203762571422,2.78726983305048,2.46700879851038,"male_hypothalamus","m.inc.d9","m.inc.d9"
"ECM1",3.60652707875855e-10,1.18431728588702e-08,7.92653193186129,2.4312887652298,"male_hypothalamus","m.inc.d9","m.inc.d9"
"LOC107050482",6.71688813349498e-05,0.000510716410373961,3.29182018714083,2.3888695113276,"male_hypothalamus","m.inc.d9","m.inc.d9"
"LRRC71",0.0160402212248679,0.0542995038725296,1.26520413848495,2.31258407704926,"male_hypothalamus","m.inc.d9","m.inc.d9"
"ADO",2.0605521136933e-12,1.39209889026568e-10,9.85632991273463,2.25809965184422,"male_hypothalamus","m.inc.d9","m.inc.d9"
"DMB2",0.00193005872566109,0.00907584668969334,2.04211284888038,2.22349474200173,"male_hypothalamus","m.inc.d9","m.inc.d9"
"LOC101749727",5.14183433821229e-14,5.72977359245869e-12,11.2418625385018,2.21222143481989,"male_hypothalamus","m.inc.d9","m.inc.d9"
"LOC107050672",4.87655425806483e-08,9.25932334335075e-07,6.03342074970968,2.16949068518686,"male_hypothalamus","m.inc.d9","m.inc.d9"
