"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"SATB2",1.03054721168278e-07,1.07854421422843e-06,5.96716204657271,3.01445860929912,"male_hypothalamus","n5","n5"
"LRRC71",0.000948453378881686,0.00391445770670811,2.4073283948569,2.97047985024377,"male_hypothalamus","n5","n5"
"SOX4",2.01004090631823e-10,3.72803630578396e-09,8.42851986688542,2.86186563917028,"male_hypothalamus","n5","n5"
"GEMIN8",0.00134925058364185,0.00529993114262091,2.27572977277167,2.8365103033305,"male_hypothalamus","n5","n5"
"F8A3",5.16459713206945e-11,1.09025928587708e-09,8.96247020569741,2.76616939248397,"male_hypothalamus","n5","n5"
"SLC6A5",0.0023272594860839,0.00859057635441504,2.0659776977351,2.74934510319997,"male_hypothalamus","n5","n5"
"LOC107050646",4.55672257983318e-09,6.41290305101782e-08,7.19294532561001,2.48144453748754,"male_hypothalamus","n5","n5"
"LOC107050672",3.57365286846238e-10,6.27697813265454e-09,8.20224938431472,2.39890880769032,"male_hypothalamus","n5","n5"
"RTN4RL2",6.63807266543935e-10,1.11138667348089e-08,7.95413481509825,2.36824999410269,"male_hypothalamus","n5","n5"
"LOC107055647",2.84100158343473e-06,2.21084238848284e-05,4.655442217282,2.31011824466295,"male_hypothalamus","n5","n5"
"ADO",5.03625002286668e-13,1.63018616811601e-11,10.7877627961061,2.26459341773498,"male_hypothalamus","n5","n5"
"ANGPTL3",0.000394436475341572,0.00181099759617314,2.74208212614615,2.16596480021648,"male_hypothalamus","n5","n5"
"LOC101748630",0.000609010835200674,0.00265879971244482,2.57531437686782,2.14518659628607,"male_hypothalamus","n5","n5"
"LOC101749727",4.76353162238518e-14,1.87168243948921e-12,11.7277678342713,2.14408839703298,"male_hypothalamus","n5","n5"
"TUBB4B",0.0102964467901755,0.031527070746044,1.50131637869475,2.03104119019223,"male_hypothalamus","n5","n5"
"ECM1",1.3586730175565e-07,1.37947421013298e-06,5.86028641443208,2.02309877970273,"male_hypothalamus","n5","n5"
"WNT9A",7.25904652930267e-06,5.11065445706213e-05,4.29152348168696,2.01746810816448,"male_hypothalamus","n5","n5"
"CCDC57",1.50435986167338e-08,1.86433658335913e-07,6.729475678302,1.99969996877548,"male_hypothalamus","n5","n5"
"FIGN",5.15734625826728e-06,3.75525619257382e-05,4.42536042903912,1.99878349547175,"male_hypothalamus","n5","n5"
"EPPK1",0.00118835046615806,0.00475865230851806,2.32251602581866,1.99743324058613,"male_hypothalamus","n5","n5"
"CZH9ORF84",0.0284668909687219,0.0751324757755336,1.12417229999377,1.97891392162642,"male_hypothalamus","n5","n5"
"LOC107050482",0.000811986785926541,0.00341129800824207,2.46708033931973,1.97462876558914,"male_hypothalamus","n5","n5"
"TUT1",0.00118302551690707,0.00474012139768688,2.32421053561064,1.95605895079716,"male_hypothalamus","n5","n5"
"SCO2",2.54324275541505e-07,2.45041709850231e-06,5.61075998577409,1.95213220056534,"male_hypothalamus","n5","n5"
"LOC422323",1.58488354355009e-10,3.02308042735072e-09,8.5195502985086,1.90901426616027,"male_hypothalamus","n5","n5"
"LOC107057586",0.0078786095728684,0.0249498479252611,1.60293209715166,1.89878197267603,"male_hypothalamus","n5","n5"
"TET3",7.4649833272448e-07,6.55597211459258e-06,5.18336290234137,1.88084577432303,"male_hypothalamus","n5","n5"
"GDA",1.37419952103717e-09,2.1698307187573e-08,7.66357414669401,1.86941117294912,"male_hypothalamus","n5","n5"
"PCDHA11",0.010535561851588,0.0321289733899371,1.49310315114342,1.86862124347713,"male_hypothalamus","n5","n5"
"MN1",2.83348108135788e-14,1.1780175933046e-12,11.9288482234555,1.85690635352289,"male_hypothalamus","n5","n5"
"CNTD1",0.0167058014279894,0.0477835830872114,1.32072128747314,1.85059846374492,"male_hypothalamus","n5","n5"
"LOC107051332",0.000107159852566267,0.000568411313163637,3.24533728683949,1.84379711392942,"male_hypothalamus","n5","n5"
"LOC101749664",0.0231886419363224,0.0632396363338623,1.19901063618845,1.83024883174299,"male_hypothalamus","n5","n5"
"LOC100859545",1.91244511260831e-06,1.55036918938044e-05,4.80956487097895,1.78307444932821,"male_hypothalamus","n5","n5"
"LOC107050804",1.04799221014934e-11,2.56710884630274e-10,9.59055571670196,1.7699071411583,"male_hypothalamus","n5","n5"
"ROCK2",0.0253220865912058,0.0681285903834242,1.16667059675022,1.76423078661271,"male_hypothalamus","n5","n5"
"ZNF212",1.53814218742596e-06,1.27118802662954e-05,4.89579020641837,1.7629624036441,"male_hypothalamus","n5","n5"
"TPH2",0.00861959698796908,0.0270171784293019,1.56836000899903,1.73831429328038,"male_hypothalamus","n5","n5"
"LOC107052863",3.87156745150278e-11,8.43492940756094e-10,9.07391854769667,1.72402926519407,"male_hypothalamus","n5","n5"
"LOC107050880",0.0120393981024196,0.0359963970095436,1.4437409669322,1.72256487206387,"male_hypothalamus","n5","n5"
"DMB2",0.0155133692488531,0.0448541588554142,1.34819728318352,1.72185061295961,"male_hypothalamus","n5","n5"
"GRIN2B",3.08454790641263e-11,6.89710999797364e-10,9.16133284764713,1.71294640695116,"male_hypothalamus","n5","n5"
"SOWAHC",7.00080700393275e-07,6.19232083399256e-06,5.20814655025428,1.7032100345498,"male_hypothalamus","n5","n5"
"GPRIN1",3.13666883990829e-08,3.6384823275216e-07,6.43907973014984,1.69330345830905,"male_hypothalamus","n5","n5"
"SH3RF2",0.000219603793232596,0.00107547318767909,2.96840041241568,1.68921960317075,"male_hypothalamus","n5","n5"
"CELSR1",0.0201792929520776,0.0562397473725902,1.24995663882281,1.67384334673068,"male_hypothalamus","n5","n5"
"FBLN7",0.00966548248289096,0.0298709330199824,1.52475121197567,1.66998143681515,"male_hypothalamus","n5","n5"
"SMURF2",0.0313054252043145,0.0814384339174619,1.08917058652431,1.66636344475193,"male_hypothalamus","n5","n5"
"LOC101748081",1.66331932785063e-07,1.65057126000944e-06,5.7823657211605,1.66488146077613,"male_hypothalamus","n5","n5"
"HIF3A",0.0267289660534054,0.0712929749845097,1.14695326223471,1.656038052291,"male_hypothalamus","n5","n5"
"FGF3",0.0397395915010527,0.0995136758992102,1.00211723121983,1.65093274642261,"male_hypothalamus","n5","n5"
"WNT16",6.33756931641661e-05,0.000357952866043556,3.44617415593949,1.64531057366967,"male_hypothalamus","n5","n5"
"LOC107056903",0.00307763849509025,0.0110135549725591,1.95807247614479,1.63521624115571,"male_hypothalamus","n5","n5"
"C7H2ORF69",1.78592180909968e-12,5.10075777199793e-11,10.2923653000294,1.63129450716185,"male_hypothalamus","n5","n5"
"TBR1",2.85831503207279e-05,0.000175593279986577,3.75549210870664,1.62309749954922,"male_hypothalamus","n5","n5"
"LOC107052033",4.41916861874467e-07,4.0758885598259e-06,5.38977769868776,1.62076920506304,"male_hypothalamus","n5","n5"
"SOX12",0.00171229769760184,0.00655183990962481,2.18363672284959,1.61837047204991,"male_hypothalamus","n5","n5"
"LOC107057085",5.70947795431495e-07,5.1677997862125e-06,5.28669432036658,1.61417451681782,"male_hypothalamus","n5","n5"
"LOC107053040",0.0171559465195842,0.0488962458980602,1.31072448337829,1.59532673511697,"male_hypothalamus","n5","n5"
"SLC8A2",5.04030750787639e-09,7.03521361083979e-08,7.15272271150563,1.58290018922677,"male_hypothalamus","n5","n5"
"C17ORF89",0.0218340119308775,0.0600027071356942,1.22182915515683,1.56620163862479,"male_hypothalamus","n5","n5"
"CCNRC01",0.00165275591701012,0.00634902986486369,2.19729263006614,1.56126148877014,"male_hypothalamus","n5","n5"
"TFAP2C",0.0174717864917199,0.0496299493010724,1.30425616845119,1.55936743589907,"male_hypothalamus","n5","n5"
"LOC107052775",0.00170896652515028,0.00654277665711576,2.18423790443612,1.55541920704379,"male_hypothalamus","n5","n5"
"PLXNA4B",6.04762953144805e-08,6.59858639429399e-07,6.18054909277824,1.5435442528846,"male_hypothalamus","n5","n5"
"CELF2",2.70298185042399e-15,1.41880456588858e-13,12.8480774225845,1.53990780058706,"male_hypothalamus","n5","n5"
"RAB3C",2.15428560632138e-15,1.16220288960076e-13,12.9347180491037,1.53435313366829,"male_hypothalamus","n5","n5"
"OASL",0.0147123019657241,0.0428937905262746,1.36760557344139,1.52738218753386,"male_hypothalamus","n5","n5"
"CHST7",7.03351064088267e-05,0.000393015113698315,3.40559074817529,1.52564763133206,"male_hypothalamus","n5","n5"
"DGKG",4.94959604954108e-12,1.28170968178116e-10,9.89221033509713,1.5243951595369,"male_hypothalamus","n5","n5"
"PLCD4",3.52866051147318e-09,5.07822480741063e-08,7.29428807729907,1.51960230965689,"male_hypothalamus","n5","n5"
"KCTD16",4.02087906148817e-09,5.69395720151352e-08,7.24458580154038,1.51751033738317,"male_hypothalamus","n5","n5"
"IL7",0.0425565725962395,0.105441334872585,0.976989104607726,1.50230807883435,"male_hypothalamus","NS","n5"
"ASXL2",2.2008006183033e-06,1.76518492069814e-05,4.7532097912212,1.48518602337587,"male_hypothalamus","n5","n5"
"MAVS",6.18859725110779e-07,5.55706602568101e-06,5.25515444316089,1.47080654767707,"male_hypothalamus","n5","n5"
"PPP1R1B",0.00423399021718864,0.0145356305562322,1.83756612377299,1.46739878994934,"male_hypothalamus","n5","n5"
"FOSL2",1.32622770953347e-06,1.11022572112731e-05,4.95458871538079,1.45759112599731,"male_hypothalamus","n5","n5"
"LOC101750437",5.76836135793253e-05,0.000328670882904831,3.48323876854957,1.45213232049473,"male_hypothalamus","n5","n5"
"LRFN2",2.62064251721126e-11,5.94785225734342e-10,9.22563982774547,1.44769727602126,"male_hypothalamus","n5","n5"
"LOC107055116",0.0259906027276646,0.0696652689437304,1.15698368194997,1.44586537261385,"male_hypothalamus","n5","n5"
"CCDC142",0.00131757858854336,0.00518751257203795,2.28504083775742,1.41315753256168,"male_hypothalamus","n5","n5"
"LOC107050660",0.000110909424676795,0.000584423887008151,3.23327204156762,1.41180088378172,"male_hypothalamus","n5","n5"
"SLITRK5",4.7211558584367e-10,8.10405478477866e-09,8.09129763173383,1.4105834513132,"male_hypothalamus","n5","n5"
"CSRNP2",2.22826326178542e-10,4.07715195746605e-09,8.38964310187648,1.4104748579919,"male_hypothalamus","n5","n5"
"LOC101751890",5.97903472588007e-05,0.000339678132462764,3.46893241090578,1.40948158236213,"male_hypothalamus","n5","n5"
"LOC101749651",2.31852044059647e-06,1.84761344606735e-05,4.73338888582168,1.40939948547261,"male_hypothalamus","n5","n5"
"DPYSL4",0.00482754389181142,0.016241143085666,1.7893834074639,1.40545246043593,"male_hypothalamus","n5","n5"
"LOC101752191",0.00320672452091289,0.0114333647683742,1.94182594062039,1.40136440663718,"male_hypothalamus","n5","n5"
"LOC107056972",0.00080708076059691,0.00339593405766481,2.46904075148767,1.39898545732833,"male_hypothalamus","n5","n5"
"NMBR",0.000339865171015444,0.00158611306380778,2.79966585785217,1.39387386643156,"male_hypothalamus","n5","n5"
"NEUROD6",0.00265002046447752,0.00964579068663237,2.01566216648907,1.39343524129045,"male_hypothalamus","n5","n5"
"GRK4",4.68609325728528e-09,6.58134688355303e-08,7.1816852182043,1.39233215833899,"male_hypothalamus","n5","n5"
"PI16",0.00786680208769543,0.0249182605736765,1.60348227700563,1.39182211787012,"male_hypothalamus","n5","n5"
"L1CAM",9.23290918182322e-11,1.84862150702337e-09,8.73315199865026,1.39065310301928,"male_hypothalamus","n5","n5"
"GLRA1",0.000271737705787409,0.00129897120611105,2.88640047569039,1.3873431146839,"male_hypothalamus","n5","n5"
"BCL11B",0.000160656464753916,0.000814060618087769,3.08934325466752,1.38629869538059,"male_hypothalamus","n5","n5"
"SPRY4",2.99876208751422e-05,0.000183227732942723,3.73700879184476,1.38179905283718,"male_hypothalamus","n5","n5"
"LOC100857745",8.83188878984529e-11,1.77880782367328e-09,8.74987096907544,1.38123059258755,"male_hypothalamus","n5","n5"
"RTN4RL1",7.87598421407284e-12,1.99764935429702e-10,9.6994807407638,1.38097105078836,"male_hypothalamus","n5","n5"
"EGR3",8.298498323419e-05,0.000453479938551153,3.34344192088448,1.37974221988317,"male_hypothalamus","n5","n5"
"HTR6",0.00201573877131696,0.00756345577986492,2.12127972788419,1.37932594706202,"male_hypothalamus","n5","n5"
"BRS3",0.000746028865531768,0.0031664884255087,2.49942209511397,1.37917589092142,"male_hypothalamus","n5","n5"
"CLVS2",4.80657594264311e-14,1.88315273602977e-12,11.7251144544258,1.37902503439516,"male_hypothalamus","n5","n5"
"PLXNA2",6.12238309637833e-07,5.50124244515951e-06,5.25953921484396,1.37899150515282,"male_hypothalamus","n5","n5"
"PANX3",0.027303069667535,0.072511278009404,1.13959444037619,1.37658921494969,"male_hypothalamus","n5","n5"
"ATP2B4",0.0103415634089368,0.0316245992563727,1.49997496911569,1.37330381216003,"male_hypothalamus","n5","n5"
"TH",0.000158511245482238,0.000804389840362456,3.09453342328463,1.36888483773439,"male_hypothalamus","n5","n5"
"RASSF5",2.06379730672106e-09,3.11402046446979e-08,7.5066785376969,1.36795036881936,"male_hypothalamus","n5","n5"
"FBLN2",0.000150399896125346,0.000767524995429457,3.11490747226729,1.36646760446831,"male_hypothalamus","n5","n5"
"SLC8A1",8.37698151785834e-12,2.10898266176452e-10,9.67592699064029,1.36178140789837,"male_hypothalamus","n5","n5"
"ZNF541",0.0346169675468123,0.0886285638039384,1.05242628823464,1.36040496294692,"male_hypothalamus","n5","n5"
"KIAA2022",1.22705984695713e-10,2.40431562944271e-09,8.61900852039331,1.356616654052,"male_hypothalamus","n5","n5"
"PXDNL",0.0382578425390828,0.0964247996512478,1.01581125482591,1.35013816520845,"male_hypothalamus","n5","n5"
"CLCN1",0.00970629704556942,0.0299630127916703,1.52341452031124,1.34800822503828,"male_hypothalamus","n5","n5"
"ID4",1.23033432185238e-18,1.32749167504628e-16,15.8769681937816,1.34668981082197,"male_hypothalamus","n5","n5"
"TNKS",0.00523676840670563,0.0174323865056716,1.7586431536074,1.34267264279541,"male_hypothalamus","n5","n5"
"MARCH4",2.97899529245604e-08,3.46445175371599e-07,6.46036548231464,1.34101419937083,"male_hypothalamus","n5","n5"
"LOC422942",0.0435667610423075,0.107532700866044,0.968459446017571,1.33746012248152,"male_hypothalamus","NS","n5"
"LOC101749060",1.56111911147542e-05,0.000102274943139178,3.99023075328007,1.33690596052853,"male_hypothalamus","n5","n5"
"ELK4",1.77073354974058e-08,2.16290409781879e-07,6.66496273655326,1.33631678298492,"male_hypothalamus","n5","n5"
"C26H6ORF89",1.11707487788194e-07,1.15312323195178e-06,5.93812427805064,1.33103933433549,"male_hypothalamus","n5","n5"
"MAP1B",6.65950554095935e-20,9.33360596178787e-18,17.0299505377377,1.32861157076557,"male_hypothalamus","n5","n5"
"TMEM158",1.19049089410969e-08,1.52542164989832e-07,6.81661009407904,1.32517393515536,"male_hypothalamus","n5","n5"
