"gene","padj","logpadj","lfc","sextissue","direction"
"SOX4",2.19378673109798e-14,13.6588055946324,3.41320452805651,"male_hypothalamus","prolong"
"SATB2",4.55443656629342e-08,7.34156534235396,3.12113326517571,"male_hypothalamus","prolong"
"ATP2B4",1.87849025116492e-09,8.72619105446073,3.0485697532116,"male_hypothalamus","prolong"
"LOC107055647",8.63465820668859e-10,9.06375484881881,2.99370484097845,"male_hypothalamus","prolong"
"F8A3",7.93148009906377e-12,11.1006457611218,2.87263265981268,"male_hypothalamus","prolong"
"LRRC71",0.00248392887226024,2.60486084441621,2.82645806219984,"male_hypothalamus","prolong"
"LOC107055658",6.70982550675251e-06,5.17328877378628,2.81003764209097,"male_hypothalamus","prolong"
"MTBP",0.00249701587379516,2.60257869678372,2.74157247955431,"male_hypothalamus","prolong"
"ANGPTL3",1.50726725284804e-05,4.82180973630732,2.62789220072492,"male_hypothalamus","prolong"
"LOC107050646",5.51588663979264e-10,9.25838466784398,2.60878892933924,"male_hypothalamus","prolong"
"FIGN",1.95438332601823e-09,8.70899025123783,2.56644674553381,"male_hypothalamus","prolong"
"RTN4RL2",1.62884551689084e-11,10.7881201031337,2.55324122166614,"male_hypothalamus","prolong"
"GEMIN8",0.00624885802803969,2.2041993422456,2.52905672056557,"male_hypothalamus","prolong"
"LOC107051332",5.09863696353195e-08,7.29254590985009,2.51083629019205,"male_hypothalamus","prolong"
"LOC101749727",4.49290402810153e-18,17.3474728581733,2.40428657002956,"male_hypothalamus","prolong"
"TUBB4B",0.00306229438553914,2.51395306188409,2.38058668167153,"male_hypothalamus","prolong"
"ROCK2",0.00267653867261743,2.57242647722618,2.37329129842292,"male_hypothalamus","prolong"
"LOC107050672",4.5475810992177e-10,9.34221954721144,2.36834604599906,"male_hypothalamus","prolong"
"TUT1",9.02881603135114e-05,4.04436919595039,2.33958629843798,"male_hypothalamus","prolong"
"ADO",3.79906475394505e-14,13.4203233039601,2.33221850727984,"male_hypothalamus","prolong"
"MYBPC1",0.0307685797400002,1.51189255007417,2.30775538103088,"male_hypothalamus","prolong"
"LOC422323",1.19060188648888e-14,13.9242334336513,2.23029792730462,"male_hypothalamus","prolong"
"CCDC57",1.67029379702617e-10,9.77720713172369,2.20784331429232,"male_hypothalamus","prolong"
"CZH9ORF84",0.0174508272902534,1.75818397964603,2.20544173305993,"male_hypothalamus","prolong"
"ECM1",4.97888804445025e-09,8.3028676391843,2.20131685514674,"male_hypothalamus","prolong"
"GRIN2B",7.35861367640078e-19,18.1332039967222,2.19513276616542,"male_hypothalamus","prolong"
"KLHL40",0.0590794299702224,1.22856370364413,2.15972632634515,"male_hypothalamus","prolong"
"TACR2",0.0072036997962962,2.1424443940658,2.14757861011064,"male_hypothalamus","prolong"
"MN1",1.67055546342058e-19,18.7771391009551,2.13015923543411,"male_hypothalamus","prolong"
"WNT9A",1.91726833963683e-06,5.71731709929312,2.1184351215904,"male_hypothalamus","prolong"
"LOC100859545",5.90479155862007e-09,8.22879542853969,2.11131633800328,"male_hypothalamus","prolong"
"GDA",1.85732391317558e-12,11.7311123496595,2.11048810552919,"male_hypothalamus","prolong"
"LOC107052863",6.65234821513483e-17,16.1770250258456,2.09092463283778,"male_hypothalamus","prolong"
"LOC100859265",7.82642704156949e-18,17.1064364589223,2.07269472322936,"male_hypothalamus","prolong"
"GPRIN1",2.30164664100599e-12,11.6379613504024,2.06444742564744,"male_hypothalamus","prolong"
"LOC107050482",0.000565306243821629,3.24771621771996,2.04187946606792,"male_hypothalamus","prolong"
"TET3",5.96603212439827e-08,7.22431441248731,2.01434251542459,"male_hypothalamus","prolong"
"MYLK4",0.00874060935083561,2.0584582895074,2.00891537804851,"male_hypothalamus","prolong"
"SLITRK5",1.41283134917012e-20,19.8499096771438,1.97618763443522,"male_hypothalamus","prolong"
"PLXNA4B",4.23424358955107e-13,12.3732241613013,1.96905549320602,"male_hypothalamus","prolong"
"TFAP2C",0.00241971298561256,2.61623614482825,1.96152324175288,"male_hypothalamus","prolong"
"SH3RF2",1.3081491069752e-05,4.88334275093084,1.94767154380203,"male_hypothalamus","prolong"
"IL7",0.00835970989904653,2.07780879330612,1.93005151140766,"male_hypothalamus","prolong"
"CELF2",2.88533626069892e-25,24.5398035663363,1.92326096502902,"male_hypothalamus","prolong"
"CHST7",1.71932535308293e-07,6.76464193269135,1.91900467625728,"male_hypothalamus","prolong"
"SCO2",3.51765132506929e-07,6.45374721067248,1.90113481265901,"male_hypothalamus","prolong"
"SLC8A2",2.36673322699357e-13,12.6258506920388,1.89657113591906,"male_hypothalamus","prolong"
"PCDHA11",0.0109817510895767,1.95932840415682,1.89575310653911,"male_hypothalamus","prolong"
"LOC107050804",5.51406832774782e-14,13.2585278566234,1.88888542341414,"male_hypothalamus","prolong"
"C17ORF89",0.00607248743564002,2.21663337510461,1.86491626375747,"male_hypothalamus","prolong"
"LOC107057085",2.85563320849647e-09,8.54429757622216,1.84690093100509,"male_hypothalamus","prolong"
"LOC107056972",3.43895270165781e-06,5.46357379729525,1.84655149299196,"male_hypothalamus","prolong"
"BCL11B",1.55132664088222e-07,6.80929674931914,1.83256241145627,"male_hypothalamus","prolong"
"LOC107056903",0.000815094143579273,3.08879222724073,1.82680740496424,"male_hypothalamus","prolong"
"LOC107052775",0.000166143707595215,3.77951610222412,1.82661565119738,"male_hypothalamus","prolong"
"SOWAHC",4.51641536597262e-08,7.34520612368805,1.82131157046196,"male_hypothalamus","prolong"
"LOC107053497",3.54769276547653e-05,4.45005399764404,1.81597050881465,"male_hypothalamus","prolong"
"FGFBP3",0.0101326427000886,1.9942772712848,1.80698543508641,"male_hypothalamus","prolong"
"SOX12",0.000460236189018747,3.33701923513887,1.77948941211842,"male_hypothalamus","prolong"
"KCTD16",4.6317158331168e-13,12.3342580934721,1.77609775058856,"male_hypothalamus","prolong"
"MUSK",0.00598174593482667,2.22317203688244,1.77478085501368,"male_hypothalamus","prolong"
"LOC101750437",2.54254464147451e-07,6.59473141308532,1.77459811989905,"male_hypothalamus","prolong"
"TBR1",2.53092885675614e-06,5.59672006248793,1.77397095691566,"male_hypothalamus","prolong"
"SLC1A2",3.21355754702338e-20,19.4930139185229,1.76604448323314,"male_hypothalamus","prolong"
"TNKS",0.000140315415598144,3.85289461306693,1.75912562484395,"male_hypothalamus","prolong"
"LOC101751874",8.25690416687092e-05,4.08318275598065,1.75526403700447,"male_hypothalamus","prolong"
"LOC101748630",0.00676579983460658,2.16968085490922,1.75428064981285,"male_hypothalamus","prolong"
"RAB3C",5.38195325673606e-21,20.2690600784841,1.72782034717642,"male_hypothalamus","prolong"
"PPP1R1B",0.000581544192040853,3.23541727727217,1.72619838997542,"male_hypothalamus","prolong"
"PLXNA2",4.13587905198544e-11,10.3834321700648,1.72315488892761,"male_hypothalamus","prolong"
"CLVS2",1.15176068971536e-23,22.9386377482849,1.72285985895148,"male_hypothalamus","prolong"
"HIF3A",0.0238211586121951,1.62303711914854,1.7195363779211,"male_hypothalamus","prolong"
"ELK4",1.11427877369825e-14,13.9530061424363,1.71662244488126,"male_hypothalamus","prolong"
"DMB2",0.0196152160524356,1.7074069039574,1.69575108548778,"male_hypothalamus","prolong"
"PLCD4",5.01386548560406e-12,11.2998273216829,1.69466013440491,"male_hypothalamus","prolong"
"PI16",0.000853313510010102,3.06889137838425,1.69453551976665,"male_hypothalamus","prolong"
"TMEM178B",1.3321510584085e-21,20.8754465258312,1.69277116632474,"male_hypothalamus","prolong"
"ADAMTS17",5.48862821371365e-05,4.26053618627087,1.6881769344656,"male_hypothalamus","prolong"
"ASXL2",2.04662930439863e-08,7.68896081177472,1.68165809316405,"male_hypothalamus","prolong"
