"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"male_hypothalamus","AANAT",1,"NS",0.0419358668212992,"n5",1.78398220748307,0
"male_hypothalamus","ALPK3",1,"NS",0.0199037919622068,"hatch",-0.601079797650812,0
"male_hypothalamus","ALS2CL",1,"NS",0.00220244621134738,"n5",0.595331173586989,0
"male_hypothalamus","AMIGO2",1,"NS",0.0354546143849062,"n5",0.53947347924891,0
"male_hypothalamus","ANKS1B",1,"NS",0.0491135207760606,"n5",0.441201847544437,0
"male_hypothalamus","ANLN",1,"NS",0.036952575159394,"hatch",-0.599378149186061,0
"male_hypothalamus","APOD",1,"NS",0.0138605769910273,"hatch",-0.935904196169918,0
"male_hypothalamus","ARL13A",1,"NS",0.039624344544562,"n5",1.0789106936577,0
"male_hypothalamus","ARSI",1,"NS",0.00713649883352119,"n5",1.4632003968544,0
"male_hypothalamus","ATP2A1",0.2764964644726,"NS",0.000114131428297575,"hatch",-1.75386877569589,0.558310417595656
"male_hypothalamus","AvBD12",1,"NS",0.0467024311386575,"n5",0.817691929022692,0
"male_hypothalamus","BANK1",1,"NS",0.0221183503926355,"n5",0.797827642583135,0
"male_hypothalamus","BCL11A",1,"NS",0.0289856181599424,"n5",0.646972968940289,0
"male_hypothalamus","BLEC3",1,"NS",0.0194230537534134,"hatch",-0.660613391298942,0
"male_hypothalamus","C11H19ORF12",1,"NS",0.0490498222325286,"n5",1.07186782305802,0
"male_hypothalamus","C11ORF85",1,"NS",0.0347346618257717,"hatch",-1.08054831250347,0
"male_hypothalamus","C26H6ORF89",1,"NS",0.0459463498168308,"n5",0.561456146725975,0
"male_hypothalamus","C3",1,"NS",0.021341502379568,"hatch",-0.837671469742431,0
"male_hypothalamus","C8B",1,"NS",0.0379689739060493,"n5",0.850665363232075,0
"male_hypothalamus","CAMK1G",1,"NS",0.0079777332510923,"n5",0.80284718738489,0
"male_hypothalamus","CASP9",1,"NS",0.00685787727969163,"n5",0.917434097769243,0
"male_hypothalamus","CCDC147",1,"NS",0.0489499235848814,"n5",0.538987010456965,0
"male_hypothalamus","CCDC15",1,"NS",0.0385592911713383,"hatch",-0.644539641996308,0
"male_hypothalamus","CCR7",1,"NS",0.0246327155029119,"n5",1.54483025458503,0
"male_hypothalamus","CD200",1,"NS",0.0404442448526471,"hatch",-0.57762258871505,0
"male_hypothalamus","CD24",1,"NS",0.0323499511640776,"n5",0.46372319748531,0
"male_hypothalamus","CD9",1,"NS",0.0437842758036665,"hatch",-0.793979735962512,0
"male_hypothalamus","CDH15",1,"NS",0.041239458262004,"hatch",-1.74357832716604,0
"male_hypothalamus","CDH19",1,"NS",0.0237947692666594,"hatch",-0.632785356669261,0
"male_hypothalamus","CHAT",1,"NS",0.0340014265210634,"n5",0.731838283361283,0
"male_hypothalamus","CHRM4",1,"NS",0.0394836865568562,"n5",0.833599649682525,0
"male_hypothalamus","CKAP2",1,"NS",0.0448248764709605,"n5",0.584347676260789,0
"male_hypothalamus","CKLF",1,"NS",0.0253516417818685,"hatch",-1.07432334925159,0
"male_hypothalamus","CKM",1,"NS",0.0237518386849985,"hatch",-1.65725073122329,0
"male_hypothalamus","CLCN1",1,"NS",0.0145520324709147,"n5",0.966729659566021,0
"male_hypothalamus","CLDN11",1,"NS",0.0427631859197354,"hatch",-0.65031375998405,0
"male_hypothalamus","CNKSR3",1,"NS",0.0444903656237704,"hatch",-0.436542901321123,0
"male_hypothalamus","COL14A1",1,"NS",0.0216714113327504,"n5",1.5971153915046,0
"male_hypothalamus","CPA2",1,"NS",0.0418449372321665,"n5",0.706057746447881,0
"male_hypothalamus","CPA6",1,"NS",0.00346167136848065,"n5",1.16569607817412,0
"male_hypothalamus","CRHBP",1,"NS",0.00707698970302597,"n5",0.717229121648348,0
"male_hypothalamus","CRLF1",1,"NS",0.0415441985490537,"n5",0.679897271862347,0
"male_hypothalamus","CRYBB2",1,"NS",0.041303562256927,"hatch",-1.13130265193299,0
"male_hypothalamus","CST3",1,"NS",0.0336141102149613,"hatch",-1.08877388561192,0
"male_hypothalamus","DAPK1",1,"NS",0.0489467193100091,"n5",0.712955394129162,0
"male_hypothalamus","DIO3",1,"NS",0.030619685267808,"hatch",-1.85989775462543,0
"male_hypothalamus","DMGDH",1,"NS",0.0139654823642746,"hatch",-0.835273541457213,0
"male_hypothalamus","EGFR",1,"NS",0.0127886331449468,"n5",0.85232245979903,0
"male_hypothalamus","EIF4E3",1,"NS",0.0166690057151265,"hatch",-0.803991909707446,0
"male_hypothalamus","EN1",1,"NS",0.0244731399714326,"n5",4.1095567091873,0
"male_hypothalamus","ENPP6",1,"NS",0.0461655420726411,"hatch",-0.61679926073529,0
"male_hypothalamus","ERMN",1,"NS",0.0468466371617366,"hatch",-0.669742247931617,0
"male_hypothalamus","FAM105A",1,"NS",0.0467350423209885,"n5",0.554015024606036,0
"male_hypothalamus","FAM107A",1,"NS",0.00500304694617679,"n5",0.837371305993972,0
"male_hypothalamus","FER1L6",1,"NS",0.0210118734845729,"n5",1.73415329139735,0
