"gene","padj","logpadj","lfc","sextissue","direction"
"RBP4B",0.00678839616984501,2.16823282024992,4.78767893054499,"male_hypothalamus","m.inc.d17"
"ASMT",4.14480422241198e-06,5.38249597829445,4.70957216029355,"male_hypothalamus","m.inc.d17"
"NKX3-1",0.0480861254210314,1.31798021515029,2.85952029939813,"male_hypothalamus","m.inc.d17"
"DPP4",0.0253735109554193,1.59561943490414,2.59836766437284,"male_hypothalamus","m.inc.d17"
"ASIC5",0.0192540873043474,1.71547706328275,2.49179416469258,"male_hypothalamus","m.inc.d17"
"DHX32",0.0719325677230433,1.14307443673737,2.32732928271544,"male_hypothalamus","m.inc.d17"
"TMED11",0.00623669177398257,2.20504571885833,2.1251864770527,"male_hypothalamus","m.inc.d17"
"IMPG1",0.0255979070629158,1.59179554203911,2.09119839742466,"male_hypothalamus","m.inc.d17"
"PERP1",0.0112400959069534,1.94922998310122,2.07818664931324,"male_hypothalamus","m.inc.d17"
"CPB1",0.00700234663764361,2.15475639412945,1.95394273017309,"male_hypothalamus","m.inc.d17"
"DMRT2",0.0820807264157474,1.08575880870211,1.8875931290424,"male_hypothalamus","m.inc.d17"
"SLC7A9",0.0466345742514903,1.3312919837574,1.85888548302954,"male_hypothalamus","m.inc.d17"
"MYOZ1",0.0674371836800172,1.17110057506432,1.8188425308211,"male_hypothalamus","m.inc.d17"
"LOC772158",0.0022902221100132,2.64012239692847,1.815692312922,"male_hypothalamus","m.inc.d17"
"SRRL",0.0167496966145127,1.77599305488602,1.76353539373039,"male_hypothalamus","m.inc.d17"
"SATB2",0.00700234663764361,2.15475639412945,1.75324563204264,"male_hypothalamus","m.inc.d17"
"FGF3",0.0212219913060427,1.67321386771784,1.74970024197998,"male_hypothalamus","m.inc.d17"
"CCDC60",0.00170432878322854,2.7684466214424,1.69167977534742,"male_hypothalamus","m.inc.d17"
"PRSS55",0.0379207787491032,1.4211227524794,1.67612952960844,"male_hypothalamus","m.inc.d17"
"PPP1R1B",0.0108117197900328,1.966105218543,1.65932544322215,"male_hypothalamus","m.inc.d17"
"PI15",0.00512336145851011,2.29044500311278,1.63184461297995,"male_hypothalamus","m.inc.d17"
"DUPD1",0.0500695896530868,1.30042596786073,1.59040519814492,"male_hypothalamus","m.inc.d17"
"TPH1",0.00900314757392083,2.04560563111571,1.57434864747037,"male_hypothalamus","m.inc.d17"
"TFAP2D",0.00678839616984501,2.16823282024992,1.56588242234558,"male_hypothalamus","m.inc.d17"
"C15ORF43",0.0695764894932503,1.15753748751961,1.54891583241687,"male_hypothalamus","m.inc.d17"
"LOC420300",0.0188447635861455,1.72480930654956,1.53317129784721,"male_hypothalamus","m.inc.d17"
"PRSS56",0.00789295633415533,2.10276029981567,1.53201427131545,"male_hypothalamus","m.inc.d17"
"SLC46A2",0.07808090531237,1.10745515986637,1.52700126826785,"male_hypothalamus","m.inc.d17"
"LOC107055086",0.0981115030533229,1.00828007091046,1.50677540807229,"male_hypothalamus","m.inc.d17"
"LECT1",0.00186200062967159,2.73002017648956,1.50643836730318,"male_hypothalamus","m.inc.d17"
"POU2AF1",0.0545623086816577,1.26310726176632,1.46549629239204,"male_hypothalamus","m.inc.d17"
"LOC100858306",0.058522387648575,1.23267796345159,1.45149073460576,"male_hypothalamus","m.inc.d17"
"OASL",0.0478622206698982,1.32000715523555,1.44933815804439,"male_hypothalamus","m.inc.d17"
"LOC427010",0.0109287850702306,1.96142811495989,1.43281453439667,"male_hypothalamus","m.inc.d17"
"RGR",0.0850764622529193,1.07019057772535,1.42790023418,"male_hypothalamus","m.inc.d17"
"RBP1",0.0125319681564519,1.90198071732487,1.42314151814577,"male_hypothalamus","m.inc.d17"
"RAPSN",0.0514731413059705,1.28841932679123,1.40819945199981,"male_hypothalamus","m.inc.d17"
"CYP2J2L6",0.0489067716949736,1.3106310037363,1.39682885821249,"male_hypothalamus","m.inc.d17"
"SLC51B",0.0409738968063866,1.38749273067628,1.38302903220083,"male_hypothalamus","m.inc.d17"
"GPR112",0.0906808217321698,1.0424845530346,1.37444596280735,"male_hypothalamus","m.inc.d17"
"A2ML4",0.0522096054314521,1.2822495889113,1.37374947589119,"male_hypothalamus","m.inc.d17"
"NEUROD6",0.0158476651493201,1.80003471372764,1.36459996733814,"male_hypothalamus","m.inc.d17"
"LOC422929",0.0171606336322161,1.76546668047947,1.35755787059349,"male_hypothalamus","m.inc.d17"
"AKAP7L",0.0095520197661214,2.01990478752244,1.3519576424812,"male_hypothalamus","m.inc.d17"
"TMEM61",0.0131698678219913,1.88041858376774,1.35050891676637,"male_hypothalamus","m.inc.d17"
"GPNMB",0.00210715102002543,2.67630433728543,1.33505556873061,"male_hypothalamus","m.inc.d17"
"AvBD12",0.00646351033194075,2.18953155263436,1.32591832922507,"male_hypothalamus","m.inc.d17"
"MX1",0.0296112683369325,1.52854299011378,1.31138311022827,"male_hypothalamus","m.inc.d17"
"COR7A",0.012075398200688,1.91809853896071,1.30596923446035,"male_hypothalamus","m.inc.d17"
"VGLL1",0.0871128070574495,1.05991799165705,1.27522238626024,"male_hypothalamus","m.inc.d17"
"LOC101748527",0.0160601263439326,1.79425104247845,1.26088687218286,"male_hypothalamus","m.inc.d17"
"SLC5A1",0.00242680214733782,2.61496562944558,1.25943582843872,"male_hypothalamus","m.inc.d17"
"PDE1A",0.00253957071845905,2.59523968903388,1.24046880275097,"male_hypothalamus","m.inc.d17"
"LOC101748456",0.0059647033166356,2.2244111531927,1.23785267955571,"male_hypothalamus","m.inc.d17"
"RASD2",0.00170432878322854,2.7684466214424,1.23423846190359,"male_hypothalamus","m.inc.d17"
"BRS3",0.0131698678219913,1.88041858376774,1.23023586599331,"male_hypothalamus","m.inc.d17"
"SH3RF2",0.00983448362927289,2.0072484382708,1.22603189036399,"male_hypothalamus","m.inc.d17"
"ATP10B",0.0131698678219913,1.88041858376774,1.21856572627328,"male_hypothalamus","m.inc.d17"
"LOC101749307",0.0874224960382578,1.05837679793597,1.21708710392445,"male_hypothalamus","m.inc.d17"
"LOC772075",0.0220100545186879,1.65737888170217,1.20810817502199,"male_hypothalamus","m.inc.d17"
"AKAP5",0.00640020666105339,2.19380600253079,1.2028949478722,"male_hypothalamus","m.inc.d17"
"LOC424167",0.0146645310951696,1.83373181921845,1.19352972246141,"male_hypothalamus","m.inc.d17"
