"gene","padj","logpadj","lfc","sextissue","direction"
"NCAN",1.9491447344243e-29,28.7101559109963,20.3564217178651,"male_pituitary","m.inc.d17"
"NKX2-1",6.97745232235206e-21,20.156303122408,18.9564397497291,"male_pituitary","m.inc.d17"
"SLC6A7",6.97745232235206e-21,20.156303122408,18.0655309412086,"male_pituitary","m.inc.d17"
"FOXM1",0.00029051847137858,3.53682624963247,4.27841763293583,"male_pituitary","m.inc.d17"
"MCHR1",6.51242775601382e-05,4.18625708140276,4.01794858243314,"male_pituitary","m.inc.d17"
"CDCA3",0.00119376307223155,2.92308185966625,4.01666052679702,"male_pituitary","m.inc.d17"
"KPNA2",1.36175375185239e-10,9.86590141950147,3.80118172063186,"male_pituitary","m.inc.d17"
"TH",0.00271441031196839,2.56632450348729,3.51916316436798,"male_pituitary","m.inc.d17"
"NUF2",3.99338133119494e-06,5.39865921669613,3.34881719579909,"male_pituitary","m.inc.d17"
"ESCO2",0.000274159892525828,3.56199607882713,3.2662896665864,"male_pituitary","m.inc.d17"
"CENPA",0.00527008958473345,2.27818200227802,3.18000008998783,"male_pituitary","m.inc.d17"
"LOC101749531",0.0149255554701233,1.82606949717545,3.16154847653256,"male_pituitary","m.inc.d17"
"CKAP2",5.45835132066695e-08,7.26293851488878,3.1274033594424,"male_pituitary","m.inc.d17"
"SHCBP1",0.000276299629377578,3.55861969763644,3.10553693889072,"male_pituitary","m.inc.d17"
"RRM2",4.72847964454643e-05,4.32527847620159,2.92245531354211,"male_pituitary","m.inc.d17"
"CENPI",1.06453799295845e-05,4.97283883414322,2.89060331138576,"male_pituitary","m.inc.d17"
"RACGAP1",3.89981272117526e-07,6.40895624838711,2.82482991698223,"male_pituitary","m.inc.d17"
"LOC423793",1.39820241172178e-06,5.85442995310348,2.81107300152252,"male_pituitary","m.inc.d17"
"CDK1",2.86002493333083e-07,6.54363018073082,2.76696975649996,"male_pituitary","m.inc.d17"
"BUB1",1.20096075240033e-06,5.92047118518201,2.7414140628367,"male_pituitary","m.inc.d17"
"ANLN",0.000396041769066397,3.40225900821986,2.64866419198977,"male_pituitary","m.inc.d17"
"FBXO5",0.000188856712622186,3.72386757423087,2.64760887913559,"male_pituitary","m.inc.d17"
"IFIT5",0.000355878960741276,3.44869768635427,2.64358733094398,"male_pituitary","m.inc.d17"
"MXD3",0.00184106269655589,2.73493142154236,2.632931301395,"male_pituitary","m.inc.d17"
"CENPK",0.000880058747946731,3.05548833573905,2.58249762616347,"male_pituitary","m.inc.d17"
"SGOL1",6.51242775601382e-05,4.18625708140276,2.54722815441532,"male_pituitary","m.inc.d17"
"CCNB3",0.000217672569283344,3.66219629654216,2.52424893563761,"male_pituitary","m.inc.d17"
"PRL",1.38541110251821e-13,12.8584213363014,2.51811615783233,"male_pituitary","m.inc.d17"
"MLN",0.00759019646673128,2.11974698256131,2.4114266085632,"male_pituitary","m.inc.d17"
"OASL",0.00184106269655589,2.73493142154236,2.39681982726039,"male_pituitary","m.inc.d17"
"FGF6",0.00907197269696471,2.04229826550313,2.38237494515685,"male_pituitary","m.inc.d17"
"LOC101749834",0.0888071370586908,1.05155213038522,2.2958485908183,"male_pituitary","m.inc.d17"
"CLUL1",0.00629844998135194,2.20076631520836,2.16954562487409,"male_pituitary","m.inc.d17"
"PBK",0.00239013378202079,2.62157778977682,2.13344257939945,"male_pituitary","m.inc.d17"
"MKI67",0.00109776735243553,2.95948968926576,2.05308025425784,"male_pituitary","m.inc.d17"
"CD24",1.34643487464892e-10,9.87081464801899,2.03009680574122,"male_pituitary","m.inc.d17"
"MX1",0.00465546805193111,2.3320366493438,2.00260809006435,"male_pituitary","m.inc.d17"
"DEPDC1",0.0345870776782074,1.46108613072468,1.97153024484281,"male_pituitary","m.inc.d17"
"UBE2C",0.000225443414398352,3.64696244668356,1.96231525510532,"male_pituitary","m.inc.d17"
"ABCA4",0.0193384994968433,1.71357722650545,1.94533921870509,"male_pituitary","m.inc.d17"
"SLITRK6",0.000176138868489651,3.75414479787744,1.92436727396378,"male_pituitary","m.inc.d17"
"GAS2L3",0.0657565026129972,1.18206129364727,1.90497520852427,"male_pituitary","m.inc.d17"
"STC1",2.65816820001405e-05,4.57541754181813,1.81871992879699,"male_pituitary","m.inc.d17"
"PAX7",0.0100764775233531,1.99669125951025,1.77228292281991,"male_pituitary","m.inc.d17"
"SKA1",0.00199725628198603,2.69956620417733,1.74884964889042,"male_pituitary","m.inc.d17"
"RSAD2",0.0727244412080556,1.13831960705155,1.74271095429071,"male_pituitary","m.inc.d17"
"LOC422513",0.00119376307223155,2.92308185966625,1.74109549748005,"male_pituitary","m.inc.d17"
"MAD2L1",0.00029051847137858,3.53682624963247,1.72321798038777,"male_pituitary","m.inc.d17"
"TCERG1L",0.00193716058180795,2.71283437674994,1.71576303629088,"male_pituitary","m.inc.d17"
"CALN1",0.00290252996673869,2.5372232877575,1.67505307056024,"male_pituitary","m.inc.d17"
"KNSTRN",0.000955185642175789,3.01991221424097,1.65746358027454,"male_pituitary","m.inc.d17"
"CDKN1A",0.000415516800009034,3.38141141230413,1.64239973928959,"male_pituitary","m.inc.d17"
