"gene","padj","logpadj","lfc","sextissue","direction"
"ESCO2",6.84889511288229e-08,7.16437948472385,4.57116374007207,"male_pituitary","extend"
"CDCA3",1.00707860014197e-05,4.99693663244956,4.47759779695028,"male_pituitary","extend"
"SHCBP1",9.52315142423488e-08,7.02121931005329,4.44705693281366,"male_pituitary","extend"
"TCTN3",3.02378666937444e-13,12.5194488519214,4.31955913690372,"male_pituitary","extend"
"CAMKV",2.26022842672604e-08,7.64584766728911,4.31679689219315,"male_pituitary","extend"
"RRM2",5.91152911820191e-09,8.22830016688506,3.97267407373173,"male_pituitary","extend"
"LOC107054772",0.034892240097208,1.4572711477595,3.78721162447742,"male_pituitary","extend"
"KPNA2",1.94952896993448e-11,10.7100703068267,3.76296971047121,"male_pituitary","extend"
"BUB1",9.64737900777289e-10,9.0155906594097,3.73497440201232,"male_pituitary","extend"
"CKAP2",2.45707935064067e-11,10.6095808178834,3.53828864216228,"male_pituitary","extend"
"DEPDC1",1.68924597925537e-05,4.77230710610983,3.49207712206278,"male_pituitary","extend"
"PRC1",0.00632532779569954,2.19891696324705,3.48418349471187,"male_pituitary","extend"
"FOXM1",0.000469729927248079,3.32815176933633,3.47308144273222,"male_pituitary","extend"
"ECM1",7.82005526401735e-28,27.1067901777876,3.26401026643575,"male_pituitary","extend"
"LOC101749834",0.000127349097921097,3.89500412701978,3.24563469137548,"male_pituitary","extend"
"NUF2",4.30507573893078e-06,5.3660192036272,3.17211386643889,"male_pituitary","extend"
"DMB2",6.00559386131553e-07,6.22144404106037,3.15698174051952,"male_pituitary","extend"
"LOC100858647",0.00568346078215324,2.24538713244125,3.14095243758842,"male_pituitary","extend"
"CCNB3",1.72931884546545e-06,5.76212492571978,3.13519327449716,"male_pituitary","extend"
"LOC107050646",2.81849566090222e-15,14.5499826294433,3.01894889364576,"male_pituitary","extend"
"LOC423793",2.79667966307546e-08,7.55335727568279,2.99022096757525,"male_pituitary","extend"
"FGG",0.0737788622600187,1.1320680462901,2.96686748569116,"male_pituitary","extend"
"ATP2B4",2.82529769836608e-11,10.5489357843239,2.93257027843163,"male_pituitary","extend"
"ANGPTL3",4.68966994153076e-17,16.3288577218086,2.90702499420208,"male_pituitary","extend"
"RACGAP1",1.48075251302508e-07,6.8295175216335,2.82062217464693,"male_pituitary","extend"
"CDK1",1.14136649783858e-08,7.94257487930535,2.78946325232129,"male_pituitary","extend"
"LOC101749531",0.00684115368435175,2.16487065317782,2.76996869134216,"male_pituitary","extend"
"LOC422323",0.00426711875287497,2.36986527066291,2.67906504094023,"male_pituitary","extend"
"BDNF",0.00588111413602334,2.2305403920715,2.60454541930418,"male_pituitary","extend"
"LOC107055116",0.00133014479022067,2.87610108221237,2.57705923578643,"male_pituitary","extend"
"TMEM240",0.010210846454182,1.99093825447107,2.56980386951001,"male_pituitary","extend"
"F8A3",4.79540668440298e-17,16.3191745556878,2.544864495984,"male_pituitary","extend"
"CENPK",0.000185670233828054,3.73125771564849,2.52504663456519,"male_pituitary","extend"
"MKI67",2.8280739550965e-06,5.54850923777812,2.50569082979248,"male_pituitary","extend"
"IGSF10",0.00206325194057829,2.68544773774555,2.43524057261426,"male_pituitary","extend"
"TUT1",7.52650766185105e-08,7.12340649192834,2.42334766740622,"male_pituitary","extend"
"LOC107055658",8.87698333245131e-07,6.05173459555636,2.41884820518307,"male_pituitary","extend"
"LOC107055647",7.80736410161947e-11,10.1074955665509,2.39465582055931,"male_pituitary","extend"
"WNT-1",0.00617477224821712,2.20937905639488,2.36658640700293,"male_pituitary","extend"
"COL9A2",0.00794377583954621,2.09997301942477,2.36069081636327,"male_pituitary","extend"
"LOC769866",0.0302418337361708,1.51939187860221,2.34827009686552,"male_pituitary","extend"
"LOC107051453",0.00993568869214065,2.0028020243941,2.33162116030035,"male_pituitary","extend"
"LOC107050880",0.00406574910269805,2.39085942517554,2.30848324751037,"male_pituitary","extend"
"FCN2",0.000175538995296307,3.75562639167225,2.30555151270466,"male_pituitary","extend"
"LOC107054798",2.3500765430458e-05,4.62891799233207,2.30440370612202,"male_pituitary","extend"
"LOC107050672",8.16876126433817e-14,13.0878437962033,2.28227170024496,"male_pituitary","extend"
"STC1",1.11872835355606e-10,9.95127535482428,2.27674797794945,"male_pituitary","extend"
"NLRC5",0.00680736182692623,2.16702116503206,2.26811733217751,"male_pituitary","extend"
"STK31",0.036491061594427,1.43781350199859,2.26253935215435,"male_pituitary","extend"
"CDC45",0.000594754394084718,3.22566234068255,2.22813193554566,"male_pituitary","extend"
"LOC100859351",3.37984150624891e-10,9.47110366498134,2.21734239458568,"male_pituitary","extend"
"DLGAP5",8.13006957541433e-07,6.08990573778979,2.21713511058419,"male_pituitary","extend"
"FGF6",0.00167076191816133,2.77708543221041,2.21489712677662,"male_pituitary","extend"
"LAMC3",2.55544673864019e-06,5.59253316630558,2.20803120571109,"male_pituitary","extend"
"ZSWIM5",0.00503257117999129,2.29821007379473,2.16966909379061,"male_pituitary","extend"
"CDC6",0.0404712997668759,1.39285284768361,2.16709676640157,"male_pituitary","extend"
"PCOLCE",2.22050576650521e-18,17.6535480946551,2.15441001848634,"male_pituitary","extend"
"TDRD5",0.0423474376011932,1.37317286323953,2.14400773301347,"male_pituitary","extend"
"CENPI",0.000371980126167197,3.42948026260865,2.14295358022877,"male_pituitary","extend"
"LOC107049263",0.00756921849689411,2.12094895801738,2.13991286219653,"male_pituitary","extend"
"LOC107051332",2.13583526844849e-09,8.67043224638256,2.13607928555585,"male_pituitary","extend"
"SKA1",2.38010521445802e-05,4.62340384418359,2.11092963710724,"male_pituitary","extend"
"SCO2",7.97550704286176e-10,9.09824169712131,2.10457575521756,"male_pituitary","extend"
"FKBP11",2.66132354634661e-09,8.57490232355037,2.1014787796494,"male_pituitary","extend"
"SH2B3",0.00204305046414749,2.68972090599109,2.09902701478778,"male_pituitary","extend"
"LOC101748081",3.65321826707128e-14,13.4373243794298,2.09824350180732,"male_pituitary","extend"
"TMSB4X",2.0924756006398e-11,10.679339597406,2.0979991202674,"male_pituitary","extend"
"SGOL1",0.000420812435513652,3.37591143474034,2.09656301095158,"male_pituitary","extend"
"LOC101751749",2.92038452206052e-05,4.53455996197126,2.09589977998691,"male_pituitary","extend"
"TCP10",0.0506800005683449,1.29516338891825,2.08111082915289,"male_pituitary","extend"
"MXD3",0.0127111600453151,1.89581481307389,2.07023998385119,"male_pituitary","extend"
"LOC107056903",0.00147537519978675,2.83109752105812,2.05531200616402,"male_pituitary","extend"
"ANLN",0.001932711748178,2.71383291343683,2.04558284616659,"male_pituitary","extend"
"SOX4",3.45515461596701e-13,12.4615325134537,2.04343380381645,"male_pituitary","extend"
"LOC419851",0.0134119223253625,1.87250897043589,2.03974895536309,"male_pituitary","extend"
"PBK",0.000875486709898276,3.05775044222662,2.03701144502869,"male_pituitary","extend"
"ESPL1",2.4349697557199e-12,11.6135064287021,2.02553705216691,"male_pituitary","extend"
"PRL",2.89187871769233e-10,9.53881992484274,2.02432268532254,"male_pituitary","extend"
"USP35",3.59253907962955e-09,8.44459849891394,2.01395455164026,"male_pituitary","extend"
"CCDC142",2.58541541467586e-10,9.58746966618448,1.99883494062589,"male_pituitary","extend"
"CDC25A",0.001043571371444,2.98147784351819,1.99578005662597,"male_pituitary","extend"
"LOC101749060",1.51566895810146e-09,8.81939564393435,1.99361075845462,"male_pituitary","extend"
"LOC428479",2.21942835731208e-10,9.65375886934833,1.97328827501494,"male_pituitary","extend"
"TPBG",5.52526069093315e-16,15.2576472264279,1.97009421092015,"male_pituitary","extend"
"MARCKS",8.94156395290352e-32,31.0485865128917,1.96967471723954,"male_pituitary","extend"
"PDE11A",0.00883681466109344,2.05370425358506,1.9681934666758,"male_pituitary","extend"
"LOC107049666",0.059338441834413,1.22666386198953,1.95085005491274,"male_pituitary","extend"
"LOC107053040",1.53488911740294e-05,4.8139229931115,1.94764707786749,"male_pituitary","extend"
"CLUL1",0.0121792883947838,1.91437808569714,1.93816120116793,"male_pituitary","extend"
"THEMIS",0.0357429843785297,1.44680918867938,1.92773109193768,"male_pituitary","extend"
"ACHE",0.00198529971576502,2.70217391959252,1.92092623726569,"male_pituitary","extend"
"GPRIN1",3.92492114913022e-05,4.40616906371914,1.91244840351809,"male_pituitary","extend"
"GSG1",0.0410375537295458,1.38681853565024,1.90601433263106,"male_pituitary","extend"
"POSTN",0.0262878369214665,1.58024514807848,1.88945840404562,"male_pituitary","extend"
"LOC107050804",1.07264952185913e-10,9.96954215649314,1.88610678138809,"male_pituitary","extend"
"FAM83G",4.36761032447344e-05,4.35975611606343,1.88559732058972,"male_pituitary","extend"
"LOC101748559",0.016263199761272,1.78879400351746,1.85954924049024,"male_pituitary","extend"
"SLC7A5",4.67918751470369e-11,10.3298295504545,1.85808042535867,"male_pituitary","extend"
"GAS2L3",0.0393689732082142,1.4048459120023,1.855413422046,"male_pituitary","extend"
