"gene","padj","logpadj","lfc","sextissue","direction"
"TCTN3",9.97951075586146e-14,13.0008907494178,4.21842730015356,"male_pituitary","lay"
"BDNF",1.00113447244283e-06,5.99950758414154,3.93203242342425,"male_pituitary","lay"
"LOC100858647",0.000457585407575395,3.33952783366987,3.55495406021894,"male_pituitary","lay"
"LOC107050646",2.74117547938664e-18,17.5620631617279,3.12849617321541,"male_pituitary","lay"
"DMB2",1.34044619699566e-07,6.87275061309985,3.10290344456512,"male_pituitary","lay"
"LOC107055647",2.53258377827286e-18,17.5964361791997,2.95772229821952,"male_pituitary","lay"
"LOC107054772",0.0750861836249766,1.12443996882078,2.94290101698541,"male_pituitary","lay"
"LOC107050880",2.33121569809356e-05,4.6324175410835,2.92554989411779,"male_pituitary","lay"
"F8A3",6.09037255034591e-25,24.2153561406002,2.89270859212815,"male_pituitary","lay"
"ECM1",2.72530879904008e-23,22.5645842815998,2.8404960388283,"male_pituitary","lay"
"LOC422323",0.000654554693594547,3.18405405861072,2.82013175230474,"male_pituitary","lay"
"IGSF10",0.00011683394902594,3.93243094376195,2.68205917049669,"male_pituitary","lay"
"LOC107055116",0.000184528298192108,3.73393702350877,2.6754639474854,"male_pituitary","lay"
"LOC107050672",8.08908805672394e-20,19.0921004368867,2.55740698989103,"male_pituitary","lay"
"FCN2",5.71916093885857e-06,5.24266768210785,2.50710091636438,"male_pituitary","lay"
"STK31",0.00631623619978869,2.19954163763353,2.50569021793306,"male_pituitary","lay"
"ANGPTL3",3.34049104087475e-14,13.4761896886772,2.49475558900238,"male_pituitary","lay"
"LOC107051332",3.50388911487541e-14,13.4554496460998,2.44457118952598,"male_pituitary","lay"
"LOC107051489",7.84690117843026e-05,4.10530181673353,2.44435545537579,"male_pituitary","lay"
"LOC101748081",1.2599467389229e-21,20.8996478132005,2.40846200663268,"male_pituitary","lay"
"SCO2",8.99160388369895e-15,14.0461628337716,2.4035962088218,"male_pituitary","lay"
"LOC107056903",1.9311781929711e-05,4.71417765130937,2.39448554519006,"male_pituitary","lay"
"RP11-514P8.6",0.0129744991355578,1.88690939855557,2.39122186318749,"male_pituitary","lay"
"WNT-1",0.00162709684829427,2.78858659615473,2.38746087301578,"male_pituitary","lay"
"TUT1",1.15567493372549e-08,7.93716430634981,2.36235757856582,"male_pituitary","lay"
"LOC419851",0.001038703496991,2.98350840624252,2.3200789261306,"male_pituitary","lay"
"PCOLCE",3.94076319295161e-24,23.4044196618318,2.30847360383451,"male_pituitary","lay"
"TDRD5",0.0105386860075055,1.97721353478418,2.28867155519021,"male_pituitary","lay"
"ERBB2",0.000727918750970136,3.13791709317946,2.27152160629542,"male_pituitary","lay"
"TMSB4X",4.00264270263506e-15,14.3976531756205,2.25306612380152,"male_pituitary","lay"
"ATRAID",5.16126812014041e-24,23.2872435793968,2.22151299129713,"male_pituitary","lay"
"SPON1",5.70960757045092e-07,6.24339374041344,2.21323023507078,"male_pituitary","lay"
"LOC100859351",1.01564283905306e-11,10.9932589891965,2.20205482295706,"male_pituitary","lay"
"POSTN",0.00230248105488021,2.63780393454907,2.19870309189074,"male_pituitary","lay"
"ADO",1.95817489978348e-14,13.7081485205929,2.14573175746505,"male_pituitary","lay"
"LOC107051453",0.00842832757600255,2.07425859341448,2.12299017488563,"male_pituitary","lay"
"LOC396098",0.0006084945223168,3.21574332694632,2.11618804629038,"male_pituitary","lay"
"CAMKV",0.00703263153605211,2.15288213618411,2.1063996821398,"male_pituitary","lay"
"C17ORF89",0.000922225055602303,3.03516308276506,2.10252332192541,"male_pituitary","lay"
"SHROOM4",1.54800851679042e-12,11.8102266542572,2.03984612030457,"male_pituitary","lay"
"PAGR1",3.13724506940139e-19,18.5034515545788,2.03962823332692,"male_pituitary","lay"
"LOC107049580",2.87858165035206e-10,9.54082144736416,2.0264406513046,"male_pituitary","lay"
"LOC101750437",1.40210877641217e-08,7.85321829224452,2.02508540911255,"male_pituitary","lay"
"LOC101749060",1.31286308078886e-11,10.8817805643587,2.02304215070595,"male_pituitary","lay"
"SLC25A48",0.0117605993873573,1.929570543567,2.01472474828374,"male_pituitary","lay"
"M1AP",0.00136701043265713,2.86422817100048,2.00810328887536,"male_pituitary","lay"
"MARCKS",3.30146920710832e-38,37.4812927490483,1.99970569936646,"male_pituitary","lay"
"EPPK1",0.0389338570866481,1.40967256960652,1.96148745243994,"male_pituitary","lay"
"GPR37",0.0516157613323646,1.2872176624335,1.96057235981866,"male_pituitary","lay"
"SLC13A3",0.0678103347694747,1.16870411157083,1.9446819169507,"male_pituitary","lay"
"ATP2B4",4.08923984521084e-06,5.38835741612779,1.94366329114057,"male_pituitary","lay"
"LOC101748788",0.0242204566866407,1.61581767231526,1.94058359408304,"male_pituitary","lay"
"NLRC5",0.0104195794933017,1.98214980766065,1.9332181387589,"male_pituitary","lay"
"LOC101748630",6.26301648739641e-05,4.20321644501658,1.92419987219177,"male_pituitary","lay"
"LOC107050804",5.46130559161428e-13,12.262703521498,1.91595057606798,"male_pituitary","lay"
"GPRIN1",3.65061773912587e-06,5.43763364020276,1.91500242580103,"male_pituitary","lay"
"TRIL",6.70018407394573e-11,10.1739132657767,1.90619397392823,"male_pituitary","lay"
