"gene","padj","logpadj","lfc","sextissue","direction"
"VIP",9.8435499656047e-09,8.00684824989836,7.57409560990709,"male_pituitary","m.inc.d8"
"NKX2-1",8.26983187375638e-05,4.08250331959402,7.11112742903295,"male_pituitary","m.inc.d8"
"NCAN",1.18038063144319e-05,4.92797792533809,7.102944717927,"male_pituitary","m.inc.d8"
"SLC32A1",2.96945424336479e-07,6.52732336242511,7.09520044558957,"male_pituitary","m.inc.d8"
"SLC6A7",0.000269197888398603,3.56992835106185,6.12358713440457,"male_pituitary","m.inc.d8"
"MC4R",8.1562986878798e-08,7.08850687851396,5.5123810207829,"male_pituitary","m.inc.d8"
"BCAN",1.02652157385794e-05,4.98863191886134,5.43535188830759,"male_pituitary","m.inc.d8"
"TAC1",1.42233365064453e-07,6.84699851497273,5.42714698949164,"male_pituitary","m.inc.d8"
"ISLR2",3.1252013947319e-09,8.50512199054311,5.37544008500134,"male_pituitary","m.inc.d8"
"GRIN1",1.68795994718316e-12,11.77263786276,5.28212181167572,"male_pituitary","m.inc.d8"
"GFAP",0.000165981090144617,3.77994138734333,5.28116057191919,"male_pituitary","m.inc.d8"
"SOX21",3.33129686085819e-06,5.47738666443041,5.22941687019045,"male_pituitary","m.inc.d8"
"SLC6A11",1.07291954099286e-12,11.9694328448681,5.11038345018244,"male_pituitary","m.inc.d8"
"GHRH",6.97902315726163e-15,14.1562053606289,5.01279017259384,"male_pituitary","m.inc.d8"
"PCDH8",0.000311696611273281,3.50626791929299,4.95041978594918,"male_pituitary","m.inc.d8"
"BDNF",3.9743672195896e-10,9.40073200786702,4.92389971316569,"male_pituitary","m.inc.d8"
"TSHR",2.56210627775652e-05,4.59140285941338,4.88062292180972,"male_pituitary","m.inc.d8"
"PNOC",0.0531935295139031,1.27414119227847,4.79398142195,"male_pituitary","m.inc.d8"
"CAMK4L",2.9575419594419e-09,8.5290690852039,4.71630704829113,"male_pituitary","m.inc.d8"
"OLIG2",2.03615789534064e-05,4.69118854734888,4.71509337680136,"male_pituitary","m.inc.d8"
"MLPH",2.3219252840952e-05,4.63415175928618,4.6882529181228,"male_pituitary","m.inc.d8"
"NPTX1",1.70512295802474e-13,12.7682442981576,4.56561010461663,"male_pituitary","m.inc.d8"
"TMEM240",3.84067145441436e-08,7.41559284244109,4.52967734639404,"male_pituitary","m.inc.d8"
"LOC422323",6.79282936308880e-09,8.16794929481597,4.50374798300927,"male_pituitary","m.inc.d8"
"NECAB1",1.26899374767108e-05,4.89654051766781,4.43397577169613,"male_pituitary","m.inc.d8"
"CARTPT",8.65006005028769e-13,12.0629808775736,4.42843918855852,"male_pituitary","m.inc.d8"
"TCTN3",4.17515788886211e-15,14.3793270964762,4.42385332605892,"male_pituitary","m.inc.d8"
"GPR37",1.99653733287362e-06,5.69972256460342,4.37247367646518,"male_pituitary","m.inc.d8"
"NKX2-3",0.000123972570958268,3.90667439225045,4.35196817407765,"male_pituitary","m.inc.d8"
"GABRQ",9.17495989507317e-09,8.03739582542862,4.34008601680946,"male_pituitary","m.inc.d8"
