"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"male_pituitary","AAAS",0.0257329566502854,"n9",0.00621612149790145,"n9",0.5796242826622,1.58951031160801
"male_pituitary","AAED1",0.00317371818658625,"control",0.000548211124615999,"control",-0.488224126649018,2.49843163947286
"male_pituitary","AAK1",0.00362349533588566,"n9",0.000643001189443833,"n9",0.613041944070205,2.44087229336334
"male_pituitary","AAR2",1.65174200814648e-07,"n9",8.22011795920081e-09,"n9",0.815185605386541,6.78205778582207
"male_pituitary","AASDHPPT",8.11992763775818e-09,"n9",2.91432304257475e-10,"n9",0.898626936389056,8.09044784103744
"male_pituitary","ABCA5",0.13087785068978,"NS",0.0430685844969838,"n9",0.30436328678869,0.883133845711514
"male_pituitary","ABCB10",0.0180761974121009,"control",0.0041022195293838,"control",-0.387083854563956,1.74289292433807
"male_pituitary","ABCB11",0.0167955183726391,"control",0.00376072754640291,"control",-0.715018337096507,1.77480658766021
"male_pituitary","ABCB8",1.5897425991212e-05,"n9",1.33838458237809e-06,"n9",1.01443195718347,4.79867318815174
"male_pituitary","ABCC13",0.039572223688877,"control",0.0103277629803184,"control",-0.405415015287204,1.4026095446626
"male_pituitary","ABCC3",1.47833040538739e-06,"control",9.65101601331109e-08,"control",-0.854483797059739,5.83022849070436
"male_pituitary","ABCC4",0.00734435232730866,"n9",0.00144760921361693,"n9",0.536679901051187,2.13404649709335
"male_pituitary","ABCC8",0.088537002607315,"control",0.0266702927136281,"control",-0.599857355477154,1.0528751850129
"male_pituitary","ABCD2",4.55152547728329e-11,"n9",1.03863922345509e-12,"n9",0.612043752070349,10.3418430219512
"male_pituitary","ABCF2",0.0994487786697961,"control",0.0306843657988633,"control",-0.295631064505796,1.00240054607625
"male_pituitary","ABCG5",0.079279170091015,"control",0.0233253241003326,"control",-1.53003970162838,1.10084090477378
"male_pituitary","ABCG8",0.0473400124155442,"control",0.0126906613299184,"control",-1.96915480268156,1.32477163250745
"male_pituitary","ABHD12",0.00149832537389303,"control",0.000227609134783101,"control",-0.420074657690891,2.82439386571394
"male_pituitary","ABHD12B",0.000139933666715244,"control",1.5387432962041e-05,"control",-0.760690824476258,3.85407778579664
"male_pituitary","ABHD13",0.0167364131769407,"n9",0.00374417876929382,"n9",0.396495392711064,1.77633761112004
