"gene","padj","logpadj","lfc","sextissue","direction"
"CDCA3",1.11278650740986e-08,7.95358814882565,5.38882862728957,"male_pituitary","prolong"
"SHCBP1",7.76542767945306e-12,11.1098346205907,5.35964074107203,"male_pituitary","prolong"
"ESCO2",1.83050746676411e-10,9.73742849526219,5.10968614685448,"male_pituitary","prolong"
"RRM2",1.87108920505852e-14,13.7279055068126,4.90179542105995,"male_pituitary","prolong"
"BUB1",4.04370084976092e-15,14.3932209807031,4.49949870042163,"male_pituitary","prolong"
"KPNA2",2.06966864831144e-17,16.6840991790497,4.48608348450697,"male_pituitary","prolong"
"FOXM1",1.2163751826789e-06,5.91493244921153,4.37118762170415,"male_pituitary","prolong"
"CKAP2",2.24582402940412e-18,17.6486242757027,4.34799644141948,"male_pituitary","prolong"
"TCTN3",1.50840207173066e-13,12.8214828797797,4.19145067495027,"male_pituitary","prolong"
"CCNB3",3.80609283696898e-12,11.4195206227511,4.16799262289563,"male_pituitary","prolong"
"BDNF",2.83176628683088e-07,6.54794259297666,4.14543457729212,"male_pituitary","prolong"
"NUF2",1.21838025374345e-10,9.91421714821416,4.07503684153062,"male_pituitary","prolong"
"PRC1",0.000466928654350836,3.33074947358558,4.01344290634827,"male_pituitary","prolong"
"DEPDC1",1.32718651850813e-07,6.87706803850213,3.96270512140314,"male_pituitary","prolong"
"LOC423793",1.53787468927054e-14,13.8130790507345,3.81909118281945,"male_pituitary","prolong"
"RACGAP1",3.40736885681021e-14,13.4675808503457,3.72808458845129,"male_pituitary","prolong"
"CAMKV",2.08604908915879e-06,5.6806754759191,3.54130824194809,"male_pituitary","prolong"
"CDK1",1.10126616344631e-14,13.9581077043288,3.48355429156719,"male_pituitary","prolong"
"LOC101749531",0.000119190697991387,3.9237576369502,3.46316787042851,"male_pituitary","prolong"
"CENPK",1.09123424270227e-08,7.96208201440377,3.44248496259499,"male_pituitary","prolong"
"MKI67",1.78770149693237e-12,11.7477049961988,3.41191961094079,"male_pituitary","prolong"
"FGF6",3.23134263880786e-08,7.49061698866949,3.39033352130672,"male_pituitary","prolong"
"DMB2",1.07228574769375e-08,7.96968946640635,3.37706815337698,"male_pituitary","prolong"
"ECM1",2.28007476354372e-30,29.6420509122705,3.26216186907743,"male_pituitary","prolong"
"LOC107050880",6.94197187905e-06,5.1585171499268,3.12978396429896,"male_pituitary","prolong"
"CDC45",6.54385429282062e-08,7.18416637934414,3.07562217530461,"male_pituitary","prolong"
"ANGPTL3",1.49826555410767e-20,19.8244112050194,3.04417444334942,"male_pituitary","prolong"
