"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101750188",0.00221121429825937,2.65536916604112,5.877710780947,"male_pituitary","inc.d9"
"C11H19ORF40",0.0114800551383238,1.94005602603105,5.42939342366281,"male_pituitary","inc.d9"
"MOV10L1",0.00437305574957479,2.35921498604907,4.82881189963648,"male_pituitary","inc.d9"
"LOC107056587",0.0257534987296521,1.5891637617388,4.3809318896851,"male_pituitary","inc.d9"
"RHCG",0.00693253016637194,2.15910823194695,4.36813582057493,"male_pituitary","inc.d9"
"LOC107050965",0.0805175452274906,1.09410947410139,4.25346029075156,"male_pituitary","inc.d9"
"MMP27",0.0421000334469695,1.37571755913278,3.34553244632863,"male_pituitary","inc.d9"
"TRIM55",0.0567535820941824,1.24600672207068,2.95349380163016,"male_pituitary","inc.d9"
"LOC101747531",0.0598858984885286,1.22267543019174,2.9130471559537,"male_pituitary","inc.d9"
"C10H15ORF60",0.0286710152608233,1.54255692810805,2.85848940963155,"male_pituitary","inc.d9"
"KYNU",0.0319529070606889,1.49548962379722,2.46971996426583,"male_pituitary","inc.d9"
"LOC107052725",0.0836159670739822,1.07771078296777,2.40869620547712,"male_pituitary","inc.d9"
"LOC416696",0.0286007450786201,1.54362265290878,2.19427061641779,"male_pituitary","inc.d9"
"TECRL",0.0276043783485671,1.55902202873855,2.18992702083202,"male_pituitary","inc.d9"
"KERA",0.0210504963731943,1.67673765899232,1.95647487170912,"male_pituitary","inc.d9"
"TRIM66",0.0255133320606783,1.59323281849464,1.81082211938823,"male_pituitary","inc.d9"
"LOC418465",0.0398607712418318,1.39945430265431,1.69697906974875,"male_pituitary","inc.d9"
"LOC101748559",0.0494638255275964,1.30571229838157,1.64525295941903,"male_pituitary","inc.d9"
"UNKL",0.098244797745577,1.00769043708695,1.64416352452995,"male_pituitary","inc.d9"
"ANXA5",0.00664948492590294,2.17721199417083,1.56340228377158,"male_pituitary","inc.d9"
"LOC107055658",0.0449178344902008,1.34758118944589,1.31339081577498,"male_pituitary","inc.d9"
"BTC",0.00663951758039078,2.17786347481655,1.21986877145719,"male_pituitary","inc.d9"
"ATP2B4",0.0514058246017561,1.28898766993299,1.19132239490363,"male_pituitary","inc.d9"
"LOC100857165",0.0312199251770757,1.50556814211992,1.14888645471058,"male_pituitary","inc.d9"
"SLC12A4",0.0600457058144234,1.22151804584283,1.10635221840395,"male_pituitary","inc.d9"
"LOC426093",0.0654692284137037,1.18396277741687,1.04237862575957,"male_pituitary","inc.d9"
"NPM3",0.0475008885438914,1.32329826645724,1.03228044600652,"male_pituitary","inc.d9"
"RPS28",0.00113365864298626,2.94551769657623,1.02210437926328,"male_pituitary","inc.d9"
"CFI",0.0407087445899671,1.39031229054756,0.987264661265235,"male_pituitary","inc.d9"
"CAPN11",0.00455529390194435,2.34148359764269,0.947319730406525,"male_pituitary","inc.d9"
"DNASE1L3",0.0539076511283142,1.26834959089879,0.941228027510479,"male_pituitary","inc.d9"
"IL13RA2",0.0554616016231192,1.25600759299762,0.935763784810364,"male_pituitary","inc.d9"
"RPL35A",0.00047715411555271,3.32134132594128,0.929897632433907,"male_pituitary","inc.d9"
"SOD3",0.0638662423316448,1.1947286354725,0.911982279979835,"male_pituitary","inc.d9"
"MSTN",0.030613142380914,1.51409208861091,0.9073397754001,"male_pituitary","inc.d9"
"LOC771758",0.0183789740256989,1.73567873600834,0.888416685836026,"male_pituitary","inc.d9"
"BIRC5",0.0920914964895647,1.03578046967456,0.859587550585754,"male_pituitary","inc.d9"
"LOC107055647",0.0990865806919462,1.00398515808848,0.855594723272572,"male_pituitary","inc.d9"
"ADAMTS15",0.0805582924446084,1.0938897478882,0.821777187664324,"male_pituitary","inc.d9"
"CAPN2",0.010414800165849,1.98234905866887,0.790435833348361,"male_pituitary","inc.d9"
"BLEC3",0.0885122601936766,1.05299656923797,0.773317091214554,"male_pituitary","inc.d9"
"LRRC17",0.0780582599093877,1.10758113432782,0.758770793187423,"male_pituitary","inc.d9"
"RGS1",0.0199049117680119,1.70103974316155,0.744667372823467,"male_pituitary","inc.d9"
"TRIAP1",0.00132324219598494,2.87836065864459,0.736437815594449,"male_pituitary","inc.d9"
"CCDC28B",0.0386426026900037,1.41293363029381,0.733295490116004,"male_pituitary","inc.d9"
"RPL30",1.79399439135992e-05,4.7461789190429,0.702912881115623,"male_pituitary","inc.d9"
"LPP",0.0573588855167982,1.24139929560049,0.698312148972129,"male_pituitary","inc.d9"
"SCARF1",0.0632634861776412,1.19884687966664,0.690391594440944,"male_pituitary","inc.d9"
"HSBP1L1",0.058918730116129,1.22974662214002,0.674268801153135,"male_pituitary","inc.d9"
"RPL34",8.11271335073667e-05,4.09083386882587,0.671706433728071,"male_pituitary","inc.d9"
"SRGN",0.0749316771513806,1.12533454673677,0.662313466551225,"male_pituitary","inc.d9"
"RAMP1",0.0798849448681698,1.09753506019477,0.659958922926401,"male_pituitary","inc.d9"
"TDRD12",0.0240969769670974,1.61803743746071,0.650207041059603,"male_pituitary","inc.d9"
"CLEC3B",0.0530470030067269,1.27533914737824,0.646193552389962,"male_pituitary","inc.d9"
"RPLP2",0.0368257192048849,1.43384876264792,0.636185206161986,"male_pituitary","inc.d9"
"MRPS21",0.077890661239168,1.10851460927766,0.629207141499443,"male_pituitary","inc.d9"
"TLR1B",0.0927910455360744,1.03249393177582,0.62778473020082,"male_pituitary","inc.d9"
"PBDC1",0.0128240163581672,1.89197593667253,0.611538833606119,"male_pituitary","inc.d9"
"RPS15A",0.0137757796053768,1.8608838139838,0.611404513796316,"male_pituitary","inc.d9"
"RPS13",0.00468991791704522,2.32883475824148,0.608281800359406,"male_pituitary","inc.d9"
"LOC419112",0.00859547944660822,2.06572989382172,0.593389198900998,"male_pituitary","inc.d9"
"SEC61B",0.00134611138392719,2.87091900294743,0.584741532473975,"male_pituitary","inc.d9"
"RAB32",0.0328752905361545,1.48313040039751,0.579229923625394,"male_pituitary","inc.d9"
"RPL36A",0.0467107683206814,1.33058298917362,0.577886726701397,"male_pituitary","inc.d9"
"RBP5",0.0333870462369645,1.47642200142273,0.576092929721258,"male_pituitary","inc.d9"
"S100A11",0.0272504267076306,1.56462669282519,0.560774374298869,"male_pituitary","inc.d9"
"RPS3",0.000316675242509663,3.49938588819652,0.558708352831891,"male_pituitary","inc.d9"
"LSM3",0.0174105359622222,1.75918785944827,0.556927451626319,"male_pituitary","inc.d9"
"RPS16",0.00438881326905038,2.3576528967003,0.55412696394583,"male_pituitary","inc.d9"
"BOLA3",0.0342691217257516,1.46509702584581,0.551266314347679,"male_pituitary","inc.d9"
"RPL7",0.000777947263300737,3.1090498426424,0.5501487959925,"male_pituitary","inc.d9"
"PFDN1",0.0148943975160385,1.8269770594682,0.545581576530514,"male_pituitary","inc.d9"
"RHBDD1",0.0805582924446084,1.0938897478882,0.543579037166567,"male_pituitary","inc.d9"
"LOC101748694",0.0713144179735736,1.14682265789923,0.541003395342355,"male_pituitary","inc.d9"
"EPHX1L",0.0986201528707927,1.00603432860583,0.537452139389393,"male_pituitary","inc.d9"
"SELK",0.00708931247044327,2.1493958811457,0.534431541938964,"male_pituitary","inc.d9"
"LOC420374",0.0402951942050413,1.39474674677917,0.528783139947644,"male_pituitary","inc.d9"
"RPS27L",0.00834462017884102,2.07859342626904,0.527548112684713,"male_pituitary","inc.d9"
"COX4I1",0.00615835010643666,2.21053562479115,0.516920321575565,"male_pituitary","inc.d9"
"RPS17",0.00718661035025459,2.14347590145211,0.516727157391144,"male_pituitary","inc.d9"
"RPL12",0.0250472385427231,1.60124014811073,0.514270523242254,"male_pituitary","inc.d9"
"RPL39",0.00537973562875272,2.26923906593118,0.513312293357455,"male_pituitary","inc.d9"
"COA6",0.0959674272192038,1.01787614799586,0.507258718022496,"male_pituitary","inc.d9"
