"gene","padj","logpadj","lfc","sextissue","direction"
"SERPINB5",0.000897454403013762,3.04698760739873,2.73910290735978,"male_pituitary","m.n2"
"ZNF609",0.0433389247128451,1.36312186821396,2.66106445511884,"male_pituitary","m.n2"
"TAGLN",0.0746213755601467,1.12713674949681,2.4922981306326,"male_pituitary","m.n2"
"TTR",0.0378994930465737,1.42136659922845,2.20724624564442,"male_pituitary","m.n2"
"TH",0.0887373844196895,1.05189337648533,2.13366284564183,"male_pituitary","m.n2"
"LOC422926",0.0112624538092248,1.94836697718402,2.11053649403846,"male_pituitary","m.n2"
"CAPN13",0.000257199244736513,3.58973031104815,1.93659149128878,"male_pituitary","m.n2"
"LOC429032",0.0127551275986018,1.89431519247626,1.85462087208418,"male_pituitary","m.n2"
"NETO2",0.000897454403013762,3.04698760739873,1.82067890713927,"male_pituitary","m.n2"
"ALK",0.0498476610444765,1.30235521487105,1.7340757968867,"male_pituitary","m.n2"
"TULP1",0.0219647260236577,1.65827420952389,1.63132330414626,"male_pituitary","m.n2"
"ABCA4",0.0466489059242358,1.33115853748316,1.59032449227866,"male_pituitary","m.n2"
"RASL10B",0.028773703969163,1.54100422883516,1.55596221865855,"male_pituitary","m.n2"
"PDE6H",0.0625783352773934,1.20357599423326,1.50161853442332,"male_pituitary","m.n2"
"LACTBL1",0.00806100196755846,2.09361097284299,1.50120777488247,"male_pituitary","m.n2"
"LOC420209",0.0673942944431649,1.17137686899487,1.42444513116288,"male_pituitary","m.n2"
"DES",0.0874889081797438,1.0580470032254,1.40330093157295,"male_pituitary","m.n2"
"TMEM114",0.086968535905323,1.06063784110841,1.33472040933232,"male_pituitary","m.n2"
"FAM162B",0.0573248290039436,1.24165723206692,1.2780638158306,"male_pituitary","m.n2"
"ASIC4",0.0735270640147815,1.13355277535338,1.24936568175719,"male_pituitary","m.n2"
"FETUB",0.0581204643964449,1.23567092424312,1.2118655950645,"male_pituitary","m.n2"
"IGSF9B",0.00362124630973136,2.44114193436026,1.20052940232311,"male_pituitary","m.n2"
"ZNF628",0.0647687796348543,1.18863428579066,1.15192701260714,"male_pituitary","m.n2"
"LOC772096",0.00732028843526522,2.13547180645853,1.13936049028603,"male_pituitary","m.n2"
"ADRA1A",0.0337270209484473,1.47202201762455,1.09940122850126,"male_pituitary","m.n2"
"PTHLH",0.0820091793577841,1.0861375339417,1.05496713733377,"male_pituitary","m.n2"
"C21H1orf233",0.018793838385524,1.72598451210751,1.04056567039693,"male_pituitary","m.n2"
"EPHA10",0.0188213250104617,1.72534980575063,1.03446956855375,"male_pituitary","m.n2"
"TMEM200A",0.000399663512649972,3.39830549892053,1.01716360565572,"male_pituitary","m.n2"
"MUC2",0.0528567409138433,1.27689961847955,0.98720323760328,"male_pituitary","m.n2"
"DRCC1",0.079262566246544,1.10093187082758,0.966705821702959,"male_pituitary","m.n2"
"RGS16",0.0754458153980051,1.12236484336293,0.955321731030975,"male_pituitary","m.n2"
"GNG13",0.0461814699765203,1.33553224741428,0.948870005480899,"male_pituitary","m.n2"
"NPDC1",0.016483577283458,1.78294853136024,0.938815889763557,"male_pituitary","m.n2"
"KRT14",0.0476542888038929,1.32189800751156,0.920206434611335,"male_pituitary","m.n2"
"C10ORF10",1.13410764361561e-07,6.94534572250694,0.903212522904664,"male_pituitary","m.n2"
"SMARCA4",0.0442644523876222,1.35394490423336,0.897532385596902,"male_pituitary","m.n2"
"SLC16A4",0.0300843596193662,1.52165922853781,0.895762887870124,"male_pituitary","m.n2"
"CNTNAP4",0.06957199007745,1.15756557365408,0.893968478574387,"male_pituitary","m.n2"
"PHLDA2",0.0239365163103936,1.6209390559874,0.889302631318344,"male_pituitary","m.n2"
"TBCE",0.00371690691581461,2.42981831500174,0.887671287987937,"male_pituitary","m.n2"
"NECAB2",0.0494661213714035,1.30569214124355,0.885547391176938,"male_pituitary","m.n2"
"LOC107057085",0.00473675918477908,2.3245186940941,0.885517275682888,"male_pituitary","m.n2"
"NWD2",0.0648257520845425,1.18825243600447,0.88344384141027,"male_pituitary","m.n2"
"SRRM4",0.00536802258222,2.27018566584337,0.846818130535846,"male_pituitary","m.n2"
"DZANK1",0.00104549758981956,2.98067696402208,0.84420816977619,"male_pituitary","m.n2"
"GABRG3",0.044273174326603,1.35385933857899,0.839671732154782,"male_pituitary","m.n2"
"ZBTB37",0.0335691546983762,1.47405959454147,0.834690034117907,"male_pituitary","m.n2"
"IFITM10",0.086968535905323,1.06063784110841,0.803344069719063,"male_pituitary","m.n2"
"ZNF469",0.0815063995171458,1.08880829106527,0.798504934386729,"male_pituitary","m.n2"
"TNR",0.0720938040473531,1.14210205821638,0.796883647953546,"male_pituitary","m.n2"
"GALNT15",0.0937397218976055,1.0280763392574,0.794801177870464,"male_pituitary","m.n2"
"LOC107050850",0.0794078375069523,1.10013663084696,0.791482244671001,"male_pituitary","m.n2"
"PLXNA4B",0.00838108213483699,2.07669990322569,0.790149742059049,"male_pituitary","m.n2"
"SLC24A2",0.0699846319844533,1.15499731680144,0.784262704648671,"male_pituitary","m.n2"
"LTBP2",0.0295372426659008,1.52963004899956,0.770208344657366,"male_pituitary","m.n2"
"LOC107051165",0.0345276509931056,1.46183296684121,0.749474311865611,"male_pituitary","m.n2"
"RNF213",0.034350601552424,1.46406565311358,0.748751240350934,"male_pituitary","m.n2"
"SOX9",0.0108630617770283,1.96404775067172,0.747517358997941,"male_pituitary","m.n2"
"HYDIN",0.0043533160383696,2.36117980315325,0.746293825396141,"male_pituitary","m.n2"
"RTN4RL1",0.0387192587529235,1.41207296548029,0.743298125629774,"male_pituitary","m.n2"
"WDR63",0.0665474206132082,1.17686877317443,0.717639195558417,"male_pituitary","m.n2"
"GAB3",0.000841311619752221,3.07504311279671,0.717291676401944,"male_pituitary","m.n2"
"OLFML2B",0.019816601803119,1.70297081729196,0.716881620835508,"male_pituitary","m.n2"
"CRYBA2",0.0675071955469324,1.17064993354266,0.712832749695907,"male_pituitary","m.n2"
"C6ORF137",0.0546679503595149,1.26226720860779,0.705021221912744,"male_pituitary","m.n2"
"C3ORF48",0.022121579937385,1.65518385867003,0.704542309107088,"male_pituitary","m.n2"
"KCNQ5",0.00402908209199796,2.39479388383066,0.699315479333783,"male_pituitary","m.n2"
"TMCC3",0.00823922869868752,2.08411344213569,0.696340308047951,"male_pituitary","m.n2"
"FRMPD3",0.01278226677562,1.89339212263705,0.693747273881508,"male_pituitary","m.n2"
"ZDHHC22",0.0686903509956574,1.16310426444919,0.687025161133421,"male_pituitary","m.n2"
"ELK4",0.00953995334109318,2.02045374937927,0.680017953447928,"male_pituitary","m.n2"
"GREB1",0.00368732912738677,2.4332880959636,0.677684321122411,"male_pituitary","m.n2"
"DNTT",0.0797684966498913,1.09816859276523,0.673109838706367,"male_pituitary","m.n2"
"TBXAS1",0.0546679503595149,1.26226720860779,0.666529457426095,"male_pituitary","m.n2"
"LOC768579",0.028773703969163,1.54100422883516,0.659579807779705,"male_pituitary","m.n2"
"MYO3AL",0.0107517576239352,1.9685205344478,0.658402892773106,"male_pituitary","m.n2"
"XYLT1",0.0319181322476559,1.49596253017436,0.658377282569902,"male_pituitary","m.n2"
"CNNM1",0.0104017277032278,1.98289451938771,0.658201818717776,"male_pituitary","m.n2"
"CCDC108",0.00823922869868752,2.08411344213569,0.653822791910505,"male_pituitary","m.n2"
"DEAF1",0.00455803071987358,2.3412227521204,0.651632521080215,"male_pituitary","m.n2"
"LOC101751827",0.0431723021860962,1.36479479174078,0.650738758146189,"male_pituitary","m.n2"
"FABP6",0.076925693894087,1.11392857758926,0.644736790956451,"male_pituitary","m.n2"
"ZFHX3",0.0214264486060725,1.66904980649432,0.638670035588952,"male_pituitary","m.n2"
"MAVS",0.0221711105602223,1.654212552348,0.635094324030846,"male_pituitary","m.n2"
"LOC414835",0.0599782981720598,1.22200586110015,0.633003708150502,"male_pituitary","m.n2"
"SCN5A",0.0790082597531314,1.10232750392862,0.63015130151238,"male_pituitary","m.n2"
"CASZ1",0.0101958657275051,1.99157589252285,0.626495516096319,"male_pituitary","m.n2"
"NOD1",0.0115653753251897,1.93684026872874,0.621948021636763,"male_pituitary","m.n2"
"RNF208",0.076184535438617,1.11813317636748,0.621616204689759,"male_pituitary","m.n2"
"CCDC66",0.00283078037909482,2.54809382326898,0.621152683878763,"male_pituitary","m.n2"
"ASXL2",0.0495317867179699,1.30511600579991,0.611179514959983,"male_pituitary","m.n2"
